Time,ActPow,HwTOutlet,PrimT,ChActive,HwTSet,PrimTSet,HwActive
2017-11-03T00:00:17.023Z,,27.5,,,52,,
2017-11-03T00:00:27.023Z,,27.5,,,52,,
2017-11-03T00:00:37.019Z,72,35.4,36.3,0,52,0,2
2017-11-03T00:00:47.018Z,71,,39.7,0,,,0
2017-11-03T00:00:57.018Z,0,,40.4,0,,,0
2017-11-03T00:01:07.023Z,,37.2,39.8,,52,,
2017-11-03T00:01:17.018Z,,37.1,39.6,,52,,
2017-11-03T00:01:27.018Z,,36.9,,,52,,
2017-11-03T00:01:37.018Z,,36.9,,,52,,
2017-11-03T00:01:57.018Z,,36.8,,,52,,
2017-11-03T00:02:07.018Z,,,39.5,0,,,0
2017-11-03T00:02:17.018Z,,36.6,,,52,,
2017-11-03T00:02:27.022Z,,36.5,,,52,,
2017-11-03T00:02:37.018Z,,36.4,,,52,,
2017-11-03T00:02:57.023Z,,36.3,,,52,,
2017-11-03T00:03:07.018Z,,,39.4,,,,
2017-11-03T00:03:17.018Z,,36.1,,,52,,
2017-11-03T00:03:37.018Z,,35.9,,,52,,
2017-11-03T00:03:57.030Z,,35.8,,,52,,
2017-11-03T00:04:17.018Z,,35.6,39.3,,52,,
2017-11-03T00:04:27.019Z,,35.5,,,52,,
2017-11-03T00:04:37.024Z,,35.4,,,52,,
2017-11-03T00:04:57.018Z,,35.4,,,52,,
2017-11-03T00:05:17.018Z,,35.2,39.2,,52,,
2017-11-03T00:05:37.018Z,,34.9,,,52,,
2017-11-03T00:05:57.018Z,,34.9,,,52,,
2017-11-03T00:06:17.018Z,0,34.6,39.1,0,52,5,0
2017-11-03T00:06:27.018Z,,34.6,,,52,,
2017-11-03T00:06:37.017Z,,34.5,,,52,,
2017-11-03T00:06:47.018Z,,34.5,38.9,,52,,
2017-11-03T00:06:57.023Z,,34.4,39.1,,52,,
2017-11-03T00:07:07.018Z,,,38.9,,,,
2017-11-03T00:07:17.018Z,,34.3,,,52,,
2017-11-03T00:07:27.023Z,,34.2,,,52,,
2017-11-03T00:07:37.018Z,,34.1,,,52,,
2017-11-03T00:07:57.023Z,,34.1,,,52,,
2017-11-03T00:08:17.018Z,,33.9,38.8,,52,,
2017-11-03T00:08:37.017Z,,33.8,,,52,,
2017-11-03T00:08:57.021Z,,33.7,,,52,,
2017-11-03T00:09:17.028Z,,33.6,38.7,,52,,
2017-11-03T00:09:27.018Z,,33.5,,,52,,
2017-11-03T00:09:37.018Z,,33.5,,,52,,
2017-11-03T00:09:57.018Z,,33.4,,,52,,
2017-11-03T00:10:17.019Z,,33.3,,,52,,
2017-11-03T00:10:27.018Z,,,38.6,,,,
2017-11-03T00:10:37.064Z,,33.2,,,52,,
2017-11-03T00:10:57.071Z,,33.1,,,52,,
2017-11-03T00:11:17.018Z,,32.9,,,52,,
2017-11-03T00:11:27.098Z,,,38.5,,,,
2017-11-03T00:11:37.061Z,,32.8,,,52,,
2017-11-03T00:11:57.019Z,,32.7,,,52,,
2017-11-03T00:12:17.018Z,,32.6,,,52,,
2017-11-03T00:12:27.018Z,,32.5,38.4,,52,,
2017-11-03T00:12:37.024Z,,32.5,,,52,,
2017-11-03T00:12:57.018Z,,32.4,,,52,,
2017-11-03T00:13:17.018Z,,32.3,,,52,,
2017-11-03T00:13:37.018Z,,32.2,,,52,,
2017-11-03T00:13:47.018Z,,,38.3,,,,
2017-11-03T00:13:57.018Z,,32.2,,,52,,
2017-11-03T00:14:17.018Z,,32,,,52,,
2017-11-03T00:14:37.018Z,,32,,,52,,
2017-11-03T00:14:57.019Z,,31.9,,,52,,
2017-11-03T00:15:07.018Z,,,38.2,,,,
2017-11-03T00:15:17.018Z,,31.8,,,52,,
2017-11-03T00:15:27.019Z,,31.8,,,52,,
2017-11-03T00:15:37.018Z,,31.8,,,52,,
2017-11-03T00:15:57.018Z,,31.6,,,52,,
2017-11-03T00:16:17.018Z,,31.5,38.1,,52,,
2017-11-03T00:16:37.018Z,,31.4,,,52,,
2017-11-03T00:16:57.020Z,,31.4,,,52,,
2017-11-03T00:17:17.020Z,,31.2,38,,52,,
2017-11-03T00:17:27.019Z,,33.4,38.2,0,52,0,2
2017-11-03T00:17:37.018Z,55,,37.9,0,,,2
2017-11-03T00:17:47.019Z,0,37.2,39.2,0,52,,0
2017-11-03T00:17:57.022Z,,37.1,39.1,,52,,
2017-11-03T00:18:07.017Z,,36.9,38.9,,52,,
2017-11-03T00:18:17.018Z,,36.9,38.9,,52,,
2017-11-03T00:18:37.018Z,,36.7,,,52,,
2017-11-03T00:18:57.018Z,,36.6,,,52,,
2017-11-03T00:19:07.017Z,,,38.8,,,5,
2017-11-03T00:19:17.018Z,,36.4,,,52,,
2017-11-03T00:19:27.017Z,,36.3,,,52,,
2017-11-03T00:19:37.017Z,,36.2,,,52,,
2017-11-03T00:19:47.017Z,,,38.7,,,,
2017-11-03T00:19:57.018Z,,36.2,,,52,,
2017-11-03T00:20:17.018Z,,35.9,,,52,,
2017-11-03T00:20:37.017Z,,35.8,,,52,,
2017-11-03T00:20:47.018Z,,,38.6,,,,
2017-11-03T00:20:57.018Z,,35.7,,,52,,
2017-11-03T00:21:17.017Z,,35.5,,,52,,
2017-11-03T00:21:37.021Z,,35.4,,,52,,
