Time,HwTSet,ChActive,HwTOutlet,HwActive,ActPow,PrimTSet,PrimT
2017-11-06T00:00:15.894Z,52,,29.1,,,,39.3
2017-11-06T00:00:35.894Z,52,,29.1,,,,
2017-11-06T00:00:55.893Z,52,,29.1,,,,
2017-11-06T00:01:15.894Z,52,,29,,,,
2017-11-06T00:01:35.894Z,52,,29,,,,
2017-11-06T00:01:45.900Z,52,,28.9,,,,
2017-11-06T00:01:55.894Z,52,0,28.9,2,,0,39.2
2017-11-06T00:02:05.894Z,,0,,2,,,39.8
2017-11-06T00:02:15.896Z,52,0,38.3,0,0,,41.3
2017-11-06T00:02:25.899Z,52,,40,,,,40.9
2017-11-06T00:02:45.894Z,52,,40,,,,
2017-11-06T00:02:55.898Z,52,,39.9,,,,40.8
2017-11-06T00:03:05.894Z,,,,,,,40.7
2017-11-06T00:03:15.898Z,52,,39.6,,,,
2017-11-06T00:03:25.893Z,,,,,,5,
2017-11-06T00:03:35.893Z,52,,39.3,,,,
2017-11-06T00:03:55.898Z,52,,39.2,,,,
2017-11-06T00:04:05.894Z,52,,38.9,,,,40.6
2017-11-06T00:04:15.894Z,52,,38.7,,,,
2017-11-06T00:04:25.894Z,,0,,0,,0,39.8
2017-11-06T00:04:45.893Z,52,,40.1,,,,39.9
2017-11-06T00:04:55.893Z,52,,40,,,,39.8
2017-11-06T00:05:05.894Z,52,,39.9,,,,
2017-11-06T00:05:15.893Z,52,,39.7,,,,39.7
2017-11-06T00:05:25.894Z,52,,39.6,,,,
2017-11-06T00:05:35.893Z,,,,,,5,
2017-11-06T00:05:45.894Z,52,,39.4,,,,
2017-11-06T00:06:05.893Z,52,,39.3,,,,
2017-11-06T00:06:15.899Z,52,,38.9,,,,39.6
2017-11-06T00:06:25.894Z,52,,38.8,,,,
2017-11-06T00:06:35.894Z,52,,38.7,,,,
2017-11-06T00:06:55.894Z,52,,38.6,,,,
2017-11-06T00:07:15.894Z,52,,38.3,,,,39.5
2017-11-06T00:07:25.894Z,52,,38.2,,,,
2017-11-06T00:07:35.894Z,52,,38.1,,,,
2017-11-06T00:07:55.893Z,52,,38,,,,
2017-11-06T00:08:15.898Z,52,,37.7,,,,39.4
2017-11-06T00:08:25.894Z,52,,37.6,,,,
2017-11-06T00:08:35.893Z,52,,37.6,,,,
2017-11-06T00:08:55.894Z,52,,37.5,,,,
2017-11-06T00:09:15.898Z,52,,37.2,,,,
2017-11-06T00:09:25.893Z,,,,,,,39.3
2017-11-06T00:09:35.899Z,52,,36.9,,,,
2017-11-06T00:09:55.893Z,52,,36.8,,,,
2017-11-06T00:10:15.894Z,52,,36.6,,,,
2017-11-06T00:10:35.894Z,52,,36.4,,,,
2017-11-06T00:10:45.893Z,,,,,,,39.2
2017-11-06T00:10:55.897Z,52,,36.3,,,,
2017-11-06T00:11:15.894Z,52,,36.1,,,,
2017-11-06T00:11:25.941Z,52,,36,,,,
2017-11-06T00:11:35.893Z,52,,35.9,,,,
2017-11-06T00:11:55.893Z,52,,35.9,,,,
2017-11-06T00:12:05.898Z,,,,,,,39.1
2017-11-06T00:12:15.896Z,52,0,35.6,0,0,5,39.1
2017-11-06T00:12:25.898Z,52,,35.5,,,,
2017-11-06T00:12:45.893Z,,,,,,,39.1
2017-11-06T00:12:55.893Z,52,,35.4,,,,
2017-11-06T00:13:05.893Z,,,,,,,38.9
2017-11-06T00:13:15.894Z,52,,35.2,,,,
2017-11-06T00:13:35.903Z,52,,35.1,,,,
2017-11-06T00:13:55.897Z,52,,34.9,,,,
2017-11-06T00:14:15.897Z,52,,34.7,,,,38.8
2017-11-06T00:14:35.893Z,52,,34.6,,,,
2017-11-06T00:14:55.898Z,52,,34.5,,,,
2017-11-06T00:15:15.894Z,52,,34.3,,,,38.7
2017-11-06T00:15:25.895Z,52,,34.3,,,,
2017-11-06T00:15:35.893Z,52,,34.2,,,,
2017-11-06T00:15:55.896Z,52,,34.1,,,,
2017-11-06T00:16:15.895Z,52,,34,,,,
2017-11-06T00:16:35.893Z,52,,33.9,,,,
2017-11-06T00:16:55.893Z,52,,33.8,,,,
2017-11-06T00:17:05.893Z,,,,,,,38.6
2017-11-06T00:17:15.897Z,52,,33.6,,,,
2017-11-06T00:17:25.896Z,52,,33.6,,,,
2017-11-06T00:17:35.893Z,52,,33.5,,,,
2017-11-06T00:17:55.893Z,52,,33.5,,,,
2017-11-06T00:18:15.897Z,52,,33.3,,,,38.5
2017-11-06T00:18:35.893Z,52,,33.2,,,,
2017-11-06T00:18:55.893Z,52,,33.2,,,,
2017-11-06T00:19:15.893Z,52,,32.9,,,,38.4
2017-11-06T00:19:25.893Z,52,,32.9,,,,
2017-11-06T00:19:35.893Z,52,,32.8,,,,
2017-11-06T00:19:55.897Z,52,,32.8,,,,
