Time,ChActive,HwTOutlet,PrimTSet,PrimT,HwActive,HwTSet,ActPow
2017-11-08T00:00:15.811Z,,24.7,,,,52,
2017-11-08T00:00:25.811Z,,24.7,,,,52,
2017-11-08T00:00:35.811Z,,24.7,,,,52,
2017-11-08T00:00:45.811Z,,24.7,,,,52,
2017-11-08T00:01:15.814Z,,24.7,,,,52,
2017-11-08T00:01:25.813Z,,24.7,,,,52,
2017-11-08T00:01:35.811Z,,24.7,,,,52,
2017-11-08T00:01:45.811Z,,24.7,,,,52,
2017-11-08T00:02:15.812Z,,24.7,,,,52,
2017-11-08T00:02:25.812Z,,24.7,,,,52,
2017-11-08T00:02:35.815Z,,24.5,,,,52,
2017-11-08T00:02:45.811Z,,24.5,,,,52,
2017-11-08T00:03:15.883Z,,24.5,,28.4,,52,
2017-11-08T00:03:25.870Z,,24.5,,,,52,
2017-11-08T00:03:35.811Z,,24.5,,,,52,
2017-11-08T00:03:45.811Z,,24.5,,,,52,
2017-11-08T00:04:15.811Z,,24.5,,28.3,,52,
2017-11-08T00:04:25.811Z,,24.5,,,,52,
2017-11-08T00:04:35.811Z,,24.5,,28.3,,52,
2017-11-08T00:04:45.811Z,,24.5,,,,52,
2017-11-08T00:05:15.811Z,,24.5,,,,52,
2017-11-08T00:05:25.811Z,,24.5,,,,52,
2017-11-08T00:05:35.818Z,,24.5,,,,52,
2017-11-08T00:05:45.811Z,,24.5,,,,52,
2017-11-08T00:06:15.811Z,,24.5,,,,52,
2017-11-08T00:06:25.811Z,,24.4,,,,52,
2017-11-08T00:06:35.824Z,,24.5,,,,52,
2017-11-08T00:06:45.811Z,,24.4,,,,52,
2017-11-08T00:07:15.811Z,,24.4,,,,52,
2017-11-08T00:07:25.812Z,,24.4,,,,52,
2017-11-08T00:07:35.811Z,,24.4,,,,52,
2017-11-08T00:07:45.811Z,,24.4,,,,52,
2017-11-08T00:08:15.816Z,,24.4,,,,52,
2017-11-08T00:08:25.811Z,,24.4,,,,52,
2017-11-08T00:08:35.820Z,,24.4,,,,52,
2017-11-08T00:08:45.811Z,,24.4,,,,52,
2017-11-08T00:09:15.810Z,,24.4,,,,52,
2017-11-08T00:09:25.811Z,,24.4,,,,52,
2017-11-08T00:09:35.810Z,,24.4,,28.2,,52,
2017-11-08T00:09:45.814Z,,24.4,,,,52,
2017-11-08T00:10:15.811Z,,24.4,,28.2,,52,
2017-11-08T00:10:25.810Z,,24.4,,,,52,
2017-11-08T00:10:35.811Z,,24.4,,,,52,
2017-11-08T00:10:45.821Z,,24.4,,,,52,
2017-11-08T00:11:15.811Z,,24.4,,,,52,
2017-11-08T00:11:25.810Z,,24.4,,,,52,
2017-11-08T00:11:35.810Z,,24.3,,,,52,
2017-11-08T00:11:45.811Z,,24.3,,,,52,
2017-11-08T00:12:15.810Z,,24.3,,,,52,
2017-11-08T00:12:25.811Z,,24.3,,,,52,
2017-11-08T00:12:35.811Z,,24.3,,,,52,
2017-11-08T00:12:45.813Z,,24.3,,,,52,
2017-11-08T00:13:15.811Z,,24.3,,,,52,
2017-11-08T00:13:25.822Z,,24.3,,,,52,
2017-11-08T00:13:35.811Z,,24.3,,,,52,
2017-11-08T00:13:45.811Z,,24.3,,,,52,
2017-11-08T00:14:15.811Z,,24.3,,,,52,
2017-11-08T00:14:25.811Z,,24.3,,,,52,
2017-11-08T00:14:35.810Z,,24.3,,,,52,
2017-11-08T00:14:45.815Z,,24.3,,,,52,
2017-11-08T00:15:15.810Z,,24.3,,,,52,
2017-11-08T00:15:25.810Z,,24.3,,,,52,
2017-11-08T00:15:35.811Z,,24.3,,28.1,,52,
2017-11-08T00:15:45.813Z,,24.3,,,,52,
2017-11-08T00:16:05.895Z,0,,5,28.1,0,,0
2017-11-08T00:16:15.842Z,,24.3,,,,52,
2017-11-08T00:16:25.811Z,,24.3,,,,52,
2017-11-08T00:16:35.811Z,,24.3,,,,52,
2017-11-08T00:16:45.810Z,,24.2,,,,52,
2017-11-08T00:17:15.810Z,,24.2,,,,52,
2017-11-08T00:17:25.811Z,,24.2,,,,52,
2017-11-08T00:17:35.814Z,,24.2,,,,52,
2017-11-08T00:17:45.810Z,,24.2,,,,52,
2017-11-08T00:18:15.810Z,,24.2,,,,52,
2017-11-08T00:18:25.813Z,,24.2,,,,52,
2017-11-08T00:18:35.811Z,,24.2,,,,52,
2017-11-08T00:18:45.814Z,,24.2,,,,52,
2017-11-08T00:19:15.861Z,,24.2,,,,52,
2017-11-08T00:19:25.851Z,,24.2,,,,52,
2017-11-08T00:19:35.840Z,,24.2,,,,52,
2017-11-08T00:19:45.833Z,,24.2,,,,52,
2017-11-08T00:19:55.818Z,,24.2,,,,52,
2017-11-08T00:20:15.813Z,,24.2,,,,52,
2017-11-08T00:20:25.815Z,,24.2,,,,52,
2017-11-08T00:20:35.810Z,,24.2,,,,52,
2017-11-08T00:20:45.810Z,,24.2,,,,52,
2017-11-08T00:21:15.816Z,,24.2,,,,52,
2017-11-08T00:21:25.811Z,,24.2,,,,52,
2017-11-08T00:21:35.816Z,,24.2,,,,52,
2017-11-08T00:21:45.810Z,,24,,,,52,
2017-11-08T00:21:55.816Z,,,,28,,,
2017-11-08T00:22:15.810Z,,24.2,,,,52,
2017-11-08T00:22:25.810Z,,24,,,,52,
2017-11-08T00:22:35.811Z,,24,,,,52,
2017-11-08T00:22:45.812Z,,24,,,,52,
2017-11-08T00:23:15.810Z,,24,,,,52,
2017-11-08T00:23:25.890Z,,24,,,,52,
2017-11-08T00:23:35.813Z,,24,,,,52,
2017-11-08T00:23:45.812Z,,24,,,,52,
2017-11-08T00:24:15.815Z,,24,,,,52,
2017-11-08T00:24:25.816Z,,24,,,,52,
