Time,HwActive,PrimT,HwTSet,HwTOutlet,ChActive,PrimTSet,ActPow
2017-11-09T00:00:03.769Z,,31.9,52,28.4,,,
2017-11-09T00:00:13.769Z,,,52,28.3,,,
2017-11-09T00:00:23.770Z,,,52,28.1,,,
2017-11-09T00:00:53.769Z,,,52,28.1,,,
2017-11-09T00:01:03.769Z,,,52,28.1,,,
2017-11-09T00:01:13.769Z,,,52,28.1,,,
2017-11-09T00:01:23.769Z,,,52,28,,,
2017-11-09T00:01:53.770Z,,,52,28,,,
2017-11-09T00:02:03.769Z,,,52,27.9,,,
2017-11-09T00:02:13.769Z,,31.8,52,27.9,,,
2017-11-09T00:02:23.770Z,,,52,27.9,,,
2017-11-09T00:02:33.770Z,,,52,27.8,,,
2017-11-09T00:02:53.771Z,,,52,27.8,,,
2017-11-09T00:03:03.771Z,,,52,27.8,,,
2017-11-09T00:03:13.772Z,,,52,27.7,,,
2017-11-09T00:03:23.773Z,,,52,27.7,,,
2017-11-09T00:03:53.769Z,,,52,27.5,,,
2017-11-09T00:04:03.771Z,,,52,27.5,,,
2017-11-09T00:04:13.769Z,,31.7,52,27.5,,,
2017-11-09T00:04:23.771Z,,,52,27.5,,,
2017-11-09T00:04:33.773Z,,,52,27.4,,,
2017-11-09T00:04:53.769Z,,,52,27.4,,,
2017-11-09T00:05:03.770Z,,,52,27.4,,,
2017-11-09T00:05:13.772Z,,,52,27.4,,,
2017-11-09T00:05:23.772Z,,,52,27.3,,,
2017-11-09T00:05:33.769Z,,,52,27.3,,,
2017-11-09T00:05:53.769Z,,,52,27.3,,,
2017-11-09T00:06:03.769Z,,,52,27.2,,,
2017-11-09T00:06:13.773Z,,31.6,52,27.2,,,
2017-11-09T00:06:33.773Z,,,52,27.2,,,
2017-11-09T00:06:53.773Z,,,52,27.1,,,
2017-11-09T00:07:03.769Z,,,52,27.1,,,
2017-11-09T00:07:13.773Z,,,52,27.1,,,
2017-11-09T00:07:23.773Z,,,52,26.9,,,
2017-11-09T00:07:33.769Z,,,52,26.9,,,
2017-11-09T00:07:53.769Z,,,52,26.9,,,
2017-11-09T00:08:03.774Z,,,52,26.9,,,
2017-11-09T00:08:13.769Z,,,52,26.9,,,
2017-11-09T00:08:23.774Z,,,52,26.8,,,
2017-11-09T00:08:33.774Z,,31.5,52,26.8,,,
2017-11-09T00:08:53.769Z,,31.6,52,26.8,,,
2017-11-09T00:09:03.774Z,,31.5,52,26.8,,,
2017-11-09T00:09:13.769Z,,,52,26.7,,,
2017-11-09T00:09:23.772Z,,,52,26.7,,,
2017-11-09T00:09:33.769Z,,,52,26.7,,,
2017-11-09T00:09:53.769Z,,,52,26.7,,,
2017-11-09T00:10:03.769Z,,,52,26.7,,,
2017-11-09T00:10:13.769Z,,,52,26.6,,,
2017-11-09T00:10:23.769Z,,,52,26.6,,,
2017-11-09T00:10:33.769Z,,,52,26.6,,,
2017-11-09T00:10:53.769Z,,,52,26.6,,,
2017-11-09T00:11:03.769Z,,,52,26.6,,,
2017-11-09T00:11:13.769Z,,31.4,52,26.5,,,
2017-11-09T00:11:23.769Z,,,52,26.5,,,
2017-11-09T00:11:33.769Z,,,52,26.5,,,
2017-11-09T00:11:53.770Z,,,52,26.5,,,
2017-11-09T00:12:03.769Z,,,52,26.5,,,
2017-11-09T00:12:13.769Z,,,52,26.3,,,
2017-11-09T00:12:23.771Z,,,52,26.3,,,
2017-11-09T00:12:33.769Z,,,52,26.3,,,
2017-11-09T00:12:53.769Z,,,52,26.3,,,
2017-11-09T00:13:03.769Z,,,52,26.3,,,
2017-11-09T00:13:13.769Z,,,52,26.2,,,
2017-11-09T00:13:23.769Z,,,52,26.2,,,
2017-11-09T00:13:33.769Z,,,52,26.2,,,
2017-11-09T00:13:53.769Z,,,52,26.2,,,
2017-11-09T00:14:03.769Z,,,52,26.2,,,
2017-11-09T00:14:13.768Z,,,52,26.1,,,
2017-11-09T00:14:23.769Z,,31.3,52,26.1,,,
2017-11-09T00:14:33.772Z,,,52,26.1,,,
2017-11-09T00:14:53.769Z,,,52,26.1,,,
2017-11-09T00:15:03.769Z,,,52,26.1,,,
2017-11-09T00:15:13.769Z,,,52,26,,,
2017-11-09T00:15:33.774Z,,,52,26,,,
2017-11-09T00:15:53.769Z,,,52,26,,,
2017-11-09T00:16:03.769Z,,,52,26,,,
2017-11-09T00:16:13.769Z,,,52,26,,,
2017-11-09T00:16:33.769Z,,,52,25.9,,,
2017-11-09T00:16:53.774Z,,,52,25.9,,,
2017-11-09T00:17:13.770Z,,,52,25.9,,,
2017-11-09T00:17:23.769Z,,31.2,,,,,
2017-11-09T00:17:33.769Z,,,52,25.7,,,
2017-11-09T00:17:53.768Z,,,52,25.7,,,
2017-11-09T00:18:03.769Z,0,31.2,,,0,5,0
2017-11-09T00:18:13.769Z,,,52,25.7,,,
2017-11-09T00:18:33.769Z,,,52,25.7,,,
2017-11-09T00:18:53.769Z,,,52,25.7,,,
2017-11-09T00:19:13.769Z,,,52,25.6,,,
2017-11-09T00:19:33.769Z,,,52,25.6,,,
2017-11-09T00:19:53.768Z,,,52,25.6,,,
2017-11-09T00:20:13.769Z,,,52,25.6,,,
2017-11-09T00:20:23.769Z,,,52,25.6,,,
2017-11-09T00:20:33.769Z,,,52,25.5,,,
2017-11-09T00:20:43.768Z,,31.1,,,,,
2017-11-09T00:20:53.771Z,,,52,25.5,,,
2017-11-09T00:21:13.768Z,,,52,25.5,,,
2017-11-09T00:21:33.769Z,,,52,25.5,,,
2017-11-09T00:21:53.768Z,,,52,25.5,,,
2017-11-09T00:22:13.769Z,,,52,25.4,,,
2017-11-09T00:22:23.768Z,,,52,25.4,,,
2017-11-09T00:22:33.769Z,,,52,25.4,,,
2017-11-09T00:23:03.769Z,,,52,25.4,,,
2017-11-09T00:23:13.774Z,,,52,25.4,,,
2017-11-09T00:23:23.769Z,,,52,25.3,,,
2017-11-09T00:23:33.802Z,,,52,25.3,,,
2017-11-09T00:23:43.768Z,,30.9,52,25.3,,,
2017-11-09T00:23:53.768Z,,30.9,,,,,
2017-11-09T00:24:04.002Z,,31.1,52,25.3,,,
2017-11-09T00:24:13.768Z,,30.9,,,,,
2017-11-09T00:24:23.769Z,,,52,25.3,,,
2017-11-09T00:24:43.769Z,,,52,25.3,,,
2017-11-09T00:25:03.769Z,,,52,25.3,,,
2017-11-09T00:25:13.774Z,,,52,25.1,,,
2017-11-09T00:25:33.769Z,,,52,25.1,,,
2017-11-09T00:26:03.768Z,,,52,25.1,,,
2017-11-09T00:26:13.769Z,,,52,25.1,,,
2017-11-09T00:26:33.771Z,,,52,25.1,,,
2017-11-09T00:27:03.769Z,,30.8,52,25.1,,,
2017-11-09T00:27:13.769Z,,30.9,52,25,,,
2017-11-09T00:27:23.769Z,,30.9,52,25,,,
2017-11-09T00:27:33.770Z,,,52,25,,,
2017-11-09T00:27:43.769Z,,30.8,,,,,
2017-11-09T00:28:03.769Z,,30.8,52,25,,,
2017-11-09T00:28:13.769Z,,,52,25,,,
2017-11-09T00:28:33.768Z,,,52,25,,,
2017-11-09T00:29:03.768Z,,,52,25,,,
2017-11-09T00:29:13.769Z,,,52,24.9,,,
2017-11-09T00:29:23.769Z,,,52,24.9,,,
2017-11-09T00:29:33.769Z,,,52,24.9,,,
2017-11-09T00:30:03.769Z,,,52,24.9,,,
2017-11-09T00:30:13.768Z,,,52,24.9,,,
2017-11-09T00:30:23.768Z,,,52,24.9,,,
2017-11-09T00:30:33.768Z,,,52,24.9,,,
2017-11-09T00:31:03.769Z,,30.7,52,24.9,,,
2017-11-09T00:31:13.769Z,,,52,24.8,,,
2017-11-09T00:31:33.773Z,,,52,24.8,,,
2017-11-09T00:32:03.768Z,,,52,24.8,,,
2017-11-09T00:32:13.769Z,,,52,24.8,,,
2017-11-09T00:32:23.768Z,,,52,24.8,,,
2017-11-09T00:32:33.772Z,,,52,24.8,,,
2017-11-09T00:33:03.768Z,,,52,24.8,,,
2017-11-09T00:33:13.768Z,,,52,24.8,,,
2017-11-09T00:33:23.768Z,,,52,24.8,,,
2017-11-09T00:33:33.773Z,,,52,24.8,,,
2017-11-09T00:34:03.775Z,,,52,24.7,,,
2017-11-09T00:34:13.774Z,,,52,24.7,,,
2017-11-09T00:34:23.768Z,,,52,24.7,,,
2017-11-09T00:34:33.768Z,,,52,24.7,,,
2017-11-09T00:34:43.769Z,,30.6,,,,,
2017-11-09T00:35:03.771Z,,,52,24.7,,,
2017-11-09T00:35:13.768Z,,,52,24.7,,,
2017-11-09T00:35:33.768Z,,,52,24.7,,,
