Time,PrimT,ChActive,PrimTSet,HwActive,HwTSet,ActPow,HwTOutlet
2017-11-12T00:00:03.648Z,40.6,,,,52,,28.9
2017-11-12T00:00:13.647Z,,,,,52,,28.9
2017-11-12T00:00:23.647Z,,,,,52,,28.7
2017-11-12T00:00:33.647Z,,,,,52,,28.7
2017-11-12T00:00:53.648Z,,,,,52,,28.7
2017-11-12T00:01:03.649Z,,,,,52,,28.7
2017-11-12T00:01:13.647Z,,,,,52,,28.7
2017-11-12T00:01:23.647Z,,,,,52,,28.7
2017-11-12T00:01:33.647Z,,,,,52,,28.7
2017-11-12T00:01:53.652Z,,,,,52,,28.7
2017-11-12T00:02:03.647Z,40.5,,,,52,,28.6
2017-11-12T00:02:13.647Z,,,,,52,,28.6
2017-11-12T00:02:23.648Z,,,,,52,,28.6
2017-11-12T00:02:33.647Z,,,,,52,,28.6
2017-11-12T00:02:53.648Z,,,,,52,,28.6
2017-11-12T00:03:03.647Z,,,,,52,,28.6
2017-11-12T00:03:13.647Z,,,,,52,,28.6
2017-11-12T00:03:23.647Z,,,,,52,,28.5
2017-11-12T00:03:33.647Z,,,,,52,,28.5
2017-11-12T00:03:53.647Z,40.4,,,,52,,28.5
2017-11-12T00:04:03.647Z,,,,,52,,28.5
2017-11-12T00:04:13.647Z,,,,,52,,28.5
2017-11-12T00:04:23.647Z,,,,,52,,28.5
2017-11-12T00:04:33.659Z,,,,,52,,28.5
2017-11-12T00:04:53.653Z,,,,,52,,28.5
2017-11-12T00:05:03.647Z,,,,,52,,28.4
2017-11-12T00:05:13.753Z,,,,,52,,28.4
2017-11-12T00:05:23.647Z,,,,,52,,28.4
2017-11-12T00:05:33.670Z,,,,,52,,28.4
2017-11-12T00:05:53.650Z,40.3,,,,52,,28.4
2017-11-12T00:06:03.648Z,,,,,52,,28.4
2017-11-12T00:06:13.647Z,,,,,52,,28.4
2017-11-12T00:06:23.647Z,,,,,52,,28.3
2017-11-12T00:06:33.647Z,,,,,52,,28.3
2017-11-12T00:06:53.647Z,,,,,52,,28.3
2017-11-12T00:07:03.647Z,,,,,52,,28.3
2017-11-12T00:07:13.647Z,,,,,52,,28.3
2017-11-12T00:07:23.647Z,,,,,52,,28.3
2017-11-12T00:07:33.652Z,40.2,,,,52,,28.3
2017-11-12T00:07:53.647Z,,,,,52,,28.3
2017-11-12T00:08:03.651Z,,,,,52,,28.1
2017-11-12T00:08:13.649Z,,,,,52,,28.1
2017-11-12T00:08:23.647Z,,,,,52,,28.1
2017-11-12T00:08:33.647Z,,,,,52,,28.1
2017-11-12T00:08:53.831Z,,,,,52,,28.1
2017-11-12T00:09:03.647Z,,,,,52,,28.1
2017-11-12T00:09:13.649Z,40.1,,,,52,,28.1
2017-11-12T00:09:23.647Z,,,,,52,,28.1
2017-11-12T00:09:33.647Z,,,,,52,,28.1
2017-11-12T00:09:53.652Z,,,,,52,,28
2017-11-12T00:10:03.647Z,,,,,52,,28
2017-11-12T00:10:13.647Z,,,,,52,,28
2017-11-12T00:10:23.648Z,,,,,52,,28
2017-11-12T00:10:33.647Z,,,,,52,,28
2017-11-12T00:10:53.647Z,,,,,52,,28
2017-11-12T00:11:03.647Z,,,,,52,,28
2017-11-12T00:11:13.647Z,40,,,,52,,28
2017-11-12T00:11:23.647Z,,,,,52,,28
2017-11-12T00:11:33.647Z,,,,,52,,28
2017-11-12T00:11:53.647Z,,,,,52,,28
2017-11-12T00:12:03.647Z,,,,,52,,27.9
2017-11-12T00:12:13.647Z,,,,,52,,27.9
2017-11-12T00:12:23.647Z,,,,,52,,27.9
2017-11-12T00:12:33.648Z,,,,,52,,27.9
2017-11-12T00:12:43.647Z,39.9,,,,52,,27.9
2017-11-12T00:12:53.647Z,40,,,,,,
2017-11-12T00:13:03.647Z,39.9,,,,52,,27.9
2017-11-12T00:13:13.651Z,,,,,52,,27.9
2017-11-12T00:13:23.646Z,,0,,2,,,
2017-11-12T00:13:33.648Z,40.8,0,0,0,,,
2017-11-12T00:13:43.647Z,40,0,,0,52,44,36.9
2017-11-12T00:13:53.647Z,39.3,0,,0,,0,
2017-11-12T00:14:03.646Z,,,,,52,,38
2017-11-12T00:14:13.650Z,39.2,,,,,,
2017-11-12T00:14:23.649Z,,,,,52,,37.9
2017-11-12T00:14:33.648Z,,,,,52,,37.8
2017-11-12T00:14:53.648Z,,,5,,52,,37.7
2017-11-12T00:15:03.647Z,39.1,,,,52,,37.4
2017-11-12T00:15:13.651Z,,,,,52,,37.3
2017-11-12T00:15:23.647Z,,,,,52,,37.1
2017-11-12T00:15:33.647Z,,,,,52,,36.9
2017-11-12T00:15:43.648Z,39.1,,,,,,
2017-11-12T00:15:53.647Z,38.9,,,,,,
2017-11-12T00:16:03.647Z,,,,,52,,36.7
2017-11-12T00:16:13.647Z,,,,,52,,36.6
2017-11-12T00:16:23.647Z,,,,,52,,36.4
2017-11-12T00:16:33.647Z,,,,,52,,36.4
2017-11-12T00:16:53.647Z,,,,,52,,36.3
2017-11-12T00:17:03.647Z,38.8,,,,52,,36.1
2017-11-12T00:17:13.647Z,,,,,52,,36.1
2017-11-12T00:17:23.651Z,,,,,52,,36
2017-11-12T00:17:33.650Z,,,,,52,,35.9
2017-11-12T00:17:53.647Z,,,,,52,,35.8
2017-11-12T00:18:03.650Z,,,,,52,,35.6
2017-11-12T00:18:13.650Z,,,,,52,,35.6
2017-11-12T00:18:23.647Z,,,,,52,,35.5
2017-11-12T00:18:33.647Z,38.7,,,,52,,35.4
2017-11-12T00:18:53.687Z,,,,,52,,35.3
2017-11-12T00:19:03.651Z,,,,,52,,35.2
2017-11-12T00:19:13.646Z,,,,,52,,35.1
2017-11-12T00:19:23.651Z,,,,,52,,34.9
2017-11-12T00:19:33.647Z,,,,,52,,34.8
2017-11-12T00:19:53.647Z,,,,,52,,34.8
