Time,HwTSet,PrimTSet,ActPow,HwTOutlet,ChActive,PrimT,HwActive
2017-11-16T00:00:03.573Z,52,,,24.8,,,
2017-11-16T00:00:23.493Z,52,,,24.8,,,
2017-11-16T00:00:33.493Z,52,,,24.8,,,
2017-11-16T00:00:43.506Z,52,0,,24.8,0,29.2,2
2017-11-16T00:00:53.492Z,52,,29,27.8,0,30.1,0
2017-11-16T00:01:03.573Z,52,,,30.8,0,30.7,2
2017-11-16T00:01:13.493Z,,,30,,0,30.9,2
2017-11-16T00:01:23.492Z,52,,,31,,31.4,
2017-11-16T00:01:33.493Z,,,0,,0,31.7,0
2017-11-16T00:01:43.493Z,52,,,31,,31.6,
2017-11-16T00:01:53.493Z,,,,,,31.5,
2017-11-16T00:02:13.493Z,52,,,30.9,,,
2017-11-16T00:02:23.493Z,52,,,30.9,,,
2017-11-16T00:02:43.493Z,52,58,,30.8,1,,0
2017-11-16T00:02:53.493Z,52,,,30.8,,,
2017-11-16T00:03:13.493Z,52,,,30.7,,,
2017-11-16T00:03:33.492Z,52,,,30.7,,31.4,
2017-11-16T00:03:43.493Z,52,,,30.6,,,
2017-11-16T00:03:53.493Z,52,,,30.4,,,
2017-11-16T00:04:03.573Z,52,0,,30.4,0,,2
2017-11-16T00:04:13.493Z,52,,44,31.6,0,31.3,2
2017-11-16T00:04:23.493Z,,,,,,34.3,
2017-11-16T00:04:33.494Z,52,,0,34.1,0,35.3,0
2017-11-16T00:04:43.493Z,52,,,34.8,0,35.1,2
2017-11-16T00:04:53.495Z,52,,,34.3,0,34.8,2
2017-11-16T00:05:03.573Z,52,,45,36.3,,37.5,
2017-11-16T00:05:13.494Z,52,,77,39.5,,42.6,
2017-11-16T00:05:23.493Z,52,,75,42.9,,45,
2017-11-16T00:05:33.515Z,,,58,,0,46.9,0
2017-11-16T00:05:43.493Z,52,,0,44.8,0,46.6,0
2017-11-16T00:05:53.494Z,52,,,44.3,,46.4,
2017-11-16T00:06:03.573Z,,,,,,46.2,
2017-11-16T00:06:13.493Z,52,,,44.2,0,46.5,2
2017-11-16T00:06:23.493Z,52,,32,44.1,0,46,2
2017-11-16T00:06:33.493Z,52,,62,45.8,0,46.3,0
2017-11-16T00:06:43.492Z,52,,0,45.3,0,45.6,0
2017-11-16T00:06:53.492Z,52,,,44.9,,45.5,
2017-11-16T00:07:03.572Z,52,,,44.9,,45.3,
2017-11-16T00:07:23.495Z,52,,,44.8,,45.2,
2017-11-16T00:07:33.493Z,52,,,44.6,,,
2017-11-16T00:07:43.498Z,52,58,,44.2,1,,0
2017-11-16T00:07:53.493Z,52,,,44.1,,,
2017-11-16T00:08:03.573Z,52,,,43.9,,,
2017-11-16T00:08:23.493Z,52,,,43.8,,,
2017-11-16T00:08:43.516Z,52,,,43.4,,,
2017-11-16T00:09:03.572Z,52,,,43.1,,,
2017-11-16T00:09:23.495Z,52,,,43,,,
2017-11-16T00:09:43.492Z,52,,,42.6,,45.1,
2017-11-16T00:09:53.496Z,52,,,42.4,,,
2017-11-16T00:10:03.576Z,52,,,42.3,,,
2017-11-16T00:10:33.493Z,52,,,41.9,,45,
2017-11-16T00:10:43.493Z,52,,,41.8,,,
2017-11-16T00:10:53.493Z,52,,,41.7,,44.9,
2017-11-16T00:11:03.572Z,,,,,,44.9,
2017-11-16T00:11:13.493Z,52,,,41.5,,,
2017-11-16T00:11:33.492Z,52,,,41.3,,,
2017-11-16T00:11:43.492Z,52,,,41.2,,44.8,
2017-11-16T00:11:53.493Z,52,,,40.8,,,
2017-11-16T00:12:03.573Z,52,,,40.7,,,
2017-11-16T00:12:33.493Z,52,,,40.6,,44.7,
2017-11-16T00:12:43.494Z,52,,,40.2,,44.6,
2017-11-16T00:12:53.494Z,52,,,40.1,,,
2017-11-16T00:13:03.572Z,52,,,40,,,
2017-11-16T00:13:33.493Z,52,,,39.9,,44.5,
2017-11-16T00:13:43.493Z,52,,,39.6,,,
2017-11-16T00:13:53.496Z,,,,,,44.4,
2017-11-16T00:14:03.573Z,52,,,39.3,,,
2017-11-16T00:14:33.495Z,52,,,39.3,,44.3,
2017-11-16T00:14:43.492Z,52,,,39.1,,,
2017-11-16T00:14:53.495Z,52,,,38.9,,44.2,
2017-11-16T00:15:03.613Z,52,,,38.7,,,
2017-11-16T00:15:33.493Z,52,,,38.6,,44.1,
2017-11-16T00:15:43.492Z,52,,,38.3,,44,
2017-11-16T00:15:53.496Z,52,,,38.2,,,
2017-11-16T00:16:03.573Z,52,,,38.1,,,
2017-11-16T00:16:23.497Z,,,,,,43.9,
2017-11-16T00:16:33.496Z,52,,,37.9,,,
2017-11-16T00:16:43.496Z,52,,,37.8,,,
2017-11-16T00:16:53.496Z,52,,,37.7,,43.8,
