Time,HwActive,PrimTSet,HwTSet,HwTOutlet,ActPow,ChActive,PrimT
2017-11-18T00:00:13.420Z,,,52,32.3,,,35.1
2017-11-18T00:00:23.419Z,,,,,,,34.9
2017-11-18T00:00:33.422Z,,,52,32.2,,,
2017-11-18T00:00:53.420Z,,,52,32.2,,,
2017-11-18T00:01:03.500Z,,,,,,,34.8
2017-11-18T00:01:13.449Z,,,52,32.1,,,
2017-11-18T00:01:23.420Z,,,52,32.1,,,
2017-11-18T00:01:43.419Z,,,52,32,,,
2017-11-18T00:01:53.422Z,,,52,32,,,34.7
2017-11-18T00:02:03.499Z,,,52,31.9,,,
2017-11-18T00:02:13.420Z,,,52,31.9,,,34.6
2017-11-18T00:02:23.424Z,,,52,31.9,,,
2017-11-18T00:02:43.421Z,,,52,31.8,,,
2017-11-18T00:02:53.419Z,,,52,31.8,,,
2017-11-18T00:03:03.500Z,,,52,31.8,,,
2017-11-18T00:03:13.419Z,,,,,,,34.5
2017-11-18T00:03:23.426Z,,,52,31.6,,,
2017-11-18T00:03:43.419Z,,,52,31.6,,,
2017-11-18T00:03:53.419Z,,,52,31.5,,,34.4
2017-11-18T00:04:03.511Z,,,52,31.5,,,
2017-11-18T00:04:23.421Z,,,52,31.4,,,
2017-11-18T00:04:43.419Z,,,52,31.4,,,
2017-11-18T00:04:53.419Z,,,52,31.3,,,34.3
2017-11-18T00:05:03.500Z,,,52,31.3,,,
2017-11-18T00:05:23.419Z,,,52,31.3,,,
2017-11-18T00:05:43.419Z,,,52,31.2,,,
2017-11-18T00:05:53.420Z,,,52,31.2,,,34.2
2017-11-18T00:06:03.499Z,,,52,31,,,
2017-11-18T00:06:23.423Z,,,52,31,,,
2017-11-18T00:06:43.425Z,,,52,31,,,
2017-11-18T00:06:53.425Z,,,52,30.9,,,34.1
2017-11-18T00:07:03.504Z,,,52,30.9,,,
2017-11-18T00:07:23.420Z,,,52,30.9,,,
2017-11-18T00:07:43.419Z,,,52,30.8,,,
2017-11-18T00:07:53.424Z,,,52,30.8,,,34
2017-11-18T00:08:03.506Z,,,52,30.8,,,
2017-11-18T00:08:23.419Z,,,52,30.7,,,
2017-11-18T00:08:43.419Z,,,52,30.7,,,
2017-11-18T00:08:53.420Z,,,52,30.6,,,
2017-11-18T00:09:03.505Z,,,52,30.6,,,
2017-11-18T00:09:13.419Z,,,,,,,33.9
2017-11-18T00:09:23.419Z,,,52,30.6,,,
2017-11-18T00:09:33.419Z,,,,,,,34
2017-11-18T00:09:43.419Z,,,,,,,33.9
2017-11-18T00:09:53.419Z,,,52,30.4,,,
2017-11-18T00:10:13.420Z,,,52,30.4,,,
2017-11-18T00:10:23.424Z,,,52,30.4,,,
