Time,HwTOutlet,HwTSet,ActPow,PrimTSet,ChActive,PrimT,HwActive
2017-11-19T00:00:03.463Z,,,,,,37.2,
2017-11-19T00:00:13.384Z,34.8,52,,,,,
2017-11-19T00:00:23.391Z,34.8,52,,,,,
2017-11-19T00:00:33.402Z,34.6,52,,5,,37.1,
2017-11-19T00:00:43.384Z,34.6,52,,0,0,36.9,2
2017-11-19T00:00:53.383Z,35.6,52,,,,,
2017-11-19T00:01:03.464Z,,,0,,0,36.7,0
2017-11-19T00:01:13.390Z,,,,,0,36.8,0
2017-11-19T00:01:23.384Z,35.7,52,,,,36.7,
2017-11-19T00:01:33.386Z,35.5,52,,,,36.6,
2017-11-19T00:01:43.383Z,35.4,52,,,,,
2017-11-19T00:02:03.463Z,35.4,52,,,,,
2017-11-19T00:02:23.383Z,35.4,52,,5,,,
2017-11-19T00:02:33.384Z,35.2,52,,58,1,,0
2017-11-19T00:02:43.384Z,35.2,52,,,,36.5,
2017-11-19T00:02:53.489Z,35.1,52,,,,,
2017-11-19T00:03:03.426Z,35.1,52,,,,,
2017-11-19T00:03:23.384Z,35.1,52,,,,,
2017-11-19T00:03:33.383Z,34.9,52,,5,0,,0
2017-11-19T00:03:43.385Z,34.8,52,,,,,
2017-11-19T00:04:03.527Z,34.7,52,,,,,
2017-11-19T00:04:23.383Z,34.7,52,,,,,
2017-11-19T00:04:33.383Z,34.6,52,,,,36.4,
2017-11-19T00:04:43.383Z,34.5,52,,,,,
2017-11-19T00:04:53.383Z,34.5,52,,,,,
2017-11-19T00:05:03.463Z,34.4,52,,,,,
2017-11-19T00:05:23.383Z,34.4,52,,,,,
2017-11-19T00:05:33.438Z,34.3,52,,,,,
2017-11-19T00:05:43.418Z,34.2,52,,,,,
2017-11-19T00:05:53.384Z,34.2,52,,,,,
2017-11-19T00:06:03.498Z,34.2,52,,,,,
2017-11-19T00:06:23.383Z,34.1,52,,,,,
2017-11-19T00:06:33.384Z,34,52,,,,,
2017-11-19T00:06:43.388Z,34,52,,,,,
2017-11-19T00:07:03.465Z,33.9,52,,,,,
2017-11-19T00:07:13.383Z,,,,,,36.3,
2017-11-19T00:07:23.383Z,33.8,52,,,,,
2017-11-19T00:07:33.384Z,33.8,52,,,,,
2017-11-19T00:07:43.385Z,33.7,52,,,,,
2017-11-19T00:07:53.383Z,33.6,52,,,,,
2017-11-19T00:08:03.469Z,33.6,52,,,,,
2017-11-19T00:08:23.386Z,33.6,52,,,,,
2017-11-19T00:08:33.391Z,33.5,52,,,,,
2017-11-19T00:08:43.385Z,33.5,52,,,,,
2017-11-19T00:08:53.383Z,33.4,52,,,,,
2017-11-19T00:09:03.464Z,33.4,52,,,,,
2017-11-19T00:09:23.386Z,33.3,52,,,,,
2017-11-19T00:09:33.385Z,33.3,52,,,,36.2,
2017-11-19T00:09:43.383Z,33.2,52,,,,,
2017-11-19T00:10:03.463Z,33.2,52,,,,,
2017-11-19T00:10:23.385Z,33.1,52,,,,,
2017-11-19T00:10:33.388Z,32.9,52,,,,,
2017-11-19T00:10:43.383Z,32.9,52,,,,36.1,
2017-11-19T00:10:53.384Z,32.9,52,,,,,
2017-11-19T00:11:03.463Z,32.8,52,,,,,
2017-11-19T00:11:23.383Z,32.8,52,,,,,
2017-11-19T00:11:33.384Z,32.7,52,,,,,
2017-11-19T00:11:43.388Z,32.7,52,,,,,
2017-11-19T00:11:53.383Z,32.7,52,,58,1,36,0
2017-11-19T00:12:13.383Z,32.6,52,,,,,
2017-11-19T00:12:23.383Z,32.6,52,,5,0,,0
2017-11-19T00:12:33.383Z,32.5,52,,58,1,,0
2017-11-19T00:12:43.383Z,32.5,52,,5,0,,0
2017-11-19T00:12:53.389Z,32.4,52,,58,1,,0
2017-11-19T00:13:03.464Z,32.4,52,,,,36,
2017-11-19T00:13:13.383Z,,,,,,35.9,
2017-11-19T00:13:23.387Z,32.4,52,,,,,
2017-11-19T00:13:33.386Z,32.3,52,,,,35.9,
2017-11-19T00:13:43.402Z,32.3,52,,,,,
2017-11-19T00:13:53.394Z,32.3,52,,,,,
2017-11-19T00:14:13.386Z,32.2,52,,,,,
2017-11-19T00:14:33.394Z,32.1,52,,,,,
2017-11-19T00:14:43.393Z,,,,,,35.8,
2017-11-19T00:14:53.393Z,32.1,52,,,,,
2017-11-19T00:15:03.465Z,32,52,,,,,
2017-11-19T00:15:23.384Z,32,52,,,,,
2017-11-19T00:15:33.395Z,32,52,,,,,
2017-11-19T00:15:43.394Z,31.9,52,,,,,
2017-11-19T00:15:53.397Z,31.9,52,,,,,
2017-11-19T00:16:03.463Z,31.9,52,,,,,
2017-11-19T00:16:23.387Z,31.8,52,,,,,
2017-11-19T00:16:33.393Z,31.8,52,,,,35.7,
2017-11-19T00:16:43.393Z,31.8,52,,,,,
2017-11-19T00:17:03.467Z,31.6,52,,,,,
2017-11-19T00:17:23.388Z,31.6,52,,,,,
2017-11-19T00:17:33.392Z,31.5,52,,,,,
2017-11-19T00:17:43.390Z,31.5,52,,,,,
2017-11-19T00:18:03.464Z,31.5,52,,,,,
2017-11-19T00:18:23.388Z,31.4,52,,,,,
2017-11-19T00:18:33.392Z,31.4,52,,,,35.6,
2017-11-19T00:18:43.390Z,31.3,52,,,,,
2017-11-19T00:18:53.391Z,31.3,52,,,,,
2017-11-19T00:19:03.467Z,31.3,52,,,,,
2017-11-19T00:19:23.383Z,31.3,52,,,,,
2017-11-19T00:19:33.404Z,31.2,52,,,,,
2017-11-19T00:19:43.391Z,31.2,52,,,,,
2017-11-19T00:19:53.390Z,31.2,52,,,,,
2017-11-19T00:20:03.502Z,31,52,,,,,
2017-11-19T00:20:23.383Z,31,52,,,,,
2017-11-19T00:20:33.390Z,31,52,,,,35.5,
2017-11-19T00:20:43.393Z,31,52,,,,,
2017-11-19T00:20:53.391Z,30.9,52,,,,,
2017-11-19T00:21:03.473Z,30.9,52,,,,,
2017-11-19T00:21:23.434Z,30.9,52,,,,,
2017-11-19T00:21:33.414Z,30.8,52,,,,,
2017-11-19T00:21:43.390Z,30.8,52,,,,,
2017-11-19T00:22:03.463Z,30.8,52,,,,,
2017-11-19T00:22:23.384Z,30.8,52,,,,,
2017-11-19T00:22:33.389Z,30.7,52,,,,,
2017-11-19T00:22:43.391Z,30.7,52,,,,,
2017-11-19T00:22:53.390Z,,,,,,35.4,
2017-11-19T00:23:03.463Z,30.6,52,,,,,
2017-11-19T00:23:23.384Z,30.6,52,,,,,
2017-11-19T00:23:33.394Z,30.6,52,45,,1,35.8,0
2017-11-19T00:23:43.394Z,,,34,,,41.4,
2017-11-19T00:23:53.395Z,30.4,52,,,,,
2017-11-19T00:24:03.463Z,,,29,,,38.2,
2017-11-19T00:24:13.399Z,30.4,52,,,,36.8,
2017-11-19T00:24:23.384Z,,,,,,35.6,
2017-11-19T00:24:33.392Z,30.4,52,30,,,32.9,
2017-11-19T00:24:43.390Z,30.3,52,29,,,32.3,
2017-11-19T00:24:53.394Z,,,30,,,32.2,
2017-11-19T00:25:03.463Z,30.3,52,,,,,
2017-11-19T00:25:13.388Z,,,29,,,32.7,
2017-11-19T00:25:23.383Z,30.3,52,,,,33.2,
2017-11-19T00:25:33.389Z,30.3,52,29,,,33.7,
2017-11-19T00:25:43.389Z,30.2,52,30,,,33.8,
2017-11-19T00:25:53.389Z,,,29,,,34,
2017-11-19T00:26:03.463Z,30.2,52,,,,,
2017-11-19T00:26:13.389Z,,,30,,,34.2,
2017-11-19T00:26:23.387Z,30.2,52,29,,,34.4,
2017-11-19T00:26:33.387Z,30.2,52,30,,,34.9,
2017-11-19T00:26:43.393Z,,,29,,,35.2,
2017-11-19T00:26:53.389Z,30.1,52,30,,,35.4,
