Time,HwTSet,PrimTSet,HwActive,ChActive,PrimT,ActPow,HwTOutlet
2017-11-20T00:00:03.427Z,52,,,,35.5,,36.1
2017-11-20T00:00:13.348Z,52,,,,31.7,30,36
2017-11-20T00:00:23.349Z,52,,,,,,35.9
2017-11-20T00:00:33.348Z,,,,,31.5,29,
2017-11-20T00:00:43.347Z,52,,,,,,35.8
2017-11-20T00:00:53.348Z,,,,,32,30,
2017-11-20T00:01:03.431Z,52,,,,32.4,,35.7
2017-11-20T00:01:13.349Z,52,,,,33.1,29,35.6
2017-11-20T00:01:23.347Z,52,,,,,,35.5
2017-11-20T00:01:33.365Z,52,,,,33.2,,35.4
2017-11-20T00:01:43.352Z,52,,,,,,35.4
2017-11-20T00:01:53.347Z,,,,,33.4,,
2017-11-20T00:02:03.438Z,52,,,,33.6,30,35.3
2017-11-20T00:02:13.349Z,52,,,,34.1,29,35.2
2017-11-20T00:02:23.348Z,52,,,,34.3,,35.1
2017-11-20T00:02:33.348Z,52,,,,34.7,30,34.9
2017-11-20T00:02:53.348Z,52,,,,,,34.9
2017-11-20T00:03:03.427Z,52,,,,35.1,29,34.8
2017-11-20T00:03:13.347Z,52,,,,35.5,,34.7
2017-11-20T00:03:23.347Z,52,,,,35.9,30,34.6
2017-11-20T00:03:33.348Z,52,,,,36,29,34.5
2017-11-20T00:03:43.351Z,,,,,36.1,,
2017-11-20T00:03:53.347Z,52,,,,,,34.5
2017-11-20T00:04:03.427Z,52,,,,36.3,,34.4
2017-11-20T00:04:13.348Z,52,,,,36.8,30,34.3
2017-11-20T00:04:23.347Z,52,,,,,,34.2
2017-11-20T00:04:33.347Z,,,,,37.1,29,
2017-11-20T00:04:43.347Z,,,,,37.2,,
2017-11-20T00:04:53.353Z,52,,,,,,34.2
2017-11-20T00:05:03.427Z,52,,,,37.4,30,34.1
2017-11-20T00:05:13.348Z,52,,,,37.7,29,34
2017-11-20T00:05:23.347Z,52,,,,37.9,,34
2017-11-20T00:05:33.350Z,,,,,38,,
2017-11-20T00:05:43.347Z,52,,,,,,33.9
2017-11-20T00:05:53.353Z,,,,,38.2,,
2017-11-20T00:06:03.428Z,52,,,,38.5,29,33.8
2017-11-20T00:06:13.349Z,52,,,,39.1,,33.7
2017-11-20T00:06:23.353Z,52,,0,2,38.8,,33.6
2017-11-20T00:06:33.359Z,,,,,37.4,,
2017-11-20T00:06:43.347Z,52,,,,,,33.6
2017-11-20T00:06:53.350Z,,,,,35.3,,
2017-11-20T00:07:03.428Z,52,,,,34.9,,33.6
2017-11-20T00:07:13.348Z,52,,,,34.2,,33.5
2017-11-20T00:07:23.347Z,52,,,,34.1,,33.4
2017-11-20T00:07:33.347Z,52,,,,,,33.4
2017-11-20T00:07:53.348Z,52,,,,,,33.4
2017-11-20T00:08:03.428Z,52,,,,,,33.3
2017-11-20T00:08:13.348Z,52,,,,33.9,,33.3
2017-11-20T00:08:33.347Z,52,,,,33.8,,33.2
2017-11-20T00:08:43.347Z,52,,,,,,33.1
2017-11-20T00:09:03.428Z,52,,,,,,33.1
2017-11-20T00:09:13.352Z,52,,,,,,32.9
2017-11-20T00:09:23.347Z,,,,,33.7,,
2017-11-20T00:09:33.348Z,52,,,,,,32.9
2017-11-20T00:09:53.347Z,52,,,,,,32.8
2017-11-20T00:10:13.350Z,52,,,,,,32.7
2017-11-20T00:10:23.347Z,52,,,,,,32.7
2017-11-20T00:10:33.366Z,52,,,,,,32.7
2017-11-20T00:10:43.347Z,52,,,,,,32.6
2017-11-20T00:11:03.429Z,52,,,,,,32.6
2017-11-20T00:11:13.347Z,52,,,,,,32.5
2017-11-20T00:11:23.347Z,52,,,,,,32.5
2017-11-20T00:11:33.347Z,52,,,,,,32.5
2017-11-20T00:11:43.347Z,52,,,,,,32.4
2017-11-20T00:12:03.430Z,52,,,,,,32.4
2017-11-20T00:12:13.376Z,52,,,,,,32.4
2017-11-20T00:12:23.351Z,52,,,,,,32.3
2017-11-20T00:12:43.349Z,52,,,,,,32.3
2017-11-20T00:13:03.427Z,52,,,,,,32.2
2017-11-20T00:13:13.349Z,52,,,,33.8,,32.2
2017-11-20T00:13:23.347Z,52,,,,,,32.1
2017-11-20T00:13:33.352Z,52,,,,,,32.1
2017-11-20T00:13:43.347Z,52,,,,,,32.1
2017-11-20T00:14:03.427Z,52,,,,,,32.1
2017-11-20T00:14:13.362Z,52,,,,,,32
2017-11-20T00:14:23.350Z,52,,,,,,32
2017-11-20T00:14:43.347Z,52,,,,,,31.9
2017-11-20T00:14:53.349Z,,,,,33.9,,
2017-11-20T00:15:03.427Z,52,,,,,,31.9
2017-11-20T00:15:13.355Z,52,,,,33.9,,31.8
2017-11-20T00:15:23.368Z,52,,,,,,31.8
2017-11-20T00:15:43.349Z,52,,,,,,31.8
2017-11-20T00:16:03.430Z,52,,,,,,31.6
2017-11-20T00:16:13.353Z,52,,,,,,31.6
2017-11-20T00:16:23.347Z,52,,,,,,31.5
2017-11-20T00:16:33.347Z,52,,,,,,31.5
2017-11-20T00:16:43.347Z,52,,,,,,31.5
2017-11-20T00:17:03.427Z,52,,,,,,31.5
2017-11-20T00:17:13.347Z,52,5,0,0,,,31.4
2017-11-20T00:17:23.350Z,52,58,0,2,,,31.4
2017-11-20T00:17:33.355Z,,5,0,0,,,
2017-11-20T00:17:53.347Z,52,58,0,2,,,31.3
2017-11-20T00:18:03.427Z,52,5,0,0,,,31.3
2017-11-20T00:18:13.347Z,52,,,,,,31.3
2017-11-20T00:18:23.352Z,52,58,0,2,,,31.2
2017-11-20T00:18:33.353Z,52,,,,,,31.2
2017-11-20T00:18:43.349Z,52,5,0,0,34,,31.2
2017-11-20T00:18:53.347Z,52,,,,34,,31.2
2017-11-20T00:19:03.427Z,52,,,,33.9,,31
2017-11-20T00:19:13.347Z,52,,,,34,,31
2017-11-20T00:19:23.348Z,,,,,34,,
2017-11-20T00:19:33.349Z,52,,,,33.9,,31
2017-11-20T00:19:43.347Z,,,,,34,,
2017-11-20T00:19:53.346Z,52,,,,,,31
2017-11-20T00:20:13.351Z,52,,,,,,30.9
2017-11-20T00:20:33.347Z,52,,,,,,30.9
2017-11-20T00:20:43.349Z,52,,,,,,30.8
2017-11-20T00:21:03.427Z,52,,,,,,30.8
2017-11-20T00:21:13.347Z,52,,,,,,30.8
2017-11-20T00:21:23.352Z,52,,,,,,30.8
2017-11-20T00:21:33.348Z,52,,,,,,30.7
2017-11-20T00:21:43.347Z,52,,,,,,30.7
2017-11-20T00:22:03.432Z,52,,,,,,30.7
2017-11-20T00:22:13.348Z,52,,,,,,30.7
2017-11-20T00:22:23.347Z,52,,,,,,30.6
2017-11-20T00:22:43.347Z,52,,,,,,30.6
2017-11-20T00:23:03.426Z,52,,,,,,30.6
2017-11-20T00:23:13.349Z,52,,,,34.1,,30.4
2017-11-20T00:23:23.348Z,52,,,,,,30.4
2017-11-20T00:23:43.352Z,52,,,,,,30.4
2017-11-20T00:24:03.428Z,52,,,,,,30.4
2017-11-20T00:24:13.349Z,52,,,,,,30.4
2017-11-20T00:24:23.352Z,52,,,,,,30.3
2017-11-20T00:24:43.346Z,52,,,,,,30.3
2017-11-20T00:25:03.426Z,52,,,,,,30.3
2017-11-20T00:25:13.354Z,52,,,,,,30.2
2017-11-20T00:25:23.352Z,52,,,,,,30.2
2017-11-20T00:25:33.401Z,52,,,,,,30.2
2017-11-20T00:25:43.349Z,52,,,,,,30.2
2017-11-20T00:26:03.467Z,52,,,,,,30.2
2017-11-20T00:26:13.351Z,52,,,,,,30.1
2017-11-20T00:26:23.350Z,52,,,,,,30.1
2017-11-20T00:26:43.348Z,52,,,,,,30.1
2017-11-20T00:27:03.430Z,52,,,,,,30.1
2017-11-20T00:27:13.350Z,52,,,,34.2,,30
2017-11-20T00:27:23.370Z,52,,,,,,30
2017-11-20T00:27:43.352Z,52,,,,,,30
2017-11-20T00:28:03.430Z,52,,,,,,30
2017-11-20T00:28:13.350Z,52,,,,,,29.8
2017-11-20T00:28:23.352Z,52,,,,,,29.8
2017-11-20T00:28:33.346Z,52,,,,,,29.8
2017-11-20T00:28:43.352Z,52,,,,,,29.8
2017-11-20T00:29:03.429Z,52,,,,,,29.8
2017-11-20T00:29:13.346Z,52,,,,,,29.8
2017-11-20T00:29:23.346Z,52,,,,,,29.7
2017-11-20T00:29:43.351Z,52,,,,,,29.7
2017-11-20T00:30:03.426Z,52,,,,,,29.7
2017-11-20T00:30:13.354Z,52,,,,,,29.7
2017-11-20T00:30:23.376Z,52,,,,,,29.6
2017-11-20T00:30:43.351Z,52,,,,,,29.6
2017-11-20T00:31:03.440Z,52,,,,,,29.6
2017-11-20T00:31:13.350Z,52,,,,,,29.6
2017-11-20T00:31:23.346Z,52,,,,,,29.6
2017-11-20T00:31:33.347Z,52,,,,,,29.5
2017-11-20T00:31:43.352Z,52,,,,,,29.5
2017-11-20T00:32:03.431Z,52,,,,,,29.5
2017-11-20T00:32:13.349Z,52,,,,,,29.5
2017-11-20T00:32:23.346Z,52,,,,,,29.5
2017-11-20T00:32:43.352Z,52,,,,,,29.5
2017-11-20T00:33:03.426Z,52,,,,,,29.5
2017-11-20T00:33:13.347Z,52,,,,34.1,,29.3
2017-11-20T00:33:23.346Z,52,,,,,,29.3
2017-11-20T00:33:33.350Z,52,,,,,,29.3
2017-11-20T00:33:43.347Z,52,,,,,,29.3
2017-11-20T00:34:03.426Z,52,,,,,,29.3
2017-11-20T00:34:13.346Z,52,,,,,,29.2
2017-11-20T00:34:23.346Z,52,,,,,,29.2
2017-11-20T00:34:43.347Z,52,,,,,,29.2
2017-11-20T00:35:03.429Z,52,,,,,,29.2
2017-11-20T00:35:13.346Z,52,,,,,,29.2
2017-11-20T00:35:23.347Z,52,,,,,,29.2
2017-11-20T00:35:33.346Z,,,,,34,,
2017-11-20T00:35:43.347Z,52,,,,,,29.1
2017-11-20T00:36:03.426Z,52,,,,,,29.1
2017-11-20T00:36:13.346Z,52,,,,,,29.1
2017-11-20T00:36:23.350Z,52,,,,,,29.1
2017-11-20T00:36:53.346Z,,,,,34,,
2017-11-20T00:37:03.437Z,,,,,33.9,,
2017-11-20T00:37:13.347Z,52,,,,,,29
2017-11-20T00:37:33.346Z,52,,,,,,29
2017-11-20T00:37:43.349Z,52,,,,,,29
2017-11-20T00:38:03.426Z,52,,,,,,29
2017-11-20T00:38:13.347Z,52,,,,33.8,,29
2017-11-20T00:38:23.350Z,52,,,,,,28.9
2017-11-20T00:38:33.346Z,52,,,,,,28.9
2017-11-20T00:38:43.346Z,52,,,,,,28.9
2017-11-20T00:39:03.427Z,52,,,,,,28.9
2017-11-20T00:39:13.347Z,52,,,,,,28.9
2017-11-20T00:39:23.346Z,52,,,,,,28.9
2017-11-20T00:39:33.346Z,52,58,0,2,33.7,0,28.9
2017-11-20T00:39:53.346Z,52,5,0,0,,,28.7
