Time,ActPow,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,HwTSet
2017-11-21T00:00:01.337Z,,,,,,32.8,52
2017-11-21T00:00:21.313Z,,,,,,32.7,52
2017-11-21T00:00:51.313Z,,,,,,32.6,52
2017-11-21T00:01:01.312Z,,,,,39.3,,
2017-11-21T00:01:11.311Z,,,,,,32.5,52
2017-11-21T00:01:21.313Z,,,,,,32.4,52
2017-11-21T00:01:51.320Z,,,,,,32.3,52
2017-11-21T00:02:11.312Z,,,,,39.2,32.2,52
2017-11-21T00:02:21.731Z,,,,,,32.1,52
2017-11-21T00:02:51.326Z,,,,,,32,52
2017-11-21T00:03:01.312Z,,,,,,32,52
2017-11-21T00:03:21.315Z,,,,,,31.9,52
2017-11-21T00:03:51.312Z,,,,,39.1,31.8,52
2017-11-21T00:04:11.317Z,,,,,,31.6,52
2017-11-21T00:04:21.312Z,,,,,,31.5,52
2017-11-21T00:04:41.392Z,,,,,,31.5,52
2017-11-21T00:04:51.322Z,,,,,,31.4,52
2017-11-21T00:05:01.312Z,,,,,38.9,,
2017-11-21T00:05:11.323Z,,,,,,31.4,52
2017-11-21T00:05:31.312Z,,,,,,31.3,52
2017-11-21T00:05:51.312Z,,,,,,31.2,52
2017-11-21T00:06:01.312Z,,,,,,31.2,52
2017-11-21T00:06:21.315Z,,,,,,31,52
2017-11-21T00:06:31.312Z,,,,,38.8,,
2017-11-21T00:06:51.314Z,,,,,,30.9,52
2017-11-21T00:07:01.312Z,,,,,,30.9,52
2017-11-21T00:07:21.312Z,,,,,,30.8,52
2017-11-21T00:07:51.311Z,,,,,,30.7,52
2017-11-21T00:08:11.334Z,,,,,38.7,30.7,52
2017-11-21T00:08:21.313Z,,,,,,30.6,52
2017-11-21T00:08:51.311Z,,,,,,30.4,52
2017-11-21T00:09:01.315Z,,,,,,30.4,52
2017-11-21T00:09:21.315Z,,,,,,30.3,52
2017-11-21T00:09:31.312Z,,,,,38.6,,
2017-11-21T00:09:51.315Z,,,,,,30.2,52
2017-11-21T00:10:11.473Z,,,,,,30.2,52
2017-11-21T00:10:21.318Z,,,,,,30.1,52
2017-11-21T00:10:41.593Z,,,,,,30.1,52
2017-11-21T00:10:51.330Z,,,,,,30.1,52
2017-11-21T00:11:01.315Z,,1,0,58,,30,52
2017-11-21T00:11:11.314Z,,,,,38.5,30,52
2017-11-21T00:11:21.313Z,,0,0,5,,,
2017-11-21T00:11:31.311Z,,,,,,30,52
2017-11-21T00:11:41.393Z,,1,0,58,,,
2017-11-21T00:11:51.313Z,,,,,,29.8,52
2017-11-21T00:12:11.311Z,,,,,,29.7,52
2017-11-21T00:12:31.311Z,,,,,,29.7,52
2017-11-21T00:12:51.315Z,,,,,38.4,29.6,52
2017-11-21T00:13:01.317Z,,,,,,29.6,52
2017-11-21T00:13:21.316Z,,,,,,29.5,52
2017-11-21T00:13:51.312Z,,,,,,29.5,52
2017-11-21T00:14:01.312Z,,,,,,29.5,52
2017-11-21T00:14:11.311Z,,,,,,29.3,52
2017-11-21T00:14:21.311Z,,0,0,5,38.3,,
2017-11-21T00:14:41.570Z,,,,,,29.3,52
2017-11-21T00:14:51.314Z,,,,,,29.3,52
2017-11-21T00:15:01.311Z,,,,,,29.2,52
2017-11-21T00:15:11.315Z,,,,,,29.2,52
2017-11-21T00:15:31.311Z,,,,,,29.2,52
2017-11-21T00:15:51.316Z,,,,,,29.1,52
2017-11-21T00:16:11.311Z,,,,,38.2,29.1,52
2017-11-21T00:16:21.316Z,,,,,,29,52
2017-11-21T00:16:51.311Z,,,,,,29,52
2017-11-21T00:17:11.311Z,,,,,,28.9,52
2017-11-21T00:17:21.312Z,,,,,,28.9,52
2017-11-21T00:17:51.316Z,,,,,38.1,28.9,52
2017-11-21T00:18:01.343Z,,,,,,28.7,52
2017-11-21T00:18:21.311Z,,,,,,28.7,52
2017-11-21T00:18:51.311Z,,,,,,28.6,52
2017-11-21T00:19:11.311Z,,,,,,28.6,52
2017-11-21T00:19:21.311Z,,,,,,28.6,52
2017-11-21T00:19:51.311Z,,,,,38,28.5,52
2017-11-21T00:20:01.317Z,,,,,,28.5,52
2017-11-21T00:20:21.313Z,,,,,,28.5,52
2017-11-21T00:20:31.312Z,,1,0,58,38.1,28.4,52
2017-11-21T00:20:41.434Z,0,0,0,5,41.8,28.4,52
2017-11-21T00:20:51.312Z,,,,,30.4,,
2017-11-21T00:21:01.311Z,,1,0,58,26.9,28.4,52
