Time,HwTSet,PrimTSet,ChActive,ActPow,PrimT,HwTOutlet,HwActive
2017-11-22T00:00:01.284Z,,,,,34.9,,
2017-11-22T00:00:11.279Z,,,,,35.1,,
2017-11-22T00:00:21.281Z,,,,,34.9,,
2017-11-22T00:00:31.284Z,52,,,,34.9,31,
2017-11-22T00:00:51.284Z,52,,,,,31,
2017-11-22T00:01:01.281Z,52,,,,,30.9,
2017-11-22T00:01:11.279Z,52,,,,,30.9,
2017-11-22T00:01:31.285Z,52,,,,,30.8,
2017-11-22T00:01:51.279Z,52,,,,,30.8,
2017-11-22T00:02:01.280Z,52,,,,,30.7,
2017-11-22T00:02:11.280Z,52,,,,,30.7,
2017-11-22T00:02:31.280Z,52,,,,,30.7,
2017-11-22T00:02:41.363Z,52,,,,34.8,30.6,
2017-11-22T00:02:51.279Z,52,,,,,30.6,
2017-11-22T00:03:01.279Z,52,,,,,30.6,
2017-11-22T00:03:11.279Z,52,,,,,30.4,
2017-11-22T00:03:31.287Z,52,,,,,30.4,
2017-11-22T00:03:41.359Z,52,,,,,30.4,
2017-11-22T00:03:51.283Z,52,,,,,30.4,
2017-11-22T00:04:01.279Z,52,,,,,30.3,
2017-11-22T00:04:11.285Z,52,,,,,30.3,
2017-11-22T00:04:31.279Z,52,,,,,30.2,
2017-11-22T00:04:51.282Z,52,,,,34.7,30.2,
2017-11-22T00:05:01.279Z,52,,,,,30.1,
2017-11-22T00:05:11.279Z,52,,,,34.8,30.1,
2017-11-22T00:05:31.280Z,52,,,,34.7,30.1,
2017-11-22T00:05:51.279Z,52,,,,,30,
2017-11-22T00:06:01.279Z,52,,,,,30,
2017-11-22T00:06:11.279Z,52,,,,,30,
2017-11-22T00:06:31.340Z,52,,,,,29.8,
2017-11-22T00:06:41.369Z,52,,,,,29.8,
2017-11-22T00:06:51.321Z,52,,,,,29.8,
2017-11-22T00:07:01.279Z,52,,,,,29.8,
2017-11-22T00:07:11.312Z,52,,,,,29.8,
2017-11-22T00:07:31.279Z,52,,,,,29.7,
2017-11-22T00:07:41.359Z,52,,,,,29.7,
2017-11-22T00:07:51.279Z,52,,,,34.6,29.7,
2017-11-22T00:08:01.279Z,52,,,,,29.7,
2017-11-22T00:08:11.279Z,52,,,,,29.6,
2017-11-22T00:08:31.279Z,52,,,,,29.6,
2017-11-22T00:08:51.279Z,52,,,,,29.6,
2017-11-22T00:09:01.281Z,52,,,,,29.5,
2017-11-22T00:09:11.281Z,52,,,,,29.5,
2017-11-22T00:09:31.280Z,52,,,,,29.5,
2017-11-22T00:09:51.283Z,52,,,,,29.3,
2017-11-22T00:10:01.279Z,52,,,,,29.3,
2017-11-22T00:10:11.282Z,52,,,,,29.3,
2017-11-22T00:10:31.279Z,52,,,,,29.3,
2017-11-22T00:10:41.372Z,52,,,,34.5,29.2,
2017-11-22T00:10:51.279Z,52,,,,,29.2,
2017-11-22T00:11:01.283Z,52,,,,,29.2,
2017-11-22T00:11:11.290Z,52,,,,,29.2,
2017-11-22T00:11:31.279Z,52,,,,,29.1,
2017-11-22T00:11:41.406Z,52,,,,,29.1,
2017-11-22T00:11:51.284Z,52,,,,,29.1,
2017-11-22T00:12:01.284Z,52,,,,,29.1,
2017-11-22T00:12:11.278Z,52,,,,,29.1,
2017-11-22T00:12:31.279Z,52,,,,,29,
2017-11-22T00:12:51.279Z,52,,,,,29,
2017-11-22T00:13:01.279Z,52,,,,,29,
2017-11-22T00:13:11.282Z,52,,,,,29,
2017-11-22T00:13:31.283Z,52,,,,34.4,28.9,
2017-11-22T00:13:41.359Z,52,,,,34.5,28.9,
2017-11-22T00:13:51.281Z,52,,,,34.4,28.9,
2017-11-22T00:14:01.284Z,52,,,,,28.9,
2017-11-22T00:14:11.279Z,52,,,,,28.9,
2017-11-22T00:14:31.279Z,52,,,,,28.7,
2017-11-22T00:14:41.361Z,52,,,,,28.7,
2017-11-22T00:14:51.279Z,52,,,,,28.7,
2017-11-22T00:15:01.279Z,52,,,,,28.7,
2017-11-22T00:15:11.279Z,52,,,,,28.7,
2017-11-22T00:15:31.284Z,52,,,,,28.6,
2017-11-22T00:15:51.286Z,52,,,,34.3,28.6,
2017-11-22T00:16:01.279Z,52,,,,,28.6,
2017-11-22T00:16:11.279Z,52,,,,34.4,28.6,
2017-11-22T00:16:31.279Z,52,,,,34.3,28.6,
2017-11-22T00:16:41.359Z,52,,,,,28.5,
2017-11-22T00:16:51.279Z,52,,,,,28.5,
2017-11-22T00:17:01.282Z,52,,,,,28.5,
2017-11-22T00:17:11.279Z,52,,,,,28.5,
2017-11-22T00:17:31.279Z,52,,,,,28.5,
2017-11-22T00:17:41.359Z,52,,,,,28.5,
2017-11-22T00:17:51.279Z,52,,,,,28.4,
2017-11-22T00:18:01.279Z,52,,,,,28.4,
2017-11-22T00:18:11.279Z,52,,,,,28.4,
2017-11-22T00:18:31.283Z,52,,,,,28.4,
2017-11-22T00:18:41.359Z,52,,,,,28.4,
2017-11-22T00:18:51.279Z,52,,,,,28.3,
2017-11-22T00:19:01.279Z,52,,,,34.2,28.3,
2017-11-22T00:19:11.279Z,52,,,,34.3,28.3,
2017-11-22T00:19:31.279Z,52,,,,34.2,28.3,
2017-11-22T00:19:41.358Z,52,,,,,28.3,
2017-11-22T00:19:51.279Z,52,,,,,28.3,
2017-11-22T00:20:01.279Z,52,,,,,28.3,
2017-11-22T00:20:11.279Z,52,,,,,28.3,
2017-11-22T00:20:31.279Z,52,,,,,28.1,
2017-11-22T00:20:41.359Z,52,,,,,28.1,
2017-11-22T00:20:51.279Z,52,,,,,28.1,
2017-11-22T00:21:01.279Z,52,,,,,28.1,
2017-11-22T00:21:11.279Z,52,,,,,28.1,
2017-11-22T00:21:31.279Z,52,,,,,28,
2017-11-22T00:21:41.400Z,52,,,,,28,
2017-11-22T00:21:51.279Z,52,,,,,28,
2017-11-22T00:22:01.279Z,52,,,,,28,
2017-11-22T00:22:11.344Z,52,,,,34.1,28,
2017-11-22T00:22:31.323Z,52,,,,,28,
2017-11-22T00:22:51.279Z,52,,,,,27.9,
2017-11-22T00:23:01.292Z,52,,,,,27.9,
2017-11-22T00:23:11.279Z,52,,,,,27.9,
2017-11-22T00:23:31.279Z,52,,,,,27.9,
2017-11-22T00:23:51.279Z,52,,,,,27.9,
2017-11-22T00:24:01.279Z,52,,,,,27.9,
2017-11-22T00:24:11.279Z,52,,,,,27.9,
2017-11-22T00:24:31.284Z,52,,,,,27.8,
