Time,HwTSet,PrimTSet,ChActive,PrimT,ActPow,HwTOutlet,HwActive
2017-11-23T00:00:01.249Z,52,,,,,37.2,
2017-11-23T00:00:11.249Z,52,,,,,36.9,
2017-11-23T00:00:21.249Z,52,,,,,36.9,
2017-11-23T00:00:31.249Z,,,,41.8,,,
2017-11-23T00:00:41.340Z,52,,,,,36.7,
2017-11-23T00:00:51.253Z,52,,,,,36.6,
2017-11-23T00:01:11.249Z,52,,,41.7,,36.5,
2017-11-23T00:01:21.249Z,52,,,,,36.4,
2017-11-23T00:01:31.249Z,52,,,,,36.3,
2017-11-23T00:01:41.339Z,52,,,,,36.2,
2017-11-23T00:01:51.250Z,52,,,,,36.2,
2017-11-23T00:02:01.249Z,,,,41.6,,,
2017-11-23T00:02:11.250Z,52,,,,,36.1,
2017-11-23T00:02:21.249Z,52,,,,,35.9,
2017-11-23T00:02:31.249Z,52,,,,,35.9,
2017-11-23T00:02:41.339Z,,,,41.5,,,
2017-11-23T00:02:51.250Z,52,,,,,35.7,
2017-11-23T00:03:11.250Z,52,,,,,35.6,
2017-11-23T00:03:21.249Z,52,,,41.4,,35.5,
2017-11-23T00:03:31.249Z,52,,,,,35.4,
2017-11-23T00:03:41.339Z,52,,,,,35.4,
2017-11-23T00:03:51.249Z,52,,,,,35.3,
2017-11-23T00:04:11.266Z,52,,,,,35.2,
2017-11-23T00:04:21.255Z,52,,,41.3,,35.1,
2017-11-23T00:04:31.249Z,52,,,,,34.9,
2017-11-23T00:04:51.249Z,52,,,,,34.8,
2017-11-23T00:05:11.250Z,52,,,,,34.8,
2017-11-23T00:05:21.249Z,52,,,41.2,,34.6,
2017-11-23T00:05:31.250Z,52,,,,,34.6,
2017-11-23T00:05:51.365Z,52,,,,,34.4,
2017-11-23T00:06:11.250Z,52,,,,,34.3,
2017-11-23T00:06:21.249Z,52,,,41.1,,34.3,
2017-11-23T00:06:31.250Z,52,,,,,34.2,
2017-11-23T00:06:41.340Z,52,,,,,34.1,
2017-11-23T00:06:51.249Z,52,,,,,34.1,
2017-11-23T00:07:11.250Z,52,,,,,34,
2017-11-23T00:07:21.419Z,52,,,41,,33.9,
2017-11-23T00:07:31.249Z,52,,,,,33.7,
2017-11-23T00:08:01.249Z,52,,,,,33.7,
2017-11-23T00:08:11.249Z,52,,,41,,33.6,
2017-11-23T00:08:21.250Z,,,,40.9,,,
2017-11-23T00:08:31.249Z,52,,,,,33.5,
2017-11-23T00:08:41.339Z,52,,,,,33.5,
2017-11-23T00:09:11.250Z,52,,,,,33.4,
2017-11-23T00:09:21.249Z,,,,40.8,,,
2017-11-23T00:09:31.249Z,52,,,,,33.3,
2017-11-23T00:09:41.339Z,52,,,,,33.2,
2017-11-23T00:10:01.250Z,52,,,,,33.2,
2017-11-23T00:10:11.255Z,52,,,,,33.1,
2017-11-23T00:10:21.249Z,52,,,,,32.9,
2017-11-23T00:10:41.344Z,52,,,40.7,,32.9,
2017-11-23T00:10:56.269Z,52,,,,,32.8,
2017-11-23T00:11:01.253Z,52,,,,,32.8,
2017-11-23T00:11:11.249Z,52,,,,,32.7,
2017-11-23T00:11:21.266Z,52,,,,,32.7,
2017-11-23T00:11:31.249Z,52,,,,,32.6,
2017-11-23T00:11:41.341Z,52,,,,,32.6,
2017-11-23T00:11:51.250Z,52,,,40.6,,32.5,
2017-11-23T00:12:01.249Z,52,,,,,32.5,
2017-11-23T00:12:11.249Z,52,,,,,32.5,
2017-11-23T00:12:21.249Z,52,,,,,32.4,
2017-11-23T00:12:31.249Z,52,,,,,32.4,
2017-11-23T00:12:41.339Z,52,,,,,32.3,
2017-11-23T00:12:51.249Z,52,,,,,32.3,
2017-11-23T00:13:01.249Z,52,,,40.5,,32.2,
2017-11-23T00:13:11.249Z,52,,,,,32.2,
2017-11-23T00:13:21.249Z,52,,,,,32.1,
2017-11-23T00:13:41.342Z,52,,,,,32.1,
2017-11-23T00:13:51.252Z,52,,,,,32,
2017-11-23T00:14:01.249Z,52,,,,,32,
2017-11-23T00:14:11.254Z,52,,,,,32,
2017-11-23T00:14:21.252Z,52,,,,,31.9,
2017-11-23T00:14:31.249Z,52,,,40.4,,31.9,
2017-11-23T00:14:41.343Z,52,,,,,31.9,
2017-11-23T00:14:51.252Z,52,,,,,31.8,
2017-11-23T00:15:01.255Z,52,,,,,31.8,
