Time,ActPow,HwTOutlet,HwTSet,HwActive,ChActive,PrimTSet,PrimT
2017-11-24T00:00:01.219Z,,32,52,,,,
2017-11-24T00:00:11.219Z,,32,52,,,,
2017-11-24T00:00:21.216Z,,31.9,52,,,,
2017-11-24T00:00:31.217Z,,31.9,52,,,,
2017-11-24T00:00:51.217Z,,31.9,52,0,0,5,37.4
2017-11-24T00:01:01.220Z,,,,0,2,58,
2017-11-24T00:01:11.222Z,,31.9,52,0,0,5,
2017-11-24T00:01:21.216Z,,31.8,52,,,,
2017-11-24T00:01:31.222Z,,,,0,2,58,
2017-11-24T00:01:51.220Z,,31.8,52,,,,
2017-11-24T00:02:01.217Z,,31.8,52,,,,
2017-11-24T00:02:11.220Z,,31.8,52,,,,
2017-11-24T00:02:21.219Z,,31.6,52,,,,
2017-11-24T00:02:31.216Z,,31.6,52,,,,
2017-11-24T00:02:41.307Z,,31.6,52,,,,
2017-11-24T00:02:51.217Z,,31.6,52,,,,37.3
2017-11-24T00:03:01.221Z,,31.6,52,,,,
2017-11-24T00:03:11.216Z,,31.5,52,,,,
2017-11-24T00:03:31.221Z,,31.5,52,,,,
2017-11-24T00:03:51.216Z,,31.5,52,0,0,5,
2017-11-24T00:04:01.217Z,,31.4,52,0,2,58,
2017-11-24T00:04:11.217Z,,31.4,52,,,,
2017-11-24T00:04:21.216Z,,31.4,52,,,,
2017-11-24T00:04:31.216Z,,31.4,52,,,,
2017-11-24T00:04:41.306Z,,,,,,,37.2
2017-11-24T00:04:51.216Z,,31.4,52,,,,
2017-11-24T00:05:01.216Z,,31.4,52,,,,
2017-11-24T00:05:11.216Z,,31.4,52,,,,
2017-11-24T00:05:21.216Z,,31.3,52,,,,
2017-11-24T00:05:31.216Z,,31.3,52,,,,
2017-11-24T00:05:41.308Z,,31.3,52,,,,
2017-11-24T00:05:51.216Z,,31.3,52,,,,
2017-11-24T00:06:01.221Z,,31.3,52,,,,
2017-11-24T00:06:11.216Z,,31.3,52,,,,
2017-11-24T00:06:21.216Z,,31.2,52,,,,
2017-11-24T00:06:31.216Z,,31.2,52,,,,
2017-11-24T00:06:41.311Z,,31.2,52,,,,
2017-11-24T00:06:51.216Z,,31.2,52,,,,37.1
2017-11-24T00:07:01.217Z,,31.2,52,,,,
2017-11-24T00:07:11.216Z,,31,52,,,,
2017-11-24T00:07:31.216Z,,31,52,0,0,5,
2017-11-24T00:07:51.217Z,,31,52,,,,
2017-11-24T00:08:01.217Z,,30.9,52,,,,
2017-11-24T00:08:11.221Z,,30.9,52,,,,
2017-11-24T00:08:31.216Z,,,,,,,36.9
2017-11-24T00:08:41.306Z,,,,,,,37.1
2017-11-24T00:08:51.216Z,,30.9,52,,,,36.9
2017-11-24T00:09:01.216Z,,,,,,,36.9
2017-11-24T00:09:11.216Z,,30.9,52,,,,
2017-11-24T00:09:21.216Z,,30.9,52,,,,
2017-11-24T00:09:31.216Z,,30.8,52,,,,
2017-11-24T00:09:51.217Z,,30.8,52,,,,
2017-11-24T00:10:11.216Z,,30.8,52,,,,
2017-11-24T00:10:21.216Z,,30.8,52,,,,
2017-11-24T00:10:41.306Z,,30.8,52,,,,
2017-11-24T00:10:51.218Z,,30.7,52,,,,
2017-11-24T00:11:01.216Z,,30.7,52,,,,
2017-11-24T00:11:21.216Z,,30.7,52,,,,36.8
2017-11-24T00:11:31.216Z,,30.7,52,,,,
2017-11-24T00:11:41.306Z,,30.7,52,,,,
2017-11-24T00:11:51.227Z,,30.6,52,,,,
2017-11-24T00:12:01.216Z,,30.6,52,,,,
2017-11-24T00:12:21.216Z,,30.6,52,,,,
2017-11-24T00:12:31.217Z,,30.6,52,,,,
2017-11-24T00:12:41.310Z,,30.6,52,,,,
2017-11-24T00:12:51.219Z,,30.6,52,,,,
2017-11-24T00:13:01.216Z,,30.6,52,,,,
2017-11-24T00:13:11.216Z,,30.4,52,,,,
2017-11-24T00:13:21.216Z,,30.4,52,,,,
2017-11-24T00:13:31.216Z,,30.4,52,,,,
2017-11-24T00:13:41.311Z,,30.4,52,,,,
2017-11-24T00:13:51.216Z,,30.4,52,,,,36.7
2017-11-24T00:14:01.216Z,,30.4,52,,,,
2017-11-24T00:14:21.216Z,,30.4,52,,,,
2017-11-24T00:14:31.278Z,,30.3,52,,,,
2017-11-24T00:14:41.388Z,,30.3,52,,,,
2017-11-24T00:14:51.274Z,,30.3,52,,,,
2017-11-24T00:15:01.216Z,,30.3,52,,,,
2017-11-24T00:15:11.216Z,,30.3,52,,,,
2017-11-24T00:15:21.216Z,,30.3,52,,,,
2017-11-24T00:15:31.216Z,,30.2,52,,,,36.7
2017-11-24T00:15:41.316Z,,30.2,52,0,2,58,36.6
2017-11-24T00:15:51.216Z,40,30.2,52,0,2,,40.6
2017-11-24T00:16:01.217Z,29,30.2,52,,,,39.6
2017-11-24T00:16:11.219Z,29,,,,,,37.4
2017-11-24T00:16:21.216Z,,30.2,52,,,,36.9
2017-11-24T00:16:31.217Z,0,30.2,52,0,0,5,35.1
2017-11-24T00:16:41.306Z,,,,,,,32.8
2017-11-24T00:16:51.216Z,,30.2,52,0,2,,28.8
2017-11-24T00:17:01.216Z,,30.1,52,,,,27.7
2017-11-24T00:17:11.216Z,,,,,,,27.2
2017-11-24T00:17:21.216Z,,30.1,52,,,,27.3
2017-11-24T00:17:31.220Z,,30.1,52,,,,
2017-11-24T00:17:41.306Z,,,,,,,27.7
2017-11-24T00:17:51.216Z,,30.1,52,,,,28
2017-11-24T00:18:01.216Z,,,,,,,28.1
2017-11-24T00:18:11.216Z,,30.1,52,,,,27.8
2017-11-24T00:18:21.216Z,,30.1,52,,,,
2017-11-24T00:18:31.217Z,,30,52,,,,27.6
2017-11-24T00:18:41.310Z,,30,52,,,,
2017-11-24T00:18:51.217Z,,30,52,,,,27.3
2017-11-24T00:19:01.216Z,,30,52,,,,27.5
2017-11-24T00:19:11.217Z,,30,52,,,,
2017-11-24T00:19:21.216Z,,,,,,,27.6
2017-11-24T00:19:31.217Z,,30,52,,,,
2017-11-24T00:19:51.216Z,,29.8,52,,,,
2017-11-24T00:20:01.216Z,,29.8,52,,,,
2017-11-24T00:20:11.218Z,,,,,,,27.7
2017-11-24T00:20:21.216Z,,29.8,52,,,,
2017-11-24T00:20:31.216Z,,29.8,52,,,,
2017-11-24T00:20:41.306Z,,29.8,52,,,,
2017-11-24T00:20:51.216Z,,29.7,52,,,,
2017-11-24T00:21:01.216Z,,29.7,52,,,,
2017-11-24T00:21:21.217Z,,29.7,52,,,,
2017-11-24T00:21:31.220Z,,29.7,52,,,,
2017-11-24T00:21:41.306Z,,,,,,,27.8
2017-11-24T00:21:51.216Z,,29.7,52,,,,28.2
2017-11-24T00:22:01.219Z,,29.6,52,,,,
2017-11-24T00:22:11.219Z,,,,,,,28.6
2017-11-24T00:22:21.216Z,,29.6,52,,,,28.9
2017-11-24T00:22:31.217Z,,,,,,,29.2
2017-11-24T00:22:51.216Z,,29.6,52,,,,29.6
2017-11-24T00:23:01.216Z,,29.6,52,,,,29.9
2017-11-24T00:23:11.220Z,,,,,,,30.2
