Time,PrimT,HwActive,PrimTSet,HwTOutlet,ActPow,HwTSet,ChActive
2017-11-25T00:00:01.189Z,35.3,,,30.2,,52,
2017-11-25T00:00:11.184Z,,,,30.2,,52,
2017-11-25T00:00:21.185Z,35.4,,,,,,
2017-11-25T00:00:31.187Z,35.7,,,30.2,30,52,
2017-11-25T00:00:41.186Z,35.9,,,30.2,,52,
2017-11-25T00:00:51.183Z,36.1,,,,29,,
2017-11-25T00:01:01.187Z,36.2,,,30.1,30,52,
2017-11-25T00:01:11.184Z,,,,30.1,,52,
2017-11-25T00:01:21.187Z,36.3,,,,29,,
2017-11-25T00:01:31.183Z,36.6,,,30.1,29,52,
2017-11-25T00:01:41.183Z,36.7,,,30.1,,52,
2017-11-25T00:01:51.183Z,36.9,,,30.1,,52,
2017-11-25T00:02:01.188Z,38,,,,,,
2017-11-25T00:02:11.186Z,37.3,,,30.1,30,52,
2017-11-25T00:02:31.187Z,37.6,,,30,29,52,
2017-11-25T00:02:41.189Z,37.8,,,30,30,52,
2017-11-25T00:02:51.250Z,38,,,,29,,
2017-11-25T00:03:01.187Z,38.9,,,,29,,
2017-11-25T00:03:11.230Z,,,,30,,52,
2017-11-25T00:03:21.183Z,38.3,,,,,,
2017-11-25T00:03:31.184Z,38.6,,,30,30,52,
2017-11-25T00:03:41.184Z,,,,30,,52,
2017-11-25T00:03:51.187Z,38.9,,,30,29,52,
2017-11-25T00:04:01.187Z,39.2,,,30,30,52,
2017-11-25T00:04:11.188Z,,,,30,,52,
2017-11-25T00:04:21.183Z,39.4,,,,,,
2017-11-25T00:04:31.188Z,39.7,,,30,30,52,
2017-11-25T00:04:41.188Z,39.9,,,29.8,,52,
2017-11-25T00:04:51.183Z,40,,,,29,,
2017-11-25T00:05:01.189Z,,,,29.8,30,52,
2017-11-25T00:05:11.188Z,40.2,,,29.8,29,52,
2017-11-25T00:05:21.183Z,,,,29.8,,52,
2017-11-25T00:05:31.188Z,40.7,,,29.8,30,52,
2017-11-25T00:05:41.183Z,40.8,,,29.8,29,52,
2017-11-25T00:05:51.185Z,41,,,29.8,,52,
2017-11-25T00:06:01.183Z,41.1,,,,,,
2017-11-25T00:06:11.188Z,,,,29.8,,52,
