Time,ActPow,PrimTSet,HwTSet,PrimT,HwTOutlet,HwActive,ChActive
2017-11-26T00:00:01.149Z,,,52,,31.4,,
2017-11-26T00:00:11.149Z,,,52,,31.4,,
2017-11-26T00:00:21.149Z,,,52,38.1,31.4,,
2017-11-26T00:00:31.149Z,,,52,,31.4,,
2017-11-26T00:00:41.149Z,,,52,,31.4,,
2017-11-26T00:00:51.149Z,,,52,,31.4,,
2017-11-26T00:01:01.149Z,,,52,,31.4,,
2017-11-26T00:01:11.149Z,,,52,,31.4,,
2017-11-26T00:01:21.154Z,,,52,,31.3,,
2017-11-26T00:01:31.149Z,,,52,,31.3,,
2017-11-26T00:01:41.149Z,,,52,,31.3,,
2017-11-26T00:01:51.149Z,,,52,38,31.3,,
2017-11-26T00:02:01.149Z,,,52,,31.3,,
2017-11-26T00:02:11.149Z,,,52,,31.3,,
2017-11-26T00:02:21.149Z,,,52,,31.3,,
2017-11-26T00:02:31.150Z,,,52,,31.3,,
2017-11-26T00:02:41.149Z,,,52,,31.3,,
2017-11-26T00:02:51.149Z,,,52,,31.2,,
2017-11-26T00:03:01.149Z,,,52,,31.2,,
2017-11-26T00:03:11.149Z,,,52,37.9,31.2,,
2017-11-26T00:03:21.152Z,,,52,,31.2,,
2017-11-26T00:03:31.149Z,,,52,,31.2,,
2017-11-26T00:03:41.149Z,,,52,,31.2,,
2017-11-26T00:03:51.149Z,,,52,,31.2,,
2017-11-26T00:04:01.149Z,,,52,,31.2,,
2017-11-26T00:04:11.149Z,,,52,,31.2,,
2017-11-26T00:04:21.149Z,,,52,,31,,
2017-11-26T00:04:31.149Z,,,52,,31,,
2017-11-26T00:04:41.149Z,,,52,37.8,31,,
2017-11-26T00:04:51.154Z,,,52,,31,,
2017-11-26T00:05:01.149Z,,,52,,31,,
2017-11-26T00:05:11.149Z,,,52,,31,,
2017-11-26T00:05:21.150Z,,,52,,31,,
2017-11-26T00:05:31.149Z,,,52,,31,,
2017-11-26T00:05:41.148Z,,,52,,30.9,,
