Time,HwTOutlet,HwActive,PrimTSet,ActPow,ChActive,HwTSet,PrimT
2017-11-28T00:00:01.089Z,27.9,,,,,52,37.3
2017-11-28T00:00:11.078Z,27.9,,,,,52,37.4
2017-11-28T00:00:21.079Z,27.9,,,,,52,37.6
2017-11-28T00:00:31.078Z,27.9,,,,,52,37.8
2017-11-28T00:00:41.079Z,27.9,,,,,52,38
2017-11-28T00:00:51.078Z,27.9,,,30,,52,38.1
2017-11-28T00:01:01.079Z,28,,,29,,52,38.3
2017-11-28T00:01:11.079Z,28,1,0,29,0,52,38.5
2017-11-28T00:01:21.089Z,31.2,,,30,,52,42.9
2017-11-28T00:01:31.089Z,39.3,0,,0,0,52,40.7
2017-11-28T00:01:41.079Z,40.3,,,,,52,40.1
2017-11-28T00:01:51.083Z,40.2,,,,,52,40
2017-11-28T00:02:01.079Z,40.1,,,,,52,39.9
2017-11-28T00:02:11.078Z,40,,,,,52,
2017-11-28T00:02:21.079Z,39.9,,,,,52,
2017-11-28T00:02:31.079Z,39.8,0,58,,2,52,
2017-11-28T00:02:41.078Z,39.7,,,,,52,
2017-11-28T00:02:51.078Z,39.5,,,,,52,
2017-11-28T00:03:01.079Z,39.4,,,,,52,
2017-11-28T00:03:11.078Z,39.3,,,,,52,
2017-11-28T00:03:21.078Z,39.2,,,,,52,
2017-11-28T00:03:31.078Z,39.1,,,,,52,
2017-11-28T00:03:41.078Z,38.9,,,,,52,
2017-11-28T00:03:51.082Z,38.8,,,,,52,39.9
2017-11-28T00:04:01.078Z,38.7,,,,,52,40
2017-11-28T00:04:11.082Z,38.6,,,,,52,39.9
2017-11-28T00:04:21.078Z,38.5,,,,,52,40
2017-11-28T00:04:31.078Z,38.4,,,,,52,
2017-11-28T00:04:41.078Z,38.3,,,,,52,
2017-11-28T00:04:51.078Z,38.3,1,0,,0,52,
2017-11-28T00:05:01.079Z,40.4,1,,30,0,52,40.1
2017-11-28T00:05:11.078Z,41.5,0,,0,0,52,40.8
2017-11-28T00:05:21.083Z,41.6,,,,,52,40.4
2017-11-28T00:05:31.078Z,41.5,,,,,52,40.3
2017-11-28T00:05:41.078Z,40.3,1,,34,0,52,40.2
2017-11-28T00:05:51.078Z,41.1,,,31,,52,41.2
2017-11-28T00:06:01.080Z,42.6,0,,0,0,52,42.9
2017-11-28T00:06:11.079Z,42.9,,,,,52,40.9
2017-11-28T00:06:21.094Z,39.5,1,,45,0,52,40.3
2017-11-28T00:06:31.078Z,39.7,0,,0,0,52,39.8
2017-11-28T00:06:41.079Z,39.6,,,,,52,39.6
2017-11-28T00:06:51.078Z,39.5,,,,,52,
2017-11-28T00:07:01.079Z,39.9,0,,,0,52,39.7
2017-11-28T00:07:11.079Z,39.9,1,,,0,52,37.4
2017-11-28T00:07:21.094Z,37.7,0,,0,0,52,37.8
2017-11-28T00:07:31.078Z,37.5,,,,,52,37.6
2017-11-28T00:07:41.078Z,37.4,,,,,52,
2017-11-28T00:07:51.078Z,37.4,,,,,52,
2017-11-28T00:08:01.078Z,37.3,,,,,52,
2017-11-28T00:08:11.078Z,37.3,,,,,52,37.5
2017-11-28T00:08:21.078Z,37.2,0,58,,2,52,
2017-11-28T00:08:31.078Z,37.1,,,,,52,
2017-11-28T00:08:41.078Z,37.1,,,,,52,
2017-11-28T00:08:51.080Z,36.9,0,,43,2,52,39.2
2017-11-28T00:09:01.080Z,36.9,,,34,,52,43.2
2017-11-28T00:09:11.079Z,36.8,,,30,,52,39.9
2017-11-28T00:09:21.079Z,36.8,,,29,,52,38.8
2017-11-28T00:09:31.081Z,36.7,,,,,52,37.7
2017-11-28T00:09:41.083Z,36.7,,,,,52,36.9
2017-11-28T00:09:51.083Z,36.6,,,30,,52,37.1
2017-11-28T00:10:01.078Z,36.5,,,29,,52,37.3
2017-11-28T00:10:11.082Z,36.5,,,,,52,37.7
