Time,HwTOutlet,PrimT,ChActive,HwActive,PrimTSet,ActPow,HwTSet
2017-11-30T00:00:01.006Z,36.3,,0,0,5,,52
2017-11-30T00:00:11.006Z,36.3,38.8,1,0,58,,52
2017-11-30T00:00:21.028Z,36.2,38.7,0,0,5,,52
2017-11-30T00:00:31.006Z,36.1,38.6,,,,,52
2017-11-30T00:00:41.006Z,36.1,38.5,,,,,52
2017-11-30T00:00:51.006Z,36,38.4,,,,,52
2017-11-30T00:01:01.006Z,36,38.3,,,,,52
2017-11-30T00:01:11.006Z,35.9,,,,,,52
2017-11-30T00:01:21.006Z,35.8,38.2,,,,,52
2017-11-30T00:01:31.006Z,35.8,38.1,,,,,52
2017-11-30T00:01:41.007Z,35.7,38,,,,,52
2017-11-30T00:01:51.007Z,35.6,37.9,,,,,52
2017-11-30T00:02:01.008Z,35.6,,,,,,52
2017-11-30T00:02:11.008Z,35.5,37.8,,,,,52
2017-11-30T00:02:21.006Z,35.5,37.7,,,,,52
2017-11-30T00:02:31.031Z,35.4,,,,,,52
2017-11-30T00:02:41.007Z,35.3,37.6,,,,,52
2017-11-30T00:02:51.006Z,35.3,37.5,,,,,52
2017-11-30T00:03:01.006Z,35.2,,,,,,52
2017-11-30T00:03:11.012Z,35.2,37.4,,,,,52
2017-11-30T00:03:21.006Z,35.1,37.3,,,,,52
2017-11-30T00:03:31.006Z,35.1,,,,,,52
2017-11-30T00:03:41.007Z,34.9,37.2,1,0,58,,52
2017-11-30T00:03:51.011Z,34.9,,,,,,52
2017-11-30T00:04:01.006Z,34.8,37.1,,,,,52
2017-11-30T00:04:11.006Z,34.7,36.9,,,,,52
2017-11-30T00:04:21.007Z,34.7,,,,,,52
2017-11-30T00:04:31.007Z,34.6,36.8,,,,,52
2017-11-30T00:04:41.008Z,34.6,,,,,,52
2017-11-30T00:04:51.008Z,34.5,36.7,,,,,52
2017-11-30T00:05:01.006Z,34.5,,,,,,52
2017-11-30T00:05:11.007Z,34.4,,,,,,52
2017-11-30T00:05:21.006Z,34.4,36.6,,,,,52
2017-11-30T00:05:31.007Z,34.3,,,,,,52
2017-11-30T00:05:41.007Z,34.3,36.5,,,,,52
2017-11-30T00:05:51.006Z,34.2,,,,,,52
2017-11-30T00:06:01.006Z,34.2,36.4,,,,,52
2017-11-30T00:06:11.006Z,34.1,,,,,,52
2017-11-30T00:06:21.008Z,34.1,36.3,,,,,52
2017-11-30T00:06:31.012Z,34,,,,,,52
2017-11-30T00:06:41.006Z,34,36.2,,,,,52
2017-11-30T00:06:51.065Z,34,,,,,,52
2017-11-30T00:07:01.054Z,33.9,,,,,,52
2017-11-30T00:07:11.008Z,33.9,36.1,,,,,52
2017-11-30T00:07:21.041Z,33.8,,,,,,52
2017-11-30T00:07:31.006Z,33.8,,,,,,52
2017-11-30T00:07:41.014Z,33.7,36,,,,,52
2017-11-30T00:07:51.009Z,33.7,,,,,,52
2017-11-30T00:08:01.007Z,33.6,35.9,,,,,52
2017-11-30T00:08:11.007Z,33.6,,,,,,52
2017-11-30T00:08:21.007Z,33.6,,,,,,52
2017-11-30T00:08:31.008Z,33.5,,,,,,52
2017-11-30T00:08:41.008Z,33.5,35.8,,,,,52
2017-11-30T00:08:51.006Z,33.4,,,,,,52
2017-11-30T00:09:01.006Z,33.4,,,,,,52
2017-11-30T00:09:11.012Z,33.4,35.7,,,,,52
2017-11-30T00:09:21.010Z,33.3,,,,,,52
2017-11-30T00:09:31.006Z,33.3,,,,,,52
2017-11-30T00:09:41.007Z,33.2,35.6,,,,,52
2017-11-30T00:09:51.028Z,33.2,,,,,,52
2017-11-30T00:10:01.006Z,33.2,,,,,,52
2017-11-30T00:10:11.006Z,33.1,,,,,,52
2017-11-30T00:10:21.063Z,33.1,35.5,,,,,52
2017-11-30T00:10:31.006Z,32.9,,,,,,52
2017-11-30T00:10:41.006Z,32.9,,,,,,52
2017-11-30T00:10:51.006Z,32.9,,,,,,52
2017-11-30T00:11:01.006Z,32.8,35.4,,,,,52
2017-11-30T00:11:11.011Z,32.8,,,,,,52
2017-11-30T00:11:21.006Z,32.8,,,,,,52
2017-11-30T00:11:31.011Z,32.7,,,,,,52
2017-11-30T00:11:41.006Z,32.7,35.3,,,,,52
2017-11-30T00:11:51.029Z,32.7,,,,,,52
