Time,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT,ActPow
2017-12-01T00:00:00.971Z,,,,52,30.4,38,
2017-12-01T00:00:10.974Z,1,58,0,52,30.3,38.1,0
2017-12-01T00:00:20.969Z,,,,52,30.4,,
2017-12-01T00:00:30.972Z,,,,52,30.4,,
2017-12-01T00:00:40.973Z,,,,52,30.4,,
2017-12-01T00:00:50.972Z,,,,52,30.4,,
2017-12-01T00:01:00.970Z,,,,52,30.4,,
2017-12-01T00:01:10.970Z,,,,52,30.4,,
2017-12-01T00:01:20.969Z,,,,52,30.4,,
2017-12-01T00:01:30.974Z,,,,52,30.4,38.2,
2017-12-01T00:01:40.974Z,,,,52,30.4,,
2017-12-01T00:01:50.969Z,,,,52,30.4,,
2017-12-01T00:02:00.974Z,,,,52,30.4,,
2017-12-01T00:02:10.980Z,,,,52,30.4,38.3,
2017-12-01T00:02:20.974Z,,,,52,30.4,,
2017-12-01T00:02:30.974Z,,,,52,30.4,,
2017-12-01T00:02:40.969Z,,,,52,30.4,38.4,
2017-12-01T00:02:50.970Z,,,,52,30.4,,
2017-12-01T00:03:00.970Z,,,,52,30.4,,
2017-12-01T00:03:10.969Z,,,,52,30.4,,
2017-12-01T00:03:20.969Z,,,,52,30.4,,
2017-12-01T00:03:30.975Z,,,,52,30.4,,
2017-12-01T00:03:40.969Z,,,,52,30.4,,
2017-12-01T00:03:50.969Z,,,,52,30.4,,
2017-12-01T00:04:00.969Z,,,,52,30.4,,
2017-12-01T00:04:10.970Z,,,,52,30.4,38.5,
2017-12-01T00:04:20.969Z,,,,52,30.4,,
2017-12-01T00:04:30.969Z,,,,52,30.4,,
2017-12-01T00:04:40.969Z,,,,52,30.4,,
2017-12-01T00:04:50.969Z,,,,52,30.4,,
2017-12-01T00:05:00.970Z,,,,52,30.4,38.4,
2017-12-01T00:05:10.988Z,,,,52,30.4,,
2017-12-01T00:05:20.969Z,,,,52,30.4,,
2017-12-01T00:05:30.972Z,,,,52,30.4,,
2017-12-01T00:05:40.971Z,,,,52,30.4,,
2017-12-01T00:05:51.087Z,,,,52,30.4,,
2017-12-01T00:06:00.972Z,,,,52,30.4,,
2017-12-01T00:06:10.979Z,,,,52,30.4,,
2017-12-01T00:06:20.970Z,,,,52,30.4,,
2017-12-01T00:06:30.969Z,,,,52,30.4,,
2017-12-01T00:06:40.969Z,,,,52,30.4,,
2017-12-01T00:06:50.969Z,,,,52,30.4,,
2017-12-01T00:07:00.969Z,,,,52,30.4,38.3,
2017-12-01T00:07:10.969Z,,,,52,30.4,,
2017-12-01T00:07:20.970Z,,,,52,30.4,,
2017-12-01T00:07:30.970Z,,,,52,30.4,,
2017-12-01T00:07:40.970Z,,,,52,30.4,,
2017-12-01T00:07:50.969Z,,,,52,30.4,,
2017-12-01T00:08:00.970Z,,,,52,30.4,,
2017-12-01T00:08:11.030Z,,,,52,30.4,,
2017-12-01T00:08:20.969Z,,,,52,30.4,38.2,
2017-12-01T00:08:30.969Z,,,,52,30.4,,
2017-12-01T00:08:40.969Z,,,,52,30.4,,
2017-12-01T00:08:50.969Z,,,,52,30.4,,
2017-12-01T00:09:00.971Z,,,,52,30.3,,
2017-12-01T00:09:10.969Z,,,,52,30.4,,
2017-12-01T00:09:20.970Z,,,,52,30.4,,
2017-12-01T00:09:30.970Z,,,,52,30.4,,
2017-12-01T00:09:40.969Z,,,,52,30.4,38.1,
2017-12-01T00:09:50.968Z,,,,52,30.3,,
2017-12-01T00:10:00.969Z,,,,52,30.3,,
2017-12-01T00:10:10.969Z,,,,52,30.3,,
2017-12-01T00:10:20.980Z,,,,52,30.3,,
2017-12-01T00:10:30.974Z,,,,52,30.3,,
2017-12-01T00:10:40.969Z,,,,52,30.3,38,
2017-12-01T00:10:51.018Z,,,,52,30.3,,
2017-12-01T00:11:00.971Z,,,,52,30.3,,
2017-12-01T00:11:10.985Z,,,,52,30.3,,
2017-12-01T00:11:20.969Z,,,,52,30.3,,
2017-12-01T00:11:30.969Z,,,,52,30.3,,
2017-12-01T00:11:40.969Z,,,,52,30.3,,
2017-12-01T00:11:50.969Z,,,,52,30.3,37.9,
2017-12-01T00:12:00.970Z,,,,52,30.3,37.9,
2017-12-01T00:12:10.971Z,,,,52,30.3,,
2017-12-01T00:12:20.969Z,,,,52,30.3,,
2017-12-01T00:12:30.969Z,,,,52,30.3,,
2017-12-01T00:12:40.969Z,,,,52,30.3,,
2017-12-01T00:12:50.969Z,,,,52,30.3,,
2017-12-01T00:13:00.970Z,,,,52,30.3,37.8,
2017-12-01T00:13:10.975Z,,,,52,30.3,,
2017-12-01T00:13:20.969Z,,,,52,30.3,,
2017-12-01T00:13:30.970Z,,,,52,30.3,,
2017-12-01T00:13:40.971Z,,,,52,30.3,,
2017-12-01T00:13:50.969Z,,,,52,30.2,,
2017-12-01T00:14:00.973Z,,,,52,30.3,,
2017-12-01T00:14:10.971Z,,,,52,30.2,,
2017-12-01T00:14:20.973Z,,,,52,30.2,37.7,
2017-12-01T00:14:30.973Z,,,,52,30.2,,
2017-12-01T00:14:40.969Z,,,,52,30.2,,
2017-12-01T00:14:50.975Z,,,,52,30.2,,
2017-12-01T00:15:00.969Z,,,,52,30.2,,
2017-12-01T00:15:10.973Z,,,,52,30.2,,
2017-12-01T00:15:20.969Z,,,,52,30.2,,
2017-12-01T00:15:30.969Z,,,,52,30.2,,
2017-12-01T00:15:40.969Z,,,,52,30.2,37.6,
2017-12-01T00:15:50.972Z,,,,52,30.2,,
2017-12-01T00:16:00.969Z,,,,52,30.2,,
2017-12-01T00:16:10.971Z,,,,52,30.2,,
2017-12-01T00:16:20.970Z,,,,52,30.2,,
2017-12-01T00:16:30.969Z,,,,52,30.2,,
2017-12-01T00:16:40.974Z,,,,52,30.2,,
2017-12-01T00:16:50.973Z,,,,52,30.2,,
2017-12-01T00:17:01.099Z,,,,52,30.2,,
2017-12-01T00:17:10.969Z,,,,52,30.2,37.5,
2017-12-01T00:17:20.970Z,,,,52,30.1,,
2017-12-01T00:17:30.969Z,,,,52,30.2,,
2017-12-01T00:17:40.969Z,,,,52,30.1,,
2017-12-01T00:17:50.969Z,,,,52,30.1,,
2017-12-01T00:18:00.969Z,,,,52,30.1,,
2017-12-01T00:18:10.972Z,,,,52,30.1,,
2017-12-01T00:18:20.975Z,,,,52,30.1,,
2017-12-01T00:18:30.968Z,,,,52,30.1,,
2017-12-01T00:18:40.969Z,,,,52,30.1,,
2017-12-01T00:18:50.970Z,,,,52,30.1,37.4,
2017-12-01T00:19:00.969Z,,,,52,30.1,,
2017-12-01T00:19:10.974Z,,,,52,30.1,,
2017-12-01T00:19:20.969Z,,,,52,30.1,,
2017-12-01T00:19:30.969Z,,,,52,30.1,,
2017-12-01T00:19:40.977Z,,,,52,30.1,,
2017-12-01T00:19:50.969Z,,,,52,30.1,,
2017-12-01T00:20:00.969Z,,,,52,30.1,,
2017-12-01T00:20:10.972Z,,,,52,30,,
2017-12-01T00:20:20.969Z,,,,52,30,,
2017-12-01T00:20:30.969Z,1,,0,52,30,38,45
2017-12-01T00:20:41.228Z,,,,52,30,43.2,35
2017-12-01T00:20:50.971Z,,,,52,30,39.8,30
2017-12-01T00:21:00.971Z,,,,52,30,38.9,29
2017-12-01T00:21:10.970Z,,,,52,30,35.9,30
2017-12-01T00:21:20.970Z,,,,52,30,35.4,
2017-12-01T00:21:30.968Z,,,,52,30,35.1,29
2017-12-01T00:21:40.969Z,,,,52,30,,
2017-12-01T00:21:50.969Z,,,,52,30,35.7,
2017-12-01T00:22:00.969Z,,,,52,30,36,30
2017-12-01T00:22:10.969Z,,,,52,30,36.3,
2017-12-01T00:22:20.980Z,0,0,2,52,33.4,36.9,29
2017-12-01T00:22:30.982Z,,,,52,33.1,39.3,30
2017-12-01T00:22:40.969Z,0,,0,52,38.8,38.9,0
2017-12-01T00:22:50.969Z,,,,52,38.8,38.7,
2017-12-01T00:23:00.969Z,,,,52,38.8,38.6,
2017-12-01T00:23:10.969Z,,,,52,38.7,,
2017-12-01T00:23:20.969Z,,,,52,38.6,,
2017-12-01T00:23:30.969Z,,,,52,38.5,,
2017-12-01T00:23:40.970Z,1,58,0,52,38.4,40,45
2017-12-01T00:23:50.974Z,,,,52,38.4,43.1,38
2017-12-01T00:24:00.969Z,,,,52,38.3,40.8,29
2017-12-01T00:24:10.969Z,,,,52,38.2,38.9,30
2017-12-01T00:24:20.970Z,,,,52,38.1,37.8,29
2017-12-01T00:24:30.969Z,,,,52,38,37.5,30
2017-12-01T00:24:40.972Z,,,,52,37.9,37.1,29
2017-12-01T00:24:50.969Z,,,,52,37.9,37.4,30
2017-12-01T00:25:00.969Z,,,,52,37.8,38,29
2017-12-01T00:25:10.969Z,,,,52,37.7,38.2,
2017-12-01T00:25:20.969Z,,,,52,37.6,38.4,30
2017-12-01T00:25:30.968Z,,,,52,37.5,38.6,29
2017-12-01T00:25:40.968Z,0,0,2,52,37.5,38.8,
2017-12-01T00:25:50.969Z,0,,2,52,39.3,40.3,0
2017-12-01T00:26:01.044Z,0,,0,52,37.2,37.9,0
2017-12-01T00:26:11.030Z,,,,52,38.5,37.7,
2017-12-01T00:26:21.013Z,,,,52,38.5,37.6,
2017-12-01T00:26:30.969Z,,,,52,38.4,,
2017-12-01T00:26:40.969Z,0,,2,52,38.7,37.4,
2017-12-01T00:26:50.973Z,,,,52,37.6,39.1,36
2017-12-01T00:27:00.977Z,,,,52,39.6,42.3,87
2017-12-01T00:27:10.974Z,,,,52,41.4,46.2,80
2017-12-01T00:27:20.986Z,0,,0,52,45.4,47.8,0
2017-12-01T00:27:30.969Z,,,,52,45.4,46.9,
2017-12-01T00:27:40.969Z,0,,2,52,45.3,46.7,
2017-12-01T00:27:50.969Z,0,,2,52,45.9,46.1,30
2017-12-01T00:28:00.969Z,,,,52,46.1,46.2,
2017-12-01T00:28:10.969Z,0,,0,52,46,45.8,0
2017-12-01T00:28:20.968Z,,,,52,45.8,45.5,
2017-12-01T00:28:30.968Z,,,,52,45.6,45.4,
2017-12-01T00:28:40.969Z,,,,52,45.5,45.3,
2017-12-01T00:28:50.970Z,,,,52,45.4,,
2017-12-01T00:29:00.969Z,,,,52,45.2,,
2017-12-01T00:29:10.969Z,1,58,0,52,45.1,46.2,45
2017-12-01T00:29:20.990Z,,,,52,45,48.8,30
2017-12-01T00:29:30.969Z,,,,52,44.9,43.9,29
2017-12-01T00:29:40.970Z,,,,52,44.7,41.9,29
2017-12-01T00:29:50.968Z,,,,52,44.6,39.8,30
2017-12-01T00:30:00.968Z,,,,52,44.4,38.9,29
2017-12-01T00:30:10.969Z,,,,52,44.2,38.8,
2017-12-01T00:30:20.969Z,,,,52,44.1,39.1,29
2017-12-01T00:30:30.968Z,,,,52,44,39.5,
2017-12-01T00:30:40.969Z,,,,52,43.9,39.7,
2017-12-01T00:30:50.969Z,,,,52,43.8,39.9,
2017-12-01T00:31:00.971Z,,,,52,43.6,40,
2017-12-01T00:31:10.969Z,,,,52,43.5,,
2017-12-01T00:31:20.968Z,,,,52,43.4,40.2,
2017-12-01T00:31:30.974Z,,,,52,43.3,40.4,
2017-12-01T00:31:40.968Z,,,,52,43.2,40.6,
2017-12-01T00:31:50.968Z,,,,52,43.1,40.8,30
2017-12-01T00:32:00.969Z,,,,52,42.9,41,29
2017-12-01T00:32:10.974Z,,,,52,42.8,41.2,
2017-12-01T00:32:20.969Z,,,,52,42.7,41.3,
2017-12-01T00:32:30.968Z,,,,52,42.6,41.5,
2017-12-01T00:32:40.969Z,,,,52,42.5,41.7,
