Time,HwTSet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTOutlet
2017-12-05T00:00:00.822Z,50,,,,,,27.5
2017-12-05T00:00:10.822Z,,,,,,29.4,
2017-12-05T00:00:20.822Z,50,,,,,,27.5
2017-12-05T00:00:35.972Z,50,,,,,,27.5
2017-12-05T00:00:40.824Z,,,,,,29.3,
2017-12-05T00:00:55.842Z,50,,,,,,27.5
2017-12-05T00:01:10.822Z,50,,,,,,27.5
2017-12-05T00:01:20.830Z,50,,,,,,27.5
2017-12-05T00:01:40.821Z,50,,,,,,27.5
2017-12-05T00:14:08.874Z,50,,,,,29.4,27.4
2017-12-05T00:14:18.825Z,50,,,,,,38.9
2017-12-05T00:14:38.824Z,50,,,,,,38.8
2017-12-05T00:14:48.824Z,50,,,,,,38.6
2017-12-05T00:15:08.823Z,50,,,,,41.5,38.5
2017-12-05T00:15:18.824Z,50,,,,,,38.4
2017-12-05T00:15:38.823Z,50,,,,,,38.3
2017-12-05T00:15:48.823Z,50,,,,,,38.1
2017-12-05T00:16:08.824Z,50,,,,,,38
2017-12-05T00:16:18.874Z,50,,,,,,37.8
2017-12-05T00:16:28.823Z,,,,,,41.4,
2017-12-05T00:16:38.826Z,50,,,,,,37.8
2017-12-05T00:16:48.823Z,50,,,,,,37.6
2017-12-05T00:16:58.843Z,50,,,,,,37.6
2017-12-05T00:17:08.824Z,50,1,,0,0,41.4,37.5
2017-12-05T00:17:18.825Z,50,1,32,,0,41.1,40.3
2017-12-05T00:17:28.823Z,50,,,,,42,41.3
2017-12-05T00:17:38.823Z,50,,38,,,44,42.5
2017-12-05T00:17:48.823Z,50,0,0,,0,44.8,44.1
2017-12-05T00:17:58.823Z,50,,,,,44.3,44.3
2017-12-05T00:18:08.823Z,50,,,,,44.2,44
2017-12-05T00:18:18.823Z,,,,,,44.1,
2017-12-05T00:18:28.823Z,50,,,,,44,43.7
2017-12-05T00:18:48.823Z,50,0,45,59,2,44.8,43.6
2017-12-05T00:18:58.838Z,50,,38,,,48.4,43.4
2017-12-05T00:19:08.823Z,50,,29,,,40.8,43.3
2017-12-05T00:19:18.823Z,50,,,,,37.8,43.2
2017-12-05T00:19:28.825Z,50,,29,,,34.9,43
2017-12-05T00:19:38.824Z,50,,,,,34.8,42.8
2017-12-05T00:19:48.826Z,,,,,,34,
