Time,PrimTSet,ActPow,ChActive,HwTSet,PrimT,HwTOutlet,HwActive
2017-12-07T00:00:02.588Z,,,,50,33.4,29.2,
2017-12-07T00:00:12.588Z,,,,50,,29.2,
2017-12-07T00:00:22.589Z,,,,50,,29.2,
2017-12-07T00:00:32.673Z,,,,50,,29.2,
2017-12-07T00:00:42.588Z,,,,50,33.3,29.2,
2017-12-07T00:00:52.593Z,,,,50,,29.2,
2017-12-07T00:01:02.589Z,,,,50,,29.2,
2017-12-07T00:01:12.589Z,,,,50,,29.1,
2017-12-07T00:01:22.588Z,,,,50,,29.1,
2017-12-07T00:01:32.669Z,,,,50,33.2,29.1,
2017-12-07T00:01:42.594Z,,,,50,,29.1,
2017-12-07T00:01:52.589Z,,,,50,,29.1,
2017-12-07T00:02:02.589Z,,,,50,,29.1,
2017-12-07T00:02:12.588Z,,,,50,33.1,29.1,
2017-12-07T00:02:22.594Z,,,,50,,29,
2017-12-07T00:02:32.668Z,,,,50,,29,
2017-12-07T00:02:42.588Z,,,,50,,29,
2017-12-07T00:02:52.645Z,,,,50,32.9,29,
2017-12-07T00:03:02.633Z,,,,50,,29,
2017-12-07T00:03:12.622Z,,,,50,,29,
2017-12-07T00:03:22.617Z,,,,50,,29,
2017-12-07T00:03:32.669Z,,,,50,,29,
2017-12-07T00:03:42.588Z,,,,50,,28.9,
2017-12-07T00:03:52.588Z,,,,50,32.8,28.9,
2017-12-07T00:04:02.589Z,,,,50,,28.9,
2017-12-07T00:04:12.589Z,,,,50,,28.9,
2017-12-07T00:04:22.589Z,,,,50,,28.9,
2017-12-07T00:04:32.669Z,,,,50,,28.9,
2017-12-07T00:04:42.588Z,,,,50,32.7,28.9,
2017-12-07T00:04:52.589Z,,,,50,,28.9,
2017-12-07T00:05:02.589Z,,,,50,,28.7,
2017-12-07T00:05:12.589Z,,,,50,,28.7,
2017-12-07T00:05:22.589Z,,,,50,,28.7,
2017-12-07T00:05:32.674Z,,,,50,,28.7,
