Time,HwTSet,HwActive,ActPow,PrimT,PrimTSet,ChActive,HwTOutlet
2017-12-08T09:28:30.547Z,50,,29,41.8,,,31.9
2017-12-08T09:28:40.555Z,50,,30,42,,,31.9
2017-12-08T09:28:50.546Z,50,,0,42.2,,,31.9
2017-12-08T09:29:00.545Z,50,0,,39.8,,2,31.8
2017-12-08T09:29:10.544Z,50,,,38.9,,,31.8
2017-12-08T09:29:20.544Z,50,,,37.5,,,31.8
2017-12-08T09:29:30.556Z,50,,,,,,31.8
2017-12-08T09:29:40.543Z,50,,,37.3,,,31.8
2017-12-08T09:29:50.554Z,50,,,,,,31.8
2017-12-08T09:30:00.542Z,50,,,,,,31.8
2017-12-08T09:30:10.543Z,50,,,,,,31.8
2017-12-08T09:30:20.543Z,50,,,,,,31.8
2017-12-08T09:30:30.554Z,50,,,36.9,,,31.8
2017-12-08T09:30:40.542Z,50,,,,,,31.8
2017-12-08T09:30:50.549Z,50,,,36.8,,,31.8
2017-12-08T09:31:00.543Z,50,,,,,,31.8
2017-12-08T09:31:10.557Z,50,,,,,,31.8
2017-12-08T09:31:20.566Z,50,,,,,,31.8
2017-12-08T09:31:30.578Z,50,,,,,,31.8
2017-12-08T09:31:40.542Z,50,,,36.7,,,31.8
2017-12-08T09:31:50.544Z,50,,,36.6,,,31.8
2017-12-08T09:32:00.562Z,50,,,,,,31.8
2017-12-08T09:32:10.583Z,50,,,,,,31.8
2017-12-08T09:32:20.570Z,50,,,,,,31.8
2017-12-08T09:32:30.543Z,50,,,,,,31.6
2017-12-08T09:32:40.542Z,50,,,,,,31.6
2017-12-08T09:32:50.542Z,50,,,,,,31.8
2017-12-08T09:33:00.561Z,50,,,,,,31.6
2017-12-08T09:33:10.551Z,50,,,,,,31.6
2017-12-08T09:33:20.601Z,50,,,,,,31.6
2017-12-08T09:33:30.696Z,50,,,36.5,,,31.6
2017-12-08T09:33:40.695Z,50,,,,,,31.6
2017-12-08T09:33:50.724Z,50,,,,,,31.6
2017-12-08T09:34:00.738Z,50,,,,,,31.6
2017-12-08T09:34:10.596Z,50,,,36.6,,,31.6
2017-12-08T09:34:20.610Z,50,,,36.5,,,31.6
2017-12-08T09:34:30.606Z,50,,,36.6,,,31.6
2017-12-08T09:34:40.602Z,50,,,,,,31.6
2017-12-08T09:34:50.605Z,50,,,,,,31.5
2017-12-08T09:35:00.592Z,50,,,,,,31.6
2017-12-08T09:35:10.596Z,50,,,,,,31.5
2017-12-08T09:35:20.594Z,50,,,,,,31.5
2017-12-08T09:35:30.558Z,50,,,36.7,,,31.5
2017-12-08T09:35:40.624Z,50,,,,,,31.5
2017-12-08T09:35:50.581Z,50,,,,,,31.5
2017-12-08T09:36:01.276Z,50,,,36.8,,,31.5
2017-12-08T09:36:10.541Z,50,,,,,,31.5
2017-12-08T09:36:20.545Z,50,,,,,,31.5
2017-12-08T09:36:30.550Z,50,,,,,,31.5
2017-12-08T09:36:40.562Z,50,,,,,,31.5
2017-12-08T09:36:50.574Z,50,,,36.9,,,31.5
2017-12-08T09:37:00.573Z,50,,,,,,31.5
2017-12-08T09:37:10.590Z,50,,,,,,31.5
2017-12-08T09:37:20.585Z,50,,,,,,31.4
2017-12-08T09:37:30.558Z,50,,,,,,31.4
2017-12-08T09:37:40.565Z,50,,,,,,31.4
2017-12-08T09:37:50.551Z,50,,,36.9,,,31.4
2017-12-08T09:38:00.547Z,50,,,37.1,,,31.4
2017-12-08T09:38:10.543Z,50,,,37.1,,,31.4
2017-12-08T09:38:20.555Z,50,,,,,,31.4
2017-12-08T09:38:30.543Z,50,,,,,,31.4
2017-12-08T09:40:00.563Z,50,,,36.9,,,31.3
2017-12-08T09:40:10.550Z,50,,,36.9,,,31.3
2017-12-08T09:40:20.560Z,50,,,,,,31.3
2017-12-08T09:40:30.545Z,50,,,,,,31.3
2017-12-08T09:40:40.561Z,50,,,,,,31.3
2017-12-08T09:40:50.544Z,50,,,,,,31.2
2017-12-08T09:41:00.548Z,50,,,,,,31.2
2017-12-08T09:41:10.542Z,50,,,,,,31.2
2017-12-08T09:41:20.543Z,50,,,,,,31.2
2017-12-08T09:41:30.544Z,50,,,,,,31.2
2017-12-08T09:41:40.549Z,50,,,,,,31.2
2017-12-08T09:41:50.558Z,50,,,,,,31.2
2017-12-08T09:42:00.544Z,50,,,,,,31.2
2017-12-08T09:42:10.556Z,50,,,,,,31.2
2017-12-08T09:42:20.594Z,50,,,36.8,,,31.2
2017-12-08T09:42:30.545Z,50,,,,,,31.2
