Time,HwTOutlet,ActPow,HwActive,HwTSet,PrimTSet,ChActive,PrimT
2017-12-09T00:00:00.526Z,28.6,,,50,,,22.9
2017-12-09T00:00:10.525Z,28.6,,,50,,,22.7
2017-12-09T00:00:20.525Z,28.6,,,50,,,23
2017-12-09T00:00:30.526Z,28.5,,,50,,,23.4
2017-12-09T00:00:40.524Z,28.5,,,50,,,23.7
2017-12-09T00:00:50.524Z,28.5,,,50,,,23.9
2017-12-09T00:01:00.524Z,28.5,,,50,,,23.7
2017-12-09T00:01:10.524Z,28.5,,,50,,,
2017-12-09T00:01:20.527Z,28.5,,,50,,,
2017-12-09T00:01:30.524Z,28.5,,,50,,,
2017-12-09T00:01:40.527Z,28.5,,,50,,,
2017-12-09T00:01:50.524Z,28.5,,,50,,,
2017-12-09T00:02:00.524Z,28.4,,,50,,,
2017-12-09T00:02:10.524Z,28.4,,,50,,,
2017-12-09T00:02:20.523Z,28.4,,,50,,,
2017-12-09T00:02:30.527Z,28.4,,,50,,,
2017-12-09T00:02:40.527Z,28.4,,,50,,,
2017-12-09T00:02:50.525Z,28.4,,,50,,,
2017-12-09T00:03:00.525Z,28.4,,,50,,,
2017-12-09T00:03:10.529Z,28.3,,,50,,,23.6
2017-12-09T00:03:20.525Z,28.3,,,50,,,23.7
2017-12-09T00:03:30.524Z,28.3,,,50,,,
2017-12-09T00:03:40.529Z,28.3,,,50,,,
2017-12-09T00:03:50.524Z,28.3,,,50,,,
2017-12-09T00:04:00.543Z,28.3,,,50,,,
2017-12-09T00:04:10.536Z,28.1,40,0,50,,2,27.8
2017-12-09T00:04:20.529Z,28.1,30,,50,,,30
2017-12-09T00:04:30.528Z,28.1,,,50,,,30.1
2017-12-09T00:04:40.524Z,28.1,29,,50,,,29.9
2017-12-09T00:04:50.524Z,28.1,30,,50,,,29.8
2017-12-09T00:05:00.529Z,28.1,29,,50,,,29.6
2017-12-09T00:05:10.529Z,28.1,,,50,,,30
2017-12-09T00:05:20.524Z,28,,,50,,,30.2
2017-12-09T00:05:30.524Z,28,,,50,,,30.5
2017-12-09T00:05:40.530Z,28,30,,50,,,30.8
2017-12-09T00:05:50.529Z,28,,,50,,,31.1
2017-12-09T00:06:00.524Z,28,29,,50,,,31.3
2017-12-09T00:06:10.524Z,28,,,50,,,31.5
2017-12-09T00:06:20.524Z,28,,,50,,,31.6
