Time,ActPow,HwTSet,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-12-12T00:00:00.417Z,,50,,,32,,
2017-12-12T00:00:10.417Z,,50,,41,32,,
2017-12-12T00:00:20.417Z,,50,,,32,,
2017-12-12T00:00:30.417Z,,50,,,32,,
2017-12-12T00:00:40.417Z,,50,,,32,,
2017-12-12T00:00:50.417Z,,50,,,32,,
2017-12-12T00:01:00.417Z,,50,,,32,,
2017-12-12T00:01:10.417Z,,50,,,32,,
2017-12-12T00:01:20.417Z,,50,,,32,,
2017-12-12T00:01:30.417Z,,50,,41.1,32,,
2017-12-12T00:01:40.417Z,,50,,,32,,
2017-12-12T00:01:50.416Z,,50,,,32,,
2017-12-12T00:02:00.416Z,,50,,,32,,
2017-12-12T00:02:10.417Z,,50,,41.2,32,,
2017-12-12T00:02:20.418Z,,50,,,32,,
2017-12-12T00:02:30.417Z,,50,,,32,,
2017-12-12T00:02:40.416Z,,50,,,32,,
2017-12-12T00:02:50.416Z,,50,,41.3,32,,
2017-12-12T00:03:00.417Z,,50,,,32,,
2017-12-12T00:03:10.417Z,,50,,,32,,
2017-12-12T00:03:20.417Z,,50,,41.4,32,,
2017-12-12T00:03:30.417Z,,50,,,32,,
2017-12-12T00:03:40.417Z,,50,,,32,,
2017-12-12T00:03:50.417Z,,50,,,32,,
2017-12-12T00:04:00.417Z,,50,,,32,,
2017-12-12T00:04:10.417Z,,50,,,32,,
2017-12-12T00:04:20.417Z,,50,,,32,,
2017-12-12T00:04:30.416Z,,50,,,32,,
2017-12-12T00:04:40.416Z,,50,,,32,,
2017-12-12T00:04:50.417Z,,50,,,32,,
2017-12-12T00:05:00.417Z,,50,,,32,,
2017-12-12T00:05:10.416Z,,50,,41.5,32,,
2017-12-12T00:05:20.417Z,,50,,,32,,
2017-12-12T00:05:30.416Z,,50,,41.4,32,,
2017-12-12T00:05:40.417Z,,50,,41.5,32,,
2017-12-12T00:05:50.417Z,,50,,41.4,32,,
2017-12-12T00:06:00.417Z,,50,,,32,,
2017-12-12T00:06:10.417Z,,50,,,32,,
2017-12-12T00:06:20.419Z,,50,,,32,,
2017-12-12T00:06:30.417Z,,50,,,32,,
2017-12-12T00:06:40.417Z,,50,,,32,,
2017-12-12T00:06:50.416Z,,50,,,32,,
2017-12-12T00:07:00.417Z,,50,,,32,,
2017-12-12T00:07:10.417Z,,50,,,32,,
2017-12-12T00:07:20.417Z,,50,,41.3,32,,
2017-12-12T00:07:30.416Z,,50,,,32,,
2017-12-12T00:07:40.416Z,,50,,,32,,
2017-12-12T00:07:50.417Z,,50,,,32,,
2017-12-12T00:08:00.417Z,,50,,,32,,
2017-12-12T00:08:10.417Z,,50,,,31.9,,
2017-12-12T00:08:20.416Z,,50,,,31.9,,
2017-12-12T00:08:30.417Z,,50,,,32,,
2017-12-12T00:08:40.417Z,,50,,,31.9,,
2017-12-12T00:08:50.416Z,,50,,41.2,31.9,,
2017-12-12T00:09:00.416Z,,50,,,31.9,,
2017-12-12T00:09:10.416Z,,50,,,31.9,,
2017-12-12T00:09:20.417Z,,50,,,31.9,,
2017-12-12T00:09:30.417Z,,50,,,31.9,,
2017-12-12T00:09:40.417Z,,50,,,31.9,,
2017-12-12T00:09:50.418Z,,50,,,31.9,,
2017-12-12T00:10:00.416Z,,50,,41.1,31.9,,
2017-12-12T00:10:10.417Z,,50,,,31.9,,
2017-12-12T00:10:20.417Z,,50,,,31.9,,
2017-12-12T00:10:30.416Z,,50,,,31.9,,
2017-12-12T00:10:40.416Z,,50,,,31.9,,
2017-12-12T00:10:50.416Z,,50,,,31.9,,
2017-12-12T00:11:00.417Z,,50,,,31.9,,
2017-12-12T00:11:10.417Z,,50,,41,31.9,,
2017-12-12T00:11:20.416Z,,50,,,31.9,,
2017-12-12T00:11:30.416Z,,50,,,31.9,,
2017-12-12T00:11:40.417Z,,50,,,31.9,,
2017-12-12T00:11:50.416Z,,50,,,31.9,,
2017-12-12T00:12:00.416Z,,50,,40.9,31.8,,
2017-12-12T00:12:10.417Z,,50,,40.9,31.8,,
2017-12-12T00:12:20.416Z,,50,,,31.8,,
2017-12-12T00:12:30.458Z,39,50,1,44.7,31.8,,0
2017-12-12T00:12:40.445Z,36,50,,46.1,31.8,,
2017-12-12T00:12:50.417Z,29,50,,43.7,31.8,,
2017-12-12T00:13:00.417Z,,50,,40.9,31.8,,
2017-12-12T00:13:10.416Z,,50,,39.9,31.8,,
2017-12-12T00:13:20.416Z,29,50,,38.9,31.8,,
2017-12-12T00:13:30.416Z,,50,,39.1,31.8,,
2017-12-12T00:13:40.418Z,,50,,39.4,31.8,,
2017-12-12T00:13:50.417Z,30,50,,40,31.8,,
2017-12-12T00:14:00.416Z,,50,,40.3,31.8,,
2017-12-12T00:14:10.417Z,29,50,,40.5,31.8,,
2017-12-12T00:14:20.417Z,30,50,,40.7,31.8,,
2017-12-12T00:14:30.416Z,,50,,40.8,31.8,,
2017-12-12T00:14:40.420Z,30,50,,41,31.8,,
2017-12-12T00:14:50.416Z,,50,,41.1,31.8,,
2017-12-12T00:15:00.416Z,,50,,41.4,31.8,,
