Time,ChActive,HwActive,PrimT,HwTSet,PrimTSet,ActPow,HwTOutlet
2017-12-13T00:00:00.382Z,,,,50,,,35.2
2017-12-13T00:00:10.382Z,,,,50,,,35.1
2017-12-13T00:00:30.382Z,0,2,,50,0,,34.9
2017-12-13T00:00:40.382Z,0,0,37.8,50,,43,36.7
2017-12-13T00:00:50.382Z,0,0,37.8,50,,0,37.1
2017-12-13T00:01:00.382Z,,,37.6,50,,,37.1
2017-12-13T00:01:10.382Z,0,2,37.6,50,,40,36.9
2017-12-13T00:01:20.382Z,,,,50,,30,36.9
2017-12-13T00:01:30.392Z,0,0,39.8,50,,0,36.6
2017-12-13T00:01:40.382Z,,,39.6,50,,,38
2017-12-13T00:01:50.435Z,,,39.5,50,,,38
2017-12-13T00:02:00.382Z,0,2,39.5,50,,,37.9
2017-12-13T00:02:10.424Z,0,0,39.7,50,,31,39.4
2017-12-13T00:02:20.382Z,0,0,38.6,50,,0,39.3
2017-12-13T00:02:30.383Z,,,38.5,50,,,39.2
2017-12-13T00:02:40.382Z,,,,50,,,38.9
2017-12-13T00:02:50.382Z,,,38.4,50,,,38.9
2017-12-13T00:03:00.382Z,,,,50,,,38.8
2017-12-13T00:03:10.382Z,,,,50,,,38.7
2017-12-13T00:03:20.382Z,1,0,40.5,50,59,42,38.7
2017-12-13T00:03:30.388Z,,,44,50,,34,38.6
2017-12-13T00:03:40.382Z,,,39.2,50,,29,38.5
2017-12-13T00:03:50.382Z,,,37.9,50,,30,38.4
2017-12-13T00:04:00.382Z,,,34.9,50,,29,38.4
2017-12-13T00:04:10.382Z,,,34.8,50,,,38.3
2017-12-13T00:04:20.382Z,,,34.1,50,,,38.2
2017-12-13T00:04:30.382Z,,,34.2,50,,,38.2
2017-12-13T00:04:40.382Z,,,35.1,50,,,38.1
2017-12-13T00:04:50.382Z,,,35.3,50,,,38
2017-12-13T00:05:00.381Z,,,35.5,50,,30,37.9
2017-12-13T00:05:10.382Z,,,35.6,50,,29,37.8
2017-12-13T00:05:20.382Z,,,35.7,50,,30,37.8
2017-12-13T00:05:30.382Z,,,36,50,,29,37.7
2017-12-13T00:05:40.382Z,,,36.1,50,,30,37.6
2017-12-13T00:05:50.382Z,,,36.3,50,,29,37.6
2017-12-13T00:06:00.382Z,,,36.5,50,,,37.5
2017-12-13T00:06:10.382Z,,,37.1,50,,,37.4
2017-12-13T00:06:20.382Z,,,,50,,30,37.3
2017-12-13T00:06:30.382Z,,,37.3,50,,29,37.3
2017-12-13T00:06:40.381Z,,,37.5,50,,,37.2
2017-12-13T00:06:50.382Z,,,37.7,50,,,37.1
2017-12-13T00:07:00.382Z,,,38,50,,30,37.1
2017-12-13T00:07:10.431Z,,,38.1,50,,29,36.9
2017-12-13T00:07:20.382Z,,,38.2,50,,30,36.8
