Time,HwTSet,ActPow,PrimTSet,PrimT,ChActive,HwTOutlet,HwActive
2017-12-16T00:00:00.334Z,50,,,,,33.8,
2017-12-16T00:00:10.276Z,50,,,,,33.8,
2017-12-16T00:00:20.276Z,50,,,,,33.7,
2017-12-16T00:00:30.276Z,50,,,,,33.7,
2017-12-16T00:00:40.276Z,50,0,59,36.6,1,33.7,0
2017-12-16T00:00:50.281Z,50,,,,,33.6,
2017-12-16T00:01:00.277Z,50,,,,,33.6,
2017-12-16T00:01:10.276Z,50,,,,,33.6,
2017-12-16T00:01:20.276Z,50,,,,,33.5,
2017-12-16T00:01:30.276Z,50,,,,,33.5,
2017-12-16T00:01:40.276Z,50,,,,,33.5,
2017-12-16T00:01:50.276Z,50,,,,,33.4,
2017-12-16T00:02:00.276Z,50,,,,,33.4,
2017-12-16T00:02:10.276Z,50,,,,,33.4,
2017-12-16T00:02:20.276Z,50,,,,,33.3,
2017-12-16T00:02:30.277Z,50,,,,,33.3,
2017-12-16T00:02:40.277Z,50,,,36.5,,33.3,
2017-12-16T00:02:50.277Z,50,,,36.6,,33.2,
2017-12-16T00:03:00.276Z,50,,,,,33.2,
2017-12-16T00:03:10.276Z,50,,,36.5,,33.2,
2017-12-16T00:03:20.276Z,50,,,,,33.1,
2017-12-16T00:03:30.277Z,50,,,,,33.1,
2017-12-16T00:03:40.277Z,50,,,,,33.1,
2017-12-16T00:03:50.277Z,50,,,,,33.1,
2017-12-16T00:04:00.277Z,50,,,,,32.9,
2017-12-16T00:04:10.277Z,50,,,,,32.9,
2017-12-16T00:04:20.277Z,50,,,,,32.9,
2017-12-16T00:04:30.276Z,50,,,,,32.8,
2017-12-16T00:04:40.276Z,50,,,,,32.8,
2017-12-16T00:04:50.279Z,50,,,,,32.8,
2017-12-16T00:05:00.277Z,50,,,,,32.8,
2017-12-16T00:05:10.276Z,50,,,,,32.7,
2017-12-16T00:05:20.277Z,50,,,,,32.7,
2017-12-16T00:05:30.285Z,50,,,36.4,,32.7,
2017-12-16T00:05:40.277Z,50,,,,,32.6,
2017-12-16T00:05:50.276Z,50,,,,,32.6,
2017-12-16T00:06:00.276Z,50,,,,,32.6,
