Time,ActPow,HwActive,ChActive,PrimTSet,HwTOutlet,HwTSet,PrimT
2017-12-17T00:00:00.239Z,,,,,28.6,50,
2017-12-17T00:00:10.238Z,,,,,28.6,50,
2017-12-17T00:00:20.239Z,,,,,28.6,50,
2017-12-17T00:00:30.239Z,,,,,28.6,50,
2017-12-17T00:00:40.239Z,,,,,28.6,50,
2017-12-17T00:00:50.240Z,,,,,28.6,50,
2017-12-17T00:01:00.239Z,,,,,28.6,50,34.7
2017-12-17T00:01:10.239Z,,,,,28.6,50,
2017-12-17T00:01:20.239Z,,,,,28.6,50,
2017-12-17T00:01:30.239Z,,,,,28.6,50,
2017-12-17T00:01:40.239Z,,,,,28.6,50,
2017-12-17T00:01:50.238Z,,,,,28.6,50,
2017-12-17T00:02:00.239Z,,,,,28.6,50,
2017-12-17T00:02:10.238Z,,,,,28.6,50,
2017-12-17T00:02:20.238Z,,,,,28.6,50,
2017-12-17T00:02:30.239Z,,,,,28.6,50,
2017-12-17T00:02:40.238Z,0,0,2,59,28.6,50,34.6
2017-12-17T00:02:50.238Z,,,,,28.6,50,
2017-12-17T00:03:00.238Z,,,,,28.6,50,
2017-12-17T00:03:10.238Z,,,,,28.6,50,
2017-12-17T00:03:20.239Z,,,,,28.6,50,
2017-12-17T00:03:30.238Z,,,,,28.6,50,
2017-12-17T00:03:40.238Z,,,,,28.6,50,
2017-12-17T00:03:50.238Z,,,,,28.6,50,
2017-12-17T00:04:00.239Z,,,,,28.6,50,
2017-12-17T00:04:25.468Z,,,,,28.6,50,34.5
2017-12-17T00:04:30.238Z,,,,,28.6,50,
2017-12-17T00:04:40.238Z,,,,,28.6,50,
2017-12-17T00:04:50.238Z,,,,,28.5,50,
2017-12-17T00:05:00.238Z,,,,,28.6,50,
2017-12-17T00:05:10.239Z,,,,,28.5,50,
2017-12-17T00:05:20.239Z,,,,,28.5,50,
2017-12-17T00:05:30.238Z,,,,,28.5,50,
2017-12-17T00:05:40.238Z,,,,,28.5,50,
2017-12-17T00:05:50.238Z,,,,,28.5,50,
2017-12-17T00:06:00.239Z,,,,,28.5,50,34.4
2017-12-17T00:06:10.238Z,,,,,28.5,50,
2017-12-17T00:06:20.238Z,,,,,28.5,50,
