Time,HwTSet,PrimTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimT
2017-12-18T00:00:00.204Z,50,,,,25.7,,
2017-12-18T00:00:10.204Z,50,,,,25.7,,
2017-12-18T00:00:20.204Z,50,,,,25.7,,21.7
2017-12-18T00:00:30.204Z,50,,,,25.6,,
2017-12-18T00:00:40.204Z,50,,,,25.6,,
2017-12-18T00:00:50.204Z,50,,,,25.6,,
2017-12-18T00:01:00.204Z,50,,,,25.6,,
2017-12-18T00:01:10.204Z,50,,,,25.6,,
2017-12-18T00:01:20.204Z,50,,,,25.6,,
2017-12-18T00:01:30.204Z,50,,,,25.6,,
2017-12-18T00:01:40.204Z,50,,,,25.5,,21.8
2017-12-18T00:01:50.204Z,50,,,,25.5,,
2017-12-18T00:02:00.204Z,50,,,,25.5,,
2017-12-18T00:02:10.204Z,50,,,,25.5,,21.9
2017-12-18T00:02:20.204Z,50,,,,25.5,,22
2017-12-18T00:02:30.204Z,50,,,,25.5,,
2017-12-18T00:02:40.204Z,50,,,,25.5,,22.2
2017-12-18T00:02:50.205Z,50,,,,25.5,,
2017-12-18T00:03:00.204Z,50,,,,25.4,,22.3
2017-12-18T00:03:10.204Z,50,,,,25.4,,22.4
2017-12-18T00:03:20.204Z,50,,,,25.4,,22.5
2017-12-18T00:03:30.204Z,50,,,,25.4,,
2017-12-18T00:03:40.204Z,50,,,,25.4,,22.7
2017-12-18T00:03:50.204Z,50,,,,25.4,,22.8
2017-12-18T00:04:00.204Z,50,,,,25.4,,
2017-12-18T00:04:10.203Z,50,,,,25.4,,22.9
2017-12-18T00:04:20.204Z,50,,,,25.3,,23
2017-12-18T00:04:30.204Z,50,,,,25.3,,23.1
2017-12-18T00:04:40.215Z,50,59,36,0,25.3,2,27.3
2017-12-18T00:04:50.204Z,50,,29,,25.3,,29.9
2017-12-18T00:05:00.204Z,50,,29,,25.3,,28.6
2017-12-18T00:05:10.204Z,50,,,,25.3,,27.8
2017-12-18T00:05:20.204Z,50,,,,25.3,,27.5
2017-12-18T00:05:30.204Z,50,,30,,25.3,,27.2
2017-12-18T00:05:40.203Z,50,,29,,25.3,,
2017-12-18T00:05:50.204Z,50,,,,25.3,,27.5
2017-12-18T00:06:00.204Z,50,,29,,25.1,,28
2017-12-18T00:06:10.204Z,50,,,,25.1,,28.1
2017-12-18T00:06:20.204Z,50,,,,25.1,,28.3
2017-12-18T00:06:30.204Z,50,,,,25.1,,28.4
2017-12-18T00:06:40.204Z,50,,,,25.1,,28.6
2017-12-18T00:06:50.204Z,50,,,,25.1,,28.8
2017-12-18T00:07:00.204Z,50,,,,25.1,,29
2017-12-18T00:07:10.204Z,50,,30,,25.1,,29.3
2017-12-18T00:07:20.204Z,50,,29,,25.1,,29.4
