Time,HwActive,PrimT,PrimTSet,HwTOutlet,ChActive,ActPow,HwTSet
2017-12-22T00:00:09.064Z,,33.5,,27.8,,,50
2017-12-22T00:00:19.064Z,,33.6,,27.8,,,50
2017-12-22T00:00:29.064Z,,,,27.8,,,50
2017-12-22T00:00:39.064Z,,33.5,,27.8,,,50
2017-12-22T00:00:49.063Z,,,,27.8,,,50
2017-12-22T00:00:59.064Z,,,,27.8,,,50
2017-12-22T00:01:09.064Z,0,33.7,,27.8,2,45,50
2017-12-22T00:01:19.064Z,,39.6,,,,34,
2017-12-22T00:01:29.064Z,,37.4,,27.8,,30,50
2017-12-22T00:01:39.065Z,,35.5,,27.8,,29,50
2017-12-22T00:01:49.064Z,,32.7,,27.7,,29,50
2017-12-22T00:01:59.064Z,,31.9,,27.7,,29,50
2017-12-22T00:02:09.063Z,,31.8,,27.8,,,50
2017-12-22T00:02:19.064Z,,32.1,,,,30,
2017-12-22T00:02:29.064Z,,,,27.7,,,50
2017-12-22T00:02:39.064Z,,32.7,,27.7,,29,50
2017-12-22T00:02:49.063Z,,33.2,,,,30,
2017-12-22T00:02:59.063Z,,33.3,,27.7,,,50
2017-12-22T00:03:09.064Z,,33.4,,27.7,,29,50
2017-12-22T00:03:19.064Z,,33.6,,,,30,
2017-12-22T00:03:29.064Z,,,,27.7,,,50
2017-12-22T00:03:39.063Z,,34.1,,,,29,
2017-12-22T00:03:49.064Z,,34.3,,27.7,,30,50
2017-12-22T00:03:59.066Z,,,,27.7,,,50
2017-12-22T00:04:09.064Z,,34.7,,,,29,
2017-12-22T00:04:19.064Z,,34.9,,27.7,,,50
2017-12-22T00:04:29.063Z,,35.2,,,,30,
2017-12-22T00:04:39.064Z,,35.4,,27.7,,,50
2017-12-22T00:04:49.064Z,,35.6,,27.7,,29,50
2017-12-22T00:04:59.064Z,,,,27.7,,,50
2017-12-22T00:05:09.064Z,,36,,,,30,
2017-12-22T00:05:19.064Z,,36.1,,27.7,,,50
2017-12-22T00:05:39.064Z,,36.4,,27.7,,29,50
2017-12-22T00:05:49.063Z,,36.6,,,,,
2017-12-22T00:05:59.063Z,,36.8,,27.8,,,50
2017-12-22T00:06:09.063Z,,37.1,,,,29,
2017-12-22T00:06:19.064Z,,37.3,,27.7,,,50
2017-12-22T00:06:29.063Z,,,,27.8,,,50
2017-12-22T00:06:39.064Z,,37.5,,27.8,,,50
2017-12-22T00:06:49.064Z,,37.8,,,,29,
2017-12-22T00:06:59.064Z,,37.9,,27.8,,30,50
2017-12-22T00:07:09.064Z,,38.1,,,,29,
2017-12-22T00:07:19.064Z,,38.3,,27.8,,,50
2017-12-22T00:07:39.064Z,,38.5,,27.8,,30,50
2017-12-22T00:07:49.064Z,,38.9,,,,29,
2017-12-22T00:07:59.064Z,0,38.5,,27.8,2,0,50
2017-12-22T00:08:09.064Z,,35.7,,27.8,,,50
2017-12-22T00:08:19.063Z,,34.5,,27.8,,,50
2017-12-22T00:08:29.064Z,,34,,27.8,,,50
2017-12-22T00:08:39.064Z,,,,27.9,,,50
2017-12-22T00:08:49.063Z,,33.9,,27.9,,,50
2017-12-22T00:08:59.063Z,,,,27.9,,,50
2017-12-22T00:09:09.064Z,,33.9,,,,,
2017-12-22T00:09:19.063Z,,,,27.9,,,50
2017-12-22T00:09:39.064Z,,33.7,,27.9,,,50
