Time,HwActive,HwTOutlet,ChActive,PrimTSet,ActPow,HwTSet,PrimT
2017-12-26T00:00:05.937Z,,25.9,,,,50,33.3
2017-12-26T00:00:15.939Z,,25.9,,,,50,
2017-12-26T00:00:25.937Z,,25.9,,,,50,
2017-12-26T00:00:35.937Z,,25.9,,,,50,
2017-12-26T00:00:45.937Z,,25.9,,,,50,
2017-12-26T00:00:55.937Z,,25.9,,,,50,
2017-12-26T00:01:05.940Z,,25.9,,,,50,
2017-12-26T00:01:15.940Z,,25.9,,,,50,
2017-12-26T00:01:26.155Z,,25.9,,,,50,
2017-12-26T00:01:35.940Z,,25.9,,,,50,
2017-12-26T00:01:45.937Z,,25.9,,,,50,
2017-12-26T00:01:55.937Z,,25.9,,,,50,
2017-12-26T00:02:05.937Z,,25.9,,,,50,
2017-12-26T00:02:15.940Z,,25.9,,,,50,
2017-12-26T00:02:25.941Z,,25.9,,,,50,
2017-12-26T00:02:35.940Z,,25.7,,,,50,
2017-12-26T00:02:45.941Z,,25.7,,,,50,33.2
2017-12-26T00:02:55.937Z,,25.7,,,,50,33.3
2017-12-26T00:03:05.937Z,,25.7,,,,50,33.2
2017-12-26T00:03:15.937Z,,25.7,,,,50,33.3
2017-12-26T00:03:25.937Z,,25.7,,,,50,33.2
2017-12-26T00:03:35.937Z,,25.7,,,,50,
2017-12-26T00:03:45.941Z,,25.7,,,,50,
2017-12-26T00:03:55.942Z,,25.7,,,,50,
2017-12-26T00:04:05.942Z,,25.7,,,,50,
2017-12-26T00:04:15.942Z,,25.7,,,,50,
2017-12-26T00:04:25.942Z,,25.7,,,,50,
2017-12-26T00:04:35.941Z,,25.7,,,,50,
2017-12-26T00:04:45.937Z,,25.7,,,,50,
2017-12-26T00:04:55.941Z,,25.7,,,,50,
2017-12-26T00:05:05.937Z,,25.7,,,,50,
2017-12-26T00:05:15.937Z,,25.7,,,,50,
2017-12-26T00:05:25.936Z,,25.7,,,,50,
2017-12-26T00:05:35.937Z,,25.7,,,,50,
2017-12-26T00:05:45.938Z,,25.7,,,,50,
2017-12-26T00:05:55.937Z,,25.7,,,,50,
2017-12-26T00:06:05.937Z,,25.7,,,,50,
2017-12-26T00:06:15.937Z,,25.7,,,,50,33.1
2017-12-26T00:06:25.937Z,,25.6,,,,50,
2017-12-26T00:06:35.937Z,,25.6,,,,50,
2017-12-26T00:06:45.937Z,,25.6,,,,50,
2017-12-26T00:06:55.937Z,,25.6,,,,50,
2017-12-26T00:07:05.937Z,,25.6,,,,50,
2017-12-26T00:07:15.937Z,,25.6,,,,50,
2017-12-26T00:07:25.937Z,,25.6,,,,50,
2017-12-26T00:07:35.937Z,,25.6,,,,50,
2017-12-26T00:07:45.937Z,,25.6,,,,50,
2017-12-26T00:07:55.937Z,,25.6,,,,50,
2017-12-26T00:08:05.938Z,,25.6,,,,50,
2017-12-26T00:08:15.941Z,,25.6,,,,50,
2017-12-26T00:08:25.937Z,,25.6,,,,50,
2017-12-26T00:08:35.937Z,,25.6,,,,50,
2017-12-26T00:08:45.937Z,,25.6,,,,50,
2017-12-26T00:08:55.937Z,,25.6,,,,50,
2017-12-26T00:09:05.942Z,,25.6,,,,50,32.9
2017-12-26T00:09:15.937Z,,25.6,,,,50,33.1
2017-12-26T00:09:25.937Z,,25.6,,,,50,33.1
2017-12-26T00:09:35.937Z,,25.6,,,,50,32.9
2017-12-26T00:09:45.938Z,,25.6,,,,50,32.9
2017-12-26T00:09:55.936Z,,25.6,,,,50,
2017-12-26T00:10:05.937Z,,25.6,,,,50,
2017-12-26T00:10:15.937Z,,25.6,,,,50,
2017-12-26T00:10:25.937Z,,25.6,,,,50,
2017-12-26T00:10:35.936Z,,25.6,,,,50,
2017-12-26T00:10:45.939Z,,25.5,,,,50,
2017-12-26T00:10:55.937Z,,25.5,,,,50,
2017-12-26T00:11:05.937Z,,25.5,,,,50,
2017-12-26T00:11:15.937Z,,25.5,,,,50,
2017-12-26T00:11:25.937Z,,25.5,,,,50,
2017-12-26T00:11:35.937Z,,25.5,,,,50,
2017-12-26T00:11:45.937Z,,25.5,,,,50,
2017-12-26T00:11:55.937Z,,25.5,,,,50,
2017-12-26T00:12:05.937Z,,25.5,,,,50,
2017-12-26T00:12:15.936Z,,25.5,,,,50,
2017-12-26T00:12:25.937Z,,25.5,,,,50,
2017-12-26T00:12:35.937Z,,25.5,,,,50,
2017-12-26T00:12:45.937Z,,25.5,,,,50,32.8
2017-12-26T00:12:55.937Z,,25.5,,,,50,32.9
2017-12-26T00:13:05.937Z,,25.5,,,,50,32.8
2017-12-26T00:13:15.937Z,,25.5,,,,50,
2017-12-26T00:13:25.936Z,,25.5,,,,50,
2017-12-26T00:13:35.937Z,,25.5,,,,50,
2017-12-26T00:13:45.940Z,,25.5,,,,50,
2017-12-26T00:13:55.936Z,,25.5,,,,50,
2017-12-26T00:14:05.936Z,,25.5,,,,50,
2017-12-26T00:14:15.937Z,,25.5,,,,50,
2017-12-26T00:14:25.941Z,,25.5,,,,50,
2017-12-26T00:14:35.937Z,,25.5,,,,50,
2017-12-26T00:14:45.937Z,,25.4,,,,50,
2017-12-26T00:14:55.937Z,,25.4,,,,50,
2017-12-26T00:15:05.937Z,,25.4,,,,50,
2017-12-26T00:15:15.936Z,,25.4,,,,50,
2017-12-26T00:15:25.937Z,,25.4,,,,50,
2017-12-26T00:15:35.937Z,,25.4,,,,50,
2017-12-26T00:15:45.937Z,,25.4,,,,50,
2017-12-26T00:15:55.956Z,,25.4,,,,50,
2017-12-26T00:16:05.938Z,,25.4,,,,50,32.7
2017-12-26T00:16:15.937Z,,25.4,,,,50,
2017-12-26T00:16:25.937Z,,25.4,,,,50,
2017-12-26T00:16:35.937Z,,25.4,,,,50,
2017-12-26T00:16:45.938Z,,25.4,,,,50,
2017-12-26T00:16:55.936Z,,25.4,,,,50,
2017-12-26T00:17:05.937Z,,25.4,,,,50,
2017-12-26T00:17:15.937Z,,25.4,,,,50,
2017-12-26T00:17:25.936Z,,25.4,,,,50,
2017-12-26T00:17:35.938Z,,25.4,,,,50,
2017-12-26T00:17:45.937Z,,25.4,,,,50,
2017-12-26T00:17:55.941Z,,25.4,,,,50,
2017-12-26T00:18:05.942Z,,25.4,,,,50,
2017-12-26T00:18:15.937Z,,25.4,,,,50,
2017-12-26T00:18:25.936Z,,25.4,,,,50,
2017-12-26T00:18:35.936Z,,25.3,,,,50,
2017-12-26T00:18:45.937Z,,25.3,,,,50,
2017-12-26T00:18:55.939Z,,25.3,,,,50,
2017-12-26T00:19:05.936Z,,25.3,,,,50,
2017-12-26T00:19:15.938Z,,25.3,,,,50,
2017-12-26T00:19:25.938Z,,25.3,,,,50,
2017-12-26T00:19:35.937Z,,25.3,,,,50,
2017-12-26T00:19:45.940Z,,25.3,,,,50,
2017-12-26T00:19:55.937Z,,25.3,,,,50,
2017-12-26T00:20:05.938Z,,25.3,,,,50,32.6
2017-12-26T00:20:15.938Z,,25.3,,,,50,
2017-12-26T00:20:25.936Z,,25.3,,,,50,
2017-12-26T00:20:35.938Z,,25.3,,,,50,
2017-12-26T00:20:45.936Z,,25.3,,,,50,
2017-12-26T00:20:55.937Z,0,25.3,0,5,0,50,32.6
2017-12-26T00:21:05.936Z,,25.3,,,,50,
