Time,HwTSet,PrimTSet,ChActive,PrimT,HwTOutlet,ActPow,HwActive
2017-12-28T00:00:05.919Z,50,,,,28.1,,
2017-12-28T00:00:15.909Z,50,,,,28.1,,
2017-12-28T00:00:25.903Z,50,,,,28.1,,
2017-12-28T00:00:35.877Z,50,,,,28.1,,
2017-12-28T00:00:45.872Z,50,,,,28.1,,
2017-12-28T00:00:55.878Z,50,,,,28.1,,
2017-12-28T00:01:05.877Z,50,,,,28.1,,
2017-12-28T00:01:15.872Z,50,,,45,28,,
2017-12-28T00:01:25.872Z,50,,,,28,,
2017-12-28T00:01:35.871Z,50,,,,28,,
2017-12-28T00:01:45.872Z,50,,,,28,,
2017-12-28T00:01:55.872Z,50,,,,28,,
2017-12-28T00:02:05.872Z,50,,,,28,,
2017-12-28T00:02:15.872Z,50,,,,28,,
2017-12-28T00:02:25.873Z,50,,,45,28,,
2017-12-28T00:02:35.872Z,50,,,44.9,28,,
2017-12-28T00:02:45.871Z,50,,,,28,,
2017-12-28T00:02:55.872Z,50,,,,27.9,,
2017-12-28T00:03:05.872Z,50,,,,28,,
2017-12-28T00:03:15.872Z,50,,,,27.9,,
2017-12-28T00:03:25.872Z,50,,,,27.9,,
2017-12-28T00:03:35.872Z,50,,,,27.9,,
2017-12-28T00:03:45.872Z,50,,,,27.9,,
2017-12-28T00:03:55.872Z,50,,,,27.9,,
2017-12-28T00:04:05.872Z,50,,,44.8,27.9,,
2017-12-28T00:04:15.873Z,50,,,,27.9,,
2017-12-28T00:04:25.877Z,50,,,,27.9,,
2017-12-28T00:04:35.872Z,50,,,,27.9,,
2017-12-28T00:04:45.872Z,50,,,,27.9,,
2017-12-28T00:04:55.876Z,50,,,,27.8,,
2017-12-28T00:05:05.875Z,50,,,,27.8,,
2017-12-28T00:05:15.872Z,50,,,,27.8,,
2017-12-28T00:05:25.872Z,50,,,,27.8,,
2017-12-28T00:05:35.872Z,50,,,44.7,27.8,,
2017-12-28T00:05:45.871Z,50,,,,27.8,,
2017-12-28T00:05:55.872Z,50,,,,27.8,,
2017-12-28T00:06:05.871Z,50,,,,27.8,,
2017-12-28T00:06:15.872Z,50,,,,27.8,,
2017-12-28T00:06:25.872Z,50,,,,27.8,,
2017-12-28T00:06:35.871Z,50,,,,27.8,,
2017-12-28T00:06:45.872Z,50,,,,27.8,,
2017-12-28T00:06:55.872Z,50,,,44.6,27.8,,
2017-12-28T00:07:05.872Z,50,,,,27.7,,
2017-12-28T00:07:15.872Z,50,,,,27.7,,
2017-12-28T00:07:25.877Z,50,,,,27.7,,
2017-12-28T00:07:35.872Z,50,,,,27.7,,
2017-12-28T00:07:45.871Z,50,,,,27.7,,
2017-12-28T00:07:55.872Z,50,,,,27.7,,
2017-12-28T00:08:05.872Z,50,,,,27.7,,
2017-12-28T00:08:15.871Z,50,,,,27.7,,
2017-12-28T00:08:25.872Z,50,,,44.5,27.7,,
2017-12-28T00:08:35.872Z,50,,,,27.7,,
2017-12-28T00:08:45.872Z,50,,,,27.7,,
2017-12-28T00:08:55.872Z,50,,,,27.7,,
2017-12-28T00:09:05.871Z,50,,,,27.5,,
2017-12-28T00:09:15.873Z,50,,,,27.5,,
2017-12-28T00:09:25.872Z,50,,,,27.5,,
2017-12-28T00:09:35.871Z,50,,,,27.5,,
2017-12-28T00:09:45.872Z,50,,,,27.5,,
2017-12-28T00:09:55.872Z,50,,,44.4,27.5,,
2017-12-28T00:10:05.872Z,50,,,,27.5,,
2017-12-28T00:10:15.872Z,50,,,,27.5,,
2017-12-28T00:10:25.872Z,50,,,,27.5,,
2017-12-28T00:10:35.872Z,50,,,,27.5,,
2017-12-28T00:10:45.872Z,50,,,,27.5,,
2017-12-28T00:10:55.872Z,50,,,,27.4,,
2017-12-28T00:11:05.871Z,50,,,,27.4,,
2017-12-28T00:11:15.872Z,50,,,44.3,27.4,,
2017-12-28T00:11:25.874Z,50,,,,27.4,,
2017-12-28T00:11:36.005Z,50,,,,27.4,,
2017-12-28T00:11:45.904Z,50,,,,27.4,,
2017-12-28T00:11:55.872Z,50,,,,27.4,,
2017-12-28T00:12:05.877Z,50,,,,27.4,,
2017-12-28T00:12:15.872Z,50,,,,27.4,,
2017-12-28T00:12:25.872Z,50,,,,27.4,,
2017-12-28T00:12:35.872Z,50,,,44.2,27.4,,
2017-12-28T00:12:45.872Z,50,,,,27.4,,
2017-12-28T00:12:55.871Z,50,,,,27.3,,
2017-12-28T00:13:05.871Z,50,,,,27.3,,
2017-12-28T00:13:15.874Z,50,,,,27.3,,
2017-12-28T00:13:25.871Z,50,,,,27.3,,
2017-12-28T00:13:35.871Z,50,,,,27.3,,
2017-12-28T00:13:45.874Z,50,,,,27.3,,
2017-12-28T00:13:55.988Z,50,,,44.1,27.3,,
2017-12-28T00:14:05.874Z,50,,,44.2,27.3,,
2017-12-28T00:14:15.871Z,50,,,44.1,27.3,,
2017-12-28T00:14:25.871Z,50,,,,27.3,,
2017-12-28T00:14:35.872Z,50,,,,27.3,,
2017-12-28T00:14:45.872Z,50,,,,27.2,,
2017-12-28T00:14:55.872Z,50,,,,27.3,,
2017-12-28T00:15:05.872Z,50,,,,27.2,,
2017-12-28T00:15:15.872Z,50,,,,27.2,,
2017-12-28T00:15:25.872Z,50,,,,27.2,,
2017-12-28T00:15:35.874Z,50,,,44,27.2,,
2017-12-28T00:15:45.911Z,50,,,,27.2,,
2017-12-28T00:15:55.871Z,50,,,,27.2,,
2017-12-28T00:16:05.872Z,50,,,,27.2,,
2017-12-28T00:16:15.871Z,50,,,,27.2,,
2017-12-28T00:16:25.876Z,50,,,,27.2,,
2017-12-28T00:16:35.871Z,50,,,,27.2,,
2017-12-28T00:16:45.876Z,50,,,43.9,27.2,,
2017-12-28T00:16:55.871Z,50,,,,27.1,,
2017-12-28T00:17:05.876Z,50,,,,27.1,,
2017-12-28T00:17:15.876Z,50,,,,27.1,,
