Time,PrimTSet,PrimT,HwTSet,ActPow,ChActive,HwTOutlet,HwActive
2018-01-03T00:00:02.675Z,,,50,,,34.6,
2018-01-03T00:00:12.675Z,,,50,,,34.6,
2018-01-03T00:00:22.675Z,,,50,,,34.5,
2018-01-03T00:00:32.675Z,,,50,,,34.4,
2018-01-03T00:00:42.675Z,,44.5,50,,,34.4,
2018-01-03T00:00:52.674Z,,,50,,,34.3,
2018-01-03T00:01:02.675Z,,,50,,,34.3,
2018-01-03T00:01:12.675Z,,,50,,,34.2,
2018-01-03T00:01:22.674Z,,,50,,,34.2,
2018-01-03T00:01:32.681Z,,44.4,50,,,34.1,
2018-01-03T00:01:42.675Z,,,50,,,34.1,
2018-01-03T00:01:52.674Z,,,50,,,34,
2018-01-03T00:02:02.674Z,,,50,,,34,
2018-01-03T00:02:12.758Z,,,50,,,33.9,
2018-01-03T00:02:22.726Z,,44.3,50,,,33.8,
2018-01-03T00:02:32.716Z,,,50,,,33.8,
2018-01-03T00:02:42.675Z,,,50,,,33.7,
2018-01-03T00:02:52.694Z,,,50,,,33.7,
2018-01-03T00:03:02.675Z,,44.2,50,,,33.6,
2018-01-03T00:03:12.675Z,,,50,,,33.6,
2018-01-03T00:03:22.675Z,,,50,,,33.5,
2018-01-03T00:03:32.675Z,,,50,,,33.5,
2018-01-03T00:03:42.674Z,,,50,,,33.4,
2018-01-03T00:03:52.675Z,,44.1,50,,,33.4,
2018-01-03T00:04:02.675Z,,,50,,,33.4,
2018-01-03T00:04:12.681Z,,,50,,,33.3,
2018-01-03T00:04:22.675Z,,,50,,,33.3,
2018-01-03T00:04:32.680Z,,,50,,,33.2,
2018-01-03T00:04:42.674Z,,,50,,,33.2,
2018-01-03T00:04:52.675Z,,44,50,,,33.1,
2018-01-03T00:05:02.677Z,,,50,,,33.1,
2018-01-03T00:05:12.680Z,,,50,,,32.9,
2018-01-03T00:05:22.675Z,,,50,,,32.9,
2018-01-03T00:05:32.677Z,,44,50,,,32.8,
2018-01-03T00:05:42.675Z,,43.9,50,,,32.8,
2018-01-03T00:05:52.675Z,,,50,,,32.7,
2018-01-03T00:06:02.674Z,,,50,,,32.7,
2018-01-03T00:06:12.680Z,,,50,,,32.7,
2018-01-03T00:06:22.675Z,,,50,,,32.6,
2018-01-03T00:06:32.676Z,,,50,,,32.6,
2018-01-03T00:06:42.675Z,,43.8,50,,,32.5,
2018-01-03T00:06:52.675Z,,,50,,,32.5,
2018-01-03T00:07:02.675Z,,,50,,,32.5,
2018-01-03T00:07:12.675Z,,,50,,,32.4,
2018-01-03T00:07:22.685Z,,,50,,,32.4,
2018-01-03T00:07:32.675Z,,43.7,50,,,32.3,
2018-01-03T00:07:42.675Z,,,50,,,32.3,
2018-01-03T00:07:52.675Z,,,50,,,32.3,
2018-01-03T00:08:02.675Z,,,50,,,32.2,
2018-01-03T00:08:12.675Z,,,50,,,32.2,
2018-01-03T00:08:22.684Z,,,50,,,32.1,
2018-01-03T00:08:32.675Z,,43.6,50,,,32.1,
2018-01-03T00:08:42.675Z,,,50,,,32,
2018-01-03T00:08:52.674Z,,,50,,,32,
2018-01-03T00:09:02.674Z,,,50,,,32,
2018-01-03T00:09:12.675Z,,,50,,,31.9,
2018-01-03T00:09:22.682Z,,43.5,50,,,31.9,
2018-01-03T00:09:32.675Z,,,50,,,31.9,
2018-01-03T00:09:42.675Z,,,50,,,31.8,
2018-01-03T00:09:52.674Z,,,50,,,31.8,
2018-01-03T00:10:02.674Z,,,50,,,31.8,
2018-01-03T00:10:12.675Z,,,50,,,31.6,
2018-01-03T00:10:22.681Z,,43.4,50,,,31.6,
2018-01-03T00:10:32.675Z,,,50,,,31.6,
2018-01-03T00:10:42.674Z,,,50,,,31.5,
2018-01-03T00:10:52.675Z,,,50,,,31.5,
2018-01-03T00:11:02.675Z,,,50,,,31.5,
2018-01-03T00:11:12.675Z,,,50,,,31.4,
2018-01-03T00:11:22.683Z,,43.3,50,,,31.4,
2018-01-03T00:11:32.674Z,,,50,,,31.4,
2018-01-03T00:11:42.675Z,,,50,,,31.3,
2018-01-03T00:11:52.675Z,,,50,,,31.3,
2018-01-03T00:12:02.674Z,,,50,,,31.3,
2018-01-03T00:12:12.675Z,,,50,,,31.2,
2018-01-03T00:12:22.681Z,,43.2,50,,,31.2,
2018-01-03T00:12:32.675Z,,,50,,,31.2,
2018-01-03T00:12:42.674Z,,,50,,,31,
2018-01-03T00:12:52.675Z,,,50,,,31,
2018-01-03T00:13:02.675Z,,,50,,,31,
2018-01-03T00:13:12.675Z,,,50,,,30.9,
2018-01-03T00:13:22.679Z,,,50,,,30.9,
2018-01-03T00:13:32.675Z,,43.1,50,,,30.9,
2018-01-03T00:13:42.674Z,,,50,,,30.9,
2018-01-03T00:13:52.675Z,,,50,,,30.8,
2018-01-03T00:14:02.675Z,,,50,,,30.8,
2018-01-03T00:14:12.675Z,,,50,,,30.8,
2018-01-03T00:14:22.679Z,,,50,,,30.7,
2018-01-03T00:14:32.675Z,,43,50,,,30.7,
2018-01-03T00:14:42.681Z,,,50,,,30.7,
2018-01-03T00:14:52.693Z,,,50,,,30.7,
2018-01-03T00:15:02.675Z,,,50,,,30.6,
2018-01-03T00:15:12.675Z,,,50,,,30.6,
2018-01-03T00:15:22.679Z,,,50,,,30.6,
2018-01-03T00:15:32.675Z,,,50,,,30.6,
2018-01-03T00:15:42.676Z,,42.9,50,,,30.4,
2018-01-03T00:15:52.675Z,,,50,,,30.4,
2018-01-03T00:16:02.675Z,,,50,,,30.4,
2018-01-03T00:16:12.676Z,,,50,,,30.4,
2018-01-03T00:16:22.678Z,,,50,,,30.3,
2018-01-03T00:16:32.675Z,,,50,,,30.3,
2018-01-03T00:16:42.674Z,,,50,,,30.3,
2018-01-03T00:16:52.675Z,,42.8,50,,,30.3,
2018-01-03T00:17:02.675Z,,,50,,,30.2,
2018-01-03T00:17:12.675Z,,,50,,,30.2,
2018-01-03T00:17:22.679Z,,,50,,,30.2,
2018-01-03T00:17:32.675Z,,,50,,,30.2,
2018-01-03T00:17:42.675Z,,,50,,,30.1,
2018-01-03T00:17:52.738Z,,,50,,,30.1,
2018-01-03T00:18:02.674Z,,42.7,50,,,30.1,
2018-01-03T00:18:12.675Z,,,50,,,30,
2018-01-03T00:18:22.677Z,,,50,,,30,
2018-01-03T00:18:32.701Z,,,50,,,30,
2018-01-03T00:18:42.675Z,,,50,,,30,
2018-01-03T00:18:52.675Z,,,50,,,30,
2018-01-03T00:19:02.677Z,,,50,,,29.8,
2018-01-03T00:19:12.675Z,,,50,,,29.8,
2018-01-03T00:19:22.676Z,,42.6,50,,,29.8,
2018-01-03T00:19:32.675Z,,,50,,,29.8,
2018-01-03T00:19:42.674Z,,,50,,,29.7,
2018-01-03T00:19:52.675Z,,,50,,,29.7,
2018-01-03T00:20:02.674Z,,,50,,,29.7,
2018-01-03T00:20:12.675Z,,,50,,,29.7,
2018-01-03T00:20:22.675Z,,,50,,,29.6,
2018-01-03T00:20:32.675Z,,,50,,,29.6,
2018-01-03T00:20:42.675Z,,42.4,50,,,29.6,
2018-01-03T00:20:52.675Z,,,50,,,29.6,
2018-01-03T00:21:02.675Z,,,50,,,29.6,
2018-01-03T00:21:12.675Z,,,50,,,29.6,
2018-01-03T00:21:22.674Z,,,50,,,29.5,
2018-01-03T00:21:32.675Z,,,50,,,29.5,
2018-01-03T00:21:42.674Z,,,50,,,29.5,
2018-01-03T00:21:52.675Z,,,50,,,29.5,
2018-01-03T00:22:02.675Z,,42.3,50,,,29.3,
2018-01-03T00:22:12.675Z,,,50,,,29.3,
2018-01-03T00:22:22.676Z,,,50,,,29.3,
2018-01-03T00:22:32.675Z,,,50,,,29.3,
2018-01-03T00:22:42.675Z,,,50,,,29.3,
2018-01-03T00:22:52.675Z,,,50,,,29.2,
2018-01-03T00:23:02.675Z,,,50,,,29.2,
2018-01-03T00:23:12.675Z,,42.2,50,,,29.2,
2018-01-03T00:23:22.674Z,,,50,,,29.2,
2018-01-03T00:23:32.675Z,,,50,,,29.2,
2018-01-03T00:23:42.676Z,,,50,,,29.2,
2018-01-03T00:23:52.674Z,,,50,,,29.1,
2018-01-03T00:24:02.675Z,,,50,,,29.1,
2018-01-03T00:24:12.675Z,,,50,,,29.1,
2018-01-03T00:24:22.675Z,,,50,,,29.1,
2018-01-03T00:24:32.674Z,,42.1,50,,,29,
2018-01-03T00:24:42.675Z,,,50,,,29,
2018-01-03T00:24:52.674Z,,,50,,,29,
2018-01-03T00:25:02.675Z,,,50,,,29,
2018-01-03T00:25:12.674Z,,,50,,,29,
2018-01-03T00:25:22.675Z,,,50,,,29,
2018-01-03T00:25:32.675Z,,,50,,,28.9,
2018-01-03T00:25:42.674Z,,42,50,,,28.9,
2018-01-03T00:25:52.675Z,,,50,,,28.9,
2018-01-03T00:26:02.675Z,,,50,,,28.9,
2018-01-03T00:26:12.675Z,,,50,,,28.9,
2018-01-03T00:26:22.675Z,,,50,,,28.9,
2018-01-03T00:26:32.675Z,,,50,,,28.7,
2018-01-03T00:26:42.675Z,,,50,,,28.7,
2018-01-03T00:26:52.674Z,,,50,,,28.7,
2018-01-03T00:27:02.675Z,,,50,,,28.7,
2018-01-03T00:27:12.675Z,,41.9,50,,,28.7,
2018-01-03T00:27:22.674Z,,41.9,50,,,28.6,
2018-01-03T00:27:32.675Z,,,50,,,28.6,
2018-01-03T00:27:42.675Z,,,50,,,28.6,
2018-01-03T00:27:52.674Z,,,50,,,28.6,
2018-01-03T00:28:02.675Z,,,50,,,28.6,
2018-01-03T00:28:12.675Z,,,50,,,28.6,
2018-01-03T00:28:22.674Z,,,50,,,28.6,
2018-01-03T00:28:32.675Z,,,50,,,28.5,
2018-01-03T00:28:42.675Z,,41.8,50,,,28.5,
2018-01-03T00:28:52.675Z,,,50,,,28.5,
2018-01-03T00:29:02.674Z,,,50,,,28.5,
2018-01-03T00:29:12.675Z,,,50,,,28.5,
2018-01-03T00:29:22.675Z,,,50,,,28.4,
2018-01-03T00:29:32.675Z,,,50,,,28.5,
2018-01-03T00:29:42.676Z,,,50,,,28.4,
2018-01-03T00:29:52.674Z,,,50,,,28.4,
2018-01-03T00:30:02.675Z,,,50,,,28.4,
2018-01-03T00:30:12.675Z,,41.7,50,,,28.4,
2018-01-03T00:30:22.674Z,,,50,,,28.4,
2018-01-03T00:30:32.675Z,,,50,,,28.3,
2018-01-03T00:30:42.674Z,,,50,,,28.3,
2018-01-03T00:30:52.675Z,,,50,,,28.3,
2018-01-03T00:31:02.675Z,,,50,,,28.3,
2018-01-03T00:31:12.675Z,,,50,,,28.3,
2018-01-03T00:31:22.675Z,,,50,,,28.3,
2018-01-03T00:31:32.674Z,,41.6,50,,,28.3,
2018-01-03T00:31:42.675Z,,,50,,,28.3,
2018-01-03T00:31:52.675Z,,,50,,,28.1,
2018-01-03T00:32:02.675Z,,,50,,,28.1,
2018-01-03T00:32:12.675Z,,,50,,,28.1,
2018-01-03T00:32:22.674Z,,,50,,,28.1,
2018-01-03T00:32:32.675Z,,,50,,,28.1,
