Time,HwTOutlet,ChActive,PrimTSet,HwTSet,PrimT,ActPow,HwActive
2018-01-06T00:00:02.585Z,34,,,50,,,
2018-01-06T00:00:12.588Z,34,,,50,,,
2018-01-06T00:00:22.586Z,34,,,50,39.3,,
2018-01-06T00:00:32.587Z,33.9,,,50,,,
2018-01-06T00:00:42.590Z,33.9,,,50,39.1,,
2018-01-06T00:00:52.585Z,33.9,,,50,,,
2018-01-06T00:01:02.585Z,33.9,,,50,,,
2018-01-06T00:01:12.585Z,33.9,,,50,,,
2018-01-06T00:01:22.586Z,33.8,,,50,,,
2018-01-06T00:01:32.585Z,33.8,,,50,39.1,,
2018-01-06T00:01:42.586Z,33.8,,,50,38.9,,
2018-01-06T00:01:52.585Z,33.8,,,50,,,
2018-01-06T00:02:02.585Z,33.7,,,50,,,
2018-01-06T00:02:12.585Z,33.7,,,50,,,
2018-01-06T00:02:22.591Z,33.7,,,50,,,
2018-01-06T00:02:32.585Z,33.7,,,50,,,
2018-01-06T00:02:42.585Z,33.7,,,50,,,
2018-01-06T00:02:52.591Z,33.6,,,50,,,
2018-01-06T00:03:02.585Z,33.6,,,50,,,
2018-01-06T00:03:12.604Z,33.6,,,50,,,
2018-01-06T00:03:22.585Z,33.6,,,50,,,
2018-01-06T00:03:32.585Z,33.6,,,50,,,
2018-01-06T00:03:42.585Z,33.5,,,50,39.1,,
2018-01-06T00:03:52.585Z,33.5,,,50,,,
2018-01-06T00:04:02.585Z,33.5,,,50,,,
2018-01-06T00:04:12.586Z,33.5,,,50,,,
2018-01-06T00:04:22.585Z,33.5,,,50,,,
2018-01-06T00:04:32.586Z,33.4,,,50,39.2,,
2018-01-06T00:04:42.585Z,33.4,,,50,,,
2018-01-06T00:04:52.586Z,33.4,,,50,,,
2018-01-06T00:05:02.585Z,33.4,,,50,,,
2018-01-06T00:05:12.585Z,33.4,,,50,39.3,,
2018-01-06T00:05:22.585Z,33.4,,,50,,,
2018-01-06T00:05:32.585Z,33.3,,,50,,,
2018-01-06T00:05:42.586Z,33.3,,,50,,,
2018-01-06T00:05:52.585Z,33.3,,,50,,,
2018-01-06T00:06:02.585Z,33.3,,,50,,,
2018-01-06T00:06:12.585Z,33.3,,,50,39.4,,
2018-01-06T00:06:22.585Z,33.2,,,50,,,
2018-01-06T00:06:32.585Z,33.2,,,50,,,
2018-01-06T00:06:42.585Z,33.2,,,50,,,
2018-01-06T00:06:52.585Z,33.2,,,50,,,
2018-01-06T00:07:02.585Z,33.1,,,50,,,
