Time,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,ActPow,HwTSet
2018-01-08T00:00:02.528Z,,,,,30.3,,50
2018-01-08T00:00:12.534Z,,,,,30.3,,50
2018-01-08T00:00:22.530Z,,,,,30.3,,50
2018-01-08T00:00:32.528Z,,,,37.7,30.3,,50
2018-01-08T00:00:42.526Z,,,,,30.3,,50
2018-01-08T00:00:52.527Z,,,,,30.3,,50
2018-01-08T00:01:02.534Z,,,,,30.3,,50
2018-01-08T00:01:12.526Z,,,,,30.3,,50
2018-01-08T00:01:22.526Z,,,,,30.3,,50
2018-01-08T00:01:32.529Z,,,,,30.3,,50
2018-01-08T00:01:42.528Z,,,,,30.3,,50
2018-01-08T00:01:52.527Z,,,,37.6,30.3,,50
2018-01-08T00:02:02.527Z,,,,,30.3,,50
2018-01-08T00:02:12.527Z,,,,,30.3,,50
2018-01-08T00:02:22.527Z,,,,,30.3,,50
2018-01-08T00:02:32.527Z,,,,,30.2,,50
2018-01-08T00:02:42.528Z,,,,,30.2,,50
2018-01-08T00:02:52.527Z,,,,,30.2,,50
2018-01-08T00:03:02.526Z,,,,37.5,30.2,,50
2018-01-08T00:03:12.527Z,1,0,,40.4,30.2,42,50
2018-01-08T00:03:22.527Z,,,,43.9,30.2,30,50
2018-01-08T00:03:32.528Z,,,,40.5,30.2,29,50
2018-01-08T00:03:42.527Z,,,,38.8,30.2,29,50
2018-01-08T00:03:52.527Z,,,,36.9,30.2,,50
2018-01-08T00:04:02.526Z,,,,36.5,30.2,,50
2018-01-08T00:04:12.527Z,,,,36.6,30.2,,50
2018-01-08T00:04:22.527Z,,,,37.3,30.2,,50
2018-01-08T00:04:32.526Z,,,,37.7,30.2,,50
2018-01-08T00:04:42.527Z,,,,38,30.2,30,50
2018-01-08T00:04:52.527Z,,,,38.1,30.2,,50
2018-01-08T00:05:02.527Z,,,,38.3,30.2,29,50
2018-01-08T00:05:12.526Z,,,,38.4,30.2,,50
2018-01-08T00:05:22.527Z,,,,38.6,30.2,,50
2018-01-08T00:05:32.533Z,,,,38.9,30.2,30,50
2018-01-08T00:05:42.527Z,,,,39.2,30.2,29,50
2018-01-08T00:05:52.541Z,,,,39.4,30.2,,50
2018-01-08T00:06:02.527Z,,,,39.6,30.2,,50
2018-01-08T00:06:12.526Z,,,,39.8,30.2,,50
2018-01-08T00:06:22.526Z,,,,39.9,30.2,30,50
2018-01-08T00:06:32.682Z,,,,40.1,30.2,,50
2018-01-08T00:06:42.526Z,,,,40.3,30.2,29,50
2018-01-08T00:06:52.527Z,,,,40.4,30.2,30,50
2018-01-08T00:07:02.526Z,,,,40.6,30.2,29,50
2018-01-08T00:07:12.527Z,,,,40.7,30.2,,50
2018-01-08T00:07:22.527Z,,,,40.9,30.2,,50
2018-01-08T00:07:32.527Z,,,,41,30.2,,50
2018-01-08T00:07:42.527Z,,,,41.1,30.2,30,50
2018-01-08T00:07:52.527Z,,,,41.3,30.2,29,50
2018-01-08T00:08:02.528Z,,,,41.4,30.2,30,50
2018-01-08T00:08:12.527Z,,,,41.6,30.2,,50
2018-01-08T00:08:22.527Z,,,,,30.2,,50
2018-01-08T00:08:32.526Z,,,,41.8,30.2,,50
2018-01-08T00:08:42.527Z,,,,42,30.2,29,50
2018-01-08T00:08:52.527Z,,,,42.1,30.3,30,50
2018-01-08T00:09:02.526Z,,,,42.3,30.3,29,50
2018-01-08T00:09:12.526Z,,,,42.4,30.2,,50
2018-01-08T00:09:22.527Z,,,,42.7,30.3,30,50
2018-01-08T00:09:32.527Z,,,,42.8,30.2,29,50
2018-01-08T00:09:42.527Z,,,,43,30.3,,50
2018-01-08T00:09:52.526Z,,,,43.1,30.3,29,50
2018-01-08T00:10:02.530Z,,,,43.3,30.3,30,50
2018-01-08T00:10:12.527Z,,,,43.4,30.3,29,50
2018-01-08T00:10:22.527Z,,,,43.6,,,
2018-01-08T00:10:32.535Z,,,,43.7,30.3,30,50
2018-01-08T00:10:42.526Z,,,,43.8,30.3,,50
2018-01-08T00:10:52.526Z,,,,44,30.3,29,50
2018-01-08T00:11:02.527Z,,,,44.1,30.3,,50
2018-01-08T00:11:12.527Z,,,,44.3,30.3,,50
2018-01-08T00:11:22.527Z,,,,44.4,,,
2018-01-08T00:11:32.527Z,,,,44.5,30.4,0,50
2018-01-08T00:11:42.527Z,1,0,,42.1,30.4,,50
2018-01-08T00:11:52.526Z,,,,40.4,30.4,,50
2018-01-08T00:12:02.526Z,,,,39.7,30.4,,50
2018-01-08T00:12:12.527Z,,,,39.5,30.4,,50
2018-01-08T00:12:22.526Z,,,,,30.4,,50
2018-01-08T00:12:32.527Z,,,,,30.4,,50
2018-01-08T00:12:42.527Z,,,,,30.4,,50
2018-01-08T00:12:52.526Z,,,,39.4,30.4,,50
2018-01-08T00:13:02.527Z,,,,39.3,30.4,,50
2018-01-08T00:13:12.526Z,,,,39.1,30.6,,50
2018-01-08T00:13:22.527Z,,,,38.9,,,
2018-01-08T00:13:32.527Z,,,,38.8,30.6,,50
2018-01-08T00:13:42.526Z,,,,,30.6,,50
2018-01-08T00:13:52.526Z,,,,,30.6,,50
2018-01-08T00:14:02.526Z,,,,,30.6,,50
2018-01-08T00:14:12.526Z,,,,38.7,30.6,,50
2018-01-08T00:14:22.526Z,,,,,30.6,,50
2018-01-08T00:14:32.526Z,,,,38.6,30.6,,50
2018-01-08T00:14:42.527Z,,,,,30.6,,50
2018-01-08T00:14:52.526Z,,,,,30.6,,50
2018-01-08T00:15:02.526Z,,,,38.5,30.7,,50
2018-01-08T00:15:12.531Z,,,,,30.7,,50
2018-01-08T00:15:22.581Z,,,,,30.7,,50
2018-01-08T00:15:32.527Z,,,,,30.7,,50
2018-01-08T00:15:42.528Z,,,,,30.7,,50
2018-01-08T00:15:52.526Z,,,,,30.7,,50
2018-01-08T00:16:02.527Z,,,,,30.7,,50
2018-01-08T00:16:12.526Z,,,,,30.7,,50
2018-01-08T00:16:22.527Z,,,,,30.7,,50
2018-01-08T00:16:32.527Z,,,,,30.7,,50
2018-01-08T00:16:42.527Z,,,,,30.7,,50
2018-01-08T00:16:52.526Z,,,,,30.7,,50
2018-01-08T00:17:02.528Z,,,,,30.7,,50
2018-01-08T00:17:12.526Z,,,,,30.7,,50
2018-01-08T00:17:22.527Z,,,,,30.7,,50
2018-01-08T00:17:32.527Z,,,,38.6,30.7,,50
2018-01-08T00:17:42.526Z,,,,,30.7,,50
2018-01-08T00:17:52.526Z,,,,,30.7,,50
2018-01-08T00:18:02.526Z,,,,,30.7,,50
2018-01-08T00:18:12.527Z,,,,38.7,30.7,,50
2018-01-08T00:18:22.527Z,,,,,30.7,,50
2018-01-08T00:18:32.532Z,,,,,30.7,,50
2018-01-08T00:18:42.526Z,,,,,30.7,,50
2018-01-08T00:18:52.526Z,,,,38.8,30.7,,50
2018-01-08T00:19:02.526Z,,,,,30.7,,50
2018-01-08T00:19:12.526Z,,,,,30.7,,50
2018-01-08T00:19:22.526Z,,,,,30.7,,50
2018-01-08T00:19:32.526Z,,,,,30.7,,50
2018-01-08T00:19:42.526Z,,,,38.9,30.7,,50
2018-01-08T00:19:52.527Z,,,,,30.7,,50
2018-01-08T00:20:02.526Z,,,,,30.7,,50
2018-01-08T00:20:12.532Z,,,,,30.7,,50
2018-01-08T00:20:22.526Z,,,,,30.7,,50
2018-01-08T00:20:32.526Z,,,,,30.7,,50
2018-01-08T00:20:42.527Z,,,,,30.7,,50
2018-01-08T00:20:52.526Z,,,,,30.7,,50
2018-01-08T00:21:02.526Z,,,,,30.7,,50
2018-01-08T00:21:12.526Z,,,,,30.7,,50
2018-01-08T00:21:22.526Z,,,,,30.7,,50
2018-01-08T00:21:32.526Z,,,,,30.7,,50
2018-01-08T00:21:42.526Z,,,,,30.7,,50
2018-01-08T00:21:52.526Z,,,,,30.7,,50
2018-01-08T00:22:02.778Z,,,,,30.7,,50
2018-01-08T00:22:12.526Z,,,,38.8,30.7,,50
2018-01-08T00:22:22.526Z,,,,,30.7,,50
2018-01-08T00:22:32.526Z,,,,,30.7,,50
2018-01-08T00:22:42.526Z,,,,,30.7,,50
2018-01-08T00:22:52.527Z,,,,,30.7,,50
2018-01-08T00:23:02.526Z,,,,,30.7,,50
2018-01-08T00:23:12.526Z,,,,,30.7,,50
2018-01-08T00:23:22.527Z,,,,,30.7,,50
2018-01-08T00:23:32.526Z,,,,,30.7,,50
2018-01-08T00:23:52.526Z,,,,,30.7,,50
2018-01-08T00:24:02.526Z,,,,38.7,30.7,,50
2018-01-08T00:24:22.526Z,,,,,30.7,,50
2018-01-08T00:24:32.526Z,,,,,30.7,,50
2018-01-08T00:24:52.526Z,,,,,30.7,,50
2018-01-08T00:25:02.526Z,,,,,30.7,,50
2018-01-08T00:25:22.527Z,,,,,30.7,,50
2018-01-08T00:25:32.526Z,,,,38.6,30.7,,50
2018-01-08T00:25:42.526Z,,,,,30.6,,50
2018-01-08T00:25:52.526Z,,,,,30.7,,50
2018-01-08T00:26:02.526Z,,,,,30.6,,50
2018-01-08T00:26:22.526Z,,,,,30.6,,50
2018-01-08T00:26:32.529Z,,,,38.5,30.6,,50
2018-01-08T00:26:52.526Z,,,,,30.6,,50
2018-01-08T00:27:02.526Z,,,,,30.6,,50
2018-01-08T00:27:22.526Z,,,,,30.6,,50
2018-01-08T00:27:32.543Z,,,,,30.6,,50
2018-01-08T00:27:52.526Z,,,,38.4,30.6,,50
2018-01-08T00:28:02.535Z,,,,,30.6,,50
2018-01-08T00:28:22.526Z,,,,,30.6,,50
2018-01-08T00:28:32.526Z,,,,,30.6,,50
2018-01-08T00:28:52.526Z,,,,,30.6,,50
2018-01-08T00:29:02.526Z,,,,,30.6,,50
2018-01-08T00:29:12.526Z,,,,38.3,,,
2018-01-08T00:29:22.526Z,,,,,30.6,,50
2018-01-08T00:29:32.537Z,,,,,30.4,,50
2018-01-08T00:29:52.528Z,,,,,30.4,,50
2018-01-08T00:30:02.526Z,,,,,30.4,,50
2018-01-08T00:30:22.526Z,,,,,30.4,,50
2018-01-08T00:30:32.528Z,,,,38.2,30.4,,50
2018-01-08T00:30:52.526Z,,,,,30.4,,50
2018-01-08T00:31:02.526Z,,,,,30.4,,50
2018-01-08T00:31:22.526Z,,,,,30.4,,50
2018-01-08T00:31:32.526Z,,,,,30.4,,50
2018-01-08T00:31:42.526Z,,,,38.1,,,
2018-01-08T00:31:52.526Z,,,,,30.4,,50
2018-01-08T00:32:02.526Z,,,,,30.4,,50
2018-01-08T00:32:22.526Z,,,,,30.4,,50
2018-01-08T00:32:32.527Z,,,,,30.4,,50
2018-01-08T00:32:52.526Z,,,,,30.3,,50
2018-01-08T00:33:02.526Z,,,,,30.3,,50
2018-01-08T00:33:12.526Z,,,,38,,,
2018-01-08T00:33:22.526Z,,,,,30.3,,50
2018-01-08T00:33:32.526Z,,,,,30.3,,50
2018-01-08T00:33:52.526Z,,,,,30.3,,50
2018-01-08T00:34:12.526Z,,,,,30.3,,50
2018-01-08T00:34:22.526Z,,,,,30.3,,50
2018-01-08T00:34:32.526Z,,,,38,,,
2018-01-08T00:34:42.526Z,,,,37.9,30.3,,50
2018-01-08T00:34:52.526Z,,,,37.9,30.3,,50
2018-01-08T00:35:02.526Z,,,,,30.3,,50
2018-01-08T00:35:22.526Z,,,,,30.3,,50
2018-01-08T00:35:32.527Z,,,,,30.3,,50
2018-01-08T00:35:42.526Z,,,,,30.2,,50
2018-01-08T00:36:02.526Z,,,,,30.2,,50
2018-01-08T00:36:12.526Z,,,,,30.2,,50
2018-01-08T00:36:22.526Z,1,0,,40.8,30.2,42,50
2018-01-08T00:36:32.536Z,,,,43.8,30.2,29,50
2018-01-08T00:36:42.526Z,,,,39.7,30.2,29,50
2018-01-08T00:36:52.527Z,,,,37.6,30.2,,50
2018-01-08T00:37:02.526Z,,,,35.7,30.2,29,50
2018-01-08T00:37:12.526Z,,,,,30.2,,50
2018-01-08T00:37:22.526Z,,,,35.2,,30,
2018-01-08T00:37:32.527Z,,,,35.7,30.2,,50
2018-01-08T00:37:42.526Z,,,,36.2,30.2,29,50
2018-01-08T00:37:52.527Z,,,,,30.2,,50
2018-01-08T00:38:02.526Z,,,,36.4,,,
2018-01-08T00:38:12.526Z,,,,36.7,30.2,30,50
2018-01-08T00:38:22.526Z,,,,,30.2,,50
2018-01-08T00:38:32.527Z,,,,37.2,30.2,29,50
2018-01-08T00:38:42.527Z,,,,,30.2,,50
2018-01-08T00:38:52.528Z,,,,37.4,,,
2018-01-08T00:39:02.526Z,,,,37.9,30.2,30,50
2018-01-08T00:39:12.526Z,,,,38.1,30.2,29,50
2018-01-08T00:39:22.527Z,,,,,30.2,,50
2018-01-08T00:39:32.527Z,,,,38.3,,,
