Time,HwTSet,PrimTSet,ActPow,HwTOutlet,PrimT,ChActive,HwActive
2018-01-09T00:00:02.505Z,50,,,30.7,,,
2018-01-09T00:00:12.497Z,50,,,30.7,,,
2018-01-09T00:00:22.498Z,50,,,30.7,,,
2018-01-09T00:00:32.497Z,50,,,30.7,,,
2018-01-09T00:00:42.498Z,50,,,30.7,,,
2018-01-09T00:00:52.497Z,50,,,30.7,,,
2018-01-09T00:01:02.498Z,50,,,30.7,,,
2018-01-09T00:01:12.497Z,50,,,30.7,,,
2018-01-09T00:01:22.499Z,50,,,30.7,37.4,,
2018-01-09T00:01:32.500Z,50,,,30.7,,,
2018-01-09T00:01:42.497Z,50,,,30.7,,,
2018-01-09T00:01:52.499Z,50,,,30.7,,,
2018-01-09T00:02:02.498Z,50,,,30.7,,,
2018-01-09T00:02:12.499Z,50,,,30.7,,,
2018-01-09T00:02:22.497Z,50,,,30.7,,,
2018-01-09T00:02:32.498Z,50,,,30.7,,,
2018-01-09T00:02:42.497Z,50,,,30.7,,,
2018-01-09T00:02:52.501Z,50,,,30.7,,,
2018-01-09T00:03:02.497Z,50,,,30.6,37.3,,
2018-01-09T00:03:12.499Z,50,,,30.7,,,
2018-01-09T00:03:22.497Z,50,,,30.6,,,
2018-01-09T00:03:32.498Z,50,,,30.6,,,
2018-01-09T00:03:42.497Z,50,,,30.6,,,
2018-01-09T00:03:52.497Z,50,,,30.6,,,
2018-01-09T00:04:02.500Z,50,,,30.6,,,
2018-01-09T00:04:12.497Z,50,,,30.6,,,
2018-01-09T00:04:22.497Z,50,,,30.6,,,
2018-01-09T00:04:32.497Z,50,,,30.6,37.2,1,0
2018-01-09T00:04:42.543Z,50,,33,30.6,43,,
2018-01-09T00:04:52.497Z,50,,30,30.6,41.8,,
2018-01-09T00:05:02.497Z,50,,29,30.6,40.4,,
2018-01-09T00:05:12.506Z,50,,29,30.6,38.2,,
2018-01-09T00:05:22.497Z,50,,,30.6,37.6,,
2018-01-09T00:05:32.498Z,50,,,30.6,37.1,,
2018-01-09T00:05:42.497Z,50,,,30.6,37.5,,
2018-01-09T00:05:52.497Z,50,,,30.6,38,,
2018-01-09T00:06:02.497Z,50,,30,30.6,38.3,,
2018-01-09T00:06:12.497Z,50,,29,30.6,38.5,,
2018-01-09T00:06:22.499Z,50,,30,30.6,38.6,,
2018-01-09T00:06:32.499Z,50,,,30.6,38.8,,
2018-01-09T00:06:42.497Z,50,,29,30.4,39.1,,
2018-01-09T00:06:52.497Z,50,,,30.6,39.2,,
2018-01-09T00:07:02.497Z,50,,,30.4,39.5,,
2018-01-09T00:07:12.497Z,50,,,30.6,39.6,,
2018-01-09T00:07:22.497Z,50,,,30.6,39.8,,
2018-01-09T00:07:32.497Z,50,,29,30.6,40,,
2018-01-09T00:07:42.498Z,50,,30,30.6,40.2,,
2018-01-09T00:07:52.497Z,50,,29,30.6,40.3,,
2018-01-09T00:08:02.590Z,50,,,30.4,40.5,,
2018-01-09T00:08:12.498Z,50,,30,30.6,40.6,,
2018-01-09T00:08:22.499Z,50,,29,30.4,40.8,,
2018-01-09T00:08:32.497Z,50,,,30.4,40.9,,
2018-01-09T00:08:42.497Z,50,,,30.4,41,,
2018-01-09T00:08:52.498Z,50,,,30.4,41.2,,
2018-01-09T00:09:02.498Z,50,,,30.6,41.3,,
2018-01-09T00:09:12.497Z,50,,,30.4,41.5,,
2018-01-09T00:09:22.497Z,50,,,30.6,41.6,,
2018-01-09T00:09:32.508Z,50,,,30.6,41.7,,
2018-01-09T00:09:42.498Z,50,,,30.6,41.9,,
2018-01-09T00:09:52.497Z,50,,,30.6,42,,
2018-01-09T00:10:02.498Z,50,,,30.6,42.2,,
2018-01-09T00:10:12.500Z,50,,,30.6,42.3,,
2018-01-09T00:10:22.498Z,50,,30,30.6,42.4,,
2018-01-09T00:10:32.499Z,50,,29,30.6,42.7,,
2018-01-09T00:10:42.499Z,50,,30,30.6,42.8,,
2018-01-09T00:10:52.498Z,50,,29,30.6,43,,
2018-01-09T00:11:02.498Z,50,,30,30.6,43.1,,
2018-01-09T00:11:12.500Z,50,,0,30.6,43.3,,
2018-01-09T00:11:22.499Z,50,,,30.6,40.9,1,0
2018-01-09T00:11:32.497Z,50,,,30.6,39.3,,
2018-01-09T00:11:42.499Z,50,,,30.6,38.5,,
2018-01-09T00:11:52.504Z,50,,,30.6,38.3,,
2018-01-09T00:12:02.497Z,50,,,30.6,38.2,,
2018-01-09T00:12:12.498Z,50,,,30.6,,,
2018-01-09T00:12:22.497Z,50,,,30.6,38.3,,
2018-01-09T00:12:32.497Z,50,,,30.7,38.2,,
2018-01-09T00:12:42.497Z,50,,,30.6,38.1,,
2018-01-09T00:12:52.498Z,50,,,30.7,37.9,,
2018-01-09T00:13:02.498Z,50,,,30.7,37.8,,
2018-01-09T00:13:12.497Z,50,,,30.7,,,
2018-01-09T00:13:22.498Z,50,,,30.7,37.7,,
2018-01-09T00:13:32.497Z,50,,,30.7,,,
2018-01-09T00:13:42.498Z,50,,,30.7,,,
2018-01-09T00:13:52.498Z,50,,,30.7,,,
2018-01-09T00:14:02.497Z,50,,,30.7,37.6,,
2018-01-09T00:14:12.509Z,50,,,30.7,37.5,,
2018-01-09T00:14:22.503Z,50,,,30.7,,,
2018-01-09T00:14:32.509Z,50,,,30.7,,,
2018-01-09T00:14:42.519Z,50,,,30.7,,,
2018-01-09T00:14:52.504Z,50,,,30.7,,,
2018-01-09T00:15:02.499Z,50,,,30.7,,,
2018-01-09T00:15:12.498Z,50,,,30.7,,,
2018-01-09T00:15:22.498Z,50,,,30.7,,,
2018-01-09T00:15:32.502Z,50,,,30.7,,,
2018-01-09T00:15:42.498Z,50,,,30.7,,,
2018-01-09T00:15:52.498Z,50,,,30.7,37.4,,
2018-01-09T00:16:02.498Z,50,,,30.7,37.5,,
2018-01-09T00:16:12.497Z,50,,,30.7,37.4,,
2018-01-09T00:16:22.498Z,50,,,30.7,,,
2018-01-09T00:16:32.499Z,50,,,30.7,,,
2018-01-09T00:16:42.499Z,50,,,30.7,37.5,,
2018-01-09T00:16:52.497Z,50,,,30.7,,,
2018-01-09T00:17:02.497Z,50,,,30.7,,,
2018-01-09T00:17:12.499Z,50,,,30.7,,,
2018-01-09T00:17:22.497Z,50,,,30.7,,,
2018-01-09T00:17:32.499Z,50,,,30.7,37.6,,
2018-01-09T00:17:42.504Z,50,,,30.7,,,
2018-01-09T00:17:52.497Z,50,,,30.7,,,
2018-01-09T00:18:02.500Z,50,,,30.7,37.7,,
2018-01-09T00:18:12.501Z,50,,,30.7,,,
2018-01-09T00:18:22.498Z,50,,,30.7,,,
2018-01-09T00:18:32.499Z,50,,,30.7,,,
2018-01-09T00:18:42.499Z,50,,,30.7,37.8,,
2018-01-09T00:18:52.500Z,50,,,30.7,,,
2018-01-09T00:19:02.498Z,50,,,30.7,,,
2018-01-09T00:19:12.499Z,50,,,30.7,,,
2018-01-09T00:19:22.499Z,50,,,30.7,,,
2018-01-09T00:19:32.498Z,50,,,30.7,,,
2018-01-09T00:19:42.502Z,50,,,30.7,,,
2018-01-09T00:19:52.497Z,50,,,30.7,37.9,,
2018-01-09T00:20:02.557Z,50,,,30.7,,,
2018-01-09T00:20:12.549Z,50,,,30.7,,,
2018-01-09T00:20:22.592Z,50,,,30.7,,,
2018-01-09T00:20:32.498Z,50,,,30.7,,,
2018-01-09T00:20:42.499Z,50,,,30.7,,,
2018-01-09T00:20:52.499Z,50,,,30.7,,,
2018-01-09T00:21:02.499Z,50,,,30.7,,,
2018-01-09T00:21:12.499Z,50,,,30.7,,,
2018-01-09T00:21:22.499Z,50,,,30.7,,,
2018-01-09T00:21:32.500Z,50,,,30.7,,,
2018-01-09T00:21:42.498Z,50,,,30.7,,,
2018-01-09T00:21:52.498Z,50,,,30.7,,,
2018-01-09T00:22:02.499Z,50,,,30.7,,,
2018-01-09T00:22:12.500Z,50,,,30.7,,,
2018-01-09T00:22:22.500Z,50,,,30.7,,,
2018-01-09T00:22:32.519Z,50,,,30.7,37.8,,
2018-01-09T00:22:42.497Z,50,,,30.7,,,
2018-01-09T00:22:52.499Z,50,,,30.7,,,
2018-01-09T00:23:02.501Z,50,,,30.7,,,
2018-01-09T00:23:12.500Z,50,,,30.7,,,
2018-01-09T00:23:22.507Z,50,,,30.7,,,
2018-01-09T00:23:32.499Z,50,,,30.7,,,
2018-01-09T00:23:42.499Z,50,,,30.6,,,
2018-01-09T00:23:52.497Z,50,,,30.6,,,
2018-01-09T00:24:02.499Z,50,,,30.6,,,
2018-01-09T00:24:12.518Z,50,,,30.6,,,
2018-01-09T00:24:22.501Z,50,,,30.6,37.7,,
2018-01-09T00:24:32.499Z,50,,,30.6,,,
2018-01-09T00:24:42.499Z,50,,,30.6,,,
2018-01-09T00:24:52.500Z,50,,,30.6,,,
2018-01-09T00:25:02.500Z,50,,,30.6,,,
2018-01-09T00:25:12.500Z,50,,,30.6,,,
2018-01-09T00:25:22.499Z,50,,,30.6,,,
2018-01-09T00:25:32.497Z,50,,,30.6,,,
2018-01-09T00:25:42.500Z,50,,,30.6,,,
