Time,HwTSet,PrimT,ActPow,HwActive,HwTOutlet,ChActive,PrimTSet
2018-01-11T00:00:02.448Z,50,41,29,,29.2,,
2018-01-11T00:00:12.439Z,50,41.2,,,29.2,,
2018-01-11T00:00:22.439Z,50,41.3,,,29.2,,
2018-01-11T00:00:32.439Z,50,41.5,,,29.2,,
2018-01-11T00:00:42.440Z,50,41.6,,,29.2,,
2018-01-11T00:00:52.439Z,50,41.8,30,,29.2,,
2018-01-11T00:01:02.440Z,50,41.9,29,,29.2,,
2018-01-11T00:01:12.439Z,50,42.1,30,,29.2,,
2018-01-11T00:01:22.439Z,50,42.2,29,,29.2,,
2018-01-11T00:01:32.440Z,50,42.3,30,,29.2,,
2018-01-11T00:01:42.439Z,50,42.6,29,,29.3,,
2018-01-11T00:01:52.439Z,50,42.7,,,29.3,,
2018-01-11T00:02:02.439Z,50,42.9,,,29.3,,
2018-01-11T00:02:12.439Z,50,43,30,,29.3,,
2018-01-11T00:02:22.441Z,50,43.1,,,29.3,,
2018-01-11T00:02:32.439Z,50,43.3,29,,29.3,,
2018-01-11T00:02:42.439Z,50,43.4,,,29.3,,
2018-01-11T00:02:52.439Z,50,43.5,,,29.3,,
2018-01-11T00:03:02.439Z,50,43.7,30,,29.3,,
2018-01-11T00:03:12.439Z,50,43.8,29,,29.3,,
2018-01-11T00:03:22.439Z,50,44,,,29.5,,
2018-01-11T00:03:32.440Z,50,44.1,30,,29.5,,
2018-01-11T00:03:42.440Z,50,44.2,0,0,29.5,2,
2018-01-11T00:03:52.439Z,50,41.8,,,29.5,,
2018-01-11T00:04:02.439Z,50,40.5,,,29.5,,
2018-01-11T00:04:12.439Z,50,39.6,,,29.5,,
2018-01-11T00:04:22.440Z,50,39.4,,,29.5,,
2018-01-11T00:04:32.439Z,50,39.3,,,29.5,,
2018-01-11T00:04:42.448Z,50,,,,29.6,,
2018-01-11T00:04:52.439Z,50,,,,29.6,,
2018-01-11T00:05:02.439Z,50,,,,29.6,,
2018-01-11T00:05:12.447Z,50,39.2,,,29.6,,
2018-01-11T00:05:22.461Z,50,38.9,,,29.6,,
2018-01-11T00:05:32.439Z,50,38.8,,,29.6,,
2018-01-11T00:05:42.439Z,50,38.7,,,29.6,,
2018-01-11T00:05:52.439Z,50,,,,29.6,,
2018-01-11T00:06:02.439Z,50,,,,29.7,,
2018-01-11T00:06:12.439Z,50,,,,29.7,,
2018-01-11T00:06:22.440Z,50,38.6,,,29.7,,
2018-01-11T00:06:32.439Z,50,38.5,,,29.7,,
2018-01-11T00:06:42.439Z,50,38.4,,,29.7,,
2018-01-11T00:06:52.439Z,50,,,,29.7,,
2018-01-11T00:07:02.439Z,50,,,,29.7,,
2018-01-11T00:07:12.439Z,50,,,,29.7,,
2018-01-11T00:07:22.439Z,50,,,,29.7,,
2018-01-11T00:07:32.439Z,50,,,,29.7,,
2018-01-11T00:07:42.439Z,50,,,,29.7,,
2018-01-11T00:07:52.439Z,50,38.3,,,29.8,,
2018-01-11T00:08:02.439Z,50,38.4,,,29.8,,
2018-01-11T00:08:12.439Z,50,,,,29.8,,
2018-01-11T00:08:22.440Z,50,38.3,,,29.8,,
2018-01-11T00:08:32.439Z,50,,,,29.8,,
2018-01-11T00:08:42.439Z,50,,,,29.8,,
2018-01-11T00:08:52.439Z,50,,,,29.8,,
2018-01-11T00:09:02.440Z,50,38.4,,,29.8,,
2018-01-11T00:09:12.439Z,50,,,,29.8,,
2018-01-11T00:09:22.440Z,50,,,,29.8,,
2018-01-11T00:09:32.439Z,50,,,,29.8,,
2018-01-11T00:09:42.439Z,50,,,,29.8,,
2018-01-11T00:09:52.439Z,50,38.5,,,29.8,,
2018-01-11T00:10:02.439Z,50,,,,29.8,,
2018-01-11T00:10:12.439Z,50,,,,29.8,,
2018-01-11T00:10:22.440Z,50,38.6,,,30,,
2018-01-11T00:10:32.439Z,50,,,,30,,
2018-01-11T00:10:42.440Z,50,,,,30,,
2018-01-11T00:10:52.439Z,50,,,,30,,
2018-01-11T00:11:02.439Z,50,,,,30,,
2018-01-11T00:11:12.439Z,50,38.7,,,30,,
2018-01-11T00:11:22.439Z,50,,,,30,,
2018-01-11T00:11:32.439Z,50,,,,30,,
2018-01-11T00:11:42.439Z,50,,,,30,,
2018-01-11T00:11:52.439Z,50,,,,30,,
2018-01-11T00:12:02.439Z,50,,,,30,,
2018-01-11T00:12:12.440Z,50,38.8,,,30,,
2018-01-11T00:12:22.439Z,50,,,,30,,
2018-01-11T00:12:32.439Z,50,,,,30,,
2018-01-11T00:12:42.441Z,50,,,,30,,
2018-01-11T00:12:52.439Z,50,,,,30,,
2018-01-11T00:13:02.442Z,50,,,,30,,
2018-01-11T00:13:12.439Z,50,,,,30,,
2018-01-11T00:13:22.439Z,50,,,,30,,
2018-01-11T00:13:32.439Z,50,,,,30,,
2018-01-11T00:13:42.439Z,50,,,,30,,
2018-01-11T00:13:52.438Z,50,,,,30,,
2018-01-11T00:14:02.439Z,50,38.7,,,30,,
2018-01-11T00:14:12.439Z,50,,,,30,,
2018-01-11T00:14:22.504Z,50,,,,30,,
2018-01-11T00:14:32.439Z,50,,,,30,,
2018-01-11T00:14:42.485Z,50,,,,30,,
2018-01-11T00:14:52.439Z,50,,,,30,,
2018-01-11T00:15:02.467Z,50,,,,30,,
