Time,ChActive,HwTOutlet,HwTSet,HwActive,PrimTSet,ActPow,PrimT
2018-01-12T00:00:02.411Z,,30.1,50,,,30,36.1
2018-01-12T00:00:12.411Z,,30.1,50,,,29,36.2
2018-01-12T00:00:22.414Z,,30.1,50,,,,36.4
2018-01-12T00:00:32.419Z,,30.1,50,,,,36.5
2018-01-12T00:00:42.417Z,,30.1,50,,,,36.7
2018-01-12T00:00:52.437Z,,30.1,50,,,29,37.1
2018-01-12T00:01:02.424Z,,30.1,50,,,,37.2
2018-01-12T00:01:12.425Z,,30.1,50,,,,37.5
2018-01-12T00:01:22.411Z,,30.1,50,,,30,37.7
2018-01-12T00:01:32.411Z,,30.1,50,,,,37.8
2018-01-12T00:01:42.411Z,,30.1,50,,,29,38
2018-01-12T00:01:52.427Z,,30.1,50,,,,38.2
2018-01-12T00:02:02.427Z,,30.1,50,,,30,38.4
2018-01-12T00:02:12.414Z,,30.1,50,,,,38.5
2018-01-12T00:02:22.411Z,,30,50,,,29,38.7
2018-01-12T00:02:32.410Z,,30,50,,,30,38.9
2018-01-12T00:02:42.414Z,,30,50,,,29,39.1
2018-01-12T00:02:52.410Z,,30,50,,,,39.3
2018-01-12T00:03:02.411Z,,30,50,,,30,39.4
2018-01-12T00:03:12.410Z,,30,50,,,29,39.6
2018-01-12T00:03:22.412Z,,30,50,,,,39.7
2018-01-12T00:03:32.417Z,,30,50,,,30,40
2018-01-12T00:03:42.410Z,,30,50,,,29,40.1
2018-01-12T00:03:52.412Z,1,30,50,0,,0,40.2
2018-01-12T00:04:02.421Z,,30,50,,,,37.9
2018-01-12T00:04:12.421Z,,30,50,,,,35.9
2018-01-12T00:04:22.410Z,,30,50,,,,35.4
2018-01-12T00:04:32.410Z,,30,50,,,,35.2
2018-01-12T00:04:42.415Z,,30,50,,,,
2018-01-12T00:04:52.410Z,,30,50,,,,
2018-01-12T00:05:02.421Z,,30,50,,,,
2018-01-12T00:05:12.410Z,,30,50,,,,
2018-01-12T00:05:22.416Z,,30,50,,,,34.9
2018-01-12T00:05:32.410Z,,30,50,,,,
2018-01-12T00:05:42.413Z,,30,50,,,,34.8
2018-01-12T00:05:52.424Z,,30,50,,,,34.7
2018-01-12T00:06:02.410Z,,30,50,,,,
2018-01-12T00:06:12.435Z,,30,50,,,,
2018-01-12T00:06:22.426Z,,30,50,,,,
2018-01-12T00:06:32.412Z,,30,50,,,,
2018-01-12T00:06:42.410Z,,30,50,,,,34.6
2018-01-12T00:06:52.411Z,,30,50,,,,
2018-01-12T00:07:02.410Z,,30,50,,,,
2018-01-12T00:07:12.410Z,,30,50,,,,34.5
2018-01-12T00:07:22.414Z,,30,50,,,,34.6
2018-01-12T00:07:32.410Z,,30,50,,,,
2018-01-12T00:07:42.410Z,,30,50,,,,34.5
2018-01-12T00:07:52.410Z,,30,50,,,,
2018-01-12T00:08:02.410Z,,30,50,,,,
2018-01-12T00:08:12.410Z,1,30,50,0,,38,39.3
2018-01-12T00:08:22.436Z,,30,50,,,30,42.2
2018-01-12T00:08:32.410Z,,30,50,,,29,40.9
2018-01-12T00:08:42.412Z,,30,50,,,,40.4
2018-01-12T00:08:52.418Z,,30,50,,,,39.9
2018-01-12T00:09:02.410Z,,30,50,,,,39.7
2018-01-12T00:09:12.410Z,,30,50,,,0,39.8
2018-01-12T00:09:22.411Z,1,30,50,0,,,37.7
2018-01-12T00:09:32.410Z,,30,50,,,,36.6
2018-01-12T00:09:42.410Z,,30,50,,,,35.6
2018-01-12T00:09:52.410Z,,30,50,,,,35.3
2018-01-12T00:10:02.427Z,,30,50,,,,35.2
2018-01-12T00:10:12.416Z,,30,50,,,,
2018-01-12T00:10:22.410Z,,30,50,,,,
2018-01-12T00:10:32.410Z,,30,50,,,,35.1
2018-01-12T00:10:42.411Z,,30,50,,,,34.9
2018-01-12T00:10:52.410Z,,30,50,,,,
2018-01-12T00:11:02.411Z,,30,50,,,,34.7
2018-01-12T00:11:12.410Z,,30,50,,,,34.6
2018-01-12T00:11:22.410Z,,30,50,,,,
2018-01-12T00:11:32.411Z,1,30,50,0,,,
2018-01-12T00:11:42.428Z,,30,50,,,,34.7
2018-01-12T00:11:52.410Z,,30,50,,,,34.6
2018-01-12T00:12:02.424Z,,30,50,,,,
2018-01-12T00:12:12.410Z,,30,50,,,,
2018-01-12T00:12:22.410Z,,30,50,,,,34.5
2018-01-12T00:12:32.410Z,,30,50,,,,34.4
2018-01-12T00:12:42.410Z,,30,50,,,,34.3
2018-01-12T00:12:52.410Z,,30,50,,,,
2018-01-12T00:13:02.410Z,,30,50,,,,34.2
2018-01-12T00:13:12.410Z,,30,50,,,,
2018-01-12T00:13:22.423Z,,30,50,,,,34.1
2018-01-12T00:13:32.415Z,,30,50,,,,
2018-01-12T00:13:42.410Z,,30,50,,,,34
2018-01-12T00:13:52.418Z,,30,50,,,,33.9
2018-01-12T00:14:02.410Z,,30,50,,,,
2018-01-12T00:14:12.410Z,,30,50,,,,33.8
2018-01-12T00:14:22.410Z,,29.8,50,,,,
2018-01-12T00:14:32.410Z,,30,50,,,,
2018-01-12T00:14:42.410Z,,30,50,,,,
2018-01-12T00:14:52.410Z,,30,50,,,,33.7
2018-01-12T00:15:02.435Z,,29.8,50,,,,
2018-01-12T00:15:12.413Z,,29.8,50,,,,
2018-01-12T00:15:22.410Z,,29.8,50,,,,
2018-01-12T00:15:32.410Z,,29.8,50,,,,
2018-01-12T00:15:42.419Z,,29.8,50,,,,
2018-01-12T00:15:52.410Z,,29.8,50,,,,
2018-01-12T00:16:02.412Z,,29.8,50,,,,
2018-01-12T00:16:12.410Z,,29.8,50,,,,
2018-01-12T00:16:22.410Z,,29.8,50,,,,
2018-01-12T00:16:32.410Z,,29.8,50,,,,
2018-01-12T00:16:42.562Z,,29.8,50,,,,
2018-01-12T00:16:52.410Z,,29.8,50,,,,
2018-01-12T00:17:02.410Z,,29.8,50,,,,
2018-01-12T00:17:12.420Z,,29.8,50,,,,
2018-01-12T00:17:22.414Z,,29.8,50,,,,
2018-01-12T00:17:32.410Z,,29.8,50,,,,
2018-01-12T00:17:42.434Z,,29.8,50,,,,
2018-01-12T00:17:52.410Z,,29.8,50,,,,
2018-01-12T00:18:02.410Z,,29.8,50,,,,
2018-01-12T00:18:12.410Z,,29.8,50,,,,
2018-01-12T00:18:22.410Z,,29.8,50,,,,
2018-01-12T00:18:32.410Z,,29.8,50,,,,
2018-01-12T00:18:42.410Z,,29.8,50,,,,
2018-01-12T00:18:52.413Z,,29.7,50,,,,
2018-01-12T00:19:02.412Z,,29.7,50,,,,
2018-01-12T00:19:12.455Z,,29.7,50,,,,
2018-01-12T00:19:22.410Z,,29.7,50,,,,
2018-01-12T00:19:32.410Z,,29.7,50,,,,33.8
2018-01-12T00:19:42.433Z,,29.7,50,,,,33.7
2018-01-12T00:19:52.410Z,,29.7,50,,,,33.8
2018-01-12T00:20:02.410Z,,29.7,50,,,,
2018-01-12T00:20:12.410Z,,29.7,50,,,,
2018-01-12T00:20:22.410Z,,29.7,50,,,,
2018-01-12T00:20:32.413Z,,29.7,50,,,,
2018-01-12T00:20:42.426Z,,29.7,50,,,,
2018-01-12T00:20:52.410Z,,29.7,50,,,,
2018-01-12T00:21:02.414Z,,29.7,50,,,,
2018-01-12T00:21:12.410Z,,29.7,50,,,,
2018-01-12T00:21:22.416Z,,29.7,50,,,,
2018-01-12T00:21:32.412Z,,29.7,50,,,,
