Time,HwTSet,HwActive,ChActive,PrimTSet,ActPow,HwTOutlet,PrimT
2018-01-13T00:00:01.385Z,50,,,,,40.5,
2018-01-13T00:00:11.383Z,50,,,,,40.5,
2018-01-13T00:00:21.389Z,50,,,,,40.4,
2018-01-13T00:00:31.383Z,50,,,,,40.2,
2018-01-13T00:00:41.383Z,50,,,,,40.1,
2018-01-13T00:00:51.383Z,50,,,,,40.1,
2018-01-13T00:01:01.383Z,50,,,,,40,
2018-01-13T00:01:11.383Z,50,,,,,39.9,
2018-01-13T00:01:21.405Z,50,,,,,39.8,
2018-01-13T00:01:31.387Z,50,,,,,39.7,
2018-01-13T00:01:41.384Z,50,,,,,39.6,
2018-01-13T00:01:51.384Z,50,,,,,39.5,
2018-01-13T00:02:01.400Z,50,,,,,39.4,
2018-01-13T00:02:11.387Z,50,,,,,39.3,
2018-01-13T00:02:21.384Z,50,0,2,,41,39.2,44.1
2018-01-13T00:02:31.383Z,50,,,,29,39.1,45.7
2018-01-13T00:02:41.394Z,50,1,0,0,30,41.6,45
2018-01-13T00:02:51.394Z,50,,,,29,38.7,43
2018-01-13T00:03:01.383Z,50,1,0,,0,43,42.7
2018-01-13T00:03:11.393Z,50,0,0,,0,40.8,40.8
2018-01-13T00:03:21.383Z,50,,,,,40.2,40.4
2018-01-13T00:03:31.383Z,50,,,,,40.1,40.3
2018-01-13T00:03:41.450Z,50,1,0,,,40,
2018-01-13T00:03:51.386Z,50,1,0,,53,38.8,39.5
2018-01-13T00:04:01.393Z,50,0,0,,0,38.6,40.9
2018-01-13T00:04:11.383Z,50,,,,,38.9,40
2018-01-13T00:04:21.395Z,50,,,,,38.8,39.9
2018-01-13T00:04:31.393Z,50,1,0,,,38.7,
2018-01-13T00:04:41.400Z,50,1,0,,43,39.4,39.6
2018-01-13T00:04:51.383Z,50,0,0,,0,39.3,39.5
2018-01-13T00:05:01.383Z,50,,,,,39.1,39.2
2018-01-13T00:05:11.393Z,50,,,,,39.1,
2018-01-13T00:05:21.384Z,50,,,,,38.9,39.1
2018-01-13T00:05:31.392Z,50,,,,,38.8,
2018-01-13T00:05:41.383Z,50,,,,,38.7,
2018-01-13T00:05:51.386Z,50,0,2,59,45,38.7,40.3
2018-01-13T00:06:01.384Z,50,,,,37,38.6,44.1
2018-01-13T00:06:11.383Z,50,,,,29,38.5,42.6
2018-01-13T00:06:21.384Z,50,,,,29,38.5,40.8
2018-01-13T00:06:31.383Z,50,,,,29,38.4,38.9
2018-01-13T00:06:41.387Z,50,,,,,38.3,38.8
2018-01-13T00:06:51.384Z,50,,,,30,38.3,
2018-01-13T00:07:01.383Z,50,,,,29,38.2,39.1
2018-01-13T00:07:11.383Z,50,,,,30,38.2,39.5
2018-01-13T00:07:21.385Z,50,,,,29,38.1,39.8
2018-01-13T00:07:31.383Z,50,,,,29,38,40
2018-01-13T00:07:41.385Z,50,,,,29,37.9,40.1
2018-01-13T00:07:51.383Z,50,,,,,37.9,40.3
2018-01-13T00:08:01.383Z,50,,,,,37.8,40.4
2018-01-13T00:08:11.384Z,50,,,,,37.8,40.6
2018-01-13T00:08:21.383Z,50,,,,,37.7,40.7
2018-01-13T00:08:31.385Z,50,,,,30,37.7,41
2018-01-13T00:08:41.389Z,50,,,,0,37.6,41.2
2018-01-13T00:08:51.385Z,50,0,2,,,37.5,38.8
