Time,HwActive,ActPow,ChActive,PrimTSet,PrimT,HwTSet,HwTOutlet
2018-01-15T00:00:01.326Z,,,,,37.5,50,30
2018-01-15T00:00:11.326Z,,,,,,50,30
2018-01-15T00:00:21.326Z,,,,,,50,30
2018-01-15T00:00:31.326Z,,,,,,50,30
2018-01-15T00:00:41.326Z,,,,,,50,30
2018-01-15T00:00:51.326Z,,,,,,50,30
2018-01-15T00:01:01.327Z,,,,,,50,30
2018-01-15T00:01:11.326Z,,,,,,50,30
2018-01-15T00:01:21.326Z,,,,,37.4,50,30
2018-01-15T00:01:31.326Z,,,,,,50,30
2018-01-15T00:01:41.326Z,,,,,,50,30
2018-01-15T00:01:51.326Z,,,,,,50,30
2018-01-15T00:02:01.327Z,,,,,,50,30
2018-01-15T00:02:11.326Z,,,,,,50,30
2018-01-15T00:02:21.326Z,,,,,,50,30
2018-01-15T00:02:31.329Z,,,,,,50,29.8
2018-01-15T00:02:41.327Z,0,0,2,59,37.3,50,29.8
2018-01-15T00:02:51.326Z,,,,,,50,29.8
2018-01-15T00:03:01.326Z,,,,,,50,29.8
2018-01-15T00:03:11.326Z,,,,,,50,29.8
2018-01-15T00:03:21.327Z,,,,,,50,29.8
2018-01-15T00:03:31.326Z,,,,,,50,29.8
2018-01-15T00:03:41.326Z,,,,,,50,29.8
2018-01-15T00:03:51.326Z,,,,,,50,29.8
2018-01-15T00:04:01.327Z,,,,,,50,29.8
2018-01-15T00:04:11.326Z,,,,,37.2,50,29.8
2018-01-15T00:04:21.326Z,,,,,,50,29.8
2018-01-15T00:04:31.326Z,,,,,,50,29.8
2018-01-15T00:04:41.326Z,,,,,,50,29.8
2018-01-15T00:04:51.326Z,,,,,,50,29.8
2018-01-15T00:05:01.326Z,,,,,,50,29.7
2018-01-15T00:05:11.327Z,,,,,,50,29.7
2018-01-15T00:05:21.326Z,,,,,,50,29.7
2018-01-15T00:05:31.326Z,,,,,,50,29.7
2018-01-15T00:05:41.326Z,,,,,,50,29.7
2018-01-15T00:05:51.326Z,,,,,,50,29.7
2018-01-15T00:06:01.326Z,,,,,,50,29.7
2018-01-15T00:06:11.326Z,,,,,37.1,50,29.7
2018-01-15T00:06:21.326Z,,,,,,50,29.7
2018-01-15T00:06:31.326Z,,,,,,50,29.7
2018-01-15T00:06:41.326Z,,,,,,50,29.7
2018-01-15T00:06:51.326Z,,,,,,50,29.7
2018-01-15T00:07:01.327Z,,,,,,50,29.7
2018-01-15T00:07:11.326Z,,,,,,50,29.7
2018-01-15T00:07:21.326Z,,,,,,50,29.7
2018-01-15T00:07:31.326Z,,,,,36.9,50,29.7
2018-01-15T00:07:41.326Z,,,,,37.1,50,29.7
2018-01-15T00:07:51.327Z,,,,,36.9,50,29.6
2018-01-15T00:08:01.326Z,,,,,,50,29.6
2018-01-15T00:08:11.327Z,,,,,,50,29.6
2018-01-15T00:08:21.326Z,,,,,,50,29.6
2018-01-15T00:08:31.326Z,,,,,,50,29.6
2018-01-15T00:08:41.326Z,,,,,,50,29.6
2018-01-15T00:08:51.326Z,,,,,,50,29.6
2018-01-15T00:09:01.326Z,,,,,,50,29.6
2018-01-15T00:09:11.328Z,,,,,,50,29.6
