Time,ChActive,HwTSet,HwActive,HwTOutlet,ActPow,PrimT,PrimTSet
2018-01-18T00:00:01.384Z,,50,,32.7,,,
2018-01-18T00:00:11.247Z,,50,,32.7,,47.8,
2018-01-18T00:00:21.325Z,,50,,32.7,,47.9,
2018-01-18T00:00:31.245Z,,50,,32.7,29,48.1,
2018-01-18T00:00:41.244Z,,50,,32.7,,48.2,
2018-01-18T00:00:51.245Z,,50,,32.7,,48.3,
2018-01-18T00:01:01.245Z,,50,,32.7,,,
2018-01-18T00:01:11.249Z,,50,,32.7,,48.5,
2018-01-18T00:01:21.325Z,,50,,32.8,,48.6,
2018-01-18T00:01:31.244Z,,50,,32.8,,,
2018-01-18T00:01:41.245Z,,50,,32.8,30,48.7,
2018-01-18T00:01:51.245Z,,50,,32.8,29,48.8,
2018-01-18T00:02:01.245Z,,50,,32.8,,49,
2018-01-18T00:02:11.250Z,,50,,32.8,,,
2018-01-18T00:02:21.324Z,,50,,32.8,30,49.1,
2018-01-18T00:02:31.245Z,,50,,32.8,,49.2,
2018-01-18T00:02:41.245Z,,50,,32.8,29,49.3,
2018-01-18T00:02:51.245Z,,50,,32.8,,49.4,
2018-01-18T00:03:01.246Z,,50,,32.9,30,49.5,
2018-01-18T00:03:11.250Z,,50,,32.9,29,49.6,
2018-01-18T00:03:21.324Z,,50,,32.9,,49.7,
2018-01-18T00:03:31.245Z,,50,,32.9,,49.8,
2018-01-18T00:03:41.246Z,,50,,32.9,,49.9,
2018-01-18T00:03:51.245Z,,50,,32.9,,50.1,
2018-01-18T00:04:01.244Z,,50,,32.9,,,
2018-01-18T00:04:11.245Z,,50,,32.9,,50.2,
2018-01-18T00:04:21.325Z,,50,,33.1,,50.3,
2018-01-18T00:04:31.244Z,,50,,33.1,,50.4,
2018-01-18T00:04:41.245Z,,50,,33.1,,50.5,
2018-01-18T00:04:51.245Z,,50,,33.1,,50.6,
2018-01-18T00:05:01.245Z,1,50,0,33.1,0,50.3,
2018-01-18T00:05:11.244Z,,50,,33.1,,47.7,
2018-01-18T00:05:21.324Z,,50,,33.1,,46.4,
2018-01-18T00:05:31.245Z,,50,,33.2,,45.9,
2018-01-18T00:05:41.244Z,,50,,33.2,,45.8,
2018-01-18T00:05:51.245Z,,50,,33.2,,45.7,
2018-01-18T00:06:01.244Z,,50,,33.2,,,
2018-01-18T00:06:11.244Z,,50,,33.2,,,
2018-01-18T00:06:21.324Z,,50,,33.2,,45.6,
2018-01-18T00:06:31.245Z,,50,,33.2,,45.5,
2018-01-18T00:06:41.244Z,,50,,33.2,,45.3,
2018-01-18T00:06:51.245Z,,50,,33.3,,45.1,
2018-01-18T00:07:01.244Z,,50,,33.3,,,
2018-01-18T00:07:11.245Z,,50,,33.3,,45,
2018-01-18T00:07:21.325Z,,50,,33.3,,,
2018-01-18T00:07:31.245Z,,50,,33.3,,44.9,
2018-01-18T00:07:41.244Z,,50,,33.3,,44.8,
2018-01-18T00:07:51.244Z,,50,,33.3,,44.7,
2018-01-18T00:08:01.245Z,,50,,33.3,,44.6,
2018-01-18T00:08:11.250Z,,50,,33.3,,,
