Time,HwTOutlet,PrimT,HwTSet,PrimTSet,ChActive,HwActive,ActPow
2018-01-21T00:00:09.162Z,34.1,43.7,50,,,,
2018-01-21T00:00:19.162Z,34,,50,,,,
2018-01-21T00:00:29.162Z,34,,50,,,,
2018-01-21T00:00:39.162Z,34,,50,,,,
2018-01-21T00:00:49.162Z,33.9,,50,,,,
2018-01-21T00:00:59.162Z,33.9,,50,,,,
2018-01-21T00:01:09.162Z,33.8,43.6,50,,,,
2018-01-21T00:01:19.163Z,33.8,,50,,,,
2018-01-21T00:01:29.162Z,33.7,,50,,,,
2018-01-21T00:01:39.162Z,33.7,,50,,,,
2018-01-21T00:01:49.162Z,33.7,,50,,,,
2018-01-21T00:01:59.162Z,33.6,43.5,50,,,,
2018-01-21T00:02:09.162Z,33.6,,50,,,,
2018-01-21T00:02:19.172Z,33.5,49,50,,1,0,38
2018-01-21T00:02:29.162Z,33.5,43.4,50,,,,29
2018-01-21T00:02:39.162Z,33.5,38.3,50,,,,29
2018-01-21T00:02:49.173Z,33.4,34.9,50,,,,29
2018-01-21T00:02:59.162Z,33.4,33.9,50,,,,
2018-01-21T00:03:09.162Z,33.4,33.2,50,,,,
2018-01-21T00:03:19.162Z,33.3,33.4,50,,,,30
2018-01-21T00:03:29.162Z,33.3,34,50,,,,30
2018-01-21T00:03:39.162Z,33.2,34.2,50,,,,
2018-01-21T00:03:49.162Z,33.2,34.3,50,,,,29
2018-01-21T00:03:59.162Z,33.2,34.4,50,,,,30
2018-01-21T00:04:09.164Z,33.1,34.5,50,,,,29
2018-01-21T00:04:19.162Z,33.1,34.6,50,,,,
2018-01-21T00:04:29.162Z,33.1,34.9,50,,,,
2018-01-21T00:04:39.162Z,32.9,35.2,50,,,,30
2018-01-21T00:04:49.162Z,32.9,35.5,50,,,,
2018-01-21T00:04:59.162Z,32.9,35.7,50,,,,29
2018-01-21T00:05:09.162Z,32.8,36,50,,,,29
2018-01-21T00:05:19.162Z,32.8,36.1,50,,,,30
2018-01-21T00:05:29.162Z,32.8,36.4,50,,,,29
2018-01-21T00:05:39.162Z,32.7,36.6,50,,,,
2018-01-21T00:05:49.162Z,32.7,36.8,50,,,,
2018-01-21T00:05:59.162Z,32.7,37.1,50,,,,29
2018-01-21T00:06:09.162Z,32.7,37.3,50,,,,
2018-01-21T00:06:19.161Z,32.6,37.5,50,,,,
2018-01-21T00:06:29.162Z,32.6,37.7,50,,,,
2018-01-21T00:06:39.162Z,32.6,37.8,50,,,,
2018-01-21T00:06:49.162Z,32.6,38,50,,,,30
2018-01-21T00:06:59.161Z,32.5,38.1,50,,,,29
