Time,HwTSet,ChActive,PrimTSet,HwActive,ActPow,HwTOutlet,PrimT
2018-01-23T00:00:09.108Z,50,,,,,29.7,
2018-01-23T00:00:19.125Z,50,,,,,29.7,
2018-01-23T00:00:29.111Z,50,,,,,29.7,
2018-01-23T00:00:39.107Z,50,,,,,29.7,
2018-01-23T00:00:49.108Z,50,,,,,29.7,
2018-01-23T00:00:59.108Z,50,,,,,29.7,
2018-01-23T00:01:09.107Z,50,,,,,29.8,
2018-01-23T00:01:19.108Z,50,,,,,29.8,
2018-01-23T00:01:29.127Z,50,,,,,29.8,
2018-01-23T00:01:39.108Z,50,,,,,29.8,
2018-01-23T00:01:49.108Z,50,,,,,29.8,
2018-01-23T00:01:59.107Z,50,,,,,29.8,
2018-01-23T00:02:09.108Z,50,,,,,29.8,37.3
2018-01-23T00:02:19.108Z,50,,,,,29.8,
2018-01-23T00:02:29.108Z,50,,,,,29.8,
2018-01-23T00:02:39.107Z,50,,,,,29.8,
2018-01-23T00:02:49.107Z,50,,,,,29.8,37.4
2018-01-23T00:02:59.107Z,50,,,,,29.8,
2018-01-23T00:03:09.108Z,50,,,,,29.8,
2018-01-23T00:03:19.108Z,50,,,,,29.8,
2018-01-23T00:03:29.108Z,50,,,,,29.8,37.5
2018-01-23T00:03:39.108Z,50,,,,,29.8,
2018-01-23T00:03:49.107Z,50,,,,,29.8,
2018-01-23T00:03:59.107Z,50,,,,,29.8,
2018-01-23T00:04:09.108Z,50,,,,,29.8,37.6
2018-01-23T00:04:19.108Z,50,,,,,29.8,
2018-01-23T00:04:29.107Z,50,,,,,29.8,
2018-01-23T00:04:39.107Z,50,,,,,29.8,
2018-01-23T00:04:49.107Z,50,,,,,29.8,
2018-01-23T00:04:59.107Z,50,,,,,29.8,
2018-01-23T00:05:09.108Z,50,,,,,29.8,
2018-01-23T00:05:19.107Z,50,,,,,29.8,
2018-01-23T00:05:29.108Z,50,,,,,29.8,
2018-01-23T00:05:39.107Z,50,,,,,29.8,
2018-01-23T00:05:49.109Z,50,,,,,29.8,
2018-01-23T00:05:59.108Z,50,,,,,29.8,
2018-01-23T00:06:09.108Z,50,,,,,29.8,
2018-01-23T00:06:19.107Z,50,,,,,29.8,
2018-01-23T00:06:29.110Z,50,,,,,29.8,
2018-01-23T00:06:39.107Z,50,,,,,29.8,
2018-01-23T00:06:49.107Z,50,,,,,29.8,
2018-01-23T00:06:59.108Z,50,,,,,29.8,
2018-01-23T00:07:09.108Z,50,,,,,29.8,
2018-01-23T00:07:19.108Z,50,,,,,29.8,
2018-01-23T00:07:29.107Z,50,,,,,29.8,
2018-01-23T00:07:39.107Z,50,,,,,29.8,
2018-01-23T00:07:49.108Z,50,,,,,29.8,
2018-01-23T00:07:59.107Z,50,,,,,29.8,
2018-01-23T00:08:09.111Z,50,,,,,29.8,37.5
2018-01-23T00:08:19.113Z,50,,,,,29.8,
2018-01-23T00:08:29.108Z,50,,,,,29.8,
2018-01-23T00:08:39.107Z,50,,,,,29.8,
