Time,ActPow,HwTOutlet,HwTSet,PrimT,HwActive,ChActive,PrimTSet
2018-01-24T00:00:09.085Z,,30.4,50,,,,
2018-01-24T00:00:19.087Z,,30.4,50,,,,
2018-01-24T00:00:29.107Z,,30.4,50,,,,
2018-01-24T00:00:39.085Z,,30.4,50,,,,
2018-01-24T00:00:49.082Z,,30.3,50,,,,
2018-01-24T00:00:59.081Z,,30.3,50,33.4,,,
2018-01-24T00:01:09.082Z,,30.3,50,,,,
2018-01-24T00:01:19.081Z,,30.3,50,,,,
2018-01-24T00:01:29.081Z,,30.3,50,,,,
2018-01-24T00:01:39.085Z,,30.3,50,,,,
2018-01-24T00:01:49.137Z,,30.2,50,33.5,,,
2018-01-24T00:01:59.082Z,,30.2,50,,,,
2018-01-24T00:02:09.082Z,,30.2,50,,,,
2018-01-24T00:02:19.098Z,,30.2,50,,,,
2018-01-24T00:02:29.092Z,,30.2,50,,,,
2018-01-24T00:02:39.082Z,,30.1,50,33.6,,,
2018-01-24T00:02:49.086Z,,30.1,50,,,,
2018-01-24T00:02:59.082Z,,30.1,50,,,,
2018-01-24T00:03:09.081Z,,30.1,50,,,,
2018-01-24T00:03:19.081Z,,30.1,50,,,,
2018-01-24T00:03:29.102Z,,30.1,50,33.7,,,
2018-01-24T00:03:39.082Z,,30.1,50,,,,
2018-01-24T00:03:49.105Z,,30,50,,,,
2018-01-24T00:03:59.091Z,,30,50,,,,
2018-01-24T00:04:09.094Z,,30,50,,,,
2018-01-24T00:04:19.082Z,,30,50,,,,
2018-01-24T00:04:29.086Z,,30,50,33.8,,,
2018-01-24T00:04:39.082Z,,29.8,50,,,,
2018-01-24T00:04:49.082Z,,29.8,50,,,,
2018-01-24T00:04:59.081Z,,29.8,50,,,,
2018-01-24T00:05:09.082Z,,29.8,50,33.9,,,
2018-01-24T00:05:19.093Z,,29.8,50,,,,
2018-01-24T00:05:29.081Z,,29.8,50,,,,
2018-01-24T00:05:39.081Z,,29.8,50,,,,
2018-01-24T00:05:49.081Z,,29.7,50,33.9,,,
2018-01-24T00:05:59.082Z,,29.7,50,34,,,
2018-01-24T00:06:09.081Z,,29.7,50,,,,
2018-01-24T00:06:19.081Z,,29.7,50,,,,
2018-01-24T00:06:29.085Z,,29.7,50,,,,
2018-01-24T00:06:39.083Z,,29.7,50,,,,
2018-01-24T00:06:49.082Z,,29.6,50,34.1,,,
2018-01-24T00:06:59.081Z,,29.6,50,,,,
2018-01-24T00:07:09.081Z,,29.6,50,,,,
2018-01-24T00:07:19.082Z,,29.6,50,,,,
2018-01-24T00:07:29.107Z,,29.6,50,,,,
2018-01-24T00:07:39.081Z,,29.6,50,34.2,,,
2018-01-24T00:07:49.081Z,,29.6,50,,,,
2018-01-24T00:07:59.092Z,,29.6,50,,,,
2018-01-24T00:08:09.082Z,,29.5,50,,,,
2018-01-24T00:08:19.081Z,,29.5,50,,,,
2018-01-24T00:08:29.099Z,,29.5,50,,,,
2018-01-24T00:08:39.090Z,,29.5,50,34.3,,,
2018-01-24T00:08:49.089Z,,29.5,50,,,,
2018-01-24T00:08:59.081Z,,29.5,50,,,,
2018-01-24T00:09:09.107Z,,29.5,50,,,,
2018-01-24T00:09:19.098Z,,29.3,50,,,,
2018-01-24T00:09:29.084Z,,29.3,50,,,,
2018-01-24T00:09:39.081Z,,29.3,50,,,,
2018-01-24T00:09:49.082Z,,29.3,50,,,,
2018-01-24T00:09:59.097Z,,29.3,50,,,,
2018-01-24T00:10:09.081Z,,29.3,50,,,,
2018-01-24T00:10:19.081Z,,29.3,50,,,,
2018-01-24T00:10:29.082Z,,29.3,50,,,,
2018-01-24T00:10:39.083Z,,29.2,50,34.2,0,2,
2018-01-24T00:10:49.094Z,37,29.2,50,38.4,,,
2018-01-24T00:10:59.081Z,29,29.2,50,38.9,,,
2018-01-24T00:11:09.081Z,29,29.2,50,36.8,,,
2018-01-24T00:11:19.081Z,29,29.2,50,34.9,,,
2018-01-24T00:11:29.081Z,,29.2,50,34.4,,,
2018-01-24T00:11:39.081Z,29,29.2,50,33.8,,,
2018-01-24T00:11:49.095Z,,29.2,50,34,,,
2018-01-24T00:11:59.081Z,30,29.1,50,34.3,,,
2018-01-24T00:12:09.100Z,,29.1,50,34.6,,,
2018-01-24T00:12:19.083Z,29,29.1,50,35.1,,,
2018-01-24T00:12:29.081Z,30,29.1,50,,,,
2018-01-24T00:12:39.088Z,29,29.1,50,35.3,,,
2018-01-24T00:12:49.082Z,30,29.1,50,35.4,,,
2018-01-24T00:12:59.088Z,29,29.1,50,35.5,,,
2018-01-24T00:13:09.083Z,,29.1,50,35.7,,,
2018-01-24T00:13:19.082Z,30,29.1,50,36,,,
2018-01-24T00:13:29.081Z,29,29.1,50,36.1,,,
2018-01-24T00:13:39.081Z,,29.1,50,36.3,,,
2018-01-24T00:13:49.081Z,30,29.1,50,36.5,,,
2018-01-24T00:13:59.096Z,,29.1,50,36.6,,,
2018-01-24T00:14:09.081Z,29,29,50,36.8,,,
2018-01-24T00:14:19.083Z,29,29,50,37.1,,,
2018-01-24T00:14:29.081Z,,29,50,37.3,,,
2018-01-24T00:14:39.083Z,,29,50,37.5,,,
2018-01-24T00:14:49.081Z,30,29,50,37.6,,,
2018-01-24T00:14:59.082Z,29,29,50,37.7,,,
2018-01-24T00:15:09.081Z,,29,50,38,,,
2018-01-24T00:15:19.082Z,,29,50,38.1,,,
2018-01-24T00:15:29.082Z,,29,50,38.2,,,
