Time,ActPow,HwTSet,PrimT,HwTOutlet,PrimTSet,ChActive,HwActive
2018-01-25T00:00:09.064Z,,50,,29.8,,,
2018-01-25T00:00:19.063Z,,50,,29.8,,,
2018-01-25T00:00:29.063Z,,50,,29.7,,,
2018-01-25T00:00:39.063Z,,50,,29.8,,,
2018-01-25T00:00:49.063Z,,50,,29.7,,,
2018-01-25T00:00:59.063Z,,50,,29.7,,,
2018-01-25T00:01:09.063Z,,50,,29.7,,,
2018-01-25T00:01:19.105Z,,50,35.5,29.7,,,
2018-01-25T00:01:29.063Z,,50,,29.7,,,
2018-01-25T00:01:39.066Z,,50,,29.7,,,
2018-01-25T00:01:49.063Z,,50,,29.7,,,
2018-01-25T00:01:59.063Z,,50,,29.7,,,
2018-01-25T00:02:09.063Z,,50,,29.7,,,
2018-01-25T00:02:19.063Z,,50,,29.7,,,
2018-01-25T00:02:29.063Z,,50,,29.7,,,
2018-01-25T00:02:39.063Z,,50,,29.7,,,
2018-01-25T00:02:49.063Z,,50,,29.7,,,
2018-01-25T00:02:59.065Z,,50,,29.7,,,
2018-01-25T00:03:09.063Z,,50,35.4,29.7,,,
2018-01-25T00:03:19.063Z,,50,,29.7,,,
2018-01-25T00:03:29.063Z,,50,,29.7,,,
2018-01-25T00:03:39.064Z,,50,,29.7,,,
2018-01-25T00:03:49.063Z,,50,,29.7,,,
2018-01-25T00:03:59.063Z,,50,,29.7,,,
2018-01-25T00:04:09.071Z,,50,,29.6,,,
2018-01-25T00:04:19.062Z,,50,,29.6,,,
2018-01-25T00:04:29.064Z,,50,,29.6,,,
2018-01-25T00:04:39.063Z,,50,,29.6,,,
2018-01-25T00:04:49.063Z,,50,,29.6,,,
2018-01-25T00:04:59.066Z,,50,,29.6,,,
2018-01-25T00:05:09.063Z,,50,35.3,29.6,,,
2018-01-25T00:05:19.063Z,,50,,29.6,,,
2018-01-25T00:05:29.063Z,,50,,29.6,,,
2018-01-25T00:05:39.063Z,,50,,29.6,,,
2018-01-25T00:05:49.062Z,,50,,29.6,,,
2018-01-25T00:05:59.063Z,,50,,29.6,,,
2018-01-25T00:06:09.063Z,,50,,29.6,,,
2018-01-25T00:06:19.062Z,,50,,29.6,,,
2018-01-25T00:06:29.062Z,,50,,29.6,,,
2018-01-25T00:06:39.063Z,,50,,29.6,,,
2018-01-25T00:06:49.063Z,,50,35.2,29.6,,,
2018-01-25T00:06:59.062Z,,50,,29.6,,,
2018-01-25T00:07:09.063Z,,50,,29.5,,,
2018-01-25T00:07:19.062Z,,50,,29.5,,,
2018-01-25T00:07:29.074Z,40,50,39.2,29.5,,1,0
2018-01-25T00:07:39.063Z,29,50,40.7,29.5,,,
2018-01-25T00:07:49.062Z,29,50,38.7,29.5,,,
2018-01-25T00:07:59.064Z,,50,36.9,29.5,,,
2018-01-25T00:08:09.137Z,29,50,34.9,29.5,,,
2018-01-25T00:08:19.063Z,,50,,29.5,,,
2018-01-25T00:08:29.063Z,29,50,35.1,29.5,,,
2018-01-25T00:08:39.062Z,30,50,35.2,29.5,,,
2018-01-25T00:08:49.063Z,29,50,36,29.5,,,
2018-01-25T00:08:59.064Z,,50,,29.5,,,
2018-01-25T00:09:09.063Z,,50,36.3,29.5,,,
2018-01-25T00:09:19.062Z,,50,36.4,29.5,,,
2018-01-25T00:09:29.062Z,,50,36.6,29.5,,,
2018-01-25T00:09:39.062Z,,50,36.7,29.5,,,
2018-01-25T00:09:49.081Z,30,50,37.1,29.5,,,
2018-01-25T00:09:59.062Z,29,50,37.2,29.5,,,
2018-01-25T00:10:09.062Z,30,50,37.5,29.5,,,
2018-01-25T00:10:19.063Z,29,50,37.7,29.5,,,
2018-01-25T00:10:29.063Z,,50,38,29.5,,,
2018-01-25T00:10:39.062Z,30,50,,29.5,,,
2018-01-25T00:10:49.062Z,29,50,38.2,29.5,,,
2018-01-25T00:10:59.062Z,,50,38.4,29.5,,,
2018-01-25T00:11:09.062Z,,50,38.5,29.5,,,
2018-01-25T00:11:19.063Z,,50,38.7,29.5,,,
2018-01-25T00:11:29.062Z,30,50,39.1,29.5,,,
2018-01-25T00:11:39.063Z,,50,,29.5,,,
2018-01-25T00:11:49.063Z,29,50,39.2,29.5,,,
