Time,ChActive,PrimTSet,ActPow,HwActive,HwTOutlet,HwTSet,PrimT
2018-01-28T00:00:08.979Z,,,,,28.5,50,
2018-01-28T00:00:18.979Z,,,,,28.5,50,
2018-01-28T00:00:28.979Z,,,,,28.5,50,
2018-01-28T00:00:38.979Z,,,,,28.5,50,
2018-01-28T00:00:48.979Z,,,,,28.5,50,
2018-01-28T00:00:58.979Z,,,,,28.5,50,
2018-01-28T00:01:08.979Z,,,,,28.5,50,
2018-01-28T00:01:18.979Z,,,,,28.5,50,
2018-01-28T00:01:28.978Z,,,,,28.5,50,35.4
2018-01-28T00:01:38.980Z,,,,,28.5,50,
2018-01-28T00:01:48.979Z,,,,,28.5,50,
2018-01-28T00:01:58.979Z,,,,,28.5,50,
2018-01-28T00:02:08.979Z,,,,,28.5,50,
2018-01-28T00:02:18.979Z,,,,,28.5,50,
2018-01-28T00:02:28.978Z,,,,,28.5,50,
2018-01-28T00:02:38.979Z,,,,,28.5,50,
2018-01-28T00:02:48.978Z,,,,,28.5,50,
2018-01-28T00:02:58.979Z,,,,,28.4,50,
2018-01-28T00:03:08.979Z,,,,,28.4,50,
2018-01-28T00:03:18.978Z,,,,,28.4,50,
2018-01-28T00:03:28.979Z,,,,,28.4,50,
2018-01-28T00:03:38.979Z,,,,,28.4,50,
2018-01-28T00:03:48.979Z,,,,,28.4,50,
2018-01-28T00:03:58.981Z,,,,,28.4,50,
2018-01-28T00:04:08.978Z,,,,,28.4,50,
2018-01-28T00:04:18.979Z,,,,,28.4,50,35.3
2018-01-28T00:04:28.979Z,,,,,28.4,50,
2018-01-28T00:04:38.978Z,,,,,28.4,50,
2018-01-28T00:04:48.978Z,,,,,28.4,50,
2018-01-28T00:04:58.979Z,,,,,28.4,50,
2018-01-28T00:05:08.978Z,,,,,28.4,50,
2018-01-28T00:05:18.979Z,,,,,28.4,50,
2018-01-28T00:05:28.979Z,,,,,28.4,50,
2018-01-28T00:05:38.978Z,,,,,28.4,50,
2018-01-28T00:05:48.978Z,,,,,28.3,50,
2018-01-28T00:05:58.978Z,,,,,28.3,50,
2018-01-28T00:06:08.978Z,,,,,28.3,50,
2018-01-28T00:06:18.979Z,,,,,28.3,50,
2018-01-28T00:06:28.978Z,,,,,28.3,50,
2018-01-28T00:06:38.979Z,,,,,28.3,50,
2018-01-28T00:06:48.979Z,,,,,28.3,50,
2018-01-28T00:06:58.979Z,,,,,28.3,50,35.2
2018-01-28T00:07:08.978Z,,,,,28.3,50,
2018-01-28T00:07:18.983Z,,,,,28.3,50,
2018-01-28T00:07:28.979Z,,,,,28.3,50,
2018-01-28T00:07:38.978Z,1,59,,0,28.3,50,
2018-01-28T00:07:48.978Z,0,5,,0,28.3,50,
2018-01-28T00:07:58.978Z,,,,,28.3,50,
2018-01-28T00:08:08.978Z,,,,,28.3,50,
2018-01-28T00:08:18.979Z,,,,,28.3,50,
2018-01-28T00:08:28.979Z,,,,,28.3,50,
2018-01-28T00:08:38.979Z,,,,,28.1,50,
2018-01-28T00:08:48.978Z,1,59,,0,28.1,50,
2018-01-28T00:08:58.978Z,,,,,28.1,50,
2018-01-28T00:09:08.984Z,,,,,28.1,50,
2018-01-28T00:09:18.979Z,,,,,28.1,50,
2018-01-28T00:09:28.978Z,,,,,28.1,50,
2018-01-28T00:09:38.978Z,,,,,28.1,50,35.1
2018-01-28T00:09:48.979Z,0,5,,0,28.1,50,35.1
2018-01-28T00:09:58.979Z,1,59,,0,28.1,50,
2018-01-28T00:10:08.978Z,,,,,28.1,50,
2018-01-28T00:10:18.979Z,,,,,28.1,50,
2018-01-28T00:10:28.978Z,,,,,28.1,50,
2018-01-28T00:10:38.979Z,,,,,28.1,50,
2018-01-28T00:10:48.978Z,,,,,28.1,50,
2018-01-28T00:10:58.980Z,,,,,28.1,50,
2018-01-28T00:11:08.978Z,,,,,28.1,50,
2018-01-28T00:11:18.978Z,,,,,28.1,50,
2018-01-28T00:11:28.978Z,,,,,28,50,
2018-01-28T00:11:38.978Z,,,,,28,50,
2018-01-28T00:11:48.978Z,,,,,28,50,
2018-01-28T00:11:58.978Z,,,,,28,50,
2018-01-28T00:12:08.978Z,,,,,28,50,
2018-01-28T00:12:18.985Z,,,,,28,50,
2018-01-28T00:12:28.983Z,,,,,28,50,
2018-01-28T00:12:38.978Z,,,,,28,50,34.9
2018-01-28T00:12:48.980Z,,,,,28,50,
2018-01-28T00:12:58.978Z,,,,,28,50,
2018-01-28T00:13:08.978Z,,,,,28,50,
2018-01-28T00:13:18.979Z,,,,,28,50,
2018-01-28T00:13:28.978Z,,,,,28,50,
2018-01-28T00:13:38.978Z,,,,,28,50,
2018-01-28T00:13:48.978Z,,,,,28,50,
2018-01-28T00:13:58.980Z,,,,,28,50,
2018-01-28T00:14:08.979Z,,,,,28,50,
2018-01-28T00:14:18.979Z,,,,,28,50,
2018-01-28T00:14:28.978Z,,,,,28,50,
2018-01-28T00:14:38.979Z,,,,,27.9,50,
2018-01-28T00:14:48.978Z,,,,,27.9,50,
2018-01-28T00:14:58.978Z,,,,,27.9,50,
2018-01-28T00:15:08.978Z,,,,,27.9,50,
2018-01-28T00:15:18.978Z,,,,,27.9,50,
2018-01-28T00:15:28.978Z,,,,,27.9,50,34.8
2018-01-28T00:15:38.981Z,,,,,27.9,50,
2018-01-28T00:15:48.978Z,,,,,27.9,50,
2018-01-28T00:15:58.978Z,,,,,27.9,50,
2018-01-28T00:16:08.979Z,,,,,27.9,50,
2018-01-28T00:16:18.979Z,,,,,27.9,50,
2018-01-28T00:16:28.979Z,,,,,27.9,50,
2018-01-28T00:16:38.978Z,,,,,27.9,50,
2018-01-28T00:16:48.978Z,,,,,27.9,50,
2018-01-28T00:16:58.978Z,,,,,27.9,50,
2018-01-28T00:17:08.978Z,1,,45,0,27.9,50,35.4
2018-01-28T00:17:18.989Z,,,34,,27.8,50,40.7
2018-01-28T00:17:28.979Z,,,30,,27.9,50,36.8
2018-01-28T00:17:38.979Z,,,29,,27.8,50,34.3
2018-01-28T00:17:48.978Z,,,30,,27.8,50,31.7
2018-01-28T00:17:58.978Z,,,30,,27.8,50,30.5
2018-01-28T00:18:08.978Z,,,,,27.8,50,30.3
2018-01-28T00:18:18.979Z,,,,,27.8,50,30.6
2018-01-28T00:18:28.978Z,,,29,,27.8,50,31.2
2018-01-28T00:18:38.980Z,,,30,,27.8,50,31.5
2018-01-28T00:18:48.978Z,,,29,,27.8,50,31.6
2018-01-28T00:18:58.978Z,,,,,27.8,50,31.7
2018-01-28T00:19:08.979Z,,,,,27.8,50,31.8
2018-01-28T00:19:18.978Z,,,,,27.8,50,32
2018-01-28T00:19:28.978Z,,,,,27.8,50,32.2
2018-01-28T00:19:38.978Z,,,,,27.8,50,32.4
2018-01-28T00:19:48.978Z,,,,,27.8,50,32.7
2018-01-28T00:19:58.979Z,,,,,27.8,50,32.9
2018-01-28T00:20:08.980Z,,,,,27.8,50,33.2
2018-01-28T00:20:18.978Z,,,30,,27.8,50,33.4
2018-01-28T00:20:28.979Z,,,,,27.8,50,33.7
2018-01-28T00:20:38.979Z,,,,,27.8,50,33.9
2018-01-28T00:20:48.979Z,,,29,,27.8,50,34.1
2018-01-28T00:20:58.979Z,,,30,,27.8,50,34.3
2018-01-28T00:21:08.978Z,,,29,,27.8,50,34.5
2018-01-28T00:21:18.979Z,,,,,27.8,50,34.7
2018-01-28T00:21:28.978Z,,,30,,27.8,50,34.9
2018-01-28T00:21:38.981Z,,,29,,27.8,50,35.1
2018-01-28T00:21:48.979Z,,,,,27.8,50,35.3
2018-01-28T00:21:58.978Z,,,,,27.8,50,35.5
2018-01-28T00:22:08.978Z,,,,,27.8,50,35.7
2018-01-28T00:22:18.978Z,,,,,27.8,50,35.8
2018-01-28T00:22:28.978Z,,,,,27.8,50,36
2018-01-28T00:22:38.980Z,1,,0,0,27.8,50,34.6
2018-01-28T00:22:48.981Z,,,,,27.8,50,32.5
2018-01-28T00:22:58.978Z,,,,,27.8,50,31.6
2018-01-28T00:23:08.978Z,,,,,27.8,50,31.3
2018-01-28T00:23:18.978Z,,,,,27.8,50,
2018-01-28T00:23:28.978Z,,,,,27.8,50,31.2
2018-01-28T00:23:38.978Z,,,,,27.8,50,
2018-01-28T00:23:48.978Z,,,,,27.8,50,
2018-01-28T00:23:58.978Z,,,,,27.8,50,
2018-01-28T00:24:08.978Z,,,,,27.8,50,31.1
2018-01-28T00:24:18.978Z,,,,,27.8,50,30.9
2018-01-28T00:24:28.978Z,,,,,27.8,50,30.8
2018-01-28T00:24:38.978Z,,,,,27.8,50,
2018-01-28T00:24:48.979Z,,,,,27.8,50,
2018-01-28T00:24:58.977Z,,,,,27.8,50,30.9
2018-01-28T00:25:08.978Z,,,,,27.8,50,
2018-01-28T00:25:18.978Z,,,,,27.8,50,30.8
2018-01-28T00:25:28.978Z,,,,,27.8,50,
2018-01-28T00:25:38.978Z,,,,,27.8,50,
2018-01-28T00:25:48.978Z,,,,,27.8,50,
