Time,ActPow,HwTSet,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive
2018-01-29T00:00:08.953Z,,50,,5,0,28.6,0
2018-01-29T00:00:18.953Z,,50,,59,0,28.6,2
2018-01-29T00:00:28.953Z,,50,,,,28.6,
2018-01-29T00:00:38.953Z,,50,,,,28.6,
2018-01-29T00:00:48.953Z,,50,,5,0,28.6,0
2018-01-29T00:00:58.953Z,,50,,,,28.6,
2018-01-29T00:01:08.953Z,,50,,59,0,28.6,2
2018-01-29T00:01:18.953Z,,50,,,,28.6,
2018-01-29T00:01:28.962Z,,50,,5,0,28.6,0
2018-01-29T00:01:38.953Z,,50,,,,28.5,
2018-01-29T00:01:48.953Z,,50,,,,28.5,
2018-01-29T00:01:58.985Z,,50,,,,28.5,
2018-01-29T00:02:08.977Z,,50,,,,28.5,
2018-01-29T00:02:18.968Z,,50,34,,,28.5,
2018-01-29T00:02:28.969Z,,50,33.9,,,28.5,
2018-01-29T00:02:38.953Z,,50,,,,28.5,
2018-01-29T00:02:48.952Z,,50,,,,28.5,
2018-01-29T00:02:58.953Z,,50,,,,28.5,
2018-01-29T00:03:08.953Z,,50,,,,28.5,
2018-01-29T00:03:18.953Z,,50,,,,28.5,
2018-01-29T00:03:28.955Z,,50,,,,28.5,
2018-01-29T00:03:38.953Z,,50,,,,28.5,
2018-01-29T00:03:49.018Z,,50,,,,28.5,
2018-01-29T00:03:58.953Z,,50,,,,28.5,
2018-01-29T00:04:08.953Z,,50,,,,28.5,
2018-01-29T00:04:18.953Z,,50,,,,28.4,
2018-01-29T00:04:28.953Z,,50,,,,28.4,
2018-01-29T00:04:38.953Z,,50,,,,28.4,
2018-01-29T00:04:48.953Z,,50,33.8,,,28.4,
2018-01-29T00:04:58.953Z,,50,33.9,,,28.4,
2018-01-29T00:05:08.953Z,,50,33.8,,,28.4,
2018-01-29T00:05:18.953Z,,50,,,,28.4,
2018-01-29T00:05:28.953Z,,50,,,,28.4,
2018-01-29T00:05:38.953Z,,50,,,,28.4,
2018-01-29T00:05:48.953Z,,50,,,,28.4,
2018-01-29T00:05:58.953Z,,50,,,,28.4,
2018-01-29T00:06:08.953Z,,50,,,,28.4,
2018-01-29T00:06:18.953Z,,50,,,,28.4,
2018-01-29T00:06:28.953Z,,50,,,,28.4,
2018-01-29T00:06:38.952Z,,50,,,,28.3,
2018-01-29T00:06:48.952Z,,50,,,,28.3,
2018-01-29T00:06:58.953Z,,50,,,,28.3,
2018-01-29T00:07:08.954Z,,50,,,,28.3,
2018-01-29T00:07:18.953Z,,50,,,,28.3,
2018-01-29T00:07:28.952Z,,50,,,,28.3,
2018-01-29T00:07:38.953Z,,50,33.7,,,28.3,
2018-01-29T00:07:48.953Z,,50,33.8,,,28.3,
2018-01-29T00:07:58.954Z,,50,33.7,,,28.3,
2018-01-29T00:08:08.953Z,,50,,,,28.3,
2018-01-29T00:08:18.953Z,,50,,,,28.3,
2018-01-29T00:08:28.953Z,,50,,,,28.3,
2018-01-29T00:08:38.954Z,,50,,,,28.3,
2018-01-29T00:08:48.953Z,,50,,,,28.3,
2018-01-29T00:08:58.953Z,,50,,,,28.3,
2018-01-29T00:09:08.954Z,,50,,,,28.1,
2018-01-29T00:09:18.953Z,,50,,,,28.1,
2018-01-29T00:09:28.953Z,,50,,,,28.1,
2018-01-29T00:09:38.953Z,,50,,,,28.1,
2018-01-29T00:09:48.954Z,,50,,,,28.1,
2018-01-29T00:09:58.953Z,,50,,,,28.1,
2018-01-29T00:10:08.958Z,,50,,,,28.1,
2018-01-29T00:10:18.953Z,,50,,,,28.1,
2018-01-29T00:10:28.953Z,,50,,,,28.1,
2018-01-29T00:10:38.953Z,,50,,,,28.1,
2018-01-29T00:10:48.955Z,,50,,,,28.1,
2018-01-29T00:10:58.953Z,,50,33.6,,,28.1,
2018-01-29T00:11:08.953Z,,50,,,,28.1,
2018-01-29T00:11:18.953Z,,50,,,,28.1,
2018-01-29T00:11:28.954Z,,50,,,,28,
2018-01-29T00:11:38.953Z,,50,,,,28,
2018-01-29T00:11:48.953Z,,50,,,,28,
2018-01-29T00:11:58.953Z,,50,,,,28,
2018-01-29T00:12:08.953Z,,50,,,,28,
2018-01-29T00:12:18.953Z,,50,,,,28,
2018-01-29T00:12:28.953Z,,50,,,,28,
2018-01-29T00:12:38.953Z,,50,,,,28,
2018-01-29T00:12:48.953Z,,50,,,,28,
2018-01-29T00:12:58.953Z,,50,,,,28,
2018-01-29T00:13:08.953Z,,50,,,,28,
2018-01-29T00:13:18.953Z,,50,,,,28,
2018-01-29T00:13:28.953Z,,50,,,,28,
2018-01-29T00:13:38.953Z,,50,,,,28,
2018-01-29T00:13:48.953Z,,50,,,,28,
2018-01-29T00:13:58.953Z,,50,,,,28,
2018-01-29T00:14:08.953Z,,50,,,,28,
2018-01-29T00:14:18.953Z,,50,33.5,,,28,
2018-01-29T00:14:28.953Z,,50,,,,28,
2018-01-29T00:14:38.953Z,,50,,,,27.9,
2018-01-29T00:14:48.953Z,,50,,,,27.9,
2018-01-29T00:14:58.953Z,,50,,,,27.9,
2018-01-29T00:15:08.953Z,45,50,34.2,59,0,27.9,2
2018-01-29T00:15:18.955Z,0,50,36.2,5,0,27.9,0
2018-01-29T00:15:28.953Z,,50,30.8,,,27.9,
2018-01-29T00:15:38.953Z,,50,28.7,59,0,27.9,2
2018-01-29T00:15:48.953Z,,50,26.9,,,27.9,
2018-01-29T00:15:58.953Z,,50,25.4,,,27.9,
2018-01-29T00:16:08.953Z,,50,24.8,,,27.9,
2018-01-29T00:16:18.953Z,,50,,,,27.9,
2018-01-29T00:16:28.954Z,,50,25.2,,,27.9,
2018-01-29T00:16:38.952Z,,50,25.5,,,27.9,
2018-01-29T00:16:48.952Z,,50,25.8,,,27.8,
2018-01-29T00:16:58.953Z,,50,,,,27.8,
2018-01-29T00:17:08.953Z,,50,,,,27.9,
2018-01-29T00:17:18.953Z,,50,25.7,,,27.8,
2018-01-29T00:17:29.001Z,,50,,,,27.8,
2018-01-29T00:17:38.982Z,,50,,,,27.8,
2018-01-29T00:17:48.980Z,,50,,,,27.8,
2018-01-29T00:17:58.971Z,,50,,,,27.8,
2018-01-29T00:18:08.958Z,,50,,,,27.8,
2018-01-29T00:18:18.953Z,,50,,,,27.8,
2018-01-29T00:18:28.953Z,,50,,,,27.8,
2018-01-29T00:18:38.952Z,,50,,,,27.8,
2018-01-29T00:18:48.953Z,,50,,,,27.8,
2018-01-29T00:18:58.953Z,,50,,,,27.8,
2018-01-29T00:19:08.953Z,,50,,,,27.8,
2018-01-29T00:19:19.191Z,,50,,,,27.7,
2018-01-29T00:19:28.953Z,,50,,,,27.7,
2018-01-29T00:19:38.953Z,,50,,,,27.7,
2018-01-29T00:19:48.952Z,,50,,,,27.7,
2018-01-29T00:19:58.953Z,,50,,,,27.7,
2018-01-29T00:20:08.953Z,,50,,,,27.7,
2018-01-29T00:20:18.952Z,,50,,,,27.7,
2018-01-29T00:20:28.953Z,,50,,,,27.7,
2018-01-29T00:20:38.952Z,,50,,,,27.7,
2018-01-29T00:20:48.953Z,,50,,,,27.7,
2018-01-29T00:20:58.953Z,,50,,,,27.7,
2018-01-29T00:21:08.953Z,,50,,,,27.5,
2018-01-29T00:21:18.953Z,,50,,,,27.5,
2018-01-29T00:21:28.952Z,,50,25.8,,,27.5,
2018-01-29T00:21:38.953Z,,50,,,,27.5,
2018-01-29T00:21:48.953Z,,50,25.9,,,27.5,
2018-01-29T00:21:58.953Z,,50,,,,27.5,
2018-01-29T00:22:08.953Z,,50,26,,,27.5,
2018-01-29T00:22:18.952Z,,50,26.1,,,27.5,
2018-01-29T00:22:28.953Z,,50,,,,27.4,
2018-01-29T00:22:38.953Z,,50,26.3,,,27.4,
2018-01-29T00:22:48.953Z,,50,26.4,,,27.4,
2018-01-29T00:22:58.953Z,,50,,,,27.4,
2018-01-29T00:23:08.952Z,,50,26.5,,,27.4,
2018-01-29T00:23:18.952Z,,50,,,,27.4,
2018-01-29T00:23:28.953Z,,50,26.6,,,27.4,
2018-01-29T00:23:38.952Z,,50,26.7,,,27.4,
2018-01-29T00:23:48.952Z,,50,,,,27.4,
2018-01-29T00:23:58.953Z,,50,26.9,,,27.3,
2018-01-29T00:24:08.953Z,,50,,,,27.3,
2018-01-29T00:24:18.952Z,,50,27,,,27.3,
2018-01-29T00:24:28.954Z,,50,,,,27.3,
2018-01-29T00:24:38.952Z,,50,,,,27.3,
2018-01-29T00:24:48.953Z,,50,27.1,,,27.3,
2018-01-29T00:24:58.953Z,,50,,,,27.3,
2018-01-29T00:25:08.953Z,,50,27.2,,,27.3,
2018-01-29T00:25:18.953Z,,50,,,,27.3,
