Time,HwActive,HwTOutlet,PrimTSet,ChActive,HwTSet,ActPow,PrimT
2018-01-30T00:00:08.928Z,,28.9,,,50,,
2018-01-30T00:00:18.930Z,,,,,,,39.6
2018-01-30T00:00:28.928Z,,29,,,50,,39.8
2018-01-30T00:00:38.929Z,,29,,,50,,39.9
2018-01-30T00:00:48.928Z,,,,,,,40.1
2018-01-30T00:00:58.928Z,,29,,,50,,40.2
2018-01-30T00:01:08.928Z,,29,,,50,,
2018-01-30T00:01:18.929Z,,,,,,,40.5
2018-01-30T00:01:28.928Z,,29,,,50,30,40.7
2018-01-30T00:01:38.928Z,,29,,,50,29,40.9
2018-01-30T00:01:48.928Z,,,,,,,41
2018-01-30T00:01:58.928Z,,29,,,50,,41.1
2018-01-30T00:02:08.928Z,,29,,,50,,
2018-01-30T00:02:18.928Z,,,,,,29,41.4
2018-01-30T00:02:28.928Z,,29.1,,,50,,41.6
2018-01-30T00:02:38.928Z,,29.1,,,50,30,41.8
2018-01-30T00:02:48.928Z,,29.1,,,50,,41.9
2018-01-30T00:02:58.937Z,,,,,,29,42.1
2018-01-30T00:03:08.929Z,,29.1,,,50,,42.2
2018-01-30T00:03:18.951Z,0,29.1,,2,50,0,42.4
2018-01-30T00:03:28.928Z,,29.1,,,50,,40.1
2018-01-30T00:03:38.928Z,,29.1,,,50,,38.2
2018-01-30T00:03:48.928Z,,29.1,,,50,,37.6
2018-01-30T00:03:58.928Z,,,,,,,37.4
2018-01-30T00:04:08.931Z,,29.1,,,50,,
2018-01-30T00:04:18.952Z,,29.2,,,50,,
2018-01-30T00:04:38.928Z,,29.2,,,50,,37.3
2018-01-30T00:04:48.928Z,,29.2,,,50,,
2018-01-30T00:04:58.950Z,,,,,,,37.1
2018-01-30T00:05:08.928Z,,29.2,,,50,,36.9
2018-01-30T00:05:18.928Z,,29.2,,,50,,36.8
2018-01-30T00:05:28.928Z,,29.2,,,50,,
2018-01-30T00:05:38.928Z,,29.2,,,50,,
2018-01-30T00:05:58.928Z,,29.2,,,50,,36.7
2018-01-30T00:06:08.928Z,,29.2,,,50,,
2018-01-30T00:06:18.928Z,,29.3,,,50,,36.6
2018-01-30T00:06:38.928Z,,29.3,,,50,,
2018-01-30T00:06:48.928Z,,29.3,,,50,,
2018-01-30T00:07:08.938Z,,29.3,,,50,,36.5
2018-01-30T00:07:18.928Z,,29.3,,,50,,
2018-01-30T00:07:38.928Z,,29.3,,,50,,
2018-01-30T00:07:48.974Z,,29.3,,,50,,
2018-01-30T00:08:08.951Z,,29.3,,,50,,
2018-01-30T00:08:18.928Z,,29.3,,,50,,
2018-01-30T00:08:38.950Z,,29.3,,,50,,
2018-01-30T00:08:48.928Z,,29.3,,,50,,
2018-01-30T00:08:58.929Z,,,,,,,36.6
2018-01-30T00:09:08.928Z,,29.3,,,50,,
2018-01-30T00:09:18.928Z,,29.3,,,50,,
2018-01-30T00:09:38.928Z,,29.3,,,50,,
2018-01-30T00:09:48.928Z,,29.5,,,50,,
2018-01-30T00:09:58.927Z,,,,,,,36.7
2018-01-30T00:10:08.928Z,,29.5,,,50,,
2018-01-30T00:10:18.928Z,,29.5,,,50,,
2018-01-30T00:10:28.928Z,,,,,,,36.8
2018-01-30T00:10:38.928Z,,29.5,,,50,,
2018-01-30T00:10:48.928Z,,29.5,,,50,,
2018-01-30T00:11:08.928Z,,29.5,,,50,,
2018-01-30T00:11:18.928Z,,29.5,,,50,,
2018-01-30T00:11:28.928Z,,,,,,,36.9
2018-01-30T00:11:38.929Z,,29.5,,,50,,
2018-01-30T00:11:48.928Z,,29.5,,,50,,
2018-01-30T00:12:08.928Z,,29.5,,,50,,
2018-01-30T00:12:18.928Z,,29.5,,,50,,
2018-01-30T00:12:38.928Z,,29.5,,,50,,
2018-01-30T00:12:48.928Z,,29.5,,,50,,
2018-01-30T00:13:08.928Z,,29.5,,,50,,
