Time,HwActive,HwTSet,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet
2018-01-31T00:00:08.901Z,,,,,,36.2,
2018-01-31T00:00:18.902Z,,50,,,,,29
2018-01-31T00:00:28.901Z,,50,,,,,29.1
2018-01-31T00:00:48.903Z,,50,,,,,29
2018-01-31T00:00:58.902Z,,50,,,,,29.1
2018-01-31T00:01:18.902Z,,50,,,,,29
2018-01-31T00:01:28.902Z,,50,,,,,29.1
2018-01-31T00:01:38.901Z,,,,,,36.1,
2018-01-31T00:01:48.901Z,,50,,,,,29.1
2018-01-31T00:01:58.904Z,,50,,,,,29.1
2018-01-31T00:02:18.902Z,,50,,,,,29
2018-01-31T00:02:28.902Z,,50,,,,,29
2018-01-31T00:02:48.901Z,,50,,,,,29
2018-01-31T00:02:58.902Z,,50,,,,,29
2018-01-31T00:03:08.901Z,,,,,,36,
2018-01-31T00:03:18.901Z,,50,,,,,29
2018-01-31T00:03:28.901Z,,50,,,,,29
2018-01-31T00:03:48.901Z,,50,,,,,29
2018-01-31T00:03:58.902Z,,50,,,,,29
2018-01-31T00:04:18.902Z,,50,,,,,29
2018-01-31T00:04:28.901Z,,50,,,,35.9,29
2018-01-31T00:04:38.902Z,,,,,,35.9,
2018-01-31T00:04:48.901Z,,50,,,,,29
2018-01-31T00:04:58.902Z,,50,,,,,29
2018-01-31T00:05:18.901Z,,50,,,,,29
2018-01-31T00:05:28.901Z,,50,,,,,29
2018-01-31T00:05:48.913Z,,50,,,,,29
2018-01-31T00:05:58.902Z,,50,,,,,29
2018-01-31T00:06:18.902Z,,50,,,,35.8,29
2018-01-31T00:06:28.901Z,,50,,,,,29
2018-01-31T00:06:48.901Z,,50,,,,,29
2018-01-31T00:06:58.902Z,,50,,,,,29
2018-01-31T00:07:18.902Z,,50,,,,,29
2018-01-31T00:07:28.901Z,,50,,,,,29
2018-01-31T00:07:48.902Z,,50,,,,,28.9
2018-01-31T00:07:58.902Z,,50,,,,,29
2018-01-31T00:08:18.902Z,,50,,,,,28.9
2018-01-31T00:08:28.902Z,,50,,,,,28.9
2018-01-31T00:08:38.901Z,,,,,,35.7,
2018-01-31T00:08:48.901Z,,50,,,,,28.9
2018-01-31T00:08:58.901Z,,50,,,,,28.9
2018-01-31T00:09:18.902Z,,50,,,,,28.9
2018-01-31T00:09:28.905Z,,50,,,,,28.9
2018-01-31T00:09:48.902Z,,50,,,,,28.9
2018-01-31T00:09:58.901Z,,50,,,,,28.9
2018-01-31T00:10:18.901Z,,50,,,,,28.9
2018-01-31T00:10:28.902Z,,50,,,,,28.9
2018-01-31T00:10:38.901Z,,,,,,35.6,
2018-01-31T00:10:48.901Z,,50,,,,,28.9
2018-01-31T00:10:58.903Z,,50,,,,,28.9
