Time,HwActive,HwTSet,ActPow,PrimT,HwTOutlet,PrimTSet,ChActive
2018-02-01T00:00:08.874Z,,50,,,32.5,,
2018-02-01T00:00:28.874Z,,50,,,32.5,,
2018-02-01T00:00:38.875Z,,50,,,32.5,,
2018-02-01T00:00:58.875Z,,50,,,32.5,,
2018-02-01T00:01:08.875Z,,50,,,32.4,,
2018-02-01T00:01:18.874Z,,,,41.5,,,
2018-02-01T00:01:28.875Z,,50,,,32.4,,
2018-02-01T00:01:38.919Z,,50,,,32.4,,
2018-02-01T00:01:58.904Z,,50,,,32.4,,
2018-02-01T00:02:08.874Z,,50,,,32.4,,
2018-02-01T00:02:18.873Z,,,,41.4,,,
2018-02-01T00:02:28.874Z,,50,,,32.4,,
2018-02-01T00:02:38.874Z,,50,,,32.4,,
2018-02-01T00:02:58.875Z,,50,,,32.4,,
2018-02-01T00:03:08.875Z,,50,,,32.4,,
2018-02-01T00:03:28.875Z,,50,,41.3,32.4,,
2018-02-01T00:03:38.874Z,,50,,,32.4,,
2018-02-01T00:03:58.874Z,,50,,,32.4,,
2018-02-01T00:04:08.875Z,,50,,,32.4,,
2018-02-01T00:04:28.874Z,,50,,41.2,32.4,,
2018-02-01T00:04:38.874Z,,50,,,32.4,,
2018-02-01T00:04:58.874Z,,50,,,32.4,,
2018-02-01T00:05:08.874Z,,50,,,32.4,,
2018-02-01T00:05:28.874Z,,50,,,32.3,,
2018-02-01T00:05:38.874Z,,50,,,32.3,,
2018-02-01T00:05:48.874Z,,,,41.1,,,
2018-02-01T00:05:58.874Z,,50,,,32.3,,
2018-02-01T00:06:08.874Z,,50,,,32.3,,
2018-02-01T00:06:28.874Z,,50,,,32.3,,
2018-02-01T00:06:38.874Z,,50,,,32.3,,
2018-02-01T00:06:58.874Z,,50,,,32.3,,
2018-02-01T00:07:08.874Z,,50,,,32.3,,
2018-02-01T00:07:18.893Z,,,,41,,,
2018-02-01T00:07:28.885Z,,50,,,32.3,,
2018-02-01T00:07:38.874Z,,50,,,32.3,,
2018-02-01T00:07:58.887Z,0,50,,,32.3,,2
2018-02-01T00:08:08.875Z,,50,38,45.6,32.2,,
2018-02-01T00:08:18.875Z,,50,29,44.5,32.2,,
