Time,PrimT,HwTSet,ActPow,HwTOutlet,HwActive,ChActive,PrimTSet
2018-02-02T00:00:08.850Z,40.8,50,0,29.8,0,2,
2018-02-02T00:00:18.850Z,38.6,50,,29.8,,,
2018-02-02T00:00:28.850Z,37.1,50,,29.8,,,
2018-02-02T00:00:38.850Z,36.5,50,,29.8,,,
2018-02-02T00:00:48.850Z,36.4,,,,,,
2018-02-02T00:00:58.850Z,36.3,50,,29.8,,,
2018-02-02T00:01:08.853Z,,50,,29.8,,,
2018-02-02T00:01:28.851Z,,50,,29.8,,,
2018-02-02T00:01:38.851Z,36.2,50,,29.8,,,
2018-02-02T00:01:48.851Z,,50,,29.8,,,
2018-02-02T00:01:58.850Z,36,50,,29.8,,,
2018-02-02T00:02:08.929Z,35.9,,,,,,
2018-02-02T00:02:18.850Z,,50,,29.8,,,
2018-02-02T00:02:28.851Z,,50,,29.8,,,
2018-02-02T00:02:38.873Z,,50,,29.8,,,
2018-02-02T00:02:58.850Z,35.8,50,,29.8,,,
2018-02-02T00:03:08.850Z,,50,,29.8,,,
2018-02-02T00:03:28.877Z,35.7,50,,29.8,,,
2018-02-02T00:03:38.850Z,,50,,29.8,,,
2018-02-02T00:03:48.850Z,,50,,29.8,,,
2018-02-02T00:04:08.850Z,,50,,29.8,,,
2018-02-02T00:04:18.850Z,,50,,29.8,,,
2018-02-02T00:04:38.850Z,,50,,29.8,,,
2018-02-02T00:04:48.850Z,,50,,29.8,,,
2018-02-02T00:05:08.850Z,,50,,29.8,,,
2018-02-02T00:05:18.850Z,,50,,30,,,
2018-02-02T00:05:38.851Z,,50,,29.8,,,
2018-02-02T00:05:48.850Z,,50,,30,,,
2018-02-02T00:06:08.850Z,35.8,50,,30,,,
2018-02-02T00:06:18.850Z,,50,,29.8,,,
2018-02-02T00:06:38.850Z,,50,,29.8,,,
2018-02-02T00:06:48.872Z,,50,,29.8,,,
2018-02-02T00:06:58.910Z,35.9,,,,,,
2018-02-02T00:07:08.900Z,,50,,29.8,,,
2018-02-02T00:07:18.886Z,36,50,,29.8,,,
2018-02-02T00:07:28.852Z,36,,,,,,
2018-02-02T00:07:38.870Z,,50,,29.8,,,
2018-02-02T00:07:48.853Z,,50,,29.8,,,
2018-02-02T00:08:08.865Z,,50,,29.8,,,
2018-02-02T00:08:18.850Z,,50,,29.8,,,
2018-02-02T00:08:28.850Z,36.1,,,,,,
2018-02-02T00:08:38.850Z,,50,,29.8,,,
2018-02-02T00:08:48.850Z,,50,,29.8,,,
