Time,HwActive,ActPow,HwTSet,PrimTSet,HwTOutlet,PrimT,ChActive
2018-02-04T00:00:08.808Z,,,50,,29.7,,
2018-02-04T00:00:18.800Z,,,50,,29.7,,
2018-02-04T00:00:28.798Z,,,50,,29.7,,
2018-02-04T00:00:38.797Z,,,,,,36.6,
2018-02-04T00:00:48.798Z,,,50,,29.7,,
2018-02-04T00:01:08.797Z,,,50,,29.7,36.7,
2018-02-04T00:01:18.798Z,,,50,,29.7,,
2018-02-04T00:01:38.798Z,,,50,,29.7,36.8,
2018-02-04T00:01:48.797Z,,,50,,29.7,,
2018-02-04T00:01:58.800Z,,,50,,29.7,,
2018-02-04T00:02:08.798Z,,,50,,29.7,,
2018-02-04T00:02:18.798Z,,,50,,29.7,,
2018-02-04T00:02:38.798Z,,,50,,29.7,,
2018-02-04T00:02:48.798Z,,,50,,29.7,,
2018-02-04T00:03:08.798Z,,,50,,29.7,36.8,
2018-02-04T00:03:18.798Z,,,50,,29.7,,
2018-02-04T00:03:28.798Z,,,,,,36.9,
2018-02-04T00:03:38.798Z,,,50,,29.7,,
2018-02-04T00:03:48.798Z,,,50,,29.7,,
2018-02-04T00:04:08.798Z,,,50,,29.7,,
2018-02-04T00:04:18.798Z,,,50,,29.7,,
2018-02-04T00:04:38.798Z,,,50,,29.7,,
2018-02-04T00:04:48.798Z,,,50,,29.7,,
2018-02-04T00:05:08.798Z,0,,50,5,29.7,36.8,0
2018-02-04T00:05:18.854Z,,,50,,29.7,,
2018-02-04T00:05:38.832Z,,,50,,29.7,,
2018-02-04T00:05:48.823Z,,,50,,29.7,,
2018-02-04T00:06:08.802Z,,,50,,29.7,,
2018-02-04T00:06:18.798Z,0,,50,59,29.7,,2
2018-02-04T00:06:28.798Z,,,50,,29.7,,
2018-02-04T00:06:48.798Z,,,50,,29.7,36.7,
2018-02-04T00:06:58.797Z,,,50,,29.7,,
2018-02-04T00:07:08.798Z,,,50,,29.7,,
2018-02-04T00:07:18.798Z,0,,,0,,36.1,0
2018-02-04T00:07:28.798Z,,,50,,34.8,,
2018-02-04T00:07:38.798Z,,,50,,34.9,36,
2018-02-04T00:07:58.815Z,,,50,,34.8,36,
2018-02-04T00:08:08.798Z,,,50,,34.7,36,
2018-02-04T00:08:18.798Z,1,,50,0,34.7,35.9,0
2018-02-04T00:08:28.798Z,1,46,50,,35.8,36.1,0
2018-02-04T00:08:38.798Z,0,0,50,,36.1,37.8,0
2018-02-04T00:08:48.798Z,,,50,,36.7,37.4,
2018-02-04T00:08:58.798Z,,,50,,36.6,37.2,
2018-02-04T00:09:08.797Z,,,50,,36.6,,
2018-02-04T00:09:18.798Z,,,50,,36.5,37.1,
2018-02-04T00:09:38.798Z,0,,50,59,36.4,,2
2018-02-04T00:09:48.800Z,,,50,,36.3,,
2018-02-04T00:10:08.798Z,,,50,,36.2,,
