Time,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow,PrimT,ChActive
2018-02-05T00:00:08.772Z,,,,,,30.6,
2018-02-05T00:00:18.777Z,29.7,,,50,,30.5,
2018-02-05T00:00:28.778Z,29.7,,,50,,30.3,
2018-02-05T00:00:38.777Z,29.7,,,50,,,
2018-02-05T00:00:48.777Z,,,,,,30.2,
2018-02-05T00:00:58.771Z,29.6,,,50,,30.1,
2018-02-05T00:01:08.776Z,29.5,,,50,,30,
2018-02-05T00:01:18.776Z,,,,,,29.9,
2018-02-05T00:01:28.777Z,29.5,,,50,,29.8,
2018-02-05T00:01:38.829Z,29.3,,0,50,42,28.3,2
2018-02-05T00:01:48.787Z,,,,,30,32.7,
2018-02-05T00:01:58.775Z,29.3,,,50,29,30.6,
2018-02-05T00:02:08.776Z,29.2,,,50,,29.9,
2018-02-05T00:02:18.783Z,,,,,30,29.3,
2018-02-05T00:02:28.782Z,29.2,,,50,29,29,
2018-02-05T00:02:38.783Z,29.1,,,50,,,
2018-02-05T00:02:48.776Z,,,,,,29.6,
2018-02-05T00:02:58.771Z,29.1,,,50,,30,
2018-02-05T00:03:08.775Z,29,,,50,,30.3,
2018-02-05T00:03:18.776Z,29,,,50,,,
2018-02-05T00:03:28.776Z,29,,,50,,30.7,
2018-02-05T00:03:38.776Z,,,,,,30.8,
2018-02-05T00:03:48.775Z,29,,,50,,31.1,
2018-02-05T00:03:58.775Z,28.9,,,50,30,31.3,
2018-02-05T00:04:08.776Z,28.9,,,50,,,
2018-02-05T00:04:18.776Z,,,,,30,31.6,
2018-02-05T00:04:28.776Z,28.7,,,50,,31.7,
2018-02-05T00:04:38.776Z,28.7,,,50,,,
2018-02-05T00:04:48.776Z,,,,,29,32,
2018-02-05T00:04:58.772Z,28.7,,,50,,32.1,
2018-02-05T00:05:08.776Z,28.7,,,50,,,
2018-02-05T00:05:18.775Z,,,,,29,32.5,
2018-02-05T00:05:28.776Z,28.6,,,50,,32.6,
2018-02-05T00:05:38.995Z,28.6,,,50,,,
2018-02-05T00:05:48.775Z,,,,,,33.1,
2018-02-05T00:05:58.771Z,28.6,,,50,,33.2,
2018-02-05T00:06:08.786Z,28.5,,,50,,,
2018-02-05T00:06:18.776Z,,,,,,33.6,
2018-02-05T00:06:28.771Z,28.5,,,50,,33.8,
2018-02-05T00:06:38.775Z,,,,,,34,
2018-02-05T00:06:48.932Z,28.5,,,50,,34.2,
2018-02-05T00:06:58.772Z,28.5,,,50,,,
2018-02-05T00:07:08.772Z,,,,,30,34.5,
2018-02-05T00:07:18.775Z,28.4,,,50,,34.8,
2018-02-05T00:07:28.775Z,28.4,,,50,29,35.1,
2018-02-05T00:07:38.775Z,28.4,,,50,,,
2018-02-05T00:07:48.775Z,,,,,,35.4,
2018-02-05T00:07:58.775Z,28.4,,,50,30,35.6,
2018-02-05T00:08:08.771Z,28.4,,,50,,,
2018-02-05T00:08:18.774Z,28.4,,,50,29,36,
2018-02-05T00:08:28.775Z,28.4,,,50,,36.2,
2018-02-05T00:08:38.774Z,,,,,30,36.3,
2018-02-05T00:08:48.776Z,28.4,,,50,29,36.5,
2018-02-05T00:08:58.775Z,28.3,,,50,,,
2018-02-05T00:09:08.771Z,,,,,,36.9,
2018-02-05T00:09:18.775Z,28.3,,,50,,37.1,
2018-02-05T00:09:28.774Z,28.3,,,50,30,37.3,
2018-02-05T00:09:38.774Z,28.3,,0,50,0,37.2,2
2018-02-05T00:09:48.774Z,,,,,,34.4,
2018-02-05T00:09:58.771Z,28.3,,,50,,33.1,
2018-02-05T00:10:08.771Z,,,,,,32.6,
2018-02-05T00:10:18.774Z,28.3,,,50,,32.4,
2018-02-05T00:10:28.771Z,28.3,,,50,,,
2018-02-05T00:10:38.774Z,28.3,,,50,,,
