Time,ActPow,PrimT,ChActive,HwActive,PrimTSet,HwTSet,HwTOutlet
2018-02-06T00:00:08.747Z,,,,,,50,32.9
2018-02-06T00:00:18.746Z,,,,,,50,32.9
2018-02-06T00:00:38.760Z,,,,,,50,32.8
2018-02-06T00:00:48.746Z,,,,,,50,32.8
2018-02-06T00:00:58.746Z,,38,,,,,
2018-02-06T00:01:08.746Z,,,,,,50,32.7
2018-02-06T00:01:18.746Z,,,,,,50,32.7
2018-02-06T00:01:38.746Z,,,,,,50,32.6
2018-02-06T00:01:48.746Z,,,,,,50,32.6
2018-02-06T00:02:08.745Z,,,,,,50,32.5
2018-02-06T00:02:18.746Z,,,,,,50,32.5
2018-02-06T00:02:28.746Z,,37.9,,,,50,32.5
2018-02-06T00:02:38.745Z,,38,,,,,
2018-02-06T00:02:48.746Z,,37.9,,,,50,32.4
2018-02-06T00:02:58.745Z,,,,,,50,32.4
2018-02-06T00:03:08.746Z,,,,,,50,32.4
2018-02-06T00:03:28.746Z,43,37.9,0,2,0,50,37.4
2018-02-06T00:03:38.746Z,0,39.6,0,0,,50,38.3
2018-02-06T00:03:48.769Z,,38.8,,,,,
2018-02-06T00:03:58.746Z,,38.7,,,,50,38.2
2018-02-06T00:04:08.746Z,,,,,,50,38.1
2018-02-06T00:04:28.746Z,,,,,,50,37.9
2018-02-06T00:04:38.746Z,,,1,0,59,50,37.9
2018-02-06T00:04:48.746Z,,38.6,,,,,
2018-02-06T00:04:58.745Z,,,,,,50,37.7
2018-02-06T00:05:08.746Z,,,,,,50,37.6
2018-02-06T00:05:18.746Z,,,,,,50,37.6
2018-02-06T00:05:38.746Z,31,38.5,0,2,0,50,37.5
2018-02-06T00:05:48.773Z,30,40.1,,,,50,38.9
2018-02-06T00:05:58.770Z,38,41.6,,,,50,41.3
2018-02-06T00:06:08.746Z,34,43.3,,,,50,43.1
2018-02-06T00:06:18.760Z,0,43,0,0,,50,43.3
2018-02-06T00:06:28.746Z,,42.7,,,,,
2018-02-06T00:06:38.746Z,,,,,,50,43
2018-02-06T00:06:48.746Z,30,42.3,0,2,,,
2018-02-06T00:06:58.746Z,66,43.9,,,,50,42.4
2018-02-06T00:07:08.746Z,78,46.7,,,,50,44.3
2018-02-06T00:07:18.746Z,0,46.9,0,0,,,
2018-02-06T00:07:28.746Z,,46.5,,,,50,45.1
2018-02-06T00:07:38.746Z,,,,,,50,44.8
2018-02-06T00:07:48.816Z,,46.4,,,,,
2018-02-06T00:07:58.808Z,,,,,,50,44.4
2018-02-06T00:08:08.816Z,37,45.9,0,2,,50,45.7
2018-02-06T00:08:18.789Z,0,45.8,0,0,,50,45.6
2018-02-06T00:08:28.772Z,,45,0,0,,50,45.5
2018-02-06T00:08:38.745Z,,44.8,,,,,
2018-02-06T00:08:48.754Z,,,,,,50,45.2
2018-02-06T00:08:58.819Z,,44.7,,,,,
2018-02-06T00:09:08.831Z,,,,,,50,44.9
2018-02-06T00:09:18.773Z,,,1,0,59,50,44.8
2018-02-06T00:09:28.813Z,41,47.4,1,0,,50,44.6
2018-02-06T00:09:38.832Z,30,47.8,,,,50,44.4
2018-02-06T00:09:48.849Z,29,40.4,,,,50,44.3
2018-02-06T00:09:58.830Z,30,37.1,,,,50,44.2
2018-02-06T00:10:08.750Z,29,34.8,,,,50,44
2018-02-06T00:10:18.771Z,,33.7,,,,,
2018-02-06T00:10:28.756Z,30,34,,,,50,43.8
2018-02-06T00:10:38.746Z,29,34.6,,,,,
2018-02-06T00:10:48.745Z,30,35.1,,,,50,43.5
2018-02-06T00:10:58.746Z,29,35.2,,,,,
2018-02-06T00:11:08.746Z,30,35.3,,,,50,43.3
2018-02-06T00:11:18.746Z,,,,,,50,43.1
2018-02-06T00:11:28.746Z,29,35.6,,,,,
2018-02-06T00:11:38.746Z,,35.9,,,,50,42.8
2018-02-06T00:11:48.746Z,30,36.2,,,,,
2018-02-06T00:11:58.745Z,,36.5,,,,50,42.5
2018-02-06T00:12:08.745Z,29,36.7,,,,50,42.3
2018-02-06T00:12:18.745Z,,37.1,,,,50,42.2
2018-02-06T00:12:28.745Z,,37.3,,,,,
2018-02-06T00:12:38.745Z,,37.5,,,,50,41.9
2018-02-06T00:12:48.745Z,,,,,,50,41.7
2018-02-06T00:12:58.745Z,29,38,,,,50,41.6
2018-02-06T00:13:08.746Z,,38.2,,,,50,41.4
2018-02-06T00:13:18.757Z,0,38.4,,,,50,41.3
2018-02-06T00:13:28.745Z,,35.8,1,0,,50,41.2
2018-02-06T00:13:38.745Z,,34.2,,,,,
2018-02-06T00:13:48.746Z,,33.7,,,,50,40.9
2018-02-06T00:13:58.745Z,,33.6,,,,50,40.7
2018-02-06T00:14:08.747Z,,,,,,50,40.6
2018-02-06T00:14:18.745Z,,,,,,50,40.5
2018-02-06T00:14:38.745Z,,33.5,,,,50,40.2
2018-02-06T00:14:48.745Z,,,,,,50,40.1
2018-02-06T00:14:58.745Z,,33.3,,,,,
2018-02-06T00:15:08.746Z,,33.2,,,,50,39.9
2018-02-06T00:15:18.745Z,,,,,,50,39.8
2018-02-06T00:15:28.746Z,,33.1,,,,,
2018-02-06T00:15:38.746Z,,,,,,50,39.6
2018-02-06T00:15:48.745Z,,,,,,50,39.4
2018-02-06T00:16:08.745Z,,,,,,50,39.2
2018-02-06T00:16:18.748Z,,32.9,,,,,
2018-02-06T00:16:28.745Z,,,,,,50,39.1
2018-02-06T00:16:38.745Z,,,,,,50,38.8
2018-02-06T00:16:48.745Z,,,,,,50,38.7
2018-02-06T00:17:08.746Z,,,,,,50,38.4
2018-02-06T00:17:18.750Z,,,,,,50,38.3
2018-02-06T00:17:38.746Z,,,,,,50,38.1
2018-02-06T00:17:48.745Z,,,,,,50,38
2018-02-06T00:17:58.746Z,,33.1,,,,,
2018-02-06T00:18:08.745Z,,33.2,,,,50,37.8
2018-02-06T00:18:18.745Z,,,,,,50,37.7
2018-02-06T00:18:28.746Z,,33.5,,,,,
2018-02-06T00:18:38.745Z,,33.7,,,,50,37.6
2018-02-06T00:18:48.746Z,,34,,,,,
2018-02-06T00:18:58.745Z,,34.2,,,,50,37.4
2018-02-06T00:19:08.745Z,,34.5,,,,50,37.3
2018-02-06T00:19:18.745Z,,,,,,50,37.2
2018-02-06T00:19:28.745Z,,35.1,,,,,
2018-02-06T00:19:38.745Z,,35.5,,,,50,36.9
2018-02-06T00:19:48.745Z,,,,,,50,36.8
2018-02-06T00:19:58.745Z,,36.1,,,,,
2018-02-06T00:20:08.745Z,,36.3,,,,50,36.7
2018-02-06T00:20:18.745Z,,,,,,50,36.6
2018-02-06T00:20:28.745Z,,36.8,,,,,
2018-02-06T00:20:38.745Z,,37.1,,,,50,36.5
2018-02-06T00:20:48.745Z,,37.3,,,,50,36.4
2018-02-06T00:20:58.772Z,,,,,,50,36.3
2018-02-06T00:21:08.746Z,,37.7,,,,50,36.2
2018-02-06T00:21:18.745Z,,37.8,,,,,
2018-02-06T00:21:28.745Z,,37.9,,,,50,36.1
2018-02-06T00:21:38.745Z,,38,,,,,
2018-02-06T00:21:48.745Z,,,,,,50,36
2018-02-06T00:21:58.745Z,,,,,,50,35.9
2018-02-06T00:22:08.749Z,,,,,,50,35.8
2018-02-06T00:22:18.745Z,,37.9,,,,,
2018-02-06T00:22:28.745Z,,,,,,50,35.7
2018-02-06T00:22:38.745Z,,,,,,50,35.6
2018-02-06T00:22:48.746Z,,37.8,,,,,
2018-02-06T00:22:58.790Z,,37.7,,,,50,35.5
2018-02-06T00:23:08.845Z,,,,,,50,35.4
2018-02-06T00:23:18.749Z,,,,,,50,35.4
2018-02-06T00:23:28.793Z,,37.6,,,,,
2018-02-06T00:23:38.841Z,,37.5,,,,50,35.3
2018-02-06T00:23:48.748Z,,37.4,0,0,5,50,35.2
2018-02-06T00:23:58.745Z,,37.3,,,,,
2018-02-06T00:24:08.745Z,,37.2,,,,50,35.1
2018-02-06T00:24:18.747Z,,,,,,50,34.9
2018-02-06T00:24:28.745Z,,37.1,1,0,59,50,34.9
2018-02-06T00:24:38.745Z,,36.9,,,,,
2018-02-06T00:24:48.747Z,,,0,0,5,50,34.7
2018-02-06T00:24:58.745Z,,36.8,1,0,59,50,34.7
2018-02-06T00:25:08.745Z,,36.7,0,0,5,50,34.6
2018-02-06T00:25:28.775Z,,36.6,1,0,59,50,34.5
2018-02-06T00:25:38.745Z,,36.5,0,0,5,50,34.5
2018-02-06T00:25:48.745Z,,,1,0,59,50,34.4
2018-02-06T00:25:58.745Z,,36.4,,,,,
2018-02-06T00:26:08.746Z,,36.3,0,0,5,50,34.3
2018-02-06T00:26:28.745Z,,36.2,,,,50,34.2
2018-02-06T00:26:38.745Z,,,,,,50,34.2
2018-02-06T00:26:48.745Z,,36.1,,,,,
2018-02-06T00:26:58.745Z,,36,,,,50,34.1
2018-02-06T00:27:08.745Z,,,,,,50,34
2018-02-06T00:27:18.745Z,,35.9,,,,,
2018-02-06T00:27:28.745Z,,,1,0,59,50,33.9
2018-02-06T00:27:38.745Z,,35.8,0,0,5,50,33.9
2018-02-06T00:27:58.759Z,,35.7,,,,50,33.8
2018-02-06T00:28:08.769Z,,,,,,50,33.7
2018-02-06T00:28:18.828Z,,,,,,50,33.7
2018-02-06T00:28:28.745Z,,35.6,,,,,
2018-02-06T00:28:38.745Z,,35.5,,,,50,33.6
2018-02-06T00:28:48.751Z,,,1,0,59,50,33.5
2018-02-06T00:28:58.745Z,,35.4,0,0,5,50,33.5
2018-02-06T00:29:08.745Z,,,,,,50,33.5
2018-02-06T00:29:28.745Z,,35.3,,,,50,33.4
2018-02-06T00:29:38.745Z,,,,,,50,33.3
2018-02-06T00:29:48.745Z,,35.2,,,,,
2018-02-06T00:29:58.745Z,,,,,,50,33.2
2018-02-06T00:30:08.773Z,,35.1,,,,50,33.2
2018-02-06T00:30:18.773Z,,,,,,50,33.2
2018-02-06T00:30:38.747Z,,34.9,,,,50,33.1
2018-02-06T00:30:48.745Z,,,,,,50,32.9
2018-02-06T00:30:58.766Z,,,1,0,59,,
2018-02-06T00:31:08.745Z,,34.8,0,0,5,50,32.9
2018-02-06T00:31:28.745Z,,,,,,50,32.8
2018-02-06T00:31:38.745Z,,34.7,1,0,,,
2018-02-06T00:31:48.745Z,,34.7,,,,50,32.7
2018-02-06T00:31:58.754Z,,,,,,50,32.7
2018-02-06T00:32:08.745Z,,,,,,50,32.6
2018-02-06T00:32:18.744Z,,34.6,,,,,
2018-02-06T00:32:28.746Z,,,0,0,5,50,32.6
2018-02-06T00:32:38.745Z,,,1,0,59,50,32.6
2018-02-06T00:32:48.744Z,,34.5,,,,50,32.5
2018-02-06T00:32:58.745Z,,,,,,50,32.4
2018-02-06T00:33:08.745Z,,,,,,50,32.4
2018-02-06T00:33:28.745Z,,34.4,,,,50,32.3
2018-02-06T00:33:38.744Z,,,,,,50,32.3
2018-02-06T00:33:58.745Z,,,,,,50,32.3
2018-02-06T00:34:08.745Z,,34.3,,,,50,32.2
2018-02-06T00:34:18.745Z,,,,,,50,32.2
2018-02-06T00:34:38.745Z,,,,,,50,32.1
2018-02-06T00:34:48.744Z,,,,,,50,32.1
2018-02-06T00:34:58.745Z,,34.2,,,,,
2018-02-06T00:35:08.746Z,,,,,,50,32
2018-02-06T00:35:18.744Z,,,,,,50,32
2018-02-06T00:35:28.830Z,,34.1,,,,,
2018-02-06T00:35:38.811Z,,,,,,50,31.9
2018-02-06T00:35:48.768Z,,,,,,50,31.9
2018-02-06T00:36:08.745Z,,,,,,50,31.8
2018-02-06T00:36:18.745Z,,,,,,50,31.8
2018-02-06T00:36:28.745Z,,34,,,,,
2018-02-06T00:36:38.744Z,,,,,,50,31.8
2018-02-06T00:36:48.745Z,,,,,,50,31.6
2018-02-06T00:37:08.745Z,,,,,,50,31.6
2018-02-06T00:37:18.745Z,,33.9,,,,,
2018-02-06T00:37:28.745Z,,,,,,50,31.5
2018-02-06T00:37:38.748Z,,,,,,50,31.5
2018-02-06T00:37:58.745Z,,,,,,50,31.4
2018-02-06T00:38:08.745Z,,,,,,50,31.4
2018-02-06T00:38:18.745Z,,,,,,50,31.4
2018-02-06T00:38:28.748Z,,33.8,,,,,
2018-02-06T00:38:38.745Z,,,,,,50,31.3
2018-02-06T00:38:48.745Z,,,,,,50,31.3
2018-02-06T00:39:08.744Z,,,,,,50,31.3
2018-02-06T00:39:18.745Z,,,,,,50,31.2
2018-02-06T00:39:38.745Z,,33.7,,,,50,31.2
2018-02-06T00:39:48.772Z,,,,,,50,31.2
2018-02-06T00:40:08.745Z,,,,,,50,31
2018-02-06T00:40:18.744Z,,,,,,50,31
2018-02-06T00:40:38.744Z,,,,,,50,30.9
2018-02-06T00:40:48.745Z,,,,,,50,30.9
2018-02-06T00:40:58.745Z,,33.6,,,,,
2018-02-06T00:41:08.745Z,,,,,,50,30.9
2018-02-06T00:41:18.750Z,,,,,,50,30.9
2018-02-06T00:41:38.745Z,,,,,,50,30.8
2018-02-06T00:41:58.803Z,42,35.8,1,0,,50,30.8
2018-02-06T00:42:08.744Z,29,39.6,,,,,
2018-02-06T00:42:18.745Z,,35.7,,,,50,30.7
2018-02-06T00:42:28.744Z,30,34,,,,50,30.7
2018-02-06T00:42:38.744Z,29,32.4,,,,,
2018-02-06T00:42:48.745Z,,32.1,,,,50,30.7
2018-02-06T00:42:58.754Z,,,,,,50,30.6
2018-02-06T00:43:08.744Z,,32.8,,,,,
2018-02-06T00:43:18.775Z,30,33.3,,,,50,30.6
2018-02-06T00:43:28.754Z,29,33.6,,,,50,30.6
2018-02-06T00:43:38.745Z,,,,,,50,30.6
2018-02-06T00:43:48.744Z,,34,,,,50,30.4
2018-02-06T00:43:58.745Z,,34.1,,,,,
2018-02-06T00:44:08.769Z,,34.4,,,,50,30.4
2018-02-06T00:44:18.744Z,,,,,,50,30.4
2018-02-06T00:44:28.744Z,29,34.8,,,,,
2018-02-06T00:44:38.744Z,,35.1,,,,50,30.4
2018-02-06T00:44:48.770Z,30,35.3,,,,50,30.4
2018-02-06T00:44:58.763Z,,,,,,50,30.3
2018-02-06T00:45:08.770Z,29,35.7,,,,50,30.3
2018-02-06T00:45:18.780Z,,35.8,,,,,
2018-02-06T00:45:28.746Z,29,36,,,,50,30.3
2018-02-06T00:45:38.745Z,,36.2,,,,50,30.3
2018-02-06T00:45:48.744Z,,,,,,50,30.3
2018-02-06T00:45:58.745Z,,36.5,,,,,
2018-02-06T00:46:08.745Z,,36.7,,,,50,30.3
2018-02-06T00:46:18.744Z,,,,,,50,30.3
2018-02-06T00:46:28.744Z,,37.1,,,,,
2018-02-06T00:46:38.745Z,30,37.2,,,,50,30.2
2018-02-06T00:46:48.744Z,,,,,,50,30.2
2018-02-06T00:46:58.745Z,30,37.6,,,,,
2018-02-06T00:47:08.771Z,,37.7,,,,50,30.2
2018-02-06T00:47:18.744Z,,,,,,50,30.2
2018-02-06T00:47:28.744Z,29,38.1,,,,,
2018-02-06T00:47:38.744Z,,38.2,,,,50,30.2
2018-02-06T00:47:48.745Z,,,,,,50,30.2
2018-02-06T00:47:58.744Z,30,38.6,,,,,
2018-02-06T00:48:08.744Z,,38.8,,,,50,30.2
2018-02-06T00:48:18.745Z,29,39.1,,,,50,30.2
2018-02-06T00:48:28.788Z,,39.2,,,,,
2018-02-06T00:48:38.745Z,29,39.4,1,0,59,50,30.2
2018-02-06T00:48:48.744Z,,,,,,50,30.1
2018-02-06T00:48:58.744Z,30,39.7,,,,,
2018-02-06T00:49:08.744Z,,39.9,,,,50,30.1
2018-02-06T00:49:18.745Z,29,40.1,,,,,
2018-02-06T00:49:28.744Z,,40.2,,,,50,30.1
2018-02-06T00:49:38.745Z,,,,,,50,30.1
2018-02-06T00:49:48.815Z,30,40.6,,,,,
2018-02-06T00:49:58.832Z,29,40.7,,,,50,30.1
2018-02-06T00:50:08.808Z,,,,,,50,30.1
2018-02-06T00:50:18.772Z,,41,,,,,
2018-02-06T00:50:28.768Z,,41.2,,,,50,30.1
2018-02-06T00:50:38.744Z,,,,,,50,30.1
2018-02-06T00:50:48.744Z,,41.5,,,,,
2018-02-06T00:50:58.745Z,,41.6,,,,50,30.2
2018-02-06T00:51:08.744Z,,,,,,50,30.2
2018-02-06T00:51:18.745Z,29,42,,,,50,30.2
2018-02-06T00:51:28.744Z,,42.1,,,,,
