Time,ActPow,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-08T00:00:18.691Z,,,,,50,36.8,39.7
2018-02-08T00:00:28.692Z,,,,,50,36.7,39.6
2018-02-08T00:00:38.691Z,,,,,50,36.7,
2018-02-08T00:00:48.756Z,,,,,,,39.4
2018-02-08T00:00:58.691Z,,,,,50,36.6,39.3
2018-02-08T00:01:08.709Z,,,,,50,36.6,
2018-02-08T00:01:18.733Z,,,,,,,39.2
2018-02-08T00:01:28.691Z,,,,,50,36.5,
2018-02-08T00:01:38.691Z,,,,,50,36.5,
2018-02-08T00:01:48.691Z,,,,,,,39.1
2018-02-08T00:01:58.692Z,,,,,50,36.4,
2018-02-08T00:02:08.691Z,,,,,,,38.9
2018-02-08T00:02:18.690Z,,,,,50,36.3,
2018-02-08T00:02:28.691Z,,,,,50,36.3,
2018-02-08T00:02:38.693Z,,,,,50,36.3,
2018-02-08T00:02:58.690Z,,,,,50,36.2,
2018-02-08T00:03:08.691Z,,,,,50,36.2,
2018-02-08T00:03:28.691Z,,,,,50,36.1,
2018-02-08T00:03:38.691Z,,,,,50,36.1,
2018-02-08T00:03:58.700Z,,,,,50,36,
2018-02-08T00:04:08.700Z,,,,,50,36,
2018-02-08T00:04:28.716Z,,,,,50,35.9,
2018-02-08T00:04:38.691Z,,,,,50,35.9,
2018-02-08T00:04:58.697Z,,,,,50,35.8,
2018-02-08T00:05:08.694Z,,,,,,,39.1
2018-02-08T00:05:18.702Z,,,,,50,35.8,
2018-02-08T00:05:28.691Z,,,,,50,35.8,
2018-02-08T00:05:38.691Z,,,,,50,35.7,
2018-02-08T00:05:48.690Z,,,,,,,39.2
2018-02-08T00:05:58.690Z,,,,,50,35.7,
2018-02-08T00:06:08.691Z,,,,,50,35.7,
2018-02-08T00:06:18.691Z,,,,,,,39.3
2018-02-08T00:06:28.694Z,,,,,50,35.6,
2018-02-08T00:06:38.690Z,,,,,50,35.6,
2018-02-08T00:06:58.709Z,,,,,50,35.5,
2018-02-08T00:07:08.782Z,,,,,50,35.5,
2018-02-08T00:07:18.691Z,,,,,,,39.4
2018-02-08T00:07:28.700Z,,,,,50,35.5,
2018-02-08T00:07:38.691Z,,,,,50,35.4,
2018-02-08T00:07:58.695Z,,,,,50,35.4,
2018-02-08T00:08:08.693Z,,,,,50,35.4,
2018-02-08T00:08:28.693Z,,,,,50,35.3,
2018-02-08T00:08:38.697Z,,,,,50,35.3,
2018-02-08T00:08:58.694Z,,,,,50,35.3,
2018-02-08T00:09:08.700Z,,,,,50,35.3,
2018-02-08T00:09:28.691Z,,,,,50,35.2,
2018-02-08T00:09:38.701Z,,,,,50,35.2,
2018-02-08T00:09:58.691Z,,,,,50,35.1,
2018-02-08T00:10:08.691Z,,,,,50,35.1,
2018-02-08T00:10:28.691Z,,,,,50,35.1,
2018-02-08T00:10:38.691Z,,,,,50,35.1,
2018-02-08T00:10:48.709Z,,,,,,,39.3
2018-02-08T00:10:58.691Z,,,,,50,34.9,39.4
2018-02-08T00:11:08.691Z,,,,,50,34.9,
2018-02-08T00:11:18.692Z,,,,,,,39.3
2018-02-08T00:11:28.726Z,,,,,50,34.8,
2018-02-08T00:11:38.691Z,,,,,50,34.8,
2018-02-08T00:11:58.692Z,,,,,50,34.8,
2018-02-08T00:12:08.739Z,,,,,50,34.8,
2018-02-08T00:12:28.790Z,,,,,50,34.8,
2018-02-08T00:12:38.690Z,,,,,50,34.7,
2018-02-08T00:12:48.690Z,,,,,,,39.2
2018-02-08T00:12:58.758Z,,,,,50,34.7,
2018-02-08T00:13:08.691Z,,,,,50,34.7,
2018-02-08T00:13:28.690Z,,,,,50,34.6,
2018-02-08T00:13:38.691Z,,,,,50,34.6,
2018-02-08T00:13:58.691Z,,,,,50,34.6,
