Time,HwActive,PrimT,ActPow,HwTSet,ChActive,HwTOutlet,PrimTSet
2018-02-10T00:00:08.634Z,,41.6,29,,,,
2018-02-10T00:00:18.635Z,,41.7,30,50,,30.7,
2018-02-10T00:00:28.634Z,,41.9,29,50,,30.7,
2018-02-10T00:00:38.635Z,,42,,,,,
2018-02-10T00:00:48.636Z,,42.2,,50,,30.7,
2018-02-10T00:00:58.671Z,,,,50,,30.7,
2018-02-10T00:01:08.634Z,,42.4,29,,,,
2018-02-10T00:01:18.635Z,,42.6,,50,,30.7,
2018-02-10T00:01:28.635Z,,,,50,,30.8,
2018-02-10T00:01:38.635Z,,42.9,,50,,30.8,
2018-02-10T00:01:48.635Z,,43,,50,,30.8,
2018-02-10T00:01:58.635Z,,43.2,,,,,
2018-02-10T00:02:08.635Z,,43.3,,50,,30.8,
2018-02-10T00:02:18.635Z,0,43.4,0,50,2,30.8,
2018-02-10T00:02:28.634Z,,41.2,,50,,30.8,
2018-02-10T00:02:38.635Z,,39.4,,50,,30.8,
2018-02-10T00:02:48.635Z,,38.7,,50,,30.8,
2018-02-10T00:02:58.634Z,,38.4,,,,,
2018-02-10T00:03:08.634Z,,,,50,,30.8,
2018-02-10T00:03:18.636Z,,,,50,,30.8,
2018-02-10T00:03:28.634Z,0,,,50,0,30.8,0
2018-02-10T00:03:38.634Z,0,,,50,0,39.1,
2018-02-10T00:03:48.634Z,,,,50,,39.2,
2018-02-10T00:03:58.635Z,,38.3,,,,,
2018-02-10T00:04:08.634Z,,,,50,,39.2,
2018-02-10T00:04:18.634Z,,,,50,,38.9,
2018-02-10T00:04:28.634Z,,,,50,,38.8,
2018-02-10T00:04:38.634Z,0,,,,2,,59
2018-02-10T00:04:48.635Z,,,,50,,38.6,
2018-02-10T00:04:58.635Z,,,,50,,38.5,
2018-02-10T00:05:08.634Z,,38.2,,,,,
2018-02-10T00:05:18.634Z,,,,50,,38.3,
2018-02-10T00:05:28.634Z,,,,50,,38.2,
2018-02-10T00:05:48.635Z,,,,50,,38,
2018-02-10T00:05:58.635Z,,,,50,,37.9,
2018-02-10T00:06:08.634Z,,38.1,,,,,
2018-02-10T00:06:18.636Z,,,,50,,37.8,
2018-02-10T00:06:28.635Z,,,,50,,37.7,
2018-02-10T00:06:48.634Z,,,,50,,37.5,
2018-02-10T00:06:58.634Z,,,,50,,37.5,
2018-02-10T00:07:18.635Z,,,,50,,37.3,
2018-02-10T00:07:28.635Z,,,,50,,37.2,
2018-02-10T00:07:38.634Z,,38,,,,,
2018-02-10T00:07:48.634Z,,,,50,,37.1,
2018-02-10T00:07:58.634Z,,,,50,,36.9,
2018-02-10T00:08:18.635Z,,,,50,,36.8,
2018-02-10T00:08:28.635Z,,,,50,,36.7,
2018-02-10T00:08:48.634Z,,,,50,,36.6,
2018-02-10T00:08:58.635Z,,38,,50,,36.5,
2018-02-10T00:09:08.634Z,,37.9,,,,,
2018-02-10T00:09:18.635Z,,38,,50,,36.4,
2018-02-10T00:09:28.634Z,,37.9,,,,,
2018-02-10T00:09:38.634Z,,,,50,,36.3,
2018-02-10T00:09:48.635Z,,,,50,,36.3,
2018-02-10T00:09:58.634Z,,,,50,,36.2,
2018-02-10T00:10:18.634Z,,,,50,,36.1,
2018-02-10T00:10:28.636Z,,,,50,,36,
2018-02-10T00:10:48.634Z,,,,50,,35.9,
2018-02-10T00:10:58.634Z,,,,50,,35.9,
2018-02-10T00:11:18.634Z,,,,50,,35.8,
2018-02-10T00:11:28.635Z,,,,50,,35.7,
2018-02-10T00:11:48.634Z,,,,50,,35.6,
2018-02-10T00:11:58.634Z,,,,50,,35.6,
2018-02-10T00:12:18.634Z,,,,50,,35.5,
2018-02-10T00:12:28.634Z,,37.8,,50,,35.4,
2018-02-10T00:12:38.634Z,0,41.6,39,50,2,35.4,
2018-02-10T00:12:48.635Z,,44.4,30,50,,35.3,
2018-02-10T00:12:58.634Z,,42.6,29,50,,35.3,
2018-02-10T00:13:08.634Z,,41.1,29,50,,35.3,
2018-02-10T00:13:18.634Z,,39.7,,,,,
2018-02-10T00:13:28.635Z,,38.9,,50,,35.2,
2018-02-10T00:13:38.693Z,,39.1,,,,,
2018-02-10T00:13:48.635Z,,39.6,30,50,,35.1,
2018-02-10T00:13:58.634Z,0,39.9,0,50,2,34.9,
2018-02-10T00:14:08.667Z,,37.5,,50,,34.9,
2018-02-10T00:14:18.634Z,,36,,50,,34.9,
2018-02-10T00:14:28.636Z,,35.4,,,,,
2018-02-10T00:14:38.634Z,,35.3,,50,,34.8,
2018-02-10T00:14:48.635Z,,35.2,,50,,34.7,
2018-02-10T00:14:58.634Z,,,,50,,34.7,
2018-02-10T00:15:08.634Z,,35.3,,,,,
2018-02-10T00:15:18.634Z,,35.2,,50,,34.6,
2018-02-10T00:15:28.751Z,,,,50,,34.6,
2018-02-10T00:15:38.634Z,,35.1,,,,,
2018-02-10T00:15:48.634Z,,34.9,,50,,34.5,
2018-02-10T00:16:08.634Z,,34.8,,50,,34.4,
2018-02-10T00:16:18.635Z,,,,50,,34.4,
2018-02-10T00:16:38.635Z,,,,50,,34.3,
2018-02-10T00:16:48.635Z,,34.7,,50,,34.3,
2018-02-10T00:16:58.634Z,,,,50,,34.2,
2018-02-10T00:17:18.636Z,,34.6,,50,,34.2,
2018-02-10T00:17:28.634Z,,,,50,,34.1,
2018-02-10T00:17:38.634Z,0,34.5,,,2,,
2018-02-10T00:17:48.634Z,,34.4,,50,,34.1,
2018-02-10T00:17:58.634Z,,,,50,,34,
2018-02-10T00:18:08.634Z,,34.2,,,,,
2018-02-10T00:18:18.634Z,,,,50,,34,
2018-02-10T00:18:28.634Z,,,,50,,33.9,
2018-02-10T00:18:38.634Z,,,,50,,33.9,
2018-02-10T00:18:48.646Z,0,35.3,43,50,2,33.9,
2018-02-10T00:18:58.634Z,,41.3,32,50,,33.8,
2018-02-10T00:19:08.635Z,,41.8,29,50,,33.8,
2018-02-10T00:19:18.634Z,,40.4,,,,,
2018-02-10T00:19:28.634Z,,40.1,30,50,,33.7,
2018-02-10T00:19:38.634Z,,39.9,29,,,,
2018-02-10T00:19:48.635Z,,39.7,,50,,33.7,
2018-02-10T00:19:58.635Z,,,,50,,33.6,
2018-02-10T00:20:08.634Z,,40,29,,,,
2018-02-10T00:20:18.659Z,,40.3,,50,,33.6,
2018-02-10T00:20:28.634Z,,,,50,,33.6,
2018-02-10T00:20:38.634Z,,40.6,30,,,,
2018-02-10T00:20:48.634Z,,40.8,29,50,,33.5,
2018-02-10T00:20:58.634Z,,40.9,,50,,33.5,
2018-02-10T00:21:08.634Z,,41.1,,,,,
2018-02-10T00:21:18.634Z,,41.2,30,50,,33.4,
2018-02-10T00:21:28.634Z,,,,50,,33.4,
2018-02-10T00:21:38.634Z,,41.4,29,,,,
2018-02-10T00:21:48.634Z,,,,50,,33.4,
2018-02-10T00:21:58.635Z,,,,50,,33.3,
2018-02-10T00:22:08.634Z,,41.6,29,,,,
2018-02-10T00:22:18.634Z,,41.7,,50,,33.3,
2018-02-10T00:22:28.634Z,,,,50,,33.3,
2018-02-10T00:22:38.635Z,,41.9,30,50,,33.2,
2018-02-10T00:22:48.634Z,,42.1,29,50,,33.2,
2018-02-10T00:22:58.635Z,,42.2,,,,,
2018-02-10T00:23:08.634Z,,42.4,30,50,,33.2,
2018-02-10T00:23:18.634Z,,,,50,,33.2,
2018-02-10T00:23:28.634Z,,42.9,30,50,,33.2,
2018-02-10T00:23:38.634Z,0,41.5,0,50,2,33.1,
2018-02-10T00:23:48.634Z,,39.4,,50,,33.1,
2018-02-10T00:23:58.635Z,,38.3,,50,,33.1,
2018-02-10T00:24:08.634Z,,37.9,,,,,
2018-02-10T00:24:18.634Z,,37.8,,50,,33.1,
2018-02-10T00:24:28.634Z,,,,50,,33.1,
2018-02-10T00:24:38.635Z,,37.9,,,,,
2018-02-10T00:24:48.634Z,,,,50,,32.9,
2018-02-10T00:24:58.635Z,,,,50,,32.9,
2018-02-10T00:25:08.634Z,,37.8,,,,,
2018-02-10T00:25:18.634Z,,37.6,,50,,32.9,
2018-02-10T00:25:28.634Z,,,,50,,32.9,
2018-02-10T00:25:38.634Z,,37.5,,,,,
2018-02-10T00:25:48.634Z,,,,50,,32.8,
2018-02-10T00:25:58.634Z,,,,50,,32.8,
2018-02-10T00:26:08.635Z,,37.4,,,,,
2018-02-10T00:26:18.634Z,,,,50,,32.8,
2018-02-10T00:26:28.634Z,,37.3,,50,,32.7,
2018-02-10T00:26:38.634Z,,,,50,,32.7,
2018-02-10T00:26:48.635Z,,37.2,,50,,32.7,
2018-02-10T00:27:08.634Z,,,,50,,32.7,
2018-02-10T00:27:18.635Z,,,,50,,32.7,
2018-02-10T00:27:38.634Z,,,,50,,32.7,
2018-02-10T00:27:48.634Z,,,,50,,32.6,
2018-02-10T00:27:58.635Z,,,,50,,32.6,
2018-02-10T00:28:18.634Z,,,,50,,32.6,
2018-02-10T00:28:28.634Z,,,,50,,32.6,
2018-02-10T00:28:48.634Z,,,,50,,32.6,
2018-02-10T00:28:58.634Z,,,,50,,32.5,
2018-02-10T00:29:18.638Z,,,,50,,32.5,
2018-02-10T00:29:28.634Z,,,,50,,32.5,
2018-02-10T00:29:48.634Z,,37.3,,50,,32.5,
2018-02-10T00:29:58.656Z,,,,50,,32.4,
2018-02-10T00:30:18.634Z,,37.4,,50,,32.4,
2018-02-10T00:30:28.634Z,,,,50,,32.4,
2018-02-10T00:30:48.634Z,,,,50,,32.4,
2018-02-10T00:30:58.634Z,,,,50,,32.3,
2018-02-10T00:31:08.634Z,,37.5,,,,,
2018-02-10T00:31:18.634Z,,,,50,,32.3,
2018-02-10T00:31:28.634Z,,,,50,,32.3,
2018-02-10T00:31:48.637Z,,,,50,,32.3,
2018-02-10T00:31:58.634Z,,,,50,,32.3,
2018-02-10T00:32:18.634Z,,37.6,,50,,32.2,
2018-02-10T00:32:28.634Z,,,,50,,32.2,
2018-02-10T00:32:48.661Z,,,,50,,32.2,
2018-02-10T00:32:58.723Z,,,,50,,32.2,
2018-02-10T00:33:18.634Z,,,,50,,32.1,
2018-02-10T00:33:28.634Z,,,,50,,32.1,
2018-02-10T00:33:48.634Z,,,,50,,32.1,
2018-02-10T00:33:58.634Z,,,,50,,32.1,
2018-02-10T00:34:18.634Z,,37.5,,50,,32,
2018-02-10T00:34:28.634Z,,,,50,,32,
2018-02-10T00:34:48.634Z,,,,50,,32,
2018-02-10T00:34:58.634Z,,,,50,,32,
2018-02-10T00:35:18.634Z,,,,50,,31.9,
2018-02-10T00:35:28.633Z,,,,50,,31.9,
2018-02-10T00:35:38.634Z,0,41.6,38,50,2,31.9,
2018-02-10T00:35:48.634Z,,43.7,31,50,,31.9,
