Time,ChActive,HwTSet,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet
2018-02-11T00:00:08.607Z,,,,38.6,29,,
2018-02-11T00:00:18.607Z,,50,29.1,38.8,30,,
2018-02-11T00:00:28.607Z,,50,29.1,38.9,29,,
2018-02-11T00:00:38.609Z,,,,39.1,30,,
2018-02-11T00:00:48.607Z,,50,29.1,39.3,,,
2018-02-11T00:00:58.607Z,,50,29.1,,,,
2018-02-11T00:01:08.607Z,,,,39.6,29,,
2018-02-11T00:01:18.607Z,,50,29.1,39.8,,,
2018-02-11T00:01:28.608Z,,50,29.1,40,,,
2018-02-11T00:01:38.607Z,,,,40.1,,,
2018-02-11T00:01:48.607Z,,50,29.1,40.2,,,
2018-02-11T00:01:58.607Z,,50,29.1,,,,
2018-02-11T00:02:08.607Z,,,,40.5,,,
2018-02-11T00:02:18.624Z,,50,29.1,40.7,30,,
2018-02-11T00:02:28.608Z,,50,29.1,40.9,29,,
2018-02-11T00:02:38.607Z,,,,41,30,,
2018-02-11T00:02:48.607Z,,50,29.1,41.1,29,,
2018-02-11T00:02:58.608Z,,50,29.1,,,,
2018-02-11T00:03:08.607Z,,,,41.5,29,,
2018-02-11T00:03:18.607Z,,50,29.2,41.6,0,,
2018-02-11T00:03:28.609Z,1,50,29.2,39.9,,0,
2018-02-11T00:03:38.608Z,,50,29.2,38.1,,,
2018-02-11T00:03:48.607Z,,50,29.2,37.1,,,
2018-02-11T00:03:58.607Z,,,,36.8,,,
2018-02-11T00:04:08.607Z,,50,29.2,,,,
2018-02-11T00:04:18.615Z,,50,29.2,,,,
2018-02-11T00:04:28.607Z,,50,29.2,,,,
2018-02-11T00:04:38.608Z,,,,36.7,,,
2018-02-11T00:04:48.607Z,,50,29.2,,,,
2018-02-11T00:04:58.609Z,,50,29.2,,,,
2018-02-11T00:05:08.607Z,,,,36.4,,,
2018-02-11T00:05:18.607Z,,50,29.2,36.3,,,
2018-02-11T00:05:28.607Z,,50,29.3,,,,
2018-02-11T00:05:38.608Z,,50,29.3,,,,
2018-02-11T00:05:58.607Z,,50,29.3,,,,
2018-02-11T00:06:08.663Z,,50,29.3,,,,
2018-02-11T00:06:18.607Z,,50,29.3,36.2,,,
2018-02-11T00:06:28.607Z,,50,29.3,,,,
2018-02-11T00:06:38.705Z,,,,36.1,,,
2018-02-11T00:06:48.607Z,,50,29.3,36.2,,,
2018-02-11T00:06:58.607Z,,50,29.3,,,,
2018-02-11T00:07:08.607Z,,,,36.1,,,
2018-02-11T00:07:18.607Z,,50,29.3,,,,
2018-02-11T00:07:28.607Z,,50,29.3,,,,
2018-02-11T00:07:38.607Z,,50,29.3,,,,
2018-02-11T00:07:58.611Z,,50,29.3,,,,
2018-02-11T00:08:08.607Z,,50,29.3,,,,
2018-02-11T00:08:28.607Z,,50,29.3,,,,
2018-02-11T00:08:38.610Z,,50,29.3,,,,
2018-02-11T00:08:58.608Z,,50,29.5,,,,
2018-02-11T00:09:08.607Z,,50,29.5,,,,
