Time,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet,HwTSet,ChActive
2018-02-13T00:00:18.550Z,30.2,37.3,,,,50,
2018-02-13T00:00:28.643Z,30.2,,,,,50,
2018-02-13T00:00:48.548Z,30.2,,,,,50,
2018-02-13T00:00:58.548Z,30.2,,,,,50,
2018-02-13T00:01:08.548Z,30.2,,,,,50,
2018-02-13T00:01:28.548Z,30.2,37.4,,,,50,
2018-02-13T00:01:38.548Z,30.2,37.4,,1,0,50,0
2018-02-13T00:01:48.548Z,37.2,39.1,41,,,50,
2018-02-13T00:01:58.548Z,38.6,40.8,0,0,,50,0
2018-02-13T00:02:08.548Z,39.6,40.5,,,,50,
2018-02-13T00:02:18.548Z,39.4,,,,,50,
2018-02-13T00:02:38.548Z,39.3,,,,,50,
2018-02-13T00:02:48.547Z,,40.4,,,,,
2018-02-13T00:02:58.548Z,39.2,,,0,59,50,2
2018-02-13T00:03:08.548Z,39.1,40.4,0,0,59,50,2
2018-02-13T00:03:18.547Z,38.9,,,,,50,
2018-02-13T00:03:28.548Z,38.8,,,,,50,
2018-02-13T00:03:38.547Z,38.6,,,,,50,
2018-02-13T00:03:58.548Z,38.6,,,,,50,
2018-02-13T00:04:08.547Z,38.5,40.3,,,,50,
2018-02-13T00:04:18.549Z,38.4,,,,,50,
2018-02-13T00:04:28.548Z,38.3,,,,,50,
2018-02-13T00:04:38.547Z,38.2,,,,,50,
2018-02-13T00:04:58.548Z,38.1,,,,,50,
2018-02-13T00:05:08.562Z,38,,,,,50,
2018-02-13T00:05:18.547Z,38,,,,,50,
2018-02-13T00:05:28.574Z,37.9,,,,,50,
2018-02-13T00:05:38.548Z,37.8,,,,,50,
2018-02-13T00:05:48.548Z,37.7,40.4,,0,,50,2
2018-02-13T00:05:58.548Z,37.7,45.1,36,0,,50,2
2018-02-13T00:06:08.548Z,37.6,44.8,29,,,50,
2018-02-13T00:06:18.548Z,37.5,42.9,,,,50,
2018-02-13T00:06:28.550Z,37.5,40.7,29,,,50,
2018-02-13T00:06:38.549Z,37.4,39.9,29,,,50,
2018-02-13T00:06:48.548Z,37.3,39.7,,,,50,
2018-02-13T00:06:58.548Z,37.2,39.6,30,,,50,
2018-02-13T00:07:08.548Z,37.2,40,29,,,50,
2018-02-13T00:07:18.548Z,37.1,40.3,,,,50,
2018-02-13T00:07:28.548Z,36.9,40.6,,,,50,
2018-02-13T00:07:38.548Z,36.9,40.7,,,,50,
2018-02-13T00:07:48.548Z,36.8,,30,,,50,
2018-02-13T00:07:58.547Z,36.8,40.8,29,,,50,
2018-02-13T00:08:08.548Z,36.7,41,,,,50,
2018-02-13T00:08:18.553Z,36.6,41.1,,,,50,
2018-02-13T00:08:28.637Z,36.6,41.3,,,,50,
2018-02-13T00:08:38.548Z,36.5,41.5,,,,50,
2018-02-13T00:08:48.550Z,36.5,41.6,30,,,50,
2018-02-13T00:08:58.547Z,36.4,41.8,,,,50,
2018-02-13T00:09:08.548Z,36.4,42,29,,,50,
2018-02-13T00:09:18.548Z,36.3,42.1,,,,50,
2018-02-13T00:09:28.548Z,36.3,42.2,,,,50,
2018-02-13T00:09:38.547Z,36.2,42.3,30,,,50,
2018-02-13T00:09:48.548Z,36.2,42.4,29,,,50,
2018-02-13T00:09:58.572Z,36.1,42.7,,,,50,
2018-02-13T00:10:08.552Z,36.1,42.8,,,,50,
2018-02-13T00:10:18.548Z,36,43,,,,50,
2018-02-13T00:10:28.547Z,36,43.1,30,,,50,
2018-02-13T00:10:38.548Z,35.9,43.2,0,0,,50,2
2018-02-13T00:10:48.549Z,35.9,40.9,,,,50,
2018-02-13T00:10:58.548Z,35.8,39.7,,,,50,
2018-02-13T00:11:08.548Z,35.8,38.6,,,,50,
2018-02-13T00:11:18.547Z,,38.4,,,,,
2018-02-13T00:11:28.548Z,35.7,,,,,50,
2018-02-13T00:11:38.549Z,35.7,38.3,,,,50,
2018-02-13T00:11:48.548Z,35.6,38.4,,,,50,
2018-02-13T00:11:58.548Z,,38.3,,,,,
2018-02-13T00:12:08.548Z,35.6,,,,,50,
2018-02-13T00:12:18.548Z,35.5,,,,,50,
2018-02-13T00:12:28.548Z,35.5,38,,,,50,
2018-02-13T00:12:38.549Z,35.4,37.9,,,,50,
2018-02-13T00:12:48.548Z,35.4,,,,,50,
2018-02-13T00:12:58.548Z,35.3,,,,,50,
2018-02-13T00:13:08.548Z,,37.8,,,,,
2018-02-13T00:13:18.548Z,35.3,,,,,50,
2018-02-13T00:13:28.548Z,35.2,,,,,50,
2018-02-13T00:13:38.548Z,35.2,37.7,,,,50,
2018-02-13T00:13:48.548Z,35.2,37.6,,,,50,
2018-02-13T00:14:08.548Z,35.1,,,,,50,
2018-02-13T00:14:18.548Z,35.1,,,,,50,
2018-02-13T00:14:38.548Z,34.9,,,,,50,
2018-02-13T00:14:48.547Z,34.8,,,,,50,
2018-02-13T00:14:58.547Z,34.8,,,,,50,
2018-02-13T00:15:08.547Z,,37.5,,,,,
2018-02-13T00:15:18.548Z,34.7,,,,,50,
2018-02-13T00:15:28.548Z,34.7,,,,,50,
2018-02-13T00:15:48.549Z,34.6,,,,,50,
2018-02-13T00:15:58.548Z,34.6,,,,,50,
2018-02-13T00:16:08.548Z,,37.6,,,,,
2018-02-13T00:16:18.548Z,34.5,,,,,50,
2018-02-13T00:16:28.547Z,34.5,,,,,50,
2018-02-13T00:16:48.548Z,34.4,,,,,50,
2018-02-13T00:16:58.547Z,34.4,,,,,50,
2018-02-13T00:17:18.548Z,34.3,,,,,50,
2018-02-13T00:17:28.548Z,34.3,,,,,50,
2018-02-13T00:17:38.547Z,,37.7,,,,,
2018-02-13T00:17:48.548Z,34.2,,,,,50,
2018-02-13T00:17:58.548Z,34.2,,,,,50,
2018-02-13T00:18:18.548Z,34.1,37.8,,,,50,
2018-02-13T00:18:28.548Z,34.1,,,,,50,
2018-02-13T00:18:48.548Z,34,,,,,50,
2018-02-13T00:18:58.548Z,34,,,,,50,
2018-02-13T00:19:18.549Z,33.9,,,,,50,
2018-02-13T00:19:28.547Z,33.9,,,,,50,
2018-02-13T00:19:48.548Z,33.9,,,,,50,
2018-02-13T00:19:58.548Z,33.8,,,,,50,
2018-02-13T00:20:18.547Z,33.8,,,,,50,
2018-02-13T00:20:28.550Z,33.7,,,,,50,
2018-02-13T00:20:48.590Z,33.7,,,,,50,
2018-02-13T00:20:58.579Z,33.6,,,,,50,
2018-02-13T00:21:18.548Z,33.6,,,,,50,
2018-02-13T00:21:28.548Z,33.6,,,,,50,
2018-02-13T00:21:48.548Z,33.5,,,,,50,
2018-02-13T00:21:58.547Z,33.5,,,,,50,
2018-02-13T00:22:18.549Z,33.4,,,,,50,
2018-02-13T00:22:28.547Z,33.4,,,,,50,
2018-02-13T00:22:48.550Z,33.4,,,,,50,
2018-02-13T00:22:58.547Z,33.3,,,,,50,
2018-02-13T00:23:08.547Z,,37.7,,,,,
2018-02-13T00:23:18.547Z,33.3,,,,,50,
2018-02-13T00:23:28.548Z,33.2,,,,,50,
2018-02-13T00:23:48.548Z,33.2,,,,,50,
2018-02-13T00:23:58.547Z,33.2,,,,,50,
2018-02-13T00:24:18.547Z,33.1,,,,,50,
2018-02-13T00:24:28.548Z,33.1,,,,,50,
2018-02-13T00:24:38.548Z,,37.7,,,,,
2018-02-13T00:24:48.551Z,32.9,37.6,,,,50,
2018-02-13T00:24:58.547Z,32.9,,,,,50,
2018-02-13T00:25:18.547Z,32.9,,,,,50,
2018-02-13T00:25:28.547Z,32.8,,,,,50,
2018-02-13T00:25:48.547Z,32.8,,,,,50,
2018-02-13T00:25:58.547Z,32.8,,,,,50,
2018-02-13T00:26:08.547Z,,37.5,,,,,
2018-02-13T00:26:18.547Z,32.7,37.6,,,,50,
2018-02-13T00:26:28.548Z,32.7,37.6,,0,,50,2
2018-02-13T00:26:38.547Z,32.7,42.4,37,,,50,
2018-02-13T00:26:48.548Z,32.6,42.8,29,,,50,
2018-02-13T00:26:58.548Z,32.6,41,,,,50,
2018-02-13T00:27:08.547Z,32.6,38.7,29,,,50,
2018-02-13T00:27:18.549Z,,37.8,,,,,
2018-02-13T00:27:28.547Z,32.6,37.1,30,,,50,
2018-02-13T00:27:38.548Z,32.5,,,,,50,
2018-02-13T00:27:48.548Z,32.5,37.7,29,,,50,
2018-02-13T00:27:58.547Z,,38.1,29,,,,
2018-02-13T00:28:08.547Z,32.5,38.4,,,,50,
