Time,HwTSet,ChActive,PrimT,PrimTSet,HwActive,ActPow,HwTOutlet
2018-02-14T00:00:08.619Z,,,43,,,30,
2018-02-14T00:00:18.520Z,50,,43.1,,,,30.1
2018-02-14T00:00:28.521Z,50,,,,,,30.1
2018-02-14T00:00:38.520Z,,,43.4,,,30,
2018-02-14T00:00:48.519Z,50,,43.6,,,,30.2
2018-02-14T00:00:58.522Z,50,,,,,,30.2
2018-02-14T00:01:08.599Z,,,43.8,,,29,
2018-02-14T00:01:18.519Z,50,,44,,,,30.2
2018-02-14T00:01:28.519Z,,,44.1,,,30,
2018-02-14T00:01:38.519Z,50,1,42.2,,0,0,30.2
2018-02-14T00:01:48.519Z,,,40.2,,,,
2018-02-14T00:01:58.523Z,50,,39.5,,,,30.2
2018-02-14T00:02:08.619Z,50,,39.2,,,,30.2
2018-02-14T00:02:18.519Z,50,,39.1,,,,30.2
2018-02-14T00:02:28.518Z,50,,,,,,30.3
2018-02-14T00:02:48.518Z,50,,,,,,30.3
2018-02-14T00:02:58.519Z,,,38.9,,,,
2018-02-14T00:03:08.599Z,50,,38.8,,,,30.3
2018-02-14T00:03:18.519Z,50,,38.6,,,,30.3
2018-02-14T00:03:28.519Z,50,,,,,,30.3
2018-02-14T00:03:38.545Z,,,38.5,,,,
2018-02-14T00:03:48.554Z,50,,,,,,30.3
2018-02-14T00:03:58.637Z,50,,,,,,30.3
2018-02-14T00:04:08.598Z,,,38.4,,,,
2018-02-14T00:04:18.519Z,50,,,,,,30.3
2018-02-14T00:04:28.518Z,50,,,,,,30.4
2018-02-14T00:04:38.519Z,,,38.3,,,,
2018-02-14T00:04:48.520Z,50,,,,,,30.4
2018-02-14T00:04:58.518Z,50,,,,,,30.4
2018-02-14T00:05:08.598Z,,1,38.2,59,0,0,
2018-02-14T00:05:18.518Z,50,,,,,,30.4
2018-02-14T00:05:28.518Z,50,,,,,,30.4
2018-02-14T00:05:48.519Z,50,,,,,,30.4
2018-02-14T00:05:58.519Z,50,,,,,,30.4
2018-02-14T00:06:18.518Z,50,,,,,,30.4
2018-02-14T00:06:28.519Z,50,,,,,,30.4
2018-02-14T00:06:48.519Z,50,,,,,,30.4
2018-02-14T00:06:58.518Z,50,,,,,,30.4
2018-02-14T00:07:18.519Z,50,,,,,,30.4
2018-02-14T00:07:28.519Z,50,,,,,,30.4
2018-02-14T00:07:48.518Z,50,,38.3,,,,30.4
2018-02-14T00:07:58.518Z,50,,,,,,30.6
2018-02-14T00:08:18.520Z,50,,38.4,,,,30.6
2018-02-14T00:08:28.519Z,50,,,,,,30.6
2018-02-14T00:08:48.519Z,50,,,,,,30.4
2018-02-14T00:08:58.519Z,50,,,,,,30.6
2018-02-14T00:09:08.599Z,,,38.5,,,,
2018-02-14T00:09:18.518Z,50,,,,,,30.6
2018-02-14T00:09:28.518Z,50,,,,,,30.6
2018-02-14T00:09:48.518Z,50,,,,,,30.6
2018-02-14T00:09:58.520Z,50,,,,,,30.6
2018-02-14T00:10:18.520Z,50,,,,,,30.6
2018-02-14T00:10:28.519Z,50,,,,,,30.6
2018-02-14T00:10:48.518Z,50,,,,,,30.6
2018-02-14T00:10:58.519Z,50,,,,,,30.6
2018-02-14T00:11:18.518Z,50,,,,,,30.6
2018-02-14T00:11:28.519Z,50,,,,,,30.6
2018-02-14T00:11:48.521Z,50,,,,,,30.6
2018-02-14T00:11:58.518Z,50,,,,,,30.6
2018-02-14T00:12:18.626Z,50,,,,,,30.4
2018-02-14T00:12:28.574Z,50,,,,,,30.6
2018-02-14T00:12:48.519Z,50,,,,,,30.4
2018-02-14T00:12:58.557Z,50,,,,,,30.4
2018-02-14T00:13:18.546Z,50,,38.4,,,,30.4
2018-02-14T00:13:28.545Z,50,,,,,,30.4
2018-02-14T00:13:48.521Z,50,,,,,,30.4
2018-02-14T00:13:58.518Z,50,,,,,,30.4
2018-02-14T00:14:18.518Z,50,,,,,,30.4
2018-02-14T00:14:28.519Z,50,,,,,,30.4
2018-02-14T00:14:38.521Z,,,38.3,,,,
2018-02-14T00:14:48.519Z,50,,,,,,30.4
2018-02-14T00:14:58.519Z,50,,,,,,30.4
2018-02-14T00:15:18.536Z,50,,,,,,30.4
2018-02-14T00:15:28.530Z,50,,,,,,30.4
2018-02-14T00:15:48.518Z,50,,38.2,,,,30.4
2018-02-14T00:15:58.518Z,50,,,,,,30.4
2018-02-14T00:16:18.519Z,50,,,,,,30.4
2018-02-14T00:16:28.519Z,50,,,,,,30.4
2018-02-14T00:16:48.521Z,50,,,,,,30.4
2018-02-14T00:16:58.518Z,50,,,,,,30.4
2018-02-14T00:17:08.598Z,,,38.1,,,,
2018-02-14T00:17:18.530Z,50,,,,,,30.4
2018-02-14T00:17:28.520Z,50,,,,,,30.4
2018-02-14T00:17:48.518Z,50,,,,,,30.4
2018-02-14T00:17:58.518Z,50,,,,,,30.3
2018-02-14T00:18:18.520Z,50,,,,,,30.3
2018-02-14T00:18:28.520Z,50,,,,,,30.3
2018-02-14T00:18:38.518Z,,,38,,,,
2018-02-14T00:18:48.518Z,50,,,,,,30.3
2018-02-14T00:18:58.518Z,50,,,,,,30.3
2018-02-14T00:19:18.518Z,50,,,,,,30.3
2018-02-14T00:19:28.519Z,50,,,,,,30.3
2018-02-14T00:19:38.518Z,,,37.9,,,,
2018-02-14T00:19:48.518Z,50,,,,,,30.3
2018-02-14T00:19:58.518Z,50,,,,,,30.3
2018-02-14T00:20:08.598Z,50,,,,,,30.3
2018-02-14T00:20:28.519Z,50,,,,,,30.3
2018-02-14T00:20:38.518Z,50,,,,,,30.3
2018-02-14T00:20:48.520Z,50,,,,,,30.3
2018-02-14T00:21:08.598Z,50,,37.8,,,,30.3
2018-02-14T00:21:18.518Z,50,,,,,,30.3
2018-02-14T00:21:28.518Z,50,,,,,,30.3
2018-02-14T00:21:48.518Z,50,,,,,,30.2
2018-02-14T00:21:58.518Z,50,,,,,,30.2
2018-02-14T00:22:18.526Z,50,1,,,0,,30.2
2018-02-14T00:22:28.532Z,50,,43.2,,,37,30.2
2018-02-14T00:22:38.519Z,50,,42.2,,,29,30.2
2018-02-14T00:22:48.518Z,50,,39.6,,,,30.2
2018-02-14T00:22:58.518Z,50,,37.4,,,29,30.2
2018-02-14T00:23:08.598Z,50,,36.1,,,30,30.2
2018-02-14T00:23:18.518Z,50,,36,,,30,30.2
2018-02-14T00:23:28.518Z,50,,36.3,,,29,30.2
2018-02-14T00:23:38.518Z,50,,36.8,,,,30.2
2018-02-14T00:23:48.521Z,,,37.2,,,,
2018-02-14T00:23:58.518Z,50,,37.4,,,,30.2
2018-02-14T00:24:08.598Z,50,,,,,,30.2
2018-02-14T00:24:18.518Z,,,37.6,,,30,
2018-02-14T00:24:28.518Z,50,,37.8,,,29,30.2
2018-02-14T00:24:38.518Z,50,,38,,,,30.2
2018-02-14T00:24:48.518Z,50,,38.3,,,30,30.2
2018-02-14T00:24:58.519Z,50,,,,,,30.2
2018-02-14T00:25:08.598Z,,,38.7,,,30,
2018-02-14T00:25:18.520Z,50,,,,,,30.2
2018-02-14T00:25:28.519Z,,,39.2,,,29,
2018-02-14T00:25:38.519Z,50,,39.4,,,30,30.2
2018-02-14T00:25:48.518Z,50,,,,,,30.2
