Time,PrimT,ActPow,ChActive,PrimTSet,HwTSet,HwActive,HwTOutlet
2017-11-02T00:00:07.689Z,60.1,,0,,55,0,50.6
2017-11-02T00:00:12.562Z,62.1,,,,55,,48.9
2017-11-02T00:00:22.558Z,63.8,79,0,59,55,2,47.7
2017-11-02T00:00:32.558Z,63.8,0,0,,55,0,57.7
2017-11-02T00:00:42.647Z,63.7,,,,55,,55.8
2017-11-02T00:00:52.557Z,64,,,,55,,54.8
2017-11-02T00:01:02.560Z,64.3,,,,55,,54.6
2017-11-02T00:01:12.557Z,64.5,,,,55,,54.4
2017-11-02T00:01:22.557Z,63.4,,0,0,55,2,54.3
2017-11-02T00:01:32.557Z,57.6,,,,55,,59.5
2017-11-02T00:01:42.648Z,51.9,51,0,,55,2,52.8
2017-11-02T00:01:52.558Z,51.7,0,0,59,55,0,48.9
2017-11-02T00:02:02.557Z,50.9,,,,55,,48.3
2017-11-02T00:02:12.557Z,51,,,,55,,48.3
2017-11-02T00:02:22.558Z,51.2,,,,55,,48.1
2017-11-02T00:02:32.557Z,51.6,,,,55,,48
2017-11-02T00:02:42.648Z,52,,,,55,,47.7
2017-11-02T00:02:52.558Z,52.1,,1,75,55,0,47.4
2017-11-02T00:03:02.562Z,52.2,,,,55,,47.2
2017-11-02T00:03:12.568Z,53.4,0,0,59,55,0,47
2017-11-02T00:03:22.558Z,53.8,,,,55,,48.4
2017-11-02T00:03:32.558Z,56.3,124,0,0,55,2,49
2017-11-02T00:03:42.650Z,59.4,0,0,59,55,0,52.6
2017-11-02T00:03:52.558Z,60.1,,,,55,,53.2
2017-11-02T00:04:02.558Z,61,,,,55,,51.9
2017-11-02T00:04:12.558Z,62.1,,,,55,,52.3
2017-11-02T00:04:22.558Z,62.3,,,,55,,52.3
2017-11-02T00:04:32.560Z,62.7,,,,55,,52.3
2017-11-02T00:04:42.642Z,62.9,,,5,55,,52.2
2017-11-02T00:04:52.558Z,,,,,55,,52.2
2017-11-02T00:05:02.558Z,62.9,,,,55,,52.3
2017-11-02T00:05:12.558Z,63,,,,55,,52.7
2017-11-02T00:05:22.563Z,,,0,0,55,2,52.8
2017-11-02T00:05:32.558Z,61.5,,0,59,55,0,54.4
2017-11-02T00:05:42.648Z,59.8,,,,55,,56.8
2017-11-02T00:05:52.560Z,58.9,,,,55,,55.7
2017-11-02T00:06:02.558Z,58.6,,,,55,,55.3
2017-11-02T00:06:12.558Z,58.7,,,,55,,55.1
2017-11-02T00:06:22.558Z,,,,,55,,55
2017-11-02T00:06:32.558Z,,,1,75,55,0,55.1
2017-11-02T00:06:42.648Z,58.5,,0,5,55,0,55.6
2017-11-02T00:06:52.558Z,58.4,,,,55,,54.7
2017-11-02T00:07:02.563Z,,,,,55,,54.2
2017-11-02T00:07:12.563Z,,,,,55,,54
2017-11-02T00:07:22.558Z,,,1,75,55,0,53.8
2017-11-02T00:07:32.558Z,,,,,55,,53.7
2017-11-02T00:07:42.648Z,,,0,5,55,0,53.4
2017-11-02T00:07:52.558Z,,,,,55,,53.3
