Time,HwTSet,ChActive,PrimTSet,ActPow,HwActive,HwTOutlet,PrimT
2017-11-03T00:00:01.742Z,55,,,,,38.8,49.7
2017-11-03T00:00:11.743Z,55,,,,,38.8,50.1
2017-11-03T00:00:21.742Z,55,,,,,38.9,
2017-11-03T00:00:31.747Z,55,,,,,38.9,50.3
2017-11-03T00:00:41.742Z,55,,,,,39,50.6
2017-11-03T00:00:51.742Z,55,,,,,39,50.8
2017-11-03T00:01:01.744Z,55,,,,,39.1,51
2017-11-03T00:01:11.742Z,55,,,,,39.3,51.2
2017-11-03T00:01:21.742Z,55,,,,,39.3,51.5
2017-11-03T00:01:31.744Z,55,,,,,39.3,51.6
2017-11-03T00:01:41.742Z,55,,,,,39.4,52
2017-11-03T00:01:52.745Z,55,,,,,39.5,
2017-11-03T00:02:01.742Z,55,,,,,39.5,52.3
2017-11-03T00:02:11.742Z,55,,,,,39.6,52.5
2017-11-03T00:02:21.747Z,55,1,,0,0,39.8,52.8
2017-11-03T00:02:31.742Z,55,,,,,39.8,51.9
2017-11-03T00:02:41.742Z,55,,,,,39.9,49.9
2017-11-03T00:02:51.742Z,55,,,,,40,49.6
2017-11-03T00:03:01.742Z,55,,,,,40.1,49.2
2017-11-03T00:03:11.742Z,55,,,,,40.1,49.1
2017-11-03T00:03:21.743Z,55,,,,,40.2,49.3
2017-11-03T00:03:31.743Z,55,,,,,40.3,49.8
2017-11-03T00:03:41.743Z,55,,,,,40.5,49.4
2017-11-03T00:03:51.743Z,55,,,,,40.5,49.2
2017-11-03T00:04:01.742Z,55,,,,,40.6,49.1
2017-11-03T00:04:11.742Z,55,,,,,40.6,48.9
2017-11-03T00:04:21.742Z,55,,,,,40.7,
2017-11-03T00:04:31.742Z,55,,,,,40.7,48.7
2017-11-03T00:04:41.742Z,55,,,,,40.7,48.6
2017-11-03T00:04:52.734Z,55,,,,,40.8,48.4
2017-11-03T00:05:01.742Z,55,,,,,40.8,48.3
2017-11-03T00:05:11.742Z,55,,,,,40.8,48.2
2017-11-03T00:05:22.785Z,55,,,,,40.8,48
2017-11-03T00:05:31.744Z,55,,,,,40.8,48.1
2017-11-03T00:05:41.743Z,55,,,,,40.8,48.2
2017-11-03T00:05:51.747Z,55,,,,,40.8,48.4
2017-11-03T00:06:01.742Z,55,,,,,40.8,48.5
2017-11-03T00:06:11.743Z,55,,,,,40.8,48.6
2017-11-03T00:06:21.743Z,55,,,,,40.8,48.7
2017-11-03T00:06:31.742Z,55,,,,,40.8,49
2017-11-03T00:06:42.789Z,55,,,,,40.7,
2017-11-03T00:06:51.746Z,55,,,,,40.7,49.1
2017-11-03T00:07:06.833Z,55,,,,,40.7,49.2
2017-11-03T00:07:11.743Z,55,,,,,40.7,
2017-11-03T00:07:21.747Z,55,,,,,40.7,49.3
2017-11-03T00:07:31.743Z,55,,,,,40.7,49.4
2017-11-03T00:07:41.743Z,55,,,,,40.7,49.5
2017-11-03T00:07:51.742Z,55,,,,,40.6,
2017-11-03T00:08:01.792Z,55,,,,,40.6,49.7
2017-11-03T00:08:11.743Z,55,,,,,40.6,
2017-11-03T00:08:21.743Z,55,,,,,40.6,49.8
2017-11-03T00:08:31.743Z,55,,,,,40.5,
2017-11-03T00:08:41.743Z,55,,,,,40.5,49.9
2017-11-03T00:08:51.748Z,55,,,,,40.5,50
2017-11-03T00:09:01.743Z,55,,,,,40.5,
2017-11-03T00:09:11.743Z,55,,,,,40.3,
2017-11-03T00:09:21.744Z,55,,,,,40.3,
