Time,ActPow,PrimT,ChActive,HwTOutlet,HwTSet,HwActive,PrimTSet
2017-11-07T00:00:02.486Z,,50.8,,40.1,55,,
2017-11-07T00:00:12.486Z,0,50.8,0,40.1,55,0,5
2017-11-07T00:00:22.486Z,,,,40,55,,
2017-11-07T00:00:32.566Z,,,,40,55,,
2017-11-07T00:00:42.487Z,,,,39.9,55,,
2017-11-07T00:00:52.486Z,,,,39.9,55,,
2017-11-07T00:01:03.477Z,,,,39.9,55,,
2017-11-07T00:01:12.486Z,,50.7,,39.8,55,,
2017-11-07T00:01:22.486Z,,,,39.8,55,,
2017-11-07T00:01:32.566Z,,,,39.6,55,,
2017-11-07T00:01:42.486Z,,,,39.6,55,,
2017-11-07T00:01:52.488Z,,,,39.6,55,,
2017-11-07T00:02:02.487Z,,,,39.5,55,,
2017-11-07T00:02:12.487Z,,50.6,,39.5,55,,
2017-11-07T00:02:22.491Z,,,,39.4,55,,
2017-11-07T00:02:32.576Z,,,,39.4,55,,
2017-11-07T00:02:42.488Z,,,,39.4,55,,
2017-11-07T00:02:52.492Z,,,,39.3,55,,
2017-11-07T00:03:02.486Z,,,,39.3,55,,
2017-11-07T00:03:12.489Z,,50.4,,39.1,55,,
2017-11-07T00:03:22.489Z,,,,39.1,55,,
2017-11-07T00:03:32.577Z,,,,39.1,55,,
2017-11-07T00:03:42.488Z,,,,39,55,,
2017-11-07T00:03:53.481Z,,,,39,55,,
2017-11-07T00:04:02.488Z,,,,39,55,,
2017-11-07T00:04:12.487Z,,50.3,,38.9,55,,
2017-11-07T00:04:22.493Z,,,,38.9,55,,
2017-11-07T00:04:32.568Z,,,,38.8,55,,
2017-11-07T00:04:42.489Z,,,,38.8,55,,
2017-11-07T00:04:52.488Z,,,,38.8,55,,
2017-11-07T00:05:02.488Z,,,,38.6,55,,
2017-11-07T00:05:12.487Z,,50.2,,38.6,55,,
2017-11-07T00:05:22.487Z,,,,38.5,55,,
2017-11-07T00:05:32.581Z,,,,38.5,55,,
2017-11-07T00:05:42.491Z,,,,38.5,55,,
2017-11-07T00:05:52.489Z,,,,38.4,55,,
2017-11-07T00:06:02.487Z,,50.1,,38.4,55,,
2017-11-07T00:06:12.487Z,,,,38.3,55,,
2017-11-07T00:06:22.487Z,,,,38.3,55,,
2017-11-07T00:06:32.584Z,,,,38.3,55,,
2017-11-07T00:06:43.489Z,,,,38.1,55,,
2017-11-07T00:06:52.487Z,,,,38.1,55,,
2017-11-07T00:07:02.487Z,,50,,38.1,55,,
2017-11-07T00:07:12.487Z,,,,38,55,,
2017-11-07T00:07:22.489Z,,,,38,55,,
2017-11-07T00:07:32.577Z,,,,38,55,,
2017-11-07T00:07:42.492Z,,,,37.9,55,,
2017-11-07T00:07:52.487Z,,,,37.9,55,,
2017-11-07T00:08:02.492Z,,50,,37.8,55,,
2017-11-07T00:08:12.488Z,,49.9,,37.8,55,,
2017-11-07T00:08:22.490Z,,,,37.8,55,,
2017-11-07T00:08:32.567Z,,,,37.7,55,,
2017-11-07T00:08:42.490Z,,,,37.7,55,,
2017-11-07T00:08:52.488Z,,,,37.7,55,,
2017-11-07T00:09:02.487Z,,49.8,,37.5,55,,
2017-11-07T00:09:12.490Z,,,,37.5,55,,
2017-11-07T00:09:22.493Z,,,,37.4,55,,
2017-11-07T00:09:33.589Z,,,,37.4,55,,
2017-11-07T00:09:42.488Z,,,,37.4,55,,
2017-11-07T00:09:52.488Z,,,,37.3,55,,
2017-11-07T00:10:02.488Z,,49.7,,37.3,55,,
2017-11-07T00:10:12.488Z,,,,37.2,55,,
2017-11-07T00:10:22.490Z,,,,37.2,55,,
2017-11-07T00:10:32.568Z,,,,37.2,55,,
2017-11-07T00:10:42.488Z,,,,37,55,,
2017-11-07T00:10:52.490Z,,,,37,55,,
2017-11-07T00:11:02.559Z,,49.5,,37,55,,
2017-11-07T00:11:12.487Z,,,,36.9,55,,
2017-11-07T00:11:22.488Z,,,,36.9,55,,
2017-11-07T00:11:32.571Z,,,,36.9,55,,
2017-11-07T00:11:42.488Z,,,,36.8,55,,
2017-11-07T00:11:52.488Z,,,,36.8,55,,
2017-11-07T00:12:02.488Z,,49.4,,36.8,55,,
2017-11-07T00:12:12.487Z,,,,36.7,55,,
2017-11-07T00:12:22.488Z,,,,36.7,55,,
2017-11-07T00:12:32.570Z,,,,36.7,55,,
2017-11-07T00:12:42.493Z,,,,36.5,55,,
2017-11-07T00:12:52.489Z,,49.3,,36.5,55,,
2017-11-07T00:13:02.493Z,,,,36.5,55,,
2017-11-07T00:13:12.488Z,,,,36.4,55,,
2017-11-07T00:13:22.493Z,,,,36.4,55,,
2017-11-07T00:13:32.588Z,,,,36.4,55,,
2017-11-07T00:13:42.488Z,,,,36.3,55,,
2017-11-07T00:13:53.486Z,,49.2,,36.3,55,,
2017-11-07T00:14:02.488Z,,,,36.3,55,,
2017-11-07T00:14:12.488Z,,,,36.2,55,,
2017-11-07T00:14:22.493Z,,,,36.2,55,,
2017-11-07T00:14:32.568Z,,,,36,55,,
2017-11-07T00:14:42.488Z,,49.1,,36,55,,
2017-11-07T00:14:52.488Z,,,,36,55,,
2017-11-07T00:15:02.488Z,,,,36,55,,
2017-11-07T00:15:12.492Z,,,,35.9,55,,
2017-11-07T00:15:22.488Z,,,,35.9,55,,
2017-11-07T00:15:32.590Z,,,,35.8,55,,
2017-11-07T00:15:42.489Z,,49,,35.8,55,,
2017-11-07T00:15:52.490Z,,,,35.8,55,,
2017-11-07T00:16:02.489Z,,,,35.8,55,,
2017-11-07T00:16:12.488Z,,,,35.7,55,,
2017-11-07T00:16:22.490Z,,,,35.7,55,,
2017-11-07T00:16:32.581Z,,49,,35.6,55,,
2017-11-07T00:16:42.490Z,,48.9,,35.6,55,,
2017-11-07T00:16:52.490Z,,,,35.6,55,,
2017-11-07T00:17:02.491Z,,,,35.6,55,,
2017-11-07T00:17:12.488Z,,,,35.4,55,,
2017-11-07T00:17:22.489Z,,,,35.4,55,,
2017-11-07T00:17:32.570Z,,,,35.4,55,,
2017-11-07T00:17:42.494Z,,48.7,,35.3,55,,
2017-11-07T00:17:52.488Z,,,,35.3,55,,
2017-11-07T00:18:02.489Z,,,,35.3,55,,
2017-11-07T00:18:12.488Z,,,,35.2,55,,
2017-11-07T00:18:22.490Z,,,,35.2,55,,
2017-11-07T00:18:32.568Z,,,,35.2,55,,
2017-11-07T00:18:42.490Z,,48.6,,35.1,55,,
2017-11-07T00:18:52.489Z,,,,35.1,55,,
2017-11-07T00:19:02.489Z,,,,35.1,55,,
2017-11-07T00:19:12.489Z,,,,34.9,55,,
2017-11-07T00:19:22.489Z,,48.5,,34.9,55,,
2017-11-07T00:19:32.591Z,,,,34.9,55,,
2017-11-07T00:19:47.590Z,,,,34.9,55,,
2017-11-07T00:19:53.531Z,,,,34.8,55,,
2017-11-07T00:20:02.494Z,,,,34.8,55,,
2017-11-07T00:20:12.489Z,,,,34.8,55,,
2017-11-07T00:20:22.489Z,,,,34.7,55,,
2017-11-07T00:20:32.578Z,,48.4,,34.7,55,,
2017-11-07T00:20:42.489Z,,,,34.7,55,,
2017-11-07T00:20:52.489Z,,,,34.6,55,,
2017-11-07T00:21:02.489Z,,,,34.6,55,,
2017-11-07T00:21:13.532Z,,,,34.6,55,,
2017-11-07T00:21:22.490Z,,,,34.4,55,,
2017-11-07T00:21:32.581Z,,48.3,,34.4,55,,
2017-11-07T00:21:42.491Z,,,,34.4,55,,
2017-11-07T00:21:52.489Z,,,,34.4,55,,
2017-11-07T00:22:02.489Z,,,,34.3,55,,
2017-11-07T00:22:12.494Z,,,,34.3,55,,
2017-11-07T00:22:23.489Z,,,,34.3,55,,
2017-11-07T00:22:32.569Z,,48.2,,34.2,55,,
2017-11-07T00:22:42.490Z,,,,34.2,55,,
2017-11-07T00:22:52.490Z,,,,34.2,55,,
2017-11-07T00:23:02.489Z,,,,34.2,55,,
2017-11-07T00:23:12.491Z,,,,34.1,55,,
2017-11-07T00:23:22.489Z,,48.1,,34.1,55,,
