Time,PrimT,HwTSet,HwActive,PrimTSet,ActPow,HwTOutlet,ChActive
2017-11-09T00:00:09.950Z,55.1,55,,,,43.7,
2017-11-09T00:00:24.879Z,,55,,,,43.6,
2017-11-09T00:00:30.902Z,,55,,,,43.6,
2017-11-09T00:00:39.864Z,,55,,,,43.5,
2017-11-09T00:00:49.866Z,,55,,,,43.5,
2017-11-09T00:00:59.861Z,,55,,,,43.4,
2017-11-09T00:01:09.950Z,55,55,,,,43.4,
2017-11-09T00:01:19.860Z,,55,,,,43.3,
2017-11-09T00:01:29.864Z,,55,,,,43.3,
2017-11-09T00:01:39.865Z,,55,,,,43.2,
2017-11-09T00:01:49.864Z,,55,,,,43.2,
2017-11-09T00:01:59.864Z,54.9,55,,,,43.1,
2017-11-09T00:02:09.940Z,,55,,,,43.1,
2017-11-09T00:02:19.864Z,,55,,,,43.1,
2017-11-09T00:02:29.864Z,,55,,,,43,
2017-11-09T00:02:39.859Z,,55,,,,42.8,
2017-11-09T00:02:49.865Z,54.8,55,,,,42.8,
2017-11-09T00:02:59.861Z,,55,,,,42.8,
2017-11-09T00:03:16.200Z,,55,,,,42.7,
2017-11-09T00:03:19.860Z,,55,,,,42.7,
2017-11-09T00:03:29.860Z,,55,,,,42.6,
2017-11-09T00:03:39.861Z,54.7,55,,,,42.6,
2017-11-09T00:03:49.865Z,,55,,,,42.5,
2017-11-09T00:03:59.860Z,54.7,,0,5,0,,0
2017-11-09T00:04:09.955Z,,55,,,,42.4,
2017-11-09T00:04:19.865Z,,55,,,,42.4,
2017-11-09T00:04:29.861Z,54.6,55,,,,42.3,
2017-11-09T00:04:39.860Z,,55,,,,42.3,
2017-11-09T00:04:49.860Z,,55,,,,42.2,
2017-11-09T00:04:59.860Z,,55,,,,42.2,
2017-11-09T00:05:09.944Z,,55,,,,42.2,
2017-11-09T00:05:19.860Z,54.4,55,,,,42,
2017-11-09T00:05:29.860Z,,55,,,,41.9,
2017-11-09T00:05:39.862Z,,55,,,,41.9,
2017-11-09T00:05:49.864Z,,55,,,,41.9,
2017-11-09T00:05:59.860Z,,55,,,,41.8,
2017-11-09T00:06:09.945Z,54.3,55,,,,41.8,
2017-11-09T00:06:19.862Z,,55,,,,41.7,
2017-11-09T00:06:29.860Z,,55,,,,41.7,
2017-11-09T00:06:39.860Z,,55,,,,41.7,
2017-11-09T00:06:49.861Z,,55,,,,41.6,
2017-11-09T00:06:59.861Z,54.2,,,,,,
2017-11-09T00:07:09.940Z,,55,,,,41.5,
2017-11-09T00:07:19.860Z,,55,,,,41.5,
2017-11-09T00:07:30.859Z,,55,,,,41.4,
2017-11-09T00:07:39.862Z,,55,,,,41.4,
2017-11-09T00:07:49.861Z,54.1,55,,,,41.2,
2017-11-09T00:07:59.860Z,,55,,,,41.2,
2017-11-09T00:08:09.954Z,,55,,,,41.1,
2017-11-09T00:08:19.860Z,,55,,,,41.1,
2017-11-09T00:08:29.870Z,,55,,,,41.1,
2017-11-09T00:08:39.860Z,54,55,,,,41,
2017-11-09T00:08:49.861Z,,55,,,,41,
2017-11-09T00:08:59.862Z,,55,,,,40.9,
2017-11-09T00:09:09.951Z,,55,,,,40.9,
2017-11-09T00:09:19.861Z,53.9,55,,,,40.8,
2017-11-09T00:09:29.861Z,53.9,55,,,,40.8,
2017-11-09T00:09:39.861Z,,55,,,,40.7,
2017-11-09T00:09:49.861Z,,55,,,,40.7,
2017-11-09T00:09:59.860Z,,55,,,,40.7,
2017-11-09T00:10:09.941Z,,55,,,,40.6,
2017-11-09T00:10:19.866Z,53.8,55,,,,40.6,
2017-11-09T00:10:29.861Z,,55,,,,40.5,
2017-11-09T00:10:39.860Z,,55,,,,40.5,
2017-11-09T00:10:49.861Z,,55,,,,40.3,
2017-11-09T00:10:59.861Z,,55,,,,40.3,
2017-11-09T00:11:09.951Z,53.7,55,,,,40.3,
2017-11-09T00:11:19.861Z,,55,,,,40.2,
2017-11-09T00:11:29.861Z,,55,,,,40.2,
2017-11-09T00:11:39.861Z,,55,,,,40.1,
2017-11-09T00:11:49.861Z,,55,,,,40.1,
2017-11-09T00:11:59.861Z,53.6,55,,,,40,
2017-11-09T00:12:09.942Z,,55,,,,40,
2017-11-09T00:12:19.861Z,,55,,,,40,
2017-11-09T00:12:29.861Z,,55,,,,39.9,
2017-11-09T00:12:39.864Z,,55,,,,39.9,
2017-11-09T00:12:49.861Z,53.4,55,,,,39.9,
2017-11-09T00:12:59.862Z,,55,,,,39.8,
2017-11-09T00:13:09.941Z,,55,,,,39.8,
2017-11-09T00:13:19.861Z,,55,,,,39.6,
2017-11-09T00:13:29.861Z,,55,,,,39.6,
2017-11-09T00:13:39.861Z,53.3,55,,,,39.5,
2017-11-09T00:13:49.862Z,,55,,,,39.5,
2017-11-09T00:13:59.861Z,,55,,,,39.4,
2017-11-09T00:14:09.942Z,,55,,,,39.4,
2017-11-09T00:14:19.861Z,53.2,55,,,,39.4,
2017-11-09T00:14:29.861Z,,55,,,,39.3,
