Time,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet,ChActive,ActPow
2017-11-10T00:00:00.052Z,55,,,47.4,,,
2017-11-10T00:00:10.127Z,55,,,47.3,,,
2017-11-10T00:00:20.047Z,55,,,47.3,,,
2017-11-10T00:00:30.047Z,55,,,47.2,,,
2017-11-10T00:00:40.049Z,55,65.6,,47.2,,,
2017-11-10T00:00:50.050Z,55,,,47,,,
2017-11-10T00:01:00.047Z,55,,,47,,,
2017-11-10T00:01:10.137Z,55,,,46.9,,,
2017-11-10T00:01:20.047Z,55,,,46.9,,,
2017-11-10T00:01:30.047Z,55,65.5,,46.8,,,
2017-11-10T00:01:40.047Z,55,,,46.8,,,
2017-11-10T00:01:50.049Z,55,,,46.7,,,
2017-11-10T00:02:05.067Z,55,,,46.7,,,
2017-11-10T00:02:10.138Z,55,65.4,,46.6,,,
2017-11-10T00:02:20.047Z,55,,,46.6,,,
2017-11-10T00:02:30.053Z,55,,,46.5,,,
2017-11-10T00:02:40.055Z,55,,,46.5,,,
2017-11-10T00:02:50.050Z,55,65.2,,46.4,,,
2017-11-10T00:03:00.047Z,55,,,46.4,,,
2017-11-10T00:03:10.137Z,55,,,46.2,,,
2017-11-10T00:03:20.047Z,55,,,46.2,,,
2017-11-10T00:03:30.048Z,55,65.1,,46.1,,,
2017-11-10T00:03:40.048Z,55,,,46.1,,,
2017-11-10T00:03:51.073Z,55,,,46,,,
2017-11-10T00:04:00.048Z,55,,,46,,,
2017-11-10T00:04:10.138Z,55,65,,45.9,,,
2017-11-10T00:04:20.048Z,55,,,45.9,,,
2017-11-10T00:04:30.049Z,55,,,45.8,,,
2017-11-10T00:04:40.048Z,55,,,45.8,,,
2017-11-10T00:04:55.072Z,55,64.9,,45.7,,,
2017-11-10T00:05:00.049Z,55,,,45.7,,,
2017-11-10T00:05:10.133Z,55,,,45.6,,,
2017-11-10T00:05:20.049Z,55,,,45.6,,,
2017-11-10T00:05:30.049Z,55,,,45.5,,,
2017-11-10T00:05:40.052Z,55,64.8,,45.5,,,
2017-11-10T00:05:50.048Z,55,64.8,0,45.3,5,0,0
2017-11-10T00:06:00.048Z,55,,,45.3,,,
2017-11-10T00:06:10.134Z,55,,,45.2,,,
2017-11-10T00:06:20.048Z,55,64.7,,45.2,,,
2017-11-10T00:06:30.049Z,55,,,45.1,,,
2017-11-10T00:06:40.049Z,55,,,45.1,,,
2017-11-10T00:06:50.049Z,55,,,45,,,
2017-11-10T00:07:00.049Z,55,64.5,,45,,,
2017-11-10T00:07:10.129Z,55,,,44.9,,,
2017-11-10T00:07:20.048Z,55,,,44.9,,,
2017-11-10T00:07:30.052Z,55,,,44.9,,,
2017-11-10T00:07:45.074Z,55,64.4,,44.8,,,
2017-11-10T00:07:50.049Z,55,,,44.8,,,
2017-11-10T00:08:00.051Z,55,,,44.7,,,
2017-11-10T00:08:10.128Z,55,,,44.7,,,
2017-11-10T00:08:20.048Z,55,,,44.5,,,
2017-11-10T00:08:35.072Z,55,64.3,,44.5,,,
2017-11-10T00:08:40.053Z,55,,,44.4,,,
2017-11-10T00:08:50.049Z,55,,,44.4,,,
2017-11-10T00:09:00.050Z,55,,,44.3,,,
2017-11-10T00:09:10.139Z,55,64.2,,44.2,,,
2017-11-10T00:09:20.049Z,55,,,44.1,,,
2017-11-10T00:09:30.052Z,55,,,44.1,,,
2017-11-10T00:09:40.049Z,55,64.1,,44.1,59,,
2017-11-10T00:09:50.049Z,55,60.8,,44.9,,,
2017-11-10T00:10:00.049Z,55,59.8,,45.6,,,
2017-11-10T00:10:10.140Z,55,59.3,1,48.4,0,0,82
2017-11-10T00:10:20.049Z,55,59.4,0,52.8,59,0,0
2017-11-10T00:10:30.049Z,55,58.8,,50.7,,,
2017-11-10T00:10:40.051Z,55,59,,49.2,,,
2017-11-10T00:10:50.049Z,55,60,,48.3,,,
2017-11-10T00:11:00.052Z,55,60.1,,50.2,,,
2017-11-10T00:11:10.139Z,55,60.3,,50.4,,,
2017-11-10T00:11:20.049Z,55,60.6,,50.6,,,
2017-11-10T00:11:30.053Z,55,,,50.6,,,
2017-11-10T00:11:40.049Z,55,60.7,,50.6,,,
2017-11-10T00:11:50.049Z,55,,,50.6,5,,
2017-11-10T00:12:00.049Z,55,,,50.7,,,
2017-11-10T00:12:10.139Z,55,,,50.9,,,
2017-11-10T00:12:20.052Z,55,,,51,,,
2017-11-10T00:12:30.050Z,55,60.6,1,51.2,0,0,
2017-11-10T00:12:40.055Z,55,61.9,1,52.7,,0,0
2017-11-10T00:12:50.060Z,55,54.8,0,56,59,0,
2017-11-10T00:13:00.051Z,55,52.7,0,50.6,,0,0
2017-11-10T00:13:10.140Z,55,51.8,,49.7,,,
2017-11-10T00:13:20.049Z,55,51.4,,49.4,,,
2017-11-10T00:13:30.049Z,55,,,49,,,
2017-11-10T00:13:40.050Z,55,51.8,1,48.6,0,0,82
2017-11-10T00:13:50.063Z,55,56.9,0,50.2,59,0,0
2017-11-10T00:14:00.049Z,55,57.3,,50.9,,,
2017-11-10T00:14:10.140Z,55,58,,50,,,
2017-11-10T00:14:20.049Z,55,59.5,,49.4,,,
2017-11-10T00:14:30.056Z,55,60,,49.1,,,
2017-11-10T00:14:40.050Z,55,60.3,1,48.9,0,0,
2017-11-10T00:14:51.062Z,55,60.8,,55.2,,,30
2017-11-10T00:15:00.050Z,55,57.9,,56,,,43
2017-11-10T00:15:10.140Z,55,56.8,0,54,59,0,0
2017-11-10T00:15:20.050Z,55,56.5,,52.7,,,
2017-11-10T00:15:30.050Z,55,57.1,,51.8,,,
2017-11-10T00:15:40.050Z,55,58,,51,,,
2017-11-10T00:15:50.051Z,55,58.2,,50.6,,,
2017-11-10T00:16:00.050Z,55,58.5,,50.2,,,
2017-11-10T00:16:10.141Z,55,58.7,,50,5,,
2017-11-10T00:16:20.055Z,55,,,49.9,,,
2017-11-10T00:16:30.056Z,55,58.9,,49.9,,,
2017-11-10T00:16:40.050Z,55,,,50.1,,,
2017-11-10T00:16:50.054Z,55,59,,50.2,,,
2017-11-10T00:17:00.054Z,55,,,50.3,,,
2017-11-10T00:17:10.140Z,55,,,50.3,,,
2017-11-10T00:17:20.050Z,55,,,50.4,,,
2017-11-10T00:17:30.050Z,55,59.1,,50.4,,,
2017-11-10T00:17:45.077Z,55,,,50.4,,,
2017-11-10T00:17:50.050Z,55,59.2,,50.4,,,
2017-11-10T00:18:00.051Z,55,,,50.4,,,
2017-11-10T00:18:10.140Z,55,,,50.4,,,
2017-11-10T00:18:20.050Z,55,59.3,,50.4,,,
2017-11-10T00:18:30.050Z,55,,,50.3,,,
2017-11-10T00:18:40.050Z,55,,,50.3,,,
2017-11-10T00:18:50.055Z,55,,,50.3,,,
2017-11-10T00:19:00.051Z,55,59.4,,50.3,,,
2017-11-10T00:19:10.143Z,55,,,50.2,,,
2017-11-10T00:19:20.050Z,55,59.5,,50.2,,,
2017-11-10T00:19:30.051Z,55,,,50.2,,,
2017-11-10T00:19:41.048Z,55,,,50.1,,,
2017-11-10T00:19:50.052Z,55,,,50.1,,,
2017-11-10T00:20:00.050Z,55,59.7,,50.1,,,
2017-11-10T00:20:10.130Z,55,,,50,,,
2017-11-10T00:20:20.056Z,55,,,50,,,
2017-11-10T00:20:35.071Z,55,,,49.9,,,
2017-11-10T00:20:40.050Z,55,,,49.9,,,
2017-11-10T00:20:50.052Z,55,,,49.8,,,
2017-11-10T00:21:00.052Z,55,59.8,,49.8,,,
2017-11-10T00:21:10.140Z,55,,,49.7,,,
2017-11-10T00:21:20.050Z,55,,,49.7,,,
2017-11-10T00:21:30.050Z,55,,,49.5,,,
2017-11-10T00:21:40.050Z,55,,,49.5,,,
2017-11-10T00:21:50.051Z,55,,,49.4,,,
2017-11-10T00:22:00.051Z,55,,,49.4,,,
2017-11-10T00:22:10.135Z,55,,,49.3,,,
2017-11-10T00:22:20.051Z,55,,,49.3,,,
2017-11-10T00:22:30.051Z,55,,,49.2,,,
2017-11-10T00:22:40.050Z,55,,,49.1,,,
2017-11-10T00:22:50.052Z,55,,,49.1,,,
2017-11-10T00:23:00.051Z,55,,,49,,,
2017-11-10T00:23:10.141Z,55,,,49,,,
2017-11-10T00:23:25.071Z,55,,,48.9,,,
2017-11-10T00:23:30.052Z,55,,,48.9,,,
2017-11-10T00:23:40.084Z,55,59.7,,48.7,,,
2017-11-10T00:23:50.051Z,55,,,48.7,,,
2017-11-10T00:24:00.051Z,55,,,48.6,,,
2017-11-10T00:24:10.142Z,55,,,48.6,,,
2017-11-10T00:24:20.056Z,55,,,48.5,,,
2017-11-10T00:24:30.052Z,55,,,48.5,,,
2017-11-10T00:24:40.056Z,55,,,48.4,,,
2017-11-10T00:24:50.259Z,55,,,48.4,,,
2017-11-10T00:25:00.051Z,55,,,48.3,,,
2017-11-10T00:25:10.142Z,55,59.5,,48.2,,,
2017-11-10T00:25:20.051Z,55,,,48.2,,,
2017-11-10T00:25:30.051Z,55,,,48.1,,,
2017-11-10T00:25:40.052Z,55,,,48.1,,,
2017-11-10T00:25:50.052Z,55,,,48,,,
2017-11-10T00:26:00.052Z,55,,,48,,,
2017-11-10T00:26:10.141Z,55,59.4,,47.8,,,
2017-11-10T00:26:20.052Z,55,,,47.8,,,
2017-11-10T00:26:30.051Z,55,,,47.7,,,
2017-11-10T00:26:40.053Z,55,,,47.7,,,
2017-11-10T00:26:50.052Z,55,,,47.6,,,
2017-11-10T00:27:00.051Z,55,,,47.6,,,
2017-11-10T00:27:10.141Z,55,,,47.5,,,
2017-11-10T00:27:20.055Z,55,59.3,,47.5,,,
2017-11-10T00:27:30.051Z,55,,,47.4,,,
2017-11-10T00:27:40.051Z,55,,,47.4,,,
2017-11-10T00:27:50.053Z,55,,,47.3,,,
2017-11-10T00:28:00.051Z,55,,,47.3,,,
2017-11-10T00:28:10.141Z,55,59.2,,47.2,,,
2017-11-10T00:28:20.052Z,55,,,47.2,,,
2017-11-10T00:28:30.051Z,55,,,47,,,
2017-11-10T00:28:40.054Z,55,,,47,,,
2017-11-10T00:28:50.056Z,55,,,46.9,,,
2017-11-10T00:29:00.051Z,55,59.1,,46.9,,,
2017-11-10T00:29:10.134Z,55,,,46.8,,,
