Time,ChActive,PrimTSet,HwTSet,HwActive,HwTOutlet,ActPow,PrimT
2017-11-11T00:00:00.235Z,,,55,,63.3,,
2017-11-11T00:00:10.239Z,,,55,,63.3,,
2017-11-11T00:00:20.234Z,,,55,,63.4,,76.6
2017-11-11T00:00:30.235Z,,,55,,63.4,,
2017-11-11T00:00:40.234Z,,,55,,63.4,,
2017-11-11T00:00:50.234Z,,,55,,63.4,,
2017-11-11T00:01:00.239Z,,,55,,63.4,,
2017-11-11T00:01:10.234Z,,,55,,63.4,,76.8
2017-11-11T00:01:20.236Z,,,55,,63.4,,
2017-11-11T00:01:30.235Z,,,55,,63.4,,76.9
2017-11-11T00:01:50.234Z,,,55,,63.5,,
2017-11-11T00:02:00.234Z,,,55,,63.5,,
2017-11-11T00:02:10.235Z,,,55,,63.5,,77.1
2017-11-11T00:02:20.235Z,,,55,,63.5,,
2017-11-11T00:02:30.235Z,,,55,,63.5,,
2017-11-11T00:02:40.235Z,,,55,,63.5,,77.2
2017-11-11T00:02:50.234Z,,,55,,63.6,,
2017-11-11T00:03:00.240Z,,,55,,63.6,,
2017-11-11T00:03:10.235Z,,,55,,63.6,,77.4
2017-11-11T00:03:20.239Z,,,55,,63.6,,
2017-11-11T00:03:30.246Z,,,55,,63.6,,
2017-11-11T00:03:40.235Z,,,55,,63.6,,77.5
2017-11-11T00:03:55.257Z,,,55,,63.7,,
2017-11-11T00:04:00.242Z,,,55,,63.7,,77.6
2017-11-11T00:04:10.234Z,,,55,,63.7,,
2017-11-11T00:04:20.234Z,,,55,,63.7,,
2017-11-11T00:04:30.235Z,,,55,,63.7,,77.8
2017-11-11T00:04:40.237Z,,,55,,63.8,,
2017-11-11T00:04:50.238Z,,,55,,63.8,,77.9
2017-11-11T00:05:00.234Z,,,55,,63.8,,
2017-11-11T00:05:10.235Z,,,55,,63.8,,
2017-11-11T00:05:20.236Z,,,55,,63.8,,
2017-11-11T00:05:30.235Z,,,55,,64,,78.1
2017-11-11T00:05:40.240Z,,,55,,64,,78.2
2017-11-11T00:05:50.235Z,,,55,,64,,
2017-11-11T00:06:00.234Z,,,55,,64,,
2017-11-11T00:06:10.236Z,,,55,,64,,
2017-11-11T00:06:20.235Z,,,55,,64.1,,78.4
2017-11-11T00:06:30.235Z,,,55,,64.1,,
2017-11-11T00:06:45.337Z,,,55,,64.1,,78.5
2017-11-11T00:06:50.236Z,,,55,,64.1,,
2017-11-11T00:07:00.235Z,,,55,,64.2,,
2017-11-11T00:07:10.236Z,,,55,,64.2,,78.7
2017-11-11T00:07:20.238Z,,,55,,64.2,,
2017-11-11T00:07:30.235Z,,,55,,64.2,,78.8
2017-11-11T00:07:40.235Z,1,75,55,0,64.3,29,78.8
2017-11-11T00:07:50.235Z,,,55,,64.3,,78.9
2017-11-11T00:08:00.235Z,1,,55,0,64.3,0,78.2
2017-11-11T00:08:11.233Z,,,55,,64.4,,76.4
2017-11-11T00:08:20.235Z,,,,,,,75.5
2017-11-11T00:08:30.235Z,,,55,,64.4,,75.3
2017-11-11T00:08:40.235Z,,,55,,64.4,,75.4
2017-11-11T00:08:50.236Z,,,55,,64.5,,75.7
2017-11-11T00:09:00.235Z,,,55,,64.5,,75.9
2017-11-11T00:09:10.235Z,,,,,,,75.5
2017-11-11T00:09:20.241Z,,,55,,64.4,,75
2017-11-11T00:09:30.235Z,,,55,,64.4,,74.7
2017-11-11T00:09:40.238Z,,,55,,64.4,,74.4
2017-11-11T00:09:50.235Z,,,55,,64.3,,74.1
2017-11-11T00:10:00.236Z,,,55,,64.3,,73.8
2017-11-11T00:10:10.235Z,,,55,,64.2,,73.5
2017-11-11T00:10:20.235Z,,,55,,64.1,,73.2
2017-11-11T00:10:30.235Z,,,55,,64.1,,72.8
2017-11-11T00:10:40.235Z,,,55,,64,,72.6
2017-11-11T00:10:50.236Z,,,55,,63.8,,72.3
2017-11-11T00:11:00.242Z,,,55,,63.8,,72.1
2017-11-11T00:11:10.235Z,,,55,,63.7,,71.7
2017-11-11T00:11:20.236Z,,,55,,63.6,,71.4
