Time,PrimTSet,HwTSet,ActPow,HwTOutlet,ChActive,HwActive,PrimT
2017-11-13T00:00:00.614Z,,55,,42.7,,,51.7
2017-11-13T00:00:10.609Z,,55,,42.7,,,
2017-11-13T00:00:25.629Z,,55,,42.6,,,
2017-11-13T00:00:30.609Z,,55,,42.6,,,51.8
2017-11-13T00:00:40.610Z,,55,,42.5,,,
2017-11-13T00:00:50.610Z,,55,,42.5,,,
2017-11-13T00:01:00.609Z,,55,,42.4,,,51.9
2017-11-13T00:01:10.609Z,,55,,42.4,,,
2017-11-13T00:01:20.610Z,,55,,42.3,,,
2017-11-13T00:01:30.614Z,,55,,42.3,,,52
2017-11-13T00:01:40.609Z,,55,,42.2,,,
2017-11-13T00:01:50.611Z,,55,,42.2,,,
2017-11-13T00:02:00.609Z,,55,,42,,,
2017-11-13T00:02:10.615Z,,55,,42,,,
2017-11-13T00:02:20.631Z,,55,,41.9,,,
2017-11-13T00:02:30.610Z,,55,,41.9,,,
2017-11-13T00:02:40.610Z,,55,,41.9,,,52.1
2017-11-13T00:02:50.613Z,,55,,41.8,,,
2017-11-13T00:03:00.610Z,,55,,41.7,,,
2017-11-13T00:03:15.630Z,,55,,41.7,,,
2017-11-13T00:03:20.610Z,,55,,41.7,,,
2017-11-13T00:03:30.610Z,,55,,41.6,,,
2017-11-13T00:03:40.612Z,,55,,41.6,,,
2017-11-13T00:03:50.610Z,,55,,41.5,,,
2017-11-13T00:04:00.610Z,,55,,41.5,,,
2017-11-13T00:04:10.615Z,,55,,41.4,,,
2017-11-13T00:04:20.610Z,,55,,41.4,,,
2017-11-13T00:04:30.610Z,,55,,41.2,,,
2017-11-13T00:04:40.610Z,,55,,41.2,,,
2017-11-13T00:04:50.611Z,,55,,41.1,,,
2017-11-13T00:05:00.610Z,,55,,41.1,,,
2017-11-13T00:05:10.611Z,,55,,41,,,
2017-11-13T00:05:20.610Z,,55,,41,,,
2017-11-13T00:05:30.617Z,,55,79,40.9,1,0,
2017-11-13T00:05:40.611Z,,55,72,40.9,,,58.2
2017-11-13T00:05:50.626Z,,55,29,40.9,,,60.8
2017-11-13T00:06:05.724Z,,55,,40.8,,,56.9
2017-11-13T00:06:10.610Z,,55,,40.8,,,52.8
2017-11-13T00:06:20.610Z,,55,,40.7,,,49.9
2017-11-13T00:06:30.610Z,,55,,40.7,,,48.8
2017-11-13T00:06:40.610Z,,55,,40.7,,,48.5
